descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
,7891129224063,Frigobar Consul 117L CRC12 - 110V,https://www.americanas.com.br/produto/119934610,frigobar consul 117l crc12 - 110v,americanas,"Frigobar Consul Branco 117L 110V CRC12CBANAPerfeito para ser utilizado em quartos e escritórios, o Frigobar Consul pode até mesmo ser levado para sítios e casas de praia. Possui porta-latas modulares, que armanezam até oito latinhas do jeito que você quiser, prateleiras modulares, grade retrátil para armanezar recipientes mais altos e gaveta multiuso com tampa aproveitável. Na sua porta na porta podem ainda ser armazenadas garrafas de 2,5 l. Esta mini-geladeira deixará sua vida ainda mais gostosa! Mais comodidade e facilidade para alcançar suas guloseimas. Cheio de compartimentos e porta-trecos pra você organizar desde os frios matinais até o lanchinho da madrugada. Comida fresquinha, bebida gelada e uma vida mais confortável ao alcance da mão. Você merece, vamos combinar? Depois de levar pra casa, é só relaxar e aproveitar. Características Gaveta de Gelo A gaveta de gelo também serve como compartimento extra frio pra deixar os embutidos, as frutas e afins bem geladinhos. Completo Ele é pequeno, mas não deixa faltar nada. Tem até congelador para guardar picolés, forminhas de gelo, comida e até 8 latinhas que você quiser deixar trincando. Grade retrátil Dá pra encolher parte da prateleira de grade pra guardar jarras, garrafas e outras vasilhas mais altas sem esbarrar em nada. A gente pensa em tudo mesmo. Gaveta multiuso Lá dentro você guarda frutas, verduras e legumes, tudo bem conservado. Quer mais? A tampa ainda serve como prateleira. Bem pensado, né? Porta tudo Até na porta tem espaço. Quer guardar uma garrafa de 2,5L do seu refrigerante preferido? Cabe. Especificações Técnicas: - Marca: Consul - Modelo: CRC12CBANA - Cor: Branco - Tensão: 110V - Capacidade Total: 117L - Consumo: 19 KWh/mês - Potência: 70W - Frequência: 60Hz - Tipo de degelo do refrigerador: Compacto - Capacidade de armazenagem do refrigerador: 117L - Capacidade de armazenagem do freezer: - - Iluminação Interna: Não possui - Classificação Energética: a - Dimensões (LxAxP): 48,2 x 86,2 x 51,9 cm - Peso: 30kg - Garantia: 12 meses",7891129224063,Frigobar Consul Branco 117L 110V CRC12CBANA,https://www.americanas.com.br/produto/4825196095,frigobar consul branco 117l 110v crc12cbana,americanas,geladeiras,1
"Para praticidade na cozinha, conte com a Geladeira Frost Free Top Freezer 382L com dispenser de água da Electrolux. A Frost Free Top Freezer possui controle de temperatura digital Blue touch externo, design sofisticado e inovador, com o puxador de alumínio ergonômico e degelo automático. A geladeira possui 2 formas de gelo suspensas e turbo congelamento que quando acionado, congela rapidamente os alimentos e os mantém conservados.",7909569244043,Geladeira Frost Free Electrolux Top Freezer 382L com Dispenser de Água (TW42S) 127V,https://www.amazon.com.br/Geladeira-Electrolux-TW42S-Freezer-Dispenser/dp/B083VQT6L9,geladeira frost free electrolux top freezer 382l com dispenser de água (tw42s) 127v,amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7909569244043,Geladeira/Refrigerador Electrolux 382 litros TW42S Inox Top Freezer Com Dispenser de Água 110v,https://www.americanas.com.br/produto/1371035907,geladeira/refrigerador electrolux 382 litros tw42s inox top freezer com dispenser de água 110v,americanas,geladeiras,1
A Geladeira Consul Frost Free 340 litros não precisa descongelar nunca. Possui prateleiras com Altura Flex que permite até 8 níveis de altura e função Turbo. Ahhh! Bem pensado. Imagens meramente ilustrativas. Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.,7891129514232,Geladeira/Refrigerador Consul Duplex Frost Free 340 litros CRM39 Evox 110V,https://www.americanas.com.br/produto/134571811,geladeira/refrigerador consul duplex frost free 340 litros crm39 evox 110v,americanas,"A Geladeira Consul Frost Free 340L é pensada para você que busca praticidade no dia a dia: conta com um espaçoso freezer, compartimento extra frio, gaveta multiuso e controle de temperatura, além é claro de ser Frost Free, que não faz gelo - ou seja, você não precisa descongelar nunca. Benefícios exclusivos: Prateleiras ajustáveis Com o exclusivo sistema de regulagem da Altura Flex, as prateleiras podem ser ajustadas em 8 níveis de altura para acomodar potes, jarras e alimentos de diversos tamanhos. Função turbo Resfrie sua geladeira muito mais rápido. Mais facilidade para quando ela está cheia e para ocasiões especiais. Compartimento extra frio Vai guardar frios, iogurtes e outros alimentos que precisam de temperaturas mais baixas? Aqui eles ficam mais conservados e à vista para você não correr o risco de esquecê-los. Acabamento Evox O Evox proporciona uma dupla proteção ao seu produto. Isso porque, além do benefício do Inox, com o revestimento contra ferrugem e erosão, essa tecnologia possui uma camada de zinco e uma película impermeabilizante sobre o aço que garantem uma maior durabilidade ao produto. As geladeiras Consul ainda contam com 3 anos de garantia contra corrosão na portaCaracterísticas: Display: led Compartimento extra frio: Sim Dispenser de água: Não Número de portas: 2 Capacidade Freezer (l): 72 Controle de temperatura: Sim Marca: Consul Porta ovos: Não Capacidade Geladeira (l): 268 Recipiente para guardar gelo: Não Formato: Duplex Capacidade Total (l): 340 Porta reversível: Não Porta latas: Não Gavetas: 1 gaveta Tipo de degelo: Frost Free Pés niveladores: Sim Eficiência Energética: aConteúdo: 1 Refrigerador Frost Free Duplex 340litros CRM39AKANA ConsulDimensão Aproximada: Altura: 169,5 cm Largura: 62,10 cm Profundidade: 71,4 cm peso: 64,5 KgGarantia: 12 Meses",7891129514232,Refrigerador Frost Free Duplex 340litros CRM39AKANA Consul,https://www.americanas.com.br/produto/4837906955,refrigerador frost free duplex 340litros crm39akana consul,americanas,geladeiras,1
"Principais características: Mini Geladeira Multilaser 6 Litros Branca 12V. Deixe os momentos mais especiais podendo levar contigo para qualquer lugar a mini geladeira Multilaser. A temperatura de resfriamento do produto varia em média 20ºc abaixo da temperatura ambiente. especificações do produto: Alimentação: Com Cabo ac/dc - Trivolt 12V / 110V / 220V Consumo: kw/h – 68 Cor: Branca Capacidade: 6 litros Dimensões: 24 x 20,5 x 28,5 cm Peso: 1.8 Kg imagens meramente ilustrativas",7899838854748,Mini Geladeira Portátil Multilaser Branca 6 Litros Trivolt 12/110/,https://www.americanas.com.br/produto/1621589217,mini geladeira portátil multilaser branca 6 litros trivolt 12/110/,americanas,"O Frigobar Retrô Vermelho Rubi Midea veio para trazer mais estilo aos ambientes. Possui compartimento Beer Storage: espaço perfeito para gelar sua cerveja e outras bebidas. Super econômico, o frigobar proporciona estabilidade para latas e garrafas com suas prateleiras de vidro, termostato e mais espaço, pois comporta garrafa de 2L. Além disso, tem armazenamento inteligente para até 8 latas e gaveta organizadora, para melhor armazenamento dos seus alimentos. O Frigobar Retrô Vermelho Rubi Midea conta com baixo nível de ruídos e gás refrigerante Ecológico R600A, livre de CFC.",7908198003069,"Frigobar Retrô, 95L, Vermelho Rubi, 110V, Midea, MRV10V1",https://www.amazon.com.br/Frigobar-Retr%C3%B4-Vermelho-Midea-MRV10V1/dp/B09FVZBSJW,"frigobar retrô, 95l, vermelho rubi, 110v, midea, mrv10v1",amazon,geladeiras,0
"Tecnologia Smart Cooling: Distribui de maneira uniforme a temperatura em todo o gabinete do refrigerador e freezer, proporcionando a conservação por igual de todos os alimentos.",7891356086892,Refrigerador Philco Side By Side PRF533I 220v,https://www.americanas.com.br/produto/3419495292,refrigerador philco side by side prf533i 220v,americanas,"Refrigerador Philco Side By Side Prf533ipd Eco Inverter 434l 127v O Refrigerador e Freezer Side By Side Philco PRF533IPD Eco Inverter 434L possui design Side By Side, onde refrigerador e freezer estão lado a lado para garantir maior aproveitamento do espaço vertical do refrigerador. Aumentando a eficiência, em conjunto, da tecnologia Smart Colling. Distribuindo de maneira uniforme a temperatura por todo refrigerador e freezer. Sem ter o acúmulo de gelo. Garantindo melhor higiene e conservação dos alimentos. Aliado ao compressor Inverter, que em constante funcionamento evita picos de funcionamento fazendo com que o produto não consuma energia em excesso. Temperaturas que são facilmente configuradas a partir do painel digital. Cujo display, possui diversas funções e configurações para você alterar as preferências tanto do freezer quanto do refrigerador. Garantindo que o Refrigerador e Freezer Side By Side Philco PRF533IPD Eco Inverter 434L sempre atenderá suas necessidades quando precisar. Além de tornar sua cozinha muito mais atraente e completa Característica Capacidade de 434L (289L no refrigerador e 145L no freezer) Classificação A em eficiência energética Sistema de refrigeração Frost Free Side by side (freezer na porta esquerda e refrigerador na porta direita) Dispenser de água na porta com abastecimento manual (3L de capacidade) Painel touch Controle de temperatura do freezer e refrigerador de forma independente Freezer com temperaturas de -14C a -22C Refrigerador com temperaturas de 2 a 8C Funções Smart, Eco, turbo freezer e turbo refrigerador Alarme de porta aberta Iluminação interna LED Porta em aço com tratamento anti-corrosão Prateleiras em vidro temperado Divisão do refrigerador: 4 prateleiras, 2 gavetas, 3 prateleiras de porta e reservatório de água Divisão do freezer: 4 prateleiras, 2 gavetas e 4 prateleiras de porta Dimensão do Produto Largura:91 Cm Altura:177 Cm Profundidade:59 Cm Peso Líquido:80 Kg Especificações Técnicas Funções: Função smart: Produto monitora o uso e temperaturas internas automaticamente e ajusta a programação conforme necessário.função eco: Temperatura ideal para preservar os alimentos em funcionamento tanto do freezer quanto do refrigerador. Funções turbo freezer e turbo refrigerador: Refrigeração acelerada para uso severo. Classificação Energética: a Temperatura Freezer: -14C a -22C Temperatura Refrigerador: 2 A 8C",7891356086892,Refrigerador Philco Side By Side Eco Inverter 434L 127V,https://www.americanas.com.br/produto/4750000712,refrigerador philco side by side eco inverter 434l 127v,americanas,geladeiras,1
"Cooler ideal para deixar ao lado da cama, na sua mesa ou no seu carro, sempre com uma bebida gelada à mão com o cooler elétrico coca-cola. Capacidade 8 latas ou 4 garrafas (500ml). Perfeito também para suco, agua, energéticos e outras bebidas. Bivolt e também em cabo 12v carro e barco (incluso). Produto favorito de fans da marca e colecionadores. Ideal para escritórios, quarto, salas de estar e jogos. Refria até 20⁰c abaixo da temperatura ambiente. Prateleira removível para acomodar garrafas. Design classico coca-cola. Não inclui baterias ou pilhas.",59586600876,"Mini Geladeira Coca Cola Vintage 8 Latas Bivolt, Koolatron, Vermelho",https://www.amazon.com.br/Geladeira-Vintage-Bivolt-Koolatron-Vermelho/dp/B079LZSJ3Y,"mini geladeira coca cola vintage 8 latas bivolt, koolatron, vermelho",amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7896067227015,Geladeira Panasonic Frost Free 435L NR-BT50BD3X Aço Escovado - 220v,https://www.americanas.com.br/produto/1832445491,geladeira panasonic frost free 435l nr-bt50bd3x aço escovado - 220v,americanas,geladeiras,0
"Descrição Geral - A Geladeira Frost Free Duplex Branca 472 Litros TC56 possui alta capacidade e prateleiras reversíveis, tanto no freezer quanto no refrigerador, que permitem que você tenha muito espaço para armazenar e organizar os alimentos da forma que quiser. - Seu super freezer robusto e flexível de 126 litros, acomoda qualquer tipo de alimento e embalagem, sem complicação. - Possui um design único, na cor branca com puxador ergonômico e embutido, a Geladeira TC56 super fácil de limpar. - Possui um compartimento fechado no freezer, que possibilita o congelamento mais rápido dos alimentos. - Além disso, a Geladeira TC56 possui um espaço extra frio reversível no refrigerador, ideal para alimentos frescos que necessitam maior refrigeração e cuidado. - Para garantir uma alimentação saudável, você ainda conta com o Gavetão de frutas, legumes e vegetais que facilita a organização e a visualização dos alimentos. - Super Freezer Robusto e Flexível: Com 126 litros o freezer tem espaço de sobra para armazenar alimentos e diversos tipos de embalagem sem passar aperto. - Design Único: design moderno que combina com a sua cozinha e ainda conta com puxador ergonômico e integrado. - Espaço Freezer Reversível: Compartimento fechado para congelar rapidamente os alimentos e diversos tipos de embalagens. Para maior aproveitamento do compartimento você pode reverter a prateleira conforme a sua necessidade. Características - Cesta porta ovos - Compartimento congelamento rápido - Compartimento extra frio - Degelo automático - Iluminação interna - Pés niveladores - Prateleiras de vidro temperado - Prateleiras na porta - Prateleiras reguláveis - Recipiente para guardar gelo - Rodízios - Prateleiras no freezer - Classificação energética A Dimensões e Peso - Altura: 191,5cm - Largura: 70,3cm - Profundidade: 73,6 cm - Peso: 66,5kg Garantia - 01 ano Importante - As Imagens são meramente ilustrativas. Os demais itens e objetos de decoração não acompanham o produto. - Confira as dimensões deste produto e certifique-se de que passará normalmente por elevadores, portas, escadas e/ou corredores de sua moradia. Bem como sua acomodação. - Em caso de divergência, o preço válido é o do Carrinho de Compras. - Ofertas e condições válidas somente para compras via Internet.",7909569003022,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,https://www.americanas.com.br/produto/1511774868,refrigerador frost free duplex branca 472 litros (tc56) - continental,americanas,"A Geladeira Frost Free Duplex Branca 472 Litros TC56 é a melhor opção para quem precisa de espaço, possui alta capacidade e prateleiras reversíveis, tanto no freezer quanto no refrigerador. Com um super freezer de 126L, acomoda todo tipo de alimento e embalagens com muita facilidade. Possui um design único, na cor branca e com puxador ergonômico fácil de limpar. Além disso, conta com o Espaço Extra Frio Reversível no refrigerador para armazenar alimentos frescos que necessitam maior refrigeração e cuidado, como manteiga e queijos. No freezer possui um compartimento fechado, que permite congelar os alimentos de forma mais rápida. Para manter os alimentos sempre frescos, o gavetão de frutas, legumes e vegetais ajuda na organização e visualização dos alimentos. A Geladeira TC56 oferece todo espaço que você precisa para ter alimentos sempre frescos para sua família.Características: Cesta porta ovos removível Gaveta de legumes e verduras Prateleira no freezer Iluminação em led Prateleira de vidro temperado Capacidade Liq. do congelador 126LDimensões: Altura: 188,2 cm Largura: 70,3 cm Profundidade: 73,6 cm Peso: 58 kgGarantia do fornecedor de 12 meses.",7909569003022,Geladeira Continental TC56 Frost Free 472L,https://www.americanas.com.br/produto/2209533545,geladeira continental tc56 frost free 472l,americanas,geladeiras,1
"Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado Nova era de geladeira Smart com tecnologia Inverter e lg ThinqNature fresh – Seu alimento fresco por mais tempofresh Balancer – Controle ideal de umidadeCompressor Linear Inverter – Maior eficiência e mais silenciosolg Thinq – Controle sua geladeira pelo aplicativo 24 Horas de refrigeração constante: A estabilidade da temperatura é o principal indicador de frescor, O LINEARCooling mantém a flutuação da temperatura dentro de + - 0,5°C Resfriamento até 35% mais rápido e uniforme: O LG DoorCooling + torna a temperatura interna mais uniforme e resfria 35% mais rápido que o sistema de resfriamento convencional. Ele reduz significamente a diferença de temperatura entre a parte interna e do lado do porta compartimento. Divisão inteligente do espaço: Armazene tudo que sua família precisa. Esta moderna geladeira possui freezer na parte de cima e freezer na parte de baixo para melhor ergonomia e praticidade para organizar seus alimentos. fresh Balancer : Manter a umidade das frutas e legumes é fundamental. Por isso, a gaveta fresh balancer vem com uma tecnologia exclusiva da LG que mantém a umidade de frutas e verduras. Ice Maker Twist : Tenha sempre gelo pronto para sua conveniência. Acabamento: Em cada detalhe, tenha um design moderno e diferenciado que vai deixar sua cozinha muito mais sofisticada. Design ergonômico com portas reversíveis e prateleira retrátil : Você pode dobrar a capacidade de armazenamento, garantindo muito mais alimentos para o seu dia a dia, festas e refeições de toda a família. Compressor linear inverter: 10 Anos de garantia a tecnologia do compressor linear inverter uma operação muito mais silenciosa e econômica que o compressores convencionais. Controle rápido e conveniente : Com o LG ThinQ, você pode controlar e diagnosticar sua geladeira pelo smartphone, mesmo quando não estiver em casa. Defina facilmente a temperatura da geladeira, controle o HygieneFresh + e faça o diagnostico dela com um simples toque no seu smartphone.",8806098423927,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V,https://www.americanas.com.br/produto/4955349361,geladeira/refrigerador smart bottom freezer thinq 451 litros lg gc-b659bsb1 aço escovado 220v,americanas,LG ThinQ NatureFresh Fresh Balancer Multi Air Flow Compressor Linear Inverter,8806098423927,Refrigerador LG inverse 451 litros inox GC-B659BSB1 - Aço Escovado - 220 V,https://www.americanas.com.br/produto/4822017792,refrigerador lg inverse 451 litros inox gc-b659bsb1 - aço escovado - 220 v,americanas,geladeiras,1
"Refrigerador 400 Litros Brastemp 2 Portas Frost Free Brm54hb Branco 127v A geladeira Frost Free Brastemp BRM54HBA é uma verdadeira central de diferenciais exclusivos, feitos sob medida para facilitarem a sua vida e deixarem seus alimentos sempre fresquinhos, organizados e prontos para o consumo. Ela é branca, com capacidade total líquida de 400 litros e do tipo Frost Free. Importante ressaltar que dos 400 litros de capacidade, 311 litros são destinados ao refrigerador, enquanto os 89 litros restantes são para o freezer do modelo. Freezer esse que fica posicionado em cima, já que estamos falando de uma geladeira duplex, ou seja, que conta com 2 portas. Outro ponto que merece ser destacado, de início, é a temperatura do congelador, que fica em -18ºC. C Características: Capacidade total líquida: 400 litros Tipo de degelo: Frost Free Método de preparo: 1 Número de portas: 2 Painel de controle: Externo Posição do freezer: Em cima Temperatura do congelador: -18ºC Diferenciais: Painel Eletrônico: A melhor maneira de acionar as funções da sua geladeira. Com o Painel Eletrônico Brastemp, você pode controlar a temperatura do refrigerador, ser avisado quando a porta ficou aberta e escolher modos pré-programados para ativar funções especiais. Freeze Control: Compartimento que permite programar diferentes funções de acordo com a sua necessidade. Conserve carnes por até 5 dias sem congelar* e deixe tanto bebidas como frios e laticínios na temperatura ideal. Twist Ice: Com o Twist Ice, desenforme o gelo facilmente e armazene-o em um recipiente portátil e prático. Espaço Adapt: Prateleiras com múltiplas combinações possíveis para armazenar itens de diversos tamanhos na porta de sua geladeira. Latas e Long Necks: Compartimento especial para gelar rápido suas bebidas. Ele pode ser encaixado tanto no freezer como no refrigerador para gelar a cerveja ou o refrigerante, com um espaço perfeito para 3 garrafas long neck ou 6 latas. Fresh Zone (gavetão de legumes): Suas frutas e verduras organizadas e conservadas por mais tempo com o sistema Fresh Zone. Especificações Refrigerador: Porta-ovos: Sim Porta-latas: Sim Número de porta-ovos: 1 Porta-latas removível: Sim Porta-ovos removível: Sim Separador de garrafas: Sim Quantidade do porta-ovos: 12 ovos Porta-garrafas: Sim Porta-garrafas removível: Sim Compartimento extra frio: Sim Filtro desodorizador: Não Filtro antibactérias: Não Especificações Freezer: Número de formas de gelo: 2 Função Turbo Freezer: Geral Quantidade de cubos por forma de gelo: 12 Ice Maker: Não Compartimento de congelamento rápido: Sim Compartimento para gelo: Sim Suporte para taças: Não Dreno de degelo: Sim Especificações de Controle e Segurança: Painel de controle: Externo Tipo de controle do painel: Touch Tipo de display: led Controle de temperatura no refrigerador: Sim Número de níveis de temperatura do refrigerador: 5 Função trava painel: Sim Controle de temperatura no freezer: Não Aviso de porta aberta: Sim Aviso de troca de filtro: Não Número de níveis de temperatura do freezer: 0 Aviso de falhas no sistema: Não Ajustes: Porta reversível: Não Pés: Sim Pés com rodízios: Sim Pés ajustáveis: Sim Dimensões: Altura: 185 cm Largura: 62 cm Profundidade: 75,5 cm Peso: 66 kg Garantia do fornecedor de 12 meses. Cor: Cor Voltagem: Voltagem",7891129252820,Refrigerador 400 L Brastemp 2 Portas Frost Free Branco 127v,https://www.americanas.com.br/produto/4898321037,refrigerador 400 l brastemp 2 portas frost free branco 127v,americanas,"Descrição Geral - A Geladeira Frost Free Duplex Branca 472 Litros TC56 possui alta capacidade e prateleiras reversíveis, tanto no freezer quanto no refrigerador, que permitem que você tenha muito espaço para armazenar e organizar os alimentos da forma que quiser. - Seu super freezer robusto e flexível de 126 litros, acomoda qualquer tipo de alimento e embalagem, sem complicação. - Possui um design único, na cor branca com puxador ergonômico e embutido, a Geladeira TC56 super fácil de limpar. - Possui um compartimento fechado no freezer, que possibilita o congelamento mais rápido dos alimentos. - Além disso, a Geladeira TC56 possui um espaço extra frio reversível no refrigerador, ideal para alimentos frescos que necessitam maior refrigeração e cuidado. - Para garantir uma alimentação saudável, você ainda conta com o Gavetão de frutas, legumes e vegetais que facilita a organização e a visualização dos alimentos. - Super Freezer Robusto e Flexível: Com 126 litros o freezer tem espaço de sobra para armazenar alimentos e diversos tipos de embalagem sem passar aperto. - Design Único: design moderno que combina com a sua cozinha e ainda conta com puxador ergonômico e integrado. - Espaço Freezer Reversível: Compartimento fechado para congelar rapidamente os alimentos e diversos tipos de embalagens. Para maior aproveitamento do compartimento você pode reverter a prateleira conforme a sua necessidade. Características - Cesta porta ovos - Compartimento congelamento rápido - Compartimento extra frio - Degelo automático - Iluminação interna - Pés niveladores - Prateleiras de vidro temperado - Prateleiras na porta - Prateleiras reguláveis - Recipiente para guardar gelo - Rodízios - Prateleiras no freezer - Classificação energética A Dimensões e Peso - Altura: 191,5cm - Largura: 70,3cm - Profundidade: 73,6 cm - Peso: 66,5kg Garantia - 01 ano Importante - As Imagens são meramente ilustrativas. Os demais itens e objetos de decoração não acompanham o produto. - Confira as dimensões deste produto e certifique-se de que passará normalmente por elevadores, portas, escadas e/ou corredores de sua moradia. Bem como sua acomodação. - Em caso de divergência, o preço válido é o do Carrinho de Compras. - Ofertas e condições válidas somente para compras via Internet.",7909569003022,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,https://www.americanas.com.br/produto/1511774868,refrigerador frost free duplex branca 472 litros (tc56) - continental,americanas,geladeiras,0
"Características do Produto Tipo: Refrigerador Controlador de Temperatura: Mecânico, Regulável 0°C a 5°C Iluminação Interna: Sim Porta: Metal com Isolamento Térmico Puxador da Porta: Plástico Abertura da Porta: Da Esquerda para Direita* Trava de Abastecimento: Não Degelo: Manual Dreno: Não Recipiente de Degelo: Não Prateleiras: 2 Fixas Evaporador: Não Sistema de Refrigeração: Compressor Gás Refrigerante: R134a Pés: Frontais Reguláveis e Traseiros com Rolete Gabinete Interno: psai Gabinete Externo: Aço Revestido com Pintura Eletrostática Capacidade de Armazenamento: 70L Refrigerador e 12L Congelador Marca: Venax Especificações Técnicas Tensão: 12/24V – Com Chave Seletora Frequência: 60Hz Isolamento Térmico: Poliuretano Etiquetas: Inmetro Garantia: 1 Ano Potência e Corrente do Aparelho em 12V: 42W/3,5 a Potência e Corrente do Aparelho em 24V: 24W/1,0 a Volume Líquido: 82 L",7899552144361,Refrigerador ngv 10 amarelo 12/24 V,https://www.americanas.com.br/produto/3652278577,refrigerador ngv 10 amarelo 12/24 v,americanas,"Características do ProdutoTipo: RefrigeradorControlador de Temperatura: Mecânico, Regulável 0°C a 5°CIluminação Interna: SimPorta: Metal com Isolamento TérmicoPuxador da Porta: PlásticoAbertura da Porta: Da Esquerda para Direita*Trava de Abastecimento: NãoDegelo: ManualDreno: NãoRecipiente de Degelo: NãoPrateleiras: 2 FixasEvaporador: NãoSistema de Refrigeração: CompressorGás Refrigerante: R134aPés: Frontais Reguláveis e Traseiros com RoleteGabinete Interno: PSAIGabinete Externo: Aço Revestido com Pintura EletrostáticaCapacidade de Armazenamento: 70L Refrigerador e 12L CongeladorMarca: VenaxEspecificações TécnicasTensão: 12/24V – Com Chave SeletoraFrequência: 60HzIsolamento Térmico: PoliuretanoEtiquetas: InmetroGarantia: 1 AnoPotência e Corrente do Aparelho em 12V: 42W/3,5 APotência e Corrente do Aparelho em 24V: 24W/1,0 AVolume Líquido: 82 L",7899552144361,Refrigerador Ngv 10 Amarelo 12/24 V,https://www.americanas.com.br/produto/2986950255,refrigerador ngv 10 amarelo 12/24 v,americanas,geladeiras,1
