,descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,match
694,Recurso: ,7593559123212,"Limitador de janela de batente, limitador de janela de janela infantil aço inoxidável para janela externa para janela interna para janela",https://www.amazon.com.br/Limitador-batente-limitador-infantil-inoxid%C3%A1vel/dp/B09T6VMKVJ,"limitador de janela de batente, limitador de janela de janela infantil aço inoxidável para janela externa para janela interna para janela",amazon,"A S U S preto, Intel i5-1035G1 1GHz, 8GB DDR4,512GB PCIe SSD, 15,6IN (1920 x 1080), Intel UH P1510CJA-C51P",192876824733,"USAPRO ASUS Preto, Intel i5-1035G1 1GHz,8GB DDR4,512GB PCIe SSD,15,6IN (1920 x 1080), Intel UH P1510CJA-C51P",https://www.amazon.com.br/USAPRO-ASUS-Preto-i5-1035G1-P1510CJA-C51P/dp/B08JWYXTCL,"usapro asus preto, intel i5-1035g1 1ghz,8gb ddr4,512gb pcie ssd,15,6in (1920 x 1080), intel uh p1510cja-c51p",amazon,0
665,"Tem toda qualidade e funcionalidade que você precisa no seu dia a dia! Características: Conectividade: Bluetooth, Wi-Fi, usb, hdmi Entrada P2 para microfone: Sim (Combo com Saída para Fone-de-Ouvido) Entrada/Saída P2 para microfone/fone de ouvido: Sim (Combo com Entrada para Microfone) Quantidade de entradas USB 2.0: 1 Quantidade de entradas USB 3.0: 1 Saída P2 para fone de ouvido: Sim (Combo com Entrada para Microfone) Saída vga: Não Entrada lan (RJ45): 1 Placa wireless 802.11:802.11ac Saída hdmi: Sim Tipo de conector: hdmi, usb, RJ45 Modelo: NP550XDA-KV2BR Linha: Samsung Book Memória ram: 4 gb Quantidade de slots: 1 slot m.2 (livre) / 1 baia 2.5 (ocupada) Velocidade da memória: 2666MHz Barramento da memória: DDR4 Cache do processador: 6MB Drive óptico: Não Formato da tela: Full HD led Frequência: 60Hz Armazenamento: 1 tb Leitor de cartões: Micro sd Memória Expansível Até: 32Gb Mouse: Não Placa de áudio: HD (High Definition) Audio Placa de rede lan: Gigabit Ethernet Placa mãe: Samsung Processador: Intel Core i3 Resolução da tela: Full HD 1920 x 1080 Resolução da webcam: vga Sistema operacional: Windows 11 Tamanho da Tela: 15.6 Pol Teclado: Português-BR Tecnologia de áudio: 3W Estéreo (1.5W x 2) Modelo da Placa de Vídeo: Intel HD Graphics Velocidade de rotação do hd: 5400 Chipset: Integrado (Intel) Interface do hd: Sata iii Modelo da placa de vídeo: Intel uhd Graphics Modelo do processador: Intel Core? i3-1115G4 Velocidade do processador: 3.0 GHz up to 4.10 GHz Itens Inclusos: 1 computador portátil 1 fonte adaptadora Guias de usuário Certificado de garantia Observações: Imagem meramente ilustrativa; Verifique a voltagem do produto antes de colocar no carrinho; Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor; As cores podem sofrer variações de acordo com o tipo, configuração e resolução do seu monitor; Não nos responsabilizamos pela montagem/instalação dos produtos; Garantia do Fornecedor: 12 meses",7892509120876,Notebook Intel Core i3-1115G4 Windows 10 ram 4GB 1TB Tela 15.6 NP550XDA-KV2BR Samsung,https://www.americanas.com.br/produto/4856318180,notebook intel core i3-1115g4 windows 10 ram 4gb 1tb tela 15.6 np550xda-kv2br samsung,americanas,"NOTEBOOK SAMSUNG BOOK I3-1115G4 W11 4GB 1TB HD 15.6"" NP550XDA Design e tecnologia na medida certa! O Notebook Samsung Book, tem um design incrível e moderno, além de ser compacto, facilitando o transporte em qualquer momento. Confira: Tarefas simples e complexas O processador Intel Core i3-1115G4 juntamente com 4GB de Memória RAM, vai garantir um ótimo desempenho para que você execute suas tarefas, desde a mais simples, até trabalhos mais pesados. Tela de tirar o fôlego Com uma Tela de 15.6"" Full HD LED Antirreflexiva sua experiência de visão vai longe. Mais qualidade, riqueza nos detalhes, vídeos com mais cores, brilho e contraste. Veja e seja visto Ainda sim, esse Notebook possui Áudio HD High Definition, Microfone e Webcam Integrados, facilitando sua comunicação. Assim você pode fazer vídeo chamadas, participar de reuniões online, com facilidade praticidade e muita qualidade. Samsung Flow E tem mais! Com essa função, você pode conectar seu smartphone diretamente na tela do computador, oferecendo maior visibilidade e flexibilidade para responder suas mensagens, trabalhar e muito mais! Tudo isso sem precisar pegar no aparelho. Sobre a marca: Pensou em Tecnologia, Pensou em Samsung! Reconhecidamente uma das empresas mais inovadoras no cenário mundial, hoje também faz parte do ranking das 10 maiores e mais admiradas empresas do mundo. A Samsung tem levado muito a sério seu lema principal, CRIAR O FUTURO, aliás é muito mais que isso, é uma ideologia, por isso, sempre está na vanguarda tecnológica em diversos segmentos, mas principalmente em eletroeletrônicos. É dela os principais lançamentos do mercado dos últimos anos. Novos conceitos em Smartphones, TVs QLED e MicroLED, tecnologia 8K e 5G, processadores, semi condutores, inteligência artificial são algumas das várias inovações dessa empresa que acredita na transformação digital em benefício do ser humano.",7892509120876,"SAMSUNG Notebook Intel Core i3-1115G4 4GB 1TB W11 15,6"" NP550XDA-KV2BR - Branco",https://www.amazon.com.br/SAMSUNG-Notebook-Intel-i3-1115G4-NP550XDA-KV2BR/dp/B09RTGS1QY,"samsung notebook intel core i3-1115g4 4gb 1tb w11 15,6"" np550xda-kv2br - branco",amazon,1
63,"Na vida, o ideal é encontrar o equilíbrio certo e o novo Notebook asus E410 oferece exatamente isso. Leve e compacto, ele apresenta um novo visual elegante que se adapta perfeitamente ao estilo de vida dinâmico. Projetado para ser produtivo no trabalho e nas tarefas do dia a dia, o Notebook asus E410 possui recursos inovadores e oferece tudo que você precisa para trabalhar ou se divertir. Com apenas 1,3kg, o asus E410 é compacto e leve, mantendo a produtividade sempre ao seu alcance. Ele cabe facilmente em sua mochila ou bolsa para que você possa fazer seus trabalhos ou criar conteúdo onde quer que esteja. Além do visual arrojado, composto pela tecla Enter em destaque com contorno amarelo vibrante, o estilo jovem é complementado pelo logo da asus desconstruído ( exceto na cor Star Black), formando um padrão singular. Para acabar com a monotonia, o notebook asus E410 traz as cores Peacock Blue, Dream White e Star Black que parecem mudar de cor quando vistos de ângulos diferentes e a elegante cor Rose Gold. Já que é um notebook para ter sempre com você, a bateria oferece longa duração de um dia¹, para trabalhar ou se divertir em qualquer lugar. Com o asus E410, você pode deixar o adaptador de energia em casa. A inovadora tela NanoEdge de bordas ultrafinas oferece mais espaço útil para uma visualização envolvente, além de permitir que uma tela maior se encaixe em um chassi menor, e por isso, o asus E410 é um notebook incrivelmente compacto. Compartilhar o conteúdo do seu notebook nunca foi tão fácil! O Notebook asus E410 possui uma dobradiça plana de 180° projetada para facilitar a visualização e compartilhamento de conteúdo ou o trabalho colaborativo com seus amigos. Criado para impulsionar a sua produtividade, o teclado tem tamanho completo com grande distanciamento das teclas, garantindo conforto e precisão, e um touchpad multitoque de 4,7 polegadas, com tecnologia de rejeição à palma da mão (sistema inteligente identifica quando o usuário encosta a palma da mão acidentalmente enquanto está digitando, evitando assim, erros e cliques indesejados) e suporte para uso de NumberPad, para oferecer um controle suave e fluido. E diferente de muitos, o Notebook asus E410 é totalmente silencioso, pois foi projetado sem ventoinhas. O design sem ventoinha mantém os níveis de ruído baixos, para que você não se distraia ao trabalhar ou se divertir, até mesmo no silêncio da madrugada. E no coração do desempenho do asus E410 está o processador Intel Celeron N4020, além de 4 gb de memória ram DDR4 e 128 gb de armazenamento rápido SSD². Com total interação e fluidez, o asus E410 vem embarcado com sistema operacional Windows 11 Pro. O asus E410 também está equipado com o software MyASUS, que oferece uma maneira fácil de acessar os aplicativos asus, que te ajudam a aproveitar melhor os recursos de seu notebook. Com ele, você pode realizar múltiplas tarefas ao conectar o seu smartphone com seu notebook, além de otimizar seu desempenho. Novo Notebook asus E410, movimente-se com estilo.",7898573298282,Notebook asus E410MA-BV1870X Intel Celeron Dual Core N4020 4GB 128GB ssd W11 14 Peacock Blue,https://www.americanas.com.br/produto/4773933451,notebook asus e410ma-bv1870x intel celeron dual core n4020 4gb 128gb ssd w11 14 peacock blue,americanas,"""Lenovo IdeaPad 3i possui design leve e compacto. Faça vídeo-conferências em alta-definição com a câmera HD-720p. Sua privacidade pessoal é muito importante. é por isso que o IdeaPad 3i está equipado com porta de privacidade da webcam. Quando não estiver em uma chamada de vídeo ou gravando algo, basta deslizá-la. Conta com armazenamento ssd PCIe, que é 10x mais rápido* que um hdd 2.5 sata, você terá mais segurança ao armazenar seus dados. Com tela Full HD antirreflexo de 15.6"""" para maior conforto visual. Notebook ideal para todos os momentos. Conta com Wi-Fi ac ultrarrápido e teclado numérico para trabalhar com mais agilidade nas suas planilhas. Nitidez e alta qualidade de som com certificação Dolby Audio. *Com base na velocidade de leitura dos dados obtidos através de spec de dados de leitura mb/s. "" Teclado Padrão br Numérico Touchpad teclado retroiluminado Softwares inclusos Lenovo Vantage Bateria 3 células 52.5Wh Alimentação Bivolt Conteúdo da Embalagem 1 Notebook 1 manual e 1 fonte de energia Dimensões (AxLxP) 17,9 x 321,5 x 217,5 (mm) Peso Líquido 1.7kg Referência do Modelo 82LT0006BR Código de Barras 0196119551660 Mais Informações Imagens meramentes ilustrativas Cor Grafite Foramato da Tela 16:9 widescreen Diferenciais Privacidade Webcam Leitor de Impressão Digital Polegadas da Tela 14"" Resolução da Tela Full HD wva (1920 x 1080) Sistema Operacional Windows 11 Processador Intel Core i7 11ª geração Modelo do Processador i7-1165G7 Cache 12MB Chipset Integrado Memória ram 8GB Detalhe Memória ram 8GB soldado DDR4 3200MHz Tamanho do ssd 256GB ssd Conexões 2x USB 3.1 tipo A 1x USB tipo C 3.0 1x hdmi Porta combo para headset/headphone Placa de Som Alto-falantes com certificação Dolby Audio(2 x 2W) Placa de Vídeo Placa de Vídeo Intel Iris Xe Placa de Rede WiFi 2x2 ac Garantia do Fornecedor 12 Meses Leitor de Cartão Não tem Bluetooth Bluetooth 5.2",196119551660,Notebook Lenovo IdeaPad Flex 5i i7-1165G7 8GB 256GB ssd W11 14 fhd Intel Iris Xe,https://www.americanas.com.br/produto/4207755582,notebook lenovo ideapad flex 5i i7-1165g7 8gb 256gb ssd w11 14 fhd intel iris xe,americanas,0
533,"Lenovo IdeaPad 3i possui design leve e compacto. Com tela antirreflexo de 15.6"" para mais conforto visual. Notebook ideal para todos os momentos. Do desempenho e entretenimento com placa de vídeo NVIDIA GeForce MX330 com 2GB GDDR5 dedicados. Conta com WiFi AC ultrarrápido e teclado numérico para trabalhar com mais agilidade nas suas planilhas. O armazenamento SSD PCIe é 10x mais rápido que um HDD 2.5” SATA, você terá mais segurança ao armazenar seus dados. Nitidez e alta qualidade de som com certificação Dolby Audio. Sua privacidade pessoal é muito importante. É por isso que o IdeaPad 3i está equipado com porta de privacidade da webcam. Quando não estiver em uma chamada de vídeo ou gravando algo, basta deslizá la. Faça vídeo conferências em alta definição com a câmera HD 720p. Com base na velocidade de leitura dos dados obtidos através de spec de dados de leitura mb/s",196119802939,"Notebook Lenovo IdeaPad 3i i5 8GB 256 GB SSD Placa MX330 W11, Prata, 82BS000KBR",https://www.amazon.com.br/Notebook-Lenovo-IdeaPad-Placa-82BS000KBR/dp/B09M64C3B1,"notebook lenovo ideapad 3i i5 8gb 256 gb ssd placa mx330 w11, prata, 82bs000kbr",amazon,Características: ,7320396224822,Bloco de porca para parafuso T8 parafuso de chumbo pode ser reutilizado longa vida útil assento de porca pom excelente qualidade para casa,https://www.amazon.com.br/parafuso-reutilizado-assento-excelente-qualidade/dp/B09SL1R1P2,bloco de porca para parafuso t8 parafuso de chumbo pode ser reutilizado longa vida útil assento de porca pom excelente qualidade para casa,amazon,0
66,"Design leve, produto compacto O vaio FE14 possui uma tela fhd de alta resolução com moldura reduzida, ou seja, reduzimos o tamanho das bordas laterais produto mantendo a tela de 14 polegadas. usabilidade, ergonomia para digitar Ergonomia para digitar com linhas delicadas e um teclado silencioso O som que vai surpreender você Um conjunto de dois alto-falantes com 4W de potência (2W + 2W) de alta qualidade é alimentada por um amplificador inteligente de dois canais para fornecer o verdadeiro som que o envolve com realismo livre de distorções e com qualidade de cinema. teclado tilt com resistência A água Com a tela aberta, o vaio forma um ângulo de inclinação natural com a mesa, reduzindo o estresse na palma da mão e no pulso durante a digitação. mobilidade sem limites Mais fino (apenas 19,8 mm de espessura). Mais leve, o vaio FE14 possui apenas 1,55 kg, Wi-Fi 802.11 ac dual-band (mais confiável e 3 vezes mais rápido do que o 802.11n). autonomia para um dia todo de trabalho Um notebook tão bonito e potente como o vaio FE14 merece nada menos do que uma bateria que dure o dia todo, então, de modo a alcançar sua notável autonomia de até 7 horas, nós projetamos uma bateria especial de polímero de lítio 37Wh de alta capacidade.",7896904665208,Notebook vaio FE14 Intel Core i3 Linux 4GB 128GB ssd Full HD - Branco,https://www.americanas.com.br/produto/5022542880,notebook vaio fe14 intel core i3 linux 4gb 128gb ssd full hd - branco,americanas,"DESIGN LEVE, PRODUTO COMPACTO O VAIO FE14 possui uma tela FHD de alta resolução com moldura reduzida, ou seja, reduzimos o tamanho das bordas laterais produto mantendo a tela de 14 polegadas. USABILIDADE, ERGONOMIA PARA DIGITAR Ergonomia para digitar com linhas delicadas e um teclado silencioso O SOM QUE VAI SURPREENDER VOCÊ Um conjunto de dois alto-falantes com 4W de potência (2W+2W) de alta qualidade é alimentada por um amplificador inteligente de dois canais para fornecer o verdadeiro som que o envolve com realismo livre de distorções e com qualidade de cinema. TECLADO TILT COM RESISTÊNCIA A ÁGUA Com a tela aberta, o VAIO forma um ângulo de inclinação natural com a mesa, reduzindo o estresse na palma da mão e no pulso durante a digitação. MOBILIDADE SEM LIMITES Mais fino (apenas 19,8 mm de espessura). Mais leve, o VAIO FE14 possui apenas 1,55 kg, Wi-Fi 802.11 ac dual-band (mais confiável e 3 vezes mais rápido do que o 802.11n). AUTONOMIA PARA UM DIA TODO DE TRABALHO Um notebook tão bonito e potente como o VAIO FE14 merece nada menos do que uma bateria que dure o dia todo, então, de modo a alcançar sua notável autonomia de até 7 horas, nós projetamos uma bateria especial de polímero de lítio 37Wh de alta capacidade. DESIGN LEVE, PRODUTO COMPACTO O VAIO FE14 possui uma tela FHD de alta resolução com moldura reduzida, ou seja, reduzimos o tamanho das bordas laterais produto mantendo a tela de 14 polegadas.",7896904665208,Notebook VAIO® FE14 Intel® Core™ i3 Linux 4GB 128GB SSD Full HD - Branco,https://www.amazon.com.br/Notebook-VAIO%C2%AE-Intel%C2%AE-CoreTM-Linux/dp/B09JHNS4YC,notebook vaio® fe14 intel® core™ i3 linux 4gb 128gb ssd full hd - branco,amazon,1
621,"Notebook A315-56-569F Intel Core I5-1035G1 ssd 256GB Endless os Acer Indicado para atividades mais básicas como tarefas cotidianas, aulas online, internet e estudo, e também pode servir para atividades empresariais. As bordas que emolduram a tela se destacam, pois são bem finas e deixam o aparelho com um visual moderno, além de contribuírem para o tamanho compacto! Marca: Acer Modelo: A315-56-569F Sistema Operacional: Endless os Armazenamento: 256GB ssd PCIe NVMe 3x2 M2280 Rede: Wireless 802.11ac Processador: Intel Core i5 1035G1 Quad Core Frequência: 1.00GHz até 3.60GHz 6MB Intel Smart Cache Memória: 4GB (1x4GB Soldada) ram DRR4 Expansível até 20 gb (1 slot livre no total) Upgrade: De até 512GB PCIe NVMe Gen. 3x2 para o ssd De até 2TB sata 3 para o hdd Para mais informações 0800-762-2237 Tela: 15.6 Polegadas HD (1366 x 768) Acer ComfyView Placa Gráfica: Intel uhd Graphics com memória Compartilhada com a memória ram Teclado: Português do Brasil no padrão abnt 2 Teclado numérico dedicado Conteúdo da embalagem: 1 Notebook Acer Aspire 3, 1 Fonte carregadora do notebook, 1 Manual em português Observação: Este produto não possui leitor de cd/dvd gpu e cpu são soldadas na máquina. Garantia do Fornecedor: 12 meses",4710886059059,Notebook A315-56-569F Intel Core I5-1035G1 ssd 256GB Endless os Acer,https://www.americanas.com.br/produto/4013624445,notebook a315-56-569f intel core i5-1035g1 ssd 256gb endless os acer,americanas,"Notebook Acer Aspire 3 A315-56-569F, 15,6"" Intel Core i5-1035G1, 4GB, 256GB ssd - Endless OSDesenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida. Equipado com o processador Intel i5 estudar, trabalhar e se divertir ficam mais fácil. Com ssd 256 gb, você pode ler e gravar arquivos muito mais rápido do que em um HD tradicional. Após pouco segundos da inicialização do sistema operacional, você já tem acesso completo as funcionalidades do seu notebook. Este modelo possui capacidade para a instalação e melhorias de hdd e ssd. Equipado com o sistema operacional Endless os, baseado em Linux, você tem tudo o que você precisa de forma simples e intuitiva. Mesmo se não tiver experiência alguma com computadores, é tão fácil quanto usar um smartphone. Quando conectado, o Endless os permite que você navegue e se comunique com seus amigos sempre com muita segurança, já que o sistema é resistente a vírus. O Endless os já vem equipado com mais de 100 aplicativos que podem ser usados sem acesso à internet. Dessa forma mantemos grande parte da utilidade e versatilidade do Aspire 3, mesmo estando off-line. Isso foi pensado para locais que possuem pouco acesso à conectividade. Especificações Técnicas: Características: Marca: AcerModelo: A315-56-569F Especificações: Processador: - Intel Core i5 – 1035G1- Quad Core- Frequência: 1.00GHz até 3.60GHz- 6MB Intel Smart Cache Memória: - 4GB (1x4GB Soldada) ram DRR4- Expansível até 20 gb (1 slot livre no total) Sistema Operacional: - Endless os Armazenamento: - 256GB ssd PCIe NVMe 3x2 M2280 Upgrade: - De até 512GB PCIe NVMe Gen. 3x2 para o ssd- De até 2TB sata 3 para o hdd- Para mais informações 0800-762-2237 Tela: - 15.6 HD (1366 x 768)- Acer ComfyView Placa Gráfica: - Intel uhd Graphics com memória- Compartilhada com a memória ram Teclado: - Português do Brasil no padrão abnt 2- Teclado numérico dedicado Rede: - Wireless 802.11ac Observação: - Este produto não possui leitor de cd/dvd- gpu e cpu são soldadas na máquina. Itens Inclusos: 1 Notebook Acer Aspire 31 Fonte carregadora do notebook1 Manual em português Garantia: Garantia 1 ano Acer.Descrição Notebook Acer Aspire 3 A315-56-569F, 15,6"" Intel Core i5-1035G1, 4GB, 256GB ssd - Endless OSDesenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida. Equipado com o processador Intel i5 estudar, trabalhar e se divertir ficam mais fácil. Com ssd 256 gb, você pode ler e gravar arquivos muito mais rápido do que em um HD tradicional. Após pouco segundos da inicialização do sistema operacional, você já tem acesso completo as funcionalidades do seu notebook. Este modelo possui capacidade para a instalação e melhorias de hdd e ssd. Equipado com o sistema operacional Endless os, baseado em Linux, você tem tudo o que você precisa de forma simples e intuitiva. Mesmo se não tiver experiência alguma com computadores, é tão fácil quanto usar um smartphone. Quando conectado, o Endless os permite que você navegue e se comunique com seus amigos sempre com muita segurança, já que o sistema é resistente a vírus. O Endless os já vem equipado com mais de 100 aplicativos que podem ser usados sem acesso à internet. Dessa forma mantemos grande parte da utilidade e versatilidade do Aspire 3, mesmo estando off-line. Isso foi pensado para locais que possuem pouco acesso à conectividade. Especificações Técnicas: Características: Marca: AcerModelo: A315-56-569F Especificações: Processador: - Intel Core i5 – 1035G1- Quad Core- Frequência: 1.00GHz até 3.60GHz- 6MB Intel Smart Cache Memória: - 4GB (1x4GB Soldada) ram DRR4- Expansível até 20 gb (1 slot livre no total) Sistema Operacional: - Endless os Armazenamento: - 256GB ssd PCIe NVMe 3x2 M2280 Upgrade: - De até 512GB PCIe NVMe Gen. 3x2 para o ssd- De até 2TB sata 3 para o hdd- Para mais informações 0800-762-2237 Tela: -",4710886059059,"Notebook Acer Aspire 3 A315-56-569F, 15,6 Intel Core i5-1035G1, 4GB, 256GB ssd - Endless os",https://www.americanas.com.br/produto/3018487988,"notebook acer aspire 3 a315-56-569f, 15,6 intel core i5-1035g1, 4gb, 256gb ssd - endless os",americanas,1
346,,192876099223,"ASUS 14"" FHD Chromebook Laptop, processador Intel Celeron N3350, 4 GB LPDDR4 RAM, 32 GB SSD + 64 GB de armazenamento externo, Webcam, teclado Chiclet, WiFi + Bluetooth, HDMI, Chrome OS",https://www.amazon.com.br/ASUS-Chromebook-processador-armazenamento-Bluetooth/dp/B07HS2RCKG,"asus 14"" fhd chromebook laptop, processador intel celeron n3350, 4 gb lpddr4 ram, 32 gb ssd + 64 gb de armazenamento externo, webcam, teclado chiclet, wifi + bluetooth, hdmi, chrome os",amazon,Desafie os limites,7899864941320,"Notebook Dell Alienware m15 R6 AW15-i1100-M30P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3070 Win 11",https://www.amazon.com.br/Notebook-Dell-Alienware-AW15-i1100-M30P-Intel/dp/B09HJMSQ4X,"notebook dell alienware m15 r6 aw15-i1100-m30p 15.6"" fhd 11ª ger intel core i7 16gb 1tb ssd rtx 3070 win 11",amazon,0
490,"Muito mais do que um simples notebook, o Notebook Lenovo Ideapad S145 possui um design de tirar o fôlego, super moderno e prático, além de conter o processador amd Ryzen, com o melhor desempenho da categoria. Sua tela possui sistema antirreflexo e é todo pensado para que você possa trabalhar, estudar ou se divertir com todo o conforto que merece e precisa. Com abertura em até 180° e um teclado ergométrico, você terá mais rapidez e agilidade na digitação. E claro, para as demandas do dia a dia, você precisa de um espaço de armazenamento apropriado. O Notebook Lenovo Ideapad S145 conta com 8GB de memória, expansível em até 20GB, além de conter bateria com 2 células de 30Wh. Não perca! Adquira com a taQi o seu novo notebook, com condições de pagamento excelentes e todo o suporte necessário para suas dúvidas!Características Marca: Lenovo; Modelo: S145 Ref.: 81V70008BR; Cor: Prata; Sistema Operacional: Windows 10; Processador: amd Ryzen 5 / 8 Threads / 2.10GHZ Memória ram: 8 gb; Armazenamento: 1TB 5400 rpm; Expansível até 20GB (4GB soldado + 16GB slot DDR4 2666MHz); Placa de vídeo: amd Radeon integradoTela Tamanho: 15.6"" polegadas Resolução da Tela: HD tn Formato de Tela: 16:9 widescreen Resolução: HD (1366 x 768) Antirreflexo Brilho da Tela: 220 nits Abertura da Tela: 180 grausTecnologia Bluetooth 4.2 Câmera: 0.3 mp (vga) TouchpadConexões WiFi 1x1 ac Microfone: 1 02 USB 3.1 01 USB 2.0 01 hdmi Leitor de Cartões 4 em 1 (sd, sdhc, sdxc, mmc)Dispositivos Alto falantes com certificação Dolby Audio (2 x 1.5W) Softwares: Lenovo Vantage, Dolby Audio, Lenovo App Explorer, Lenovo idAlimentação Carregador Bivolt Bateria Removível: Não Bateria: 2 células 30Wh Adaptador ac: 65WItens Inclusos 01 Notebook 01 Cabo de alimentaçãoDimensões Tamanho do Produto (AxLxP): 19,9 x 36,22 x 25,15 cm Peso: 1,85 kg Tamanho da Embalagem (AxLxP): 33,3 x 9,9 x 44,4 cm Peso da Embalagem: 2,5 KgGarantia: 12 meses",195042511352,"Notebook Lenovo Ideapad S145, 15.6, amd Ryzen 5, 8GB, Windows 10",https://www.americanas.com.br/produto/4175325966,"notebook lenovo ideapad s145, 15.6, amd ryzen 5, 8gb, windows 10",americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,4710886643708,"Notebook Acer Aspire 5 Intel Core i5-10210U 8GB 256GB SSD W10 15,6'' IPS FHD Preto A515-54-53VN",https://www.americanas.com.br/produto/3735745003,"notebook acer aspire 5 intel core i5-10210u 8gb 256gb ssd w10 15,6'' ips fhd preto a515-54-53vn",americanas,0
645,Especificação: ,805384099103,"Miaoqian Laptop de escritório portátil de 15,6 polegadas com processador Intel Celeron J4125 8 GB + 512 GB de memória 1920 * 1080 IPS Screen Plug EU",https://www.amazon.com.br/Miaoqian-escrit%C3%B3rio-port%C3%A1til-polegadas-processador/dp/B09C8HFWRC,"miaoqian laptop de escritório portátil de 15,6 polegadas com processador intel celeron j4125 8 gb + 512 gb de memória 1920 * 1080 ips screen plug eu",amazon,"PROCESSADOR - Intel Core i5-5257U (Cachede3M,3.10GHz); SISTEMA OPERACIONAL - Windows 10 Home; TELA - 15,6 ""Resolução 1920 x 1080 Full HD; RAM - 8GB LPDDR3; ARMAZENAMENTO - 240GB SSD; PLACADEVÍDEO - Intel Iris Graphics 6100; PORTAS ""2 x USB 3.0; 1 x mini SD; 1 x Audio Combo; 1 x HDMI; 1 x RJ45; 1 x DC; Kensington Lock; CONEXÃO - Gigabit Ethernet Network Connection; Rede sem fio Dual Band IEEE 802.11ac; Bluetooth4.0; 0,3MP; TECLADO - Padrão ABNT2 com tecla de atalho NETFLIX; BATERIA - 4700mAh.",7908414422193,"Notebook Ultra 15"" Intel Core i5 8GB 240GB SSD Windows 10, UB522, Prata",https://www.amazon.com.br/Notebook-Ultra-Intel-Windows-UB522/dp/B093TFT71T,"notebook ultra 15"" intel core i5 8gb 240gb ssd windows 10, ub522, prata",amazon,0
456,"TF vende computadores com configurações atualizadas. Se o computador tiver modificações (listadas acima), a caixa do fabricante é aberta para que ele seja testado e inspecionado e para instalar as atualizações para alcançar as especificações conforme anunciado. ",192876244821,"Novo laptop para jogos ASUS TUF de alto desempenho 2022: tela IPS FHD 15,6"" 144Hz, AMD Gaming 8-Core Ryzen 7-4800H, 64GB RAM, 1TB SSD, 4GB GeForce RTX 3050, WiFi-6, Backlit-KYB, DTS, Win10H, T.F",https://www.amazon.com.br/laptop-jogos-ASUS-TUF-desempenho/dp/B09N25WK2C,"novo laptop para jogos asus tuf de alto desempenho 2022: tela ips fhd 15,6"" 144hz, amd gaming 8-core ryzen 7-4800h, 64gb ram, 1tb ssd, 4gb geforce rtx 3050, wifi-6, backlit-kyb, dts, win10h, t.f",amazon,APROVEITE AO MÁXIMO O SEU DIA COM O NOVO INSPIRON 15 3000.,7899864943591,"Notebook Dell Inspiron i15-i1100-M60S 15.6"" Full HD 11ª Geração Intel Core i7 8GB 256GB SSD Windows 11",https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-i1100-M60S-Gera%C3%A7%C3%A3o/dp/B09V8XSB6W,"notebook dell inspiron i15-i1100-m60s 15.6"" full hd 11ª geração intel core i7 8gb 256gb ssd windows 11",amazon,0
