descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Notebook Acer aspire 3 A315-34-C6ZS Intel Celeron N4000 4GB ram 1TB HD 15,6 Linux Processador: Intel Celeron N4000 Dual Core 1.10 GHz de frequência base 4 mb Cache Sistema operacional: Linux Memoria ram: 4 gb (soldada) DDR4 sdram Frequência: até 2400 Mhz Expansível até 8 gb (1 slot livre no total) Tela: 15,6? Painel: tn (twisted nematic) Resolução: HD (1366x768) Design: Ultra Slim Anti reflexivo Frame rate: 60 Hz Placa Grafica: Intel HD Graphics 600 Memória compartilhada com a memória ram Armazenamento: 1TB hdd sata 3 5400 rpm Wireless: Wireless (Wi-Fi): Compatível com ieee 802.11a, 802.11b, 802.11g, 802.11n e 802.11ac Frequência: até 5GHz Ântena: 1x1 Certificado anatel Bluetooth: Versão 4.2 LAN/Rede com fio: Gigabit Ethernet 10/100/1000 (RJ45) com suporte a Wake on lan Dimensão: 363.4 (w) x 250.5 (d) x 19.9 (h) mm Fonte de alimentação Bivolt: Adaptador ac de 3 pinos (45W) com cabo com Certificação inmetro Bateria: Bateria de 3 células (Li-íon) - 36 Wh, 4810 Mah, 7.7 v Teclado: Em português do Brasil padrão abnt 2 Teclas Multimídia: Play/pause, Parar, Voltar, Avançar, Aumentar volume e Diminuir volume Touchpado: Com multi gestos e dois botões, suportando scroll com 2 dedos, para abrir a Cortana, Central de Ação, multitarefas e aplicativos Cor: Preto",4710180698022,"Notebook Acer Aspire 3 A315-34-c6zs Intel Celeron N4000 4gb Ram 1tb Hd 15,6 Linux",https://www.americanas.com.br/produto/4496938472,"notebook acer aspire 3 a315-34-c6zs intel celeron n4000 4gb ram 1tb hd 15,6 linux",americanas,"Para quem deseja um computador com tecnologia de ponta para trabalhar ou estudar, a marca acer sempre trazendo as melhores opções pra você. Com processador Intel Celeron N4000 Dual Core 1.10 GHz de frequência base 4 mb Cache, sistema operacional com windows 10 e de brinde mandamos instalado o pacote office 2010 desbloqueado para melhor aproveitar do seu produto. Notebook Acer aspire 3 A315-34-C6ZS Intel Celeron N4000 4GB ram 1TB HD 15,6' Memoria ram: 4 gb (soldada) DDR4 sdram Frequência: até 2400 Mhz Expansível até 8 gb (1 slot livre no total) Tela: 15,6 Painel: tn (twisted nematic) Resolução: HD (1366x768) Design: Ultra Slim Anti reflexivo Frame rate: 60 Hz Placa Gradfica: Intel HD Graphics 600 Memória compartilhada com a memória ram Armazenamento: 1TB hdd sata 3 5400 rpm Wireless: Wireless (Wi-Fi): Compatível com ieee 802.11a, 802.11b, 802.11g, 802.11n e 802.11ac Frequência: até 5GHz Ântena: 1x1 Certificado anatel Bluetooth: Versão 4.2 Lan/rede com fio: Gigabit Ethernet 10/100/1000 (RJ45) com suporte a Wake on lan Informações adicionais: Dimensão: 363.4 (w) x 250.5 (d) x 19.9 (h) mm Fonte de alimentação Bivolt: Adaptador ac de 3 pinos (45W) com cabo com Certificação inmetro Bateria: Bateria de 3 células (Li-íon) - 36 Wh, 4810 Mah, 7.7 v Teclado: Em português do Brasil padrão abnt 2 Teclas Multimídia: Play/pause, Parar, Voltar, Avançar, Aumentar volume e Diminuir volume Touchpad: Com multi gestos e dois botões, suportando scroll com 2 dedos, para abrir a Cortana, Central de Ação, multitarefas e aplicativos Cor: Preto Ficha técnica - preto: preto",4710180698022,"Notebook Acer N4000 4Gb 1Tb 15,6' Win 10 + Office 2010",https://www.americanas.com.br/produto/2023754091,"notebook acer n4000 4gb 1tb 15,6' win 10 + office 2010",americanas,notebooks,1
"Moldura pequena. Grandes resultados. Este pequeno e elegante laptop de 14 polegadas com conectividade e recursos de gestão é ideal para empresas em crescimento. Sistema operacional disponível com Windows 10 Pro – para uma experiência de PC suave e versátil. Funciona perfeitamente em qualquer lugar que portas legadas: Conectar aos periféricos é simplificado e simples com a quantidade máxima de opções de porta em qualquer Latitude, incluindo RJ45, HDMI, USB 3.1 e USB Tipo-CTM. Além disso, este laptop é o único Latitude a incluir VGA para que você possa se conectar sem um adaptador. Conquiste o seu dia de trabalho: os processadores Intel CoreTM de 8ª geração com até 4 núcleos i7 oferecem a potência que você precisa para produtividade em qualquer configuração. Potência durante todo o dia: a vida útil da bateria estendida lida com todo o seu dia de trabalho e outros. Projetado para impressionar o menor da sua classe: com seu design elegante e pequeno, este é o primeiro laptop da série 3000 para se qualificar como um ultrabook de acordo com a definição da indústria da IDC, tornando este sistema ideal para viagens e uso diário. Tela e touchpad: a tela sensível ao toque Full HD opcional expande sua visão, enquanto o touchpad de precisão permite que você deixe o mouse para trás e permaneça produtivo em movimento. Expanda o seu escritório: o Latitude 3400 melhora o seu fluxo de trabalho em qualquer lugar e fica bem enquanto você o faz. É menor e possui uma moldura 40% mais fina do que a geração anterior, com uma nova forma de cunha que é ainda mais compacta. As bordas brilhantes ficam elegantes e modernas em qualquer ambiente. Fácil de gerir: um leitor de impressões digitais opcional no botão liga/desliga não apenas parece elegante, mas acrescenta uma camada extra de segurança. Ou, faça login usando o Windows Hello com a mais recente tecnologia de câmera infravermelha opcional. Dell Client Command Suite: Este programa vem com um conjunto de ferramentas de automação que auxiliam no monitoramento do dispositivo, implementação, atualização e mais, para maximizar seus investimentos em hardware e software e economizar tempo.",884116374619,"Dell Latitude 15 3400 14"" I3 2.1GHz 8GB DDR4 256GB SSD FHD Windows 10 Pro Laptop",https://www.amazon.com.br/Dell-Latitude-3400-2-1GHz-Windows/dp/B089N99YMX,"dell latitude 15 3400 14"" i3 2.1ghz 8gb ddr4 256gb ssd fhd windows 10 pro laptop",amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7899864943485,Notebook Dell Inspiron i15-i1100-U10P 15.6 Full HD Intel Pentium Gold 4GB 128GB ssd Linux Preto,https://www.americanas.com.br/produto/4824784768,notebook dell inspiron i15-i1100-u10p 15.6 full hd intel pentium gold 4gb 128gb ssd linux preto,americanas,notebooks,0
"Com um processador Intel Celeron rápido, tela vibrante de 14,1 polegadas e 64 GB de armazenamento rápido, o Hyundai HyBook é projetado para atender às suas necessidades diárias. Seu design elegante, leve e portátil de 35,8 cm foi feito para todos e todos. Possui um chip Wi-Fi sólido que mantém você conectado ao mundo, junto com o Windows 10 Home para uma experiência de PC versátil e suave. Expanda seu espaço de armazenamento com seu slot microSD expansível e funcione perfeitamente em qualquer local. A conexão a periféricos é simplificada e simples com uma variedade de opções de portas, incluindo interfaces Mini HDMI, RJ45, USB 2.0 e USB 3.0. Se você estiver fazendo chamadas de vídeo, atender e-mails ou trabalhando em seu blog, é hora de se presentear com um caderno que possa fazer tudo. Apoiado por uma garantia limitada de 1 ano, cada produto Hyundai é feito com qualidade e precisão absolutas.",810033035890,"[Novo] Hyundai | Laptop de 14"" polegadas | Laptop de alto desempenho para negócios e estudantes | 8GB RAM - 128GB SSD Storage | Intel N4120 | Windows 10 Home | Armazenamento expansível | WiFi e Bluetooth | Prata",https://www.amazon.com.br/Hyundai-polegadas-desempenho-neg%C3%B3cios-estudantes/dp/B0964C2C61,"[novo] hyundai | laptop de 14"" polegadas | laptop de alto desempenho para negócios e estudantes | 8gb ram - 128gb ssd storage | intel n4120 | windows 10 home | armazenamento expansível | wifi e bluetooth | prata",amazon,Notebook Legacy Book Pentium Quadcore 4 + 64Gb/Win10Home - Pc312,7908414442757,Notebook legacy book pentium quadcore 4 + 64GB/WIN10HOME - PC312,https://www.americanas.com.br/produto/4481845572,notebook legacy book pentium quadcore 4 + 64gb/win10home - pc312,americanas,notebooks,0
Recurso:,7773193079391,"Película para janelas, adereços para janelas PVC fácil de cortar para Coberturas de controle de calor com bloqueio de UV para sala de estar e quarto",https://www.amazon.com.br/Pel%C3%ADcula-adere%C3%A7os-Coberturas-controle-bloqueio/dp/B09TMX3NTH,"película para janelas, adereços para janelas pvc fácil de cortar para coberturas de controle de calor com bloqueio de uv para sala de estar e quarto",amazon,"A S U S preto, Intel i5-1035G1 1GHz, 8GB DDR4,512GB PCIe SSD, 15,6IN (1920 x 1080), Intel UH P1510CJA-C51P",192876824733,"USAPRO ASUS Preto, Intel i5-1035G1 1GHz,8GB DDR4,512GB PCIe SSD,15,6IN (1920 x 1080), Intel UH P1510CJA-C51P",https://www.amazon.com.br/USAPRO-ASUS-Preto-i5-1035G1-P1510CJA-C51P/dp/B08JWYXTCL,"usapro asus preto, intel i5-1035g1 1ghz,8gb ddr4,512gb pcie ssd,15,6in (1920 x 1080), intel uh p1510cja-c51p",amazon,notebooks,0
"A nova linha Positivo Motion conta com design moderno e muita tecnologia. Com maior desempenho, graças aos processadores Intel Quad-Core e armazenamento rápido de 64GB. Fino e leve, foi desenhado para ser portátil, com bateria de longa duração, mais conectividade com conexões Wifi e Bluetooth.",7896904630800,POSITIVO MOTION PLUS RED Q464B,https://www.amazon.com.br/POSITIVO-MOTION-PLUS-RED-Q464B/dp/B08BZWPNYB,positivo motion plus red q464b,amazon,,7896904630800,"Notebook Positivo Motion Q464B Intel Atom Quad core 4GB 64GB SSD + 64GB Nuvem 14"" W10 - Vermelho",https://www.americanas.com.br/produto/1506963998,"notebook positivo motion q464b intel atom quad core 4gb 64gb ssd + 64gb nuvem 14"" w10 - vermelho",americanas,notebooks,1
"Notebook A315-56-569F Intel Core I5-1035G1 ssd 256GB Endless os Acer Indicado para atividades mais básicas como tarefas cotidianas, aulas online, internet e estudo, e também pode servir para atividades empresariais. As bordas que emolduram a tela se destacam, pois são bem finas e deixam o aparelho com um visual moderno, além de contribuírem para o tamanho compacto! Marca: Acer Modelo: A315-56-569F Sistema Operacional: Endless os Armazenamento: 256GB ssd PCIe NVMe 3x2 M2280 Rede: Wireless 802.11ac Processador: Intel Core i5 1035G1 Quad Core Frequência: 1.00GHz até 3.60GHz 6MB Intel Smart Cache Memória: 4GB (1x4GB Soldada) ram DRR4 Expansível até 20 gb (1 slot livre no total) Upgrade: De até 512GB PCIe NVMe Gen. 3x2 para o ssd De até 2TB sata 3 para o hdd Para mais informações 0800-762-2237 Tela: 15.6 Polegadas HD (1366 x 768) Acer ComfyView Placa Gráfica: Intel uhd Graphics com memória Compartilhada com a memória ram Teclado: Português do Brasil no padrão abnt 2 Teclado numérico dedicado Conteúdo da embalagem: 1 Notebook Acer Aspire 3, 1 Fonte carregadora do notebook, 1 Manual em português Observação: Este produto não possui leitor de cd/dvd gpu e cpu são soldadas na máquina. Garantia do Fornecedor: 12 meses",4710886059059,Notebook A315-56-569F Intel Core I5-1035G1 ssd 256GB Endless os Acer,https://www.americanas.com.br/produto/4013624445,notebook a315-56-569f intel core i5-1035g1 ssd 256gb endless os acer,americanas,"Desenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida, além do Design elegante. Execute suas tarefas diárias sem crise com a memória RAM de 4GB e armazenamento de 256GB SSD. Imagens incríveis em qualquer situação pois o notebook vem com tela LED LCD de 15.6"" e resolução HD (1366x768) para você ver tudo o que precisa com a qualidade de imagem que merece. Bateria que não te deixa na mão, pois foi feito para aguentar todas as necessidades do dia. Dependendo do uso, sua bateria pode durar até 7 horas, permitindo que você complete todas as suas tarefas! O teclado de rápida resposta em português do Brasil, padrão ABNT 2 com teclado numérico dedicado. Para dúvidas, acesse: acer.com.br, no menu SUPORTE. Caso sua dúvida não tenha sido esclarecida ou necessite de auxílio especializado, acesse o nosso Chat no site: acer.com.br, no menu SUPORTE SUPORTE PÓS-VENDA CHAT ON-LINE. Ou ligue para o Centro Nacional de Serviços Acer 0800-762-2237 e fale com um de nossos técnicos. O horário de atendimento é de segunda-feira a sábado das 8h às 22h (horário de Brasília), e aos domingos das 10h às 18h, com exceção dos feriados",4710886059059,"Notebook Acer 15,6 A315-56-569F i5-10ª 4GB 256SSD Linux",https://www.amazon.com.br/Notebook-A315-56-569F-i5-10%C2%AA-256SSD-Linux/dp/B00FN1U6O6,"notebook acer 15,6 a315-56-569f i5-10ª 4gb 256ssd linux",amazon,notebooks,1
"Intel Iris Xe Graphics 11ª geração Intel Core i7-1195G7 (2,9 GHz~5,0 GHz) 16 GB DDR4 RAM, SSD 512 GB 14"" Thin Bezel FHD 1920x1080 Tela de nível IPS Intel WiFi 6 AX201, Bluetooth V5.2 Microfone DTS: X Ultra, Windows 10 1x USB 3.2 Gen1 (Tipo A), 1x USB 3.2 Gen2 (Tipo A), 1x Thunderbolt 4 (Tipo-C) 1x HDMI 2.0, 1x conector combo de áudio, 1x leitor de cartão MicroSD, 1x entrada CC",810075651539,"GIGABYTE U4 UD - 14"" FHD - i7-1195G7 - Gráficos Intel Iris Xe - SSD PCIe de 512 GB - Laptop (U4 UD-70US823SH)",https://www.amazon.com.br/GIGABYTE-U4-UD-i7-1195G7-UD-70US823SH/dp/B09KBJSSH7,"gigabyte u4 ud - 14"" fhd - i7-1195g7 - gráficos intel iris xe - ssd pcie de 512 gb - laptop (u4 ud-70us823sh)",amazon,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019802657,Notebook hp 17-CN0025NR 17.3 Intel Core I5-1135G7 - Prata Oferta!,https://www.americanas.com.br/produto/4958389659,notebook hp 17-cn0025nr 17.3 intel core i5-1135g7 - prata oferta!,americanas,notebooks,0
"Aqui na Raiz Digital você encontra uma boa variedade de produtos para Áudio e Vídeo e sempre vai receber um excelente atendimento de nossa equipe, seja para tirar duvidas e até mesmo conhecer os equipamentos! Nesse kit você recebe: 01 x Case Externo USB 3.0 para HD sata 3,5""/ 2,5"" CS-3-2EM1 01 x Cabo USB 3.0 01 x fonte de Energia Com este adaptador é possível utilizar tanto HD de notebook e pc quanto ssd. Especificações: - Interface: USB 3.0 - Conexão interna: sata 6Gbps - Tipo: Case 3,5"" sata - HDs: 2,5"" e 3,5"" - Suporta HD's Sata / Sata 2 / Sata 3 de até 4TB - Transmissão de Dados USB 3.0: 6 Gbps - Transmissão de Dados USB 2.0: 480 Mbps - Compatível com qualquer padrão usb: 1.0 / 1.1 / 2.0 / 3.0 - Suporta os sistemas operacionais: Windows / Linux e Mac OSx - Plug and Play - Cor: Preto - cabo: 35cm Informações adicionais: - O sistema reconhece como se fosse outro disco rígido, só que removível. - O Hard Disk não acompanha o produto. - Conecte seu hdd de 3,5"" ou hdd/ ssd de 2,5"" sem parafusos. atenção: todos os produtos em nossa plataforma acompanham nota fiscal E passam por um processo de teste para que cheguem perfeitamente funcionando para nossos clientes (exceto produtos que tenham garantia de fábrica)Na Raiz, cada embalagem de cada cliente é feita com muito carinho e dedicação, esperamos que você que está para se tornar nosso cliente se sinta feliz e satisfeito ao recebê-lo em sua casa! Se tiver algum problema, dúvida ou elogio, poderá nos contatar após a compra via chat ou por meio de um de nossos canais de comunicação; )Agradecemos a sua preferência e esperamos que mantenha sua Raiz sempre forte!",6972147644604,Case All in One hdd 4TB Enclosure ssd 2.5 Adaptador,https://www.americanas.com.br/produto/4754897133,case all in one hdd 4tb enclosure ssd 2.5 adaptador,americanas,"Lenovo ideapad Gaming 3i: Novo design com 10ª Geração de Processadores Intel® Core™ i7-10750H e placa de vídeo NVIDIA® GeForce® GTX 1650 4GB. Ideal para gamers e usuários que também precisam de alta performance. Com tela de 15.6'' Full HD WVA Antirreflexo para melhor definição de imagem e cores. O armanezamento SSD PCIe NVMe é 10x mais rápido* que um HDD 2.5” SATA, você terá mais segurança ao armazenar seus dados. O teclado retroiluminado em LED azul, deixa o computador mais atraente e também favorece a performance para jogos em lugares com pouca iluminação. Silencioso e não esquenta: projetado com um sistema de resfriamento otimizado composto por 2 coolers e 4 saídas de ar para suportar o alto desempenho do notebook. Sua privacidade pessoal é muito importante. É por isso que o Ideapad Gaming 3i está equipado com prática porta de privacidade da webcam. Quando não estiver em uma chamada de vídeo ou gravando algo, basta deslizá-la. Nitidez e alta qualidade de som com certificação Dolby Áudio. Com até 9.6 horas de duração de bateria o Ideapad Gaming 3i permite que você jogue por muito mais tempo. Além de possuir a tecnologia de carregamento rápido: quinze minutos de carregamento garante até duas horas de uso**. A Lenovo coloca o Ideapad Gaming 3i à prova em testes de resistência altamente estressantes como: altas e baixas temperaturas, choque de temperatura, quebra e vibração, certificando a preocupação com a segurança e qualidade. Por meio de testes militares, mantém a convicção da melhor escolha sempre. A distância entre a tecla e o botão ficou menor: apenas 1.5mm. Tenha mais agilidade, rapidez e tempo de resposta. A função Q Control permite que o usuário da Lenovo mude a engrenagem simplesmente pressionando as teclas Fn + Q. Mude do Modo Performance para maior FPS, altere do Modo Silencioso para melhor duração da bateria, ou use o Modo Balanceado para uso diário. Armazenamento híbrido: Possui 2 slots SSD M.2 e 1 slot HDD SATA. *Com base na velocidade de leitura dos dados obtidos através de spec de dados de leitura mb/s. ** Carregamento com o notebook desligado. A duração de bateria e o tempo de carregamento podem variar de acordo com o uso, a configuração e outros fatores. Os resultados reais podem variar.",195348729383,"Notebook ideapad Gaming 3i i7-10750H, 8GB RAM, 512GB SSD, Placa Dedicada GTX 1650 4GB, Windows 10, 15.6"" Full HD WVA, Azul",https://www.amazon.com.br/Notebook-ideapad-i7-10750H-Dedicada-Windows/dp/B08SQMHKS5,"notebook ideapad gaming 3i i7-10750h, 8gb ram, 512gb ssd, placa dedicada gtx 1650 4gb, windows 10, 15.6"" full hd wva, azul",amazon,notebooks,0
"Notebook Acer A315-56-569F, Intel Core i5, 4GB 256GB, 15.6"", Endless Os, Grafite Desenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida, além do Design elegante. Execute suas tarefas diárias sem crise com a memória ram de 4GB e armazenamento de 256GB ssd. Imagens incríveis em qualquer situação pois o notebook vem com tela LED lcd de 15.6"" e resolução HD (1366x768) para você ver tudo o que precisa com a qualidade de imagem que merece. Bateria que não te deixa na mão, pois foi feito para aguentar todas as necessidades do dia. Dependendo do uso, sua bateria pode durar até 7 horas, permitindo que você complete todas as suas tarefas! O teclado de rápida resposta em português do Brasil, padrão abnt 2 com teclado numérico dedicado.ESPECIFICAÇÕES: Marca Acer Modelo A315-56-569F Cor Grafite ean 4710886059059 Linha Aspire 5 Processador Intel Core i5 Velocidade do Processador 3.60 GHz Memória Cache 6MB Sistema Operacional Endless Os Tamanho da Tela 15.6 Resolução de Tela 1366x768 HD 256GB Memória ram 4GB Conexões Sem Fio usb, Wi-Fi, Bluetooth Entradas e Saídas Fone de ouvido Quantidades de Entradas usb 2 Voltagem 220V Garantia 12 Meses Características do produto Processador (cpu) Intel Core I5 – 1035G1 - Quad Core Teclado tipo membrana em português do Brasil padrão abnt 2 com teclado numérico dedicado 4GB de memória ram 256GB ssd de armazenamento Tela de 15.6 com resolução HD Touchpad com comandos inteligentes Itens Inclusos Notebook Acer Aspire 3, Fonte carregadora do notebook, Manual em português e Termo de garantia Dimensões ( A X L X P ) 7 x 51 x30 cm Peso 1,9 Kg *Imagens meramente ilustrativas.",4710886059059,"Notebook Acer A315-56-569F, Intel Core i5, 4GB 256GB, 15.6, Endless Os, Grafite",https://www.americanas.com.br/produto/2643336771,"notebook acer a315-56-569f, intel core i5, 4gb 256gb, 15.6, endless os, grafite",americanas,"Desenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida, além do Design elegante. Execute suas tarefas diárias sem crise com a memória RAM de 4GB e armazenamento de 256GB SSD. Imagens incríveis em qualquer situação pois o notebook vem com tela LED LCD de 15.6"" e resolução HD (1366x768) para você ver tudo o que precisa com a qualidade de imagem que merece. Bateria que não te deixa na mão, pois foi feito para aguentar todas as necessidades do dia. Dependendo do uso, sua bateria pode durar até 7 horas, permitindo que você complete todas as suas tarefas! O teclado de rápida resposta em português do Brasil, padrão ABNT 2 com teclado numérico dedicado. Para dúvidas, acesse: acer.com.br, no menu SUPORTE. Caso sua dúvida não tenha sido esclarecida ou necessite de auxílio especializado, acesse o nosso Chat no site: acer.com.br, no menu SUPORTE SUPORTE PÓS-VENDA CHAT ON-LINE. Ou ligue para o Centro Nacional de Serviços Acer 0800-762-2237 e fale com um de nossos técnicos. O horário de atendimento é de segunda-feira a sábado das 8h às 22h (horário de Brasília), e aos domingos das 10h às 18h, com exceção dos feriados",4710886059059,"Notebook Acer 15,6 A315-56-569F i5-10ª 4GB 256SSD Linux",https://www.amazon.com.br/Notebook-A315-56-569F-i5-10%C2%AA-256SSD-Linux/dp/B00FN1U6O6,"notebook acer 15,6 a315-56-569f i5-10ª 4gb 256ssd linux",amazon,notebooks,1
"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019803043,Notebook Asus X515EA-BQ1002T 15.6 Intel Core I7-1165G7 - Prata Oferta!,https://www.americanas.com.br/produto/4958391249,notebook asus x515ea-bq1002t 15.6 intel core i7-1165g7 - prata oferta!,americanas,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019803753,Notebook Lenovo Ideapad 5 14ARE05 R7/8GB/256GB ssd 14 fhd W10 Cinza Novo! Nota Fiscal e Garantia!,https://www.americanas.com.br/produto/4958392006,notebook lenovo ideapad 5 14are05 r7/8gb/256gb ssd 14 fhd w10 cinza novo! nota fiscal e garantia!,americanas,notebooks,0
