descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiGQuem não gosta de uma Smart tv, não é verdade? A Smart TV 43UP7500PSF da LG é ideal para você!!Se você busca a mais alta tecnologia de brilho e contraste, o hdr Ativo é perfeito para os detalhes que antes estavam escondidos na escuridão ou no excesso de luminosidade da cena. Sua resolução proporciona imagens perfeitas mesmo em ambientes pequenos onde você tem pouca distância entre seu ângulo de visão e a TV. Ela tem compatibilidade com o controle Smart Magic que será seu aliado para aqueles dias de descanso e conforto. Tem formato ergonômico e fácil de segurar, e o sistema de apontar e rolar deixa a pesquisa mais rápida: )Ela é perfeita para você!!Informações Técnicas: - Marca: lg- Modelo: 43UP7500PSF- Tela: 43 polegadas 4K uhd- Processador: a5 Gen4 Processor 4K- Sistema Operacional: webOS 6.0Características: - LG ThinQ ai- Ultra Surround- Filmmaker mode- Gamer Optimizer- Baixo input lag- Bluetooth In/Out- Redução de ruídos- Alerta de esportes- Cabo de alimentação ac- Parafusos da base e Base- Adaptador de áudio e vídeo- Guia de Início Rápido em Português- Todos os seus apps favoritos de streaming- HGiG (Reconhece o desempenho da TV e a qualidade da imagem para ajustar os gráficos hdr, melhor visão no game)Entradas e Saídas: - 01 Entrada rf- 01 Entradas usb- 02 Entradas hdmi 2.0*Controle Smart Magic vendido separadamente*Garantia do Fornecedor: 12 meses. ATENÇÃO CLIENTE!!Super diquinhas para você cliente feliz!!1. Foto do anúncio meramente ilustrativa.2. confira A voltagem desejada antes de comprar produtos eletronicos - 127V ou 220V3. Objetos de decoração não acompanham o produto e não estão inclusos no pedido.4. Para instalação, funcionalidades, manutenção e cuidados específicos consulte o manual do produto ou contrate um profissional.5. Devido às normas da abnt e às resoluções nº 13 de 2006, nº 2 de 2007 e nº 8 de 2009 do conmetro os fabricantes estão mudando as tomadas para o novo padrão. Para utilizar este produto, será preciso adaptador ou a troca da tomada antiga. Não nos responsabilizamos por esta alteração.6. entrega por conta da Móveis Linhares somente para compras realizadas no site da Moveis Linhares com destino as cidades aonde temos lojas físicas. Mais informações consulte nossa política de entrega.7. confira o estado do produto no ato da entrega junto com o entregador, prevenindo-se de problemas futuros. #ficaadica.8. A entrega não considera subida de lances de escada ou içamento de produtos que não cabem em elevadores. confira as dimensões antes de comprar.",7893299915840,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG,https://www.americanas.com.br/produto/5163467035,smart tv lg 43 polegadas 4k uhd 43up7500psf webos thinq ai hgig,americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509117852,"Smart TV Tela QLED 55"" Samsung 55Q80A 4K Wi-Fi Integrado com Processador IA 2 USB 4 HDMI",https://www.americanas.com.br/produto/3060873217,"smart tv tela qled 55"" samsung 55q80a 4k wi-fi integrado com processador ia 2 usb 4 hdmi",americanas,tvs,0
"Características Vídeo Tecnologia: FreeSync Premium Pro Resolução: qled 4K (3840 x 2160) Tamanho da Tela: 65"" Sistema Operacional: Plataforma Tizen Processador Quantum 4K com ia Conexões Wi-Fi Bluetooth Portas de Entrada e Saída 04 Entradas hdmi 02 Entradas USB Outros Recursos Timer Sleeptimer Tela Ultra-Wide Pontos Quânticos Modo Game Menu de Jogos Som em movimento virtual Sincronia Sonora Alexa built in Motion Xcelarator Turbo Design Slim ean 7892509117579 Cor Preto Especificações Técnicas Modelo: QN65Q70AAGXZD Frequência: 60 Hz Consumo de Energia: 250 kW/h Selo Procel (Eficiência Energética): A Garantia: 12 meses Dimensões e Peso Dimensões do Produto sem Embalagem (AxLxP): 832,2x1451,7x25,7 mm Dimensões do Produto com Embalagem (AxLxP): 950x1612x164 mm Dimensão do Produto com Base (AxLxP): 832,2x1451,7x25,7 mm Peso do Produto sem Embalagem: 20,6 kg Peso do Produto com Embalagem: 20,6 kg Peso do Produto com Base: 28,8 kg Itens Inclusos 01 Smart TV 01 Controle remoto único 01 Cabo de força Manual do usuário Serviço de Instalação e Orientação de Uso Para sua comodidade e segurança, a Fast Shop dispõe do serviço de Instalação e Orientação de Uso*. Agendamos o serviço para você, executamos a instalação com equipes próprias especializadas e autorizadas pelo fabricante, ensinamos como utilizar os produtos da melhor forma e temos uma área de qualidade para acompanhar e garantir que tudo dê certo. é rápido e fácil. Você pode contratar o serviço com o nosso Televendas pelo tel.: 3003-3278 ou em uma de nossas lojas. Consulte os valores e regiões atendidas. * Verifique com nossos vendedores se a Fast Shop realiza a instalação desse produto.",7892509117579,"Smart TV 4K Samsung qled 65 com Design Slim, Alexa built in e Wi-Fi - QN65Q70AAGXZD",https://www.americanas.com.br/produto/3439073089,"smart tv 4k samsung qled 65 com design slim, alexa built in e wi-fi - qn65q70aagxzd",americanas,"Descrição resumidaConte com uma tela de 39 HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível.Características - Marca: Multilaser - Modelo: TL033Especificações - Smart TV Não - Tamanho da tela 39 - Resolução 1366x768 - Tecnologia da tela dled - Velocidade do painel 60Hz - vga 0 - Processador n/a - Entrada hdmi 2 - Entrada USB 1 - AV/vídeo 1 - Wi-Fi Não - Espelhamento do smartphone Não - Espelhamento de áudio Não - Controle remoto Sim - Dimensão do prodto (mm) 885.9510.586.4 - Função dnrGarantia 12 mesesConteúdo da embalagem: - 1 x Tv - 1 x ControlePeso - 7,00Kg",7908414405448,Televisao 39 Polegadas Hd s/ Conversor Digital Tlo33,https://www.americanas.com.br/produto/4800389923,televisao 39 polegadas hd s/ conversor digital tlo33,americanas,tvs,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509117531,"Smart Tv 85"" Crystal UHD Samsung 4k 85AU8000 Painel Dynamic Crystal Color Design Slim Tela Sem Limites",https://www.americanas.com.br/produto/3069507846,"smart tv 85"" crystal uhd samsung 4k 85au8000 painel dynamic crystal color design slim tela sem limites",americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509117432,"Samsung Smart Tv 85"" Qled 4k 85q70a, Modo Game, Processador Ia, Som Em Movimento Virtual, Tela Sem Limites.",https://www.americanas.com.br/produto/3060873786,"samsung smart tv 85"" qled 4k 85q70a, modo game, processador ia, som em movimento virtual, tela sem limites.",americanas,tvs,0
"Com a Tela Full HD 43V35KB de 43 polegadas Toshiba, você terá realidade além dos pixels! Com nosso processador Quad-Core, a abertura de apps e comandos será muito mais rápido que em outras telas. O sistema operacional VIDAA é fluído, amigável e customizável, uma das mais rápidas do mercado e com muitos conteúdos para desfrutar. Vivencie uma experiência sem igual de imersão em som, com a Dolby Audio. Acompanha um controle remoto completo, tenha tudo o que precisa em suas mãos com botões Netflix, Youtube, Amazon Prime, entre outros que vão garantir uma experiência única e fácil. Estabeleça regras digitais e controle os conteúdos impróprios de acordo com a faixa desejada através da função de controle parental. E ainda conta com o Modo Arte, em apenas um toque no botão do controle remoto sua tela se torna uma obra de arte! Com bordas infinitas. Acompanha acessório conversor de canais de tv digital externo (DTV). Imagens meramente ilustrativas.",7908414421127,Tela Toshiba 43 Pol. 43v35kb Dled Fhd Smart Vidaa – TB008,https://www.amazon.com.br/TOSHIBA-Tela-43V35KB-Smart-Vidaa/dp/B09HSKPMC3,tela toshiba 43 pol. 43v35kb dled fhd smart vidaa – tb008,amazon,Tela Toshiba 43 Pol. 43V35Kb Dled Fhd Smart Vidaa - Tb008,7908414421127,Tela toshiba 43 pol. 43V35KB dled fhd smart vidaa - TB008,https://www.americanas.com.br/produto/4930533778,tela toshiba 43 pol. 43v35kb dled fhd smart vidaa - tb008,americanas,tvs,1
"A Smart TV Philco 50 PTV50G70SBL, da Nova Geração de Tvs Philco, tem qualidade 4K Real que realça as cores em sua plenitude, sem pontos brancos, e com seu navegador Smart você acessa conteúdos e aplicativos para assistir suas séries preferidas no conforto do seu sofá. netflix e Globo Play instalados proporcionando diversão para toda família. Veja novelas, filmes nacionais, séries e grandes clássicos a qualquer hora. Smart, com dispositivo wireless integrado, garante interatividade em um só click. O processador Quad Core e gráfico, isso significa maior velocidade para conteúdos e gráficos mais complexos. Não é só uma televisão, é mais tecnologia na sua casa! tv Backlight d-led 50"" Resolução: uhd (3840 X 2160) Tempo de resposta: 9,5 ms Ângulo de Visão: 170°(H) x 170°(V) Brilho: 243 cd/m2 Contraste dinâmico: 5.000.000:1 Frequência da Tela: 60Hz Potência do Alto-Falante: 12Wrms x 2 Formato da Tela: 16:9 Sistema de cores: pal-m, pal-n, ntsc Furação Vesa: 200x200mm CONEXÕES: Entrada de vídeo e áudio estéreo (rca) 3 entradas hdmi e 1 entrada hdmi (arc) Entrada rf para TV aberta (Digital e Analógica) e TV à cabo 2 entrada USB 2.0: reproduz filmes, músicas e fotos 1 entrada s/pdif out Optical 1 Saída de áudio analógica 1 entrada EthernetMenu nos idiomas Português e Inglês Busca automática de canais Recepção em atv, dtv e catv Conversor digital integrado Equalizadores de som e imagem predefinidos Ajustes de temperatura de cor Nivelador automático de volume sdr para hdr: corrige imagem para melhor performance Recursos: mute mts sleep browser app store hdr closed caption dnr guide info bloqueio de canal relógio zoom pvr hdmi ARC2 T-LINK2 (hdmi-cec).informações complementares Os produtos são novos, todos com nota fiscal; Tenha certeza de ter escolhido o modelo desejado na hora da compra. Vamos emitir a Nota Fiscal de acordo com o seu cadastro, por favor confira suas informações, e as informações de envio antes de efetuar a compra. Alguma dúvida sobre o produto? Procurando uma quantidade maior? Quer ter certeza que temos em estoque? use O campo designado A perguntas E respostas logo abaixo da descrição do anuncio",7891356090912,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,https://www.americanas.com.br/produto/4850707002,smart tv roku led 50 philco uhd 4k bivolt netflix,americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7891356090912,"Smart TV Roku 50"" Philco Led UHD 4K PTV50RCG70BL Wi-Fi 4 HDMI 2 USB e Midiacast",https://www.americanas.com.br/produto/2638610377,"smart tv roku 50"" philco led uhd 4k ptv50rcg70bl wi-fi 4 hdmi 2 usb e midiacast",americanas,tvs,1
"Conte com uma tela de 32'' HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível. Tela 32"" Multilaser HD. Com a função DNR, possui Granulação reduzida, com imagens mais claras e nítidas, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e acompanhe seus seriados e veja os melhores filmes. Aproveite diversos conteúdos, você também consegue reproduzir conteúdo direto do seu Pen Drive. Possui 3 entradas de HDMI, 2 entrada USB, 2 entradas RJ45, 1 entrada AV e sua alimentação é (Bivolt) 100-220V 60Hz. Imagens Meramente Ilustrativas.",7898149189167,"Tela 32"" HD com Função Smart e Wi-Fi Integrado - Multilaser, TL026",https://www.amazon.com.br/Tela-Fun%C3%A7%C3%A3o-Smart-Wi-Fi-Integrado/dp/B08V1W7RRC,"tela 32"" hd com função smart e wi-fi integrado - multilaser, tl026",amazon,"Tela 32 hd, Com Função Smart E Wi-Fi Integrado, Multilaser - TL026 conteúdo da embalagem: 01 x Tela 32 hd, Com Função Smart E Wi-Fi Integrado - 01 x Manual de Instruções Dimensões: Altura: Com base: 46,65 cm e Sem base: 42,9 cm - Largura: Com base:72,9 cm e Sem base: 72,9 cm - Profundidade: Com base: 18,07 cm e Sem base: 7,74 cm - Peso: 4.1 Kg Voltagem: Bivolt Resolução: hd Entradas: hdmi, rca, usb, RJ45 Tipo de Tela: led Fabricante: Multilaser Cor: Preto Modelo: TL026 Garantia: 12 meses Resolução De Vídeo: 1366x768 Recurso de áudio: 2x8WRMS Brilho: 200cd/m² Contraste: 3000:1 Polegadas: 32",7898149189167,"Tela 32 hd, Com Função Smart E Wi-Fi Integrado, Multilaser - TL026",https://www.americanas.com.br/produto/3814214681,"tela 32 hd, com função smart e wi-fi integrado, multilaser - tl026",americanas,tvs,1
"Smart Tv Led Crystal é para quem gosta de se sentir no cinem50 polegadas para toda a família assistir filmes, séries é só colocar a pipoca pra estourar e aproveitar! A Crystal uhd é a tela mais fina da categoria além disto visual livre de cabos, seu ambiente ficará clean evitando muitos cabos aparentes: a Crystal uhd apresenta uma solução de canaletas exclusiva que permite organizar os cabos e escondê-los. Conexão Bluetooth: Conexão sem fio entre sua TV e outros aparelhos mais conexão e menos fios. Aproveite a praticidade da conexão sem fio entre a sua TV e outros aparelhos e conecte-se para ouvir música, assistir conteúdos e muitos mais. Processador Crystal uhd com cores mais apuradas, graças essa tecnologia entrega uma imagem mais realista e uma imersão em cores e contraste. Tão perfeita quanto às imagens reproduzidas, a Crystal uhd da Samsung foi pensada em todos os ângulos.CARACTERÍSTICAS:- Marca: Samsung- Modelo: LH50BEAHVGGXZDESPECIFICAÇÕES:- Polegadas: 50""- Wi-Fi: Integrado- Resolução: 4K 3840 x 2160- Tipo de tela: 4K- hmdi: 3- USB: 1- Sistema Operacional: Tizen- Peso: 11 kg- Dimensões do produto: 111,68 x 64,42 x 5,99 cm- Recursos: Smart Crystal Modo Hotel.conteúdo da embalagem:- Smart TV 50"" Led Crystal Ultra HD 4K- Controle Remoto- Manual do Usuário- Cabo de Alimentação.Garantia do Fornecedor12 mesesPeso:12000 gramas (bruto com embalagem)",7892509118132,"Smart TV Samsung 50 led, Crystal Ultra HD 4K, Wi-Fi, USB - LH50BEAHVGGXZD",https://www.americanas.com.br/produto/3457012280,"smart tv samsung 50 led, crystal ultra hd 4k, wi-fi, usb - lh50beahvggxzd",americanas,"A Smart TV LED 50"" Samsung LH50BETHVGGXZD, equipada com a tecnologia de Business TV que permite configurar a TV tanto para o modo residencial quanto para o modo hotel, trazendo uma maior variedade de configurações e personalizações para sua TV. Além de possui uma ótima qualidade de imagem 4K HDR10+ que traz uma melhor nitidez e realce de dor as imagens, junto com o processador Crystal 4K,fazendo com que seus filmes e séries fiquem ainda melhores.",7892509118132,"SAMSUNG, TV Smart 50 BEAHVGGXZD",https://www.amazon.com.br/Samsung-TV-Smart-50-BEAHVGGXZD/dp/B09CQDGJJW,"samsung, tv smart 50 beahvggxzd",amazon,tvs,1
"Com a Smart TV LED 43"" TCL você tem uma experiência incrível ao ouvir músicas, assistir filmes, jogar games e muito mais. Os essenciais aplicativos de entretenimento vêm pré-instalado e você pode baixar mais através da google play store. Sua conexão sem fios possibilita que dispositivos se conectem de maneira rápida, descomplicada e sem uso de cabos, bastando que um esteja próximo do outro. Transmite (espelha) o conteúdo de notebooks e celulares (smartphones) diretamente na tv, facilitando sua conexão com app do seu interesse e ainda possui controle remoto com controle de voz, google assistant. Imagens Meramente Ilustrativas. Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.",7899968301068,"Smart TV LED 43"" TCL 43P615 4K UHD HDR Android com Wi-Fi e Bluetooth Integrados",https://www.americanas.com.br/produto/3091370161,"smart tv led 43"" tcl 43p615 4k uhd hdr android com wi-fi e bluetooth integrados",americanas,"Sua TV é uma Android TV que usa o sistema operacional mais popular do mundo. Desfrute de músicas, filmes, games e mais.. Controle Remoto com comando de voz, obtenha sugestão de séries e filmes. Informações de trânsito e tempo, além de controlar os equipamentos da casa conectada (IoT) utilizando o Google Assistant.",7899968301068,Smart TV 43 tcl 4K P615,https://www.americanas.com.br/produto/4305765063,smart tv 43 tcl 4k p615,americanas,tvs,1
"TV digital portátil de 12 polegadas, 1280 x 800 HD HDMI 16: 09 tela TV digital, tela TFT LED colorida, suporte porta USB, slot para cartão de memória/MMC, conteúdo de unidade de disco U para reprodução, MKV, MOV, AVI, WMV, MP4 ",9130974886773,"TV digital portátil de 12 polegadas, 1280 x 800 HD HDMI 16:09, tela digital TFT-LED colorida, suporta porta USB, compartimento de cartão de memória/MMC, conteúdo de unidade de disco reproduza U, MKV, MOV, AVI, WMV, MP4 (regulamentos dos EUA)",https://www.amazon.com.br/digital-port%C3%A1til-polegadas-1280-HDMI/dp/B098B4MFZ3,"tv digital portátil de 12 polegadas, 1280 x 800 hd hdmi 16:09, tela digital tft-led colorida, suporta porta usb, compartimento de cartão de memória/mmc, conteúdo de unidade de disco reproduza u, mkv, mov, avi, wmv, mp4 (regulamentos dos eua)",amazon,"40"" smart tv panasonic led js500 bluetooth audio link, led, espelhamento de aplicativos Produtos com garantia de qualidade Conforto ao uso Descubra produtos úteis para você. Product type: :CRAFT_BEAD",7896067213452,"40"" Smart TV Panasonic LED JS500",https://www.amazon.com.br/40-Smart-Panasonic-LED-JS500/dp/B09JKW9B5X,"40"" smart tv panasonic led js500",amazon,tvs,0
"Com uma tela fina, a TV Samsung oferece um serviço de televisão para sua casa deixando-a muito mais sofisticada. Um menu caseiro oferece a você fácil acesso e controle sobre uma ampla gama de serviços e comodidades. Especificações: Tela: - Tamanho da tela: 32"" - Resolução: 1366 x 768 Video: - Mecanismo de imagem: HyperReal - Wide Color Enhancer (plus) - Clear Motion Rate: 120 Hz - Modo Filme - Taxa de Contraste Dinâmico: Mega Contraste Áudio: - Dolby Clean View - Legenda - Game Mode - Busca automática de canais - ConnectShare (usb 2.0) - Idioma: Português, inglês e espanhol - Desligamento automático - epg - Picture-In-Picture Conexão: - hdmi: 02 - Composto av: 01 - Audio Out (mini Jack) - usb: 01 - rf In: 01 - Componente (y / Pb / Pr): 01 Sistema: - Sintonizador de dtv: isdb-t - Analog Tuner: Trinorma Alimentação: - ac 100-240V Bivolt 50/60 Hz (adaptador externo) - Consumo máx. de energia: 48 - Consumo de energia (stand-by): 0,3W Conteúdo da Embalagem: - 01 TV Samsung LED 32' - 01 Controle Remoto - 01 Guia de Instalação - 01 Cabo de Forço Peso: 5,28 kg (bruto com embalagem) Garantia: 1 Ano.",7892509079099,TV LED 32 HDTV Conversor TV Digital hdmi USB Samsung,https://www.americanas.com.br/produto/27550247,tv led 32 hdtv conversor tv digital hdmi usb samsung,americanas,"Tela TB004 da Toshiba, realidade além dos pixels! Conte com uma tela dled 4K de 50 de alta resolução, proporcionando uma imersão total ao conteúdo. A Tela TB004 da Toshiba possui 3 entradas hdmi, 2 usb, 1 RJ45,1 av e 1 entrada P2, o que possibilita que vários aparelhos possam ser conectados a sua Tela Smart. Dispondo de conexão Wireless, Wi-fi e bt a Tela da Toshiba possui um sistema operacional vidaa, espelhamento de tela, conecção Bluetooth e aplicativos Pré instalados como Netflix, Prime Videos, Youtube, Kids e Loja de App. Adquira hoje mesmo sua Tela TB004 da Toshiba e desfrute de uma Tela de qualidade com um design incrível e uma resolução surreal. Atenção: as imagens são meramente ilustrativas. A Cybelar não se responsabiliza pela montagem, reparos ou instalação dos produtos. Garantia (meses): 12 Modelo: TB004 50"" Marca: Toshiba Fabricante: Toshiba Polegadas "": 50 Potência do Áudio Wrms: 16 Taxa de Atualização Frequência Hz: 60 Ângulo de visão º: h: 178 v: 178 Sistema de tv: vidaa Contraste dinâmico: 4000:1 Brilho cd/m: 330 Memória Interna - hdd: 4GB Portas hdmi: 03 Portas usb: 01 Consumo de Energia kW/h: 9.92 Altura cm: 73 Largura cm: 126 Profundidade cm: 120 Peso kg: 12,5 Wi-fi: Sim Smart tv: Sim Bluetooth: Sim Certificações: Anatel: 00002-21-13626 - Inmetro: 008968/2019 Tempo de resposta ms: 8 Linha: Telas Toshiba é kit: Não Condição do item: Novo Modelo detalhado: Tela TB004 Vida útil: Indeterminado Conteúdo da embalagem: 01 Tela Smart Toshiba 50"" - 01 Controle Remoto - 01 Manual de Instruções - 01 dtv Resolução: 3840 X 2160 (uhd 4K) Dolby Vision Forma de Conexão: 3 hdmi - 2 USB - 1 RJ45 - 1 av - 1 P2 tv Monitor: Sim Com proteção contra sobrecarga: Não Especificado Trocas e devoluções serão válidas apenas para produtos que apresentar",7908414421080,Tela Smart Toshiba 50 dled 4K hdmi USB Bluetooth Wi-fi Bivolt,https://www.americanas.com.br/produto/4478513681,tela smart toshiba 50 dled 4k hdmi usb bluetooth wi-fi bivolt,americanas,tvs,0
