,descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,match
1,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019803937,Notebook hp 15-dc0001la Intel i5 de 8°/8GB/1TB hdd/gtx 1050 4GB/15.6 FHD/W10 (Espanhol) Oferta!,https://www.americanas.com.br/produto/4958392911,notebook hp 15-dc0001la intel i5 de 8°/8gb/1tb hdd/gtx 1050 4gb/15.6 fhd/w10 (espanhol) oferta!,americanas,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019803456,Notebook Asus F415EA-UB34 Intel i3 de 11a/8GB/128GB SSD/14.0 FHD/W10 Oferta!,https://www.americanas.com.br/produto/4958391679,notebook asus f415ea-ub34 intel i3 de 11a/8gb/128gb ssd/14.0 fhd/w10 oferta!,americanas,0
4,"Novo Positivo Duo C4128C, com tela de 11.6” conversível 360°e touch screen é simples e intuitivo transformar seu notebook em um tablet, garantindo uma ótima experiência para entretenimento e consumo de mídias digitais.",7896904685077,"Notebook 2 em 1 Positivo Duo C4128C Intel Celeron 4GB 128GB 11.6"" IPS Full HD touch Windows 10 Home, Cinza - Inclui Microsoft 365 Personal por 1 ano",https://www.amazon.com.br/Notebook-Positivo-C4128C-Celeron-Windows/dp/B08KS6CHB7,"notebook 2 em 1 positivo duo c4128c intel celeron 4gb 128gb 11.6"" ips full hd touch windows 10 home, cinza - inclui microsoft 365 personal por 1 ano",amazon,"Notebook Lenovo Ideapad 3i 15.6 HD Intel Celeron ssd 128GB 4GB Windows 11 Home Prata - 82BU0006BR Para aprimorar ainda mais seu desempenho no trabalho, ou também nos jogos, conte com o Notebook IdeaPad 3i da Lenovo. Seu design super moderno e Ultrafino vai te impressionar. Qualidade aprimorada. Contendo especificações incríveis, o produto possui ainda mais qualidade. Diferente do modelo anterior, este conta com Windows 11, que é a versão mais atualizada até o momento. Além disso contem um processador de muita potência, que é o Intel Celeron N4020, que vai agregar muita agilidade e praticidade no momento de uso no notebook. Design sem igual. Composto por muita qualidade, o produto tem seu design Ultrafino, proporcionando muito mais praticidade e facilidade no manuseio do produto. A tela desse notebook, possui 15.6 de tamanho e é composta com uma resolução incrível de 1366x768 e com tecnologia antirreflexo, promovendo uma melhor visibilidade das imagens e vídeos. Ah, ela também contém uma abertura de 180 graus, para ajustar no ângulo perfeito para você assistir aquele filme com a família Falta de armazenamento, nunca mais.especificações: Processador e chipset Processador: Intel Celeron N4020 10° Geração Potência: 6W Núcleos: 2 Threads: 2 Velocidade: 1,10 GHz a 2,80 ghz Cache: 4MB Placa de vídeo integradas: Intel uhd Graphics 600 Largura do barramento de dram: 64 bits Sistema operacional Sistema operacional: Windows 11 Home Memória Memória: 4GB Soldado Slots: 1 Tipo: DDR4 Velocidade: 24000 Mhz Armazenamento Armazenamento: ssd de 128GB PCIe NVMe M.2 Capacidade de Expansão: Slot M.2 ssd até 512GB Vídeo Integrada Intel uhd Graphics 600 Tela Tela: 15.6 Resolução de Tela: HD (1366 x 768) Antirreflexo Resolução de Tela (p/ resumo): hd Formato de Tela: 16:9 widescreen Brilho de Tela: 220 nits Tipo de Painel: tn Abertura de Tela: 180 graus Áudio Alto-falantes: Alto-falantes com certificação Dolby Audio (2 x 1.5W). Câmera Número de câmeras: 1 Tipo: HD-720p com Privacidade Resolução vídeo: 1366 x 768 (hd) Microfone: Microfone tipo Dual Array Bateria Bateria: 2 células 35Wh Bateria Remomível: Não Adaptador ac: 45W Portas e conectores Bluetooth: WiFi e Bluetooth 5.0 Audio Headset/Headphone USB 3.2 Gen 1 x2 USB 2.0 hdmi Leitores de Cartões 4 em 1 (sd, sdhc, sdxc, mmc ) Bivolt Dimensões e peso Altura: 303 mm Largura: 99 mm Profundidade: 444 mm Peso: 2.5 kg Imagens de caráter ilustrativo Informações divulgadas de acordo com o manual do fabricante Em caso de duvidas sobre informações técnicas, utilização, limitações e manuseio do produto, verifique o manual do fabricante. ean: 0196119387894 NAC010104",196119387894,Notebook Lenovo Ideapad 3i 15.6 HD Intel Celeron ssd 128GB 4GB Windows 11 Home Prata - 82BU0006BR,https://www.americanas.com.br/produto/4777776051,notebook lenovo ideapad 3i 15.6 hd intel celeron ssd 128gb 4gb windows 11 home prata - 82bu0006br,americanas,0
9,"Laptop Dell Inspiron 3.500 - HD de 15,6"" - Tela sem toque - Intel Pentium Gold-5405U - SSD de 128GB - DDR4 4GB - Intel UHD Graphics 610 - Windows 10 Home - Novo",653466228947,"Dell Inspiron 370 - Laptop HD de 15,6 polegadas - Tela sem toque - Intel Pentium Gold-5405U - SSD de 128 GB - 4 GB DDR4 - Intel UHD Graphics 610 - Windows 10 Home - Novo",https://www.amazon.com.br/Dell-Notebook-Inspiron-377-Gold-5405U/dp/B08S9YN13J,"dell inspiron 370 - laptop hd de 15,6 polegadas - tela sem toque - intel pentium gold-5405u - ssd de 128 gb - 4 gb ddr4 - intel uhd graphics 610 - windows 10 home - novo",amazon,,7898573298510,Notebook ASUS VivoBook X513EA,https://www.amazon.com.br/ASUS-X513EA-BQ3027W-Notebook-VivoBook-X513EA/dp/B09ZBJJC9Y,notebook asus vivobook x513ea,amazon,0
11,"Transforme sua imaginação em projetos tangíveis com este laptop ASUS VivoBook Full HD de 15,6"". O processador Intel Core i5 e 16 GB de RAM oferecem desempenho computacional de alta velocidade, enquanto o SSD PCIe de 256 GB permite acesso rápido a arquivos de mídia e aplicativos. Este laptop ASUS VivoBook Star preto possui um leitor de impressão digital para acesso seguro e conectividade Bluetooth para sincronizar com dispositivos sem fio. Vem e pacote com cabo HDMI SWANKY CABLE 15,6"" LCD com uma superfície anti-reflexo apresenta uma imagem brilhante e clara. A resolução FHD (1920 x 1080) rende um alto nível de detalhes de imagem e a iluminação de LED fornece uma tela mais fina e com eficiência energética. Obtenha o poder de processamento necessário de um Intel Core i5. Várias tarefas por meio de sua carga de trabalho. 16 GB de memória está disponível para rodar programas e jogos poderosos. A unidade SSD PCIe de 256 GB mantém suas músicas, fotos, documentos e outros arquivos. As unidades de estado sólido não têm peças móveis, o que geralmente resulta em tempos de inicialização mais rápidos, redução da produção de calor e menos drenagem na bateria do que os discos rígidos. O Wi-Fi 6 (802.11ax) oferece rede de alto desempenho e sem cabo. Compartilhe arquivos na nuvem, navegue na web e verifique suas contas de mídia social. O leitor de cartão de memória simplifica as transferências de arquivos. Aceita cartões microSD (vendidos separadamente). Possui 1 porta USB-C. USB 3.0 é até 10 vezes mais rápido que USB 2.0, mas totalmente compatível com USB 2.0. A webcam HD 720p permite que você converse por vídeo com amigos, familiares e colegas. O áudio da ICEpower produz som rico e dinâmico para sua mídia. A tecnologia Bluetooth 5.0 permite conexões sem fio entre o laptop e impressoras, alto-falantes, fones de ouvido e outros dispositivos habilitados. Use a porta HDMI para ver o conteúdo da sua TV HD (cabo HDMI vendido separadamente). O leitor de impressão digital fornece acesso seguro aos seus dados. Permanece alimentado por até 8 horas.",195553040624,"ASUS® Notebook VivoBook 15 F513, tela de 15,6 polegadas, Intel® Core™ i5, memória de 16 GB, unidade de estado sólido de 256 GB, Windows® 10 Home, preto estrela, F513EA-OS56 e cabo HDMI Swanky Bundle",https://www.amazon.com.br/Notebook-VivoBook-polegadas-Windows%C2%AE-F513EA-OS56/dp/B09T5VL4YW,"asus® notebook vivobook 15 f513, tela de 15,6 polegadas, intel® core™ i5, memória de 16 gb, unidade de estado sólido de 256 gb, windows® 10 home, preto estrela, f513ea-os56 e cabo hdmi swanky bundle",amazon,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019802411,Notebook Dell Latitude 3520 15.6 Intel Core I5-1135G7 - Cinza Oferta!,https://www.americanas.com.br/produto/4958389350,notebook dell latitude 3520 15.6 intel core i5-1135g7 - cinza oferta!,americanas,0
16,"Com processamento potente, uma dobradiça de 360 graus que acomoda 4 modos de aprendizagem, e tecnologia Pencil Touch, nossa versão para Windows de 29,6 polegadas do laptop Lenovo 300e (2ª geração) proporciona uma experiência de sala de aula premium. Fator de durabilidade apresenta como um teclado selado, teclas mecanicamente ancoradas e resistência a quedas, e este conversível certamente ganhará o grau. Fabricante: Lenovo Group Limited. Número da peça do fabricante: 82GK001NUS. Nome da marca: Lenovo. Linha de produto: 300e Windows 2ª geração. Modelo do produto: 82GK001NUS. Nome do produto: 300e Windows 2ª geração 82GK001NUS Netbook. Tipo de produto: Netbook. [Processador] Fabricante do processador: AMD. Modelo do processador: 3015e. Núcleo do processador: Dual-core (2 núcleos). Velocidade do processador: 1,20 GHz. Velocidade turbo máxima: 2,40 GHz. [Memória] Memória padrão: 4 GB. Tecnologia de memória: DDR4 SDRAM. [Armazenamento] Tipo de unidade: Flash. Capacidade de memória flash: 64 GB. [Tela e Gráficos] Tamanho da tela: 11,6 polegadas. Tipo de tela: LCD. Tecnologia de tela de exibição: Tecnologia de comutação de avião (IPS). Modo de tela: HD. Resolução da tela: 1366 x 768. Tela sensível ao toque: Sim. Fabricante do controlador de gráficos: AMD. Modelo do controlador de gráficos: Radeon Graphics. Tecnologia de memória gráfica: DDR4 SDRAM. Acessibilidade da memória gráfica: compartilhada. [Rede e Comunicação] LAN sem fio: Sim. Padrão LAN sem fio: IEEE 802.11a/b/g/n/ac. Tecnologia Ethernet: Ethernet. Bluetooth: Sim. [Dispositivos integrados] Câmera frontal/webcam: Sim. [Interfaces/portas] HDMI: Sim. Número total de portas USB: 3. Número de portas USB 3.2 Geração 2: 2. USB Tipo C: Sim. Detalhes USB tipo C: 1 USB tipo C (USB 3.2 Geração 2 + DP 1.2 + PD 3.0). [Software] Plataforma do sistema operacional: Windows. Sistema operacional: Windows 10 Pro. Idioma do sistema operacional: inglês. Arquitetura do sistema operacional: 64 bits. [Dispositivos de entrada] Localização do teclado: Inglês (EUA). [Informações da bateria] Numb",195890568096,"Lenovo Netbook 300e Windows 2ª geração 82GK001NUS 11,6"" tela sensível ao toque - HD - 1366 x 768 - AMD 3015e Dual-core (2 núcleos) 1,20 GHz - 4 GB de RAM - 64 GB de memória flash - Preto - Windows 10 Pro - AMD Radeon Gr",https://www.amazon.com.br/Lenovo-Netbook-Windows-82GK001NUS-sens%C3%ADvel/dp/B099NLWR6N,"lenovo netbook 300e windows 2ª geração 82gk001nus 11,6"" tela sensível ao toque - hd - 1366 x 768 - amd 3015e dual-core (2 núcleos) 1,20 ghz - 4 gb de ram - 64 gb de memória flash - preto - windows 10 pro - amd radeon gr",amazon,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019803630,Notebook hp 15-EF0025WM amd Ryzen 5/8GB/256GB SSD/15.6 HD/W10 Oferta!,https://www.americanas.com.br/produto/4958392065,notebook hp 15-ef0025wm amd ryzen 5/8gb/256gb ssd/15.6 hd/w10 oferta!,americanas,0
19,Características:,824142245095,"Notebook Msi Modern 14, Intel I3-1115g4, 14, Fhd, 8gb Ddr4, Ssd 512gb M.2, Beige Mousse, Modern14b11mo-203us",https://www.amazon.com.br/Notebook-Modern-I3-1115g4-Mousse-Modern14b11mo-203us/dp/B08ZVGH5JY,"notebook msi modern 14, intel i3-1115g4, 14, fhd, 8gb ddr4, ssd 512gb m.2, beige mousse, modern14b11mo-203us",amazon,"Intensifique a ação. Com o novo notebook Dell G15 Gaming você terá uma incrível experiência em um notebook com um desempenho excepcional. Este notebook conta com processadores AMD Ryzen 5000, que fornecem um desempenho poderoso.",7899864942204,"Notebook Gamer Dell G15-a0500-MM15P 15.6"" FHD AMD Ryzen™ 5 16GB 512GB SSD NVIDIA RTX 3050 Windows 11",https://www.amazon.com.br/Notebook-Dell-G15-a0500-MM15P-RyzenTM-Windows/dp/B09HP9KJSG,"notebook gamer dell g15-a0500-mm15p 15.6"" fhd amd ryzen™ 5 16gb 512gb ssd nvidia rtx 3050 windows 11",amazon,0
21,"O Chromebook 500e (2ª geração) combina perfeitamente tecnologia em movimento com processamento poderoso e uma experiência de sala de aula premium. Graças a uma dobradiça de 360 graus, ela pode ser usada de quatro maneiras e há uma caneta digital para escrever e fazer anotações. Este 2 em 1 de 29,5 cm é robusto o suficiente para lidar com o que o dia escolar traz.",195891777435,500E CHROMEBOOK CEL 4GB 32GB CAM CRM,https://www.amazon.com.br/500E-CHROMEBOOK-CEL-4GB-32GB/dp/B09HYTG99R,500e chromebook cel 4gb 32gb cam crm,amazon,"Aproveite ao máximo O seu dia com O novo inspiron 15 3000. Memória e armazenamento pensados para o dia a dia: alterne facilmente entre aplicativos abertos com 8 gb de memória. O ssd ainda proporciona maior tempo de bateria, rápida resposta e performance mais silenciosa. Tela impressionante: a tela Full HD de 15,6, antirreflexo de alta definição com três lados de bordas finas, oferece uma imagem clara e brilhante que é agradável aos olhos com a solução de software ComfortView (reduz a emissão de luz azul). Faça tudo com eficiência: os processadores amd Ryzen 5 com amd Radeon Vega 8 oferecem capacidade de resposta incrível e multitarefa contínua. cheio de estilo! Mobilidade e design: fácil de levar com você para todos os lugares com dimensões comparáveis a modelos antecessores da linha 3000 de 14, o novo Inspiron 15 3000 ainda conta com uma bateria otimizada de 54Whr com até 14 horas de uso* para ainda mais liberdade. Uma gama de portas: conecte-se a uma TV ou monitor com a porta hdmi, faça download de fotos por meio do slot para cartão sd, aproveite rápidas velocidades de transferência em todos os seus acessórios com duas portas USB 3.2 de 1ª Geração. Segurança e agilidade: otimize seu tempo com o leitor de impressão digital e faça orçamentos e outros cálculos em instantes com o teclado numérico. Ambientalmente consciente: desde a incorporação do uso de plásticos reciclados pós-consumo até o uso de tintas à base de água com baixo teor de voc e até mesmo a construção de nossas embalagens com materiais reciclados, este notebook foi projetado inspirado em um futuro melhor. complete sua experiência com A mochila dell essential! A mochila é leve e confortável, resistente a água, e possui impressão gráfica reflexiva fornece maior visibilidade durante as horas de baixa luminosidade, mantem os dispositivos protegidos, possui zíperes ocultos (os zíperes passam por baixo da alça de ombro) que dificultam o acesso indesejado enquanto se utiliza a mochila. Imagens meramente ilustrativas. A Mochila Dell Essential é maleável, podendo se adaptar a diversos conteúdos diferentes. Nas imagens, a mochila contém objetos em seu interior que ajudam a manter a forma. Para ficar ainda melhor, conta com 3 anos de garantia com troca avançada (realizando o envio de um produto novo caso ocorra algum problema). projetado para proporcionar tranquilidade Tranquilidade incluída: Este produto conta com a praticidade da garantia padrão válida por 12 meses (incluindo a garantia legal de 90 dias). Realizamos diagnóstico remoto em horário comercial e, se for identificada a necessidade de substituição de algum componente, você pode utilizar a agência dos Correios mais próxima para enviar seu equipamento a um centro de reparos da Dell. Para ficar ainda melhor, conte com 12 meses do antivírus McAfee sem nenhum custo adicional, que permite ao cliente Dell proteger ilimitados dispositivos. Este modelo acompanha o sistema operacional Windows 11 para uma experiência completa e Microsoft Office Trial – Versão para experimentação, válida por 30 dias. O Windows 11 o aproxima do que você ama. Família, amigos, desejos, música, criações o Windows 11 é o lugar para tudo isso. Com uma nova aparência e ferramentas que facilitam a eficiência, ele tem o que você precisa para o futuro. *O Inspiron 15 3000 tem até 14 horas 48 minutos * de vida útil da bateria Mobile Mark 14 quando equipado com processador amd Picasso R5 3450U Mobile com Radeon Graphics, 8 gb, 1x8 gb, DDR4, memória de 3200 MHz, 256 gb M.2 PCIe NVMe ssd, monitor fhd nt de 15,6 ""e bateria 4-Cell 54 Whr * e Windows 10, conforme testado pelos laboratórios da Dell em junho de 2021. O tempo de execução da configuração está sujeito à variedade regional do sistema com os componentes listados acima.",7899864941702,Kit Notebook Dell Inspiron 15 3000 a0500-MM10SB 15.6 fhd amd Ryzen 5 8GB 256GB ssd Windows 11 Prata + Mochila,https://www.americanas.com.br/produto/4101694881,kit notebook dell inspiron 15 3000 a0500-mm10sb 15.6 fhd amd ryzen 5 8gb 256gb ssd windows 11 prata + mochila,americanas,0
22,"Design resistente, orçamento fácil Quando você precisa de um dispositivo áspero que resista aos rigores da sala de aula, o Lenovo 100e Chromebook (2ª geração) não decepcionará. Este dispositivo de 11,6"" inclui acesso ao Google Classroom, ao G Suite for Education e a toneladas de outros aplicativos de aprendizagem interativos para alunos e professores. Além disso, cabe a um orçamento que qualquer administração escolar adoraria. Fabricante: Lenovo Group Limited. Número de peça do fabricante: 81QB0000US. Marca: Lenovo. Linha de produtos: 100e Chromebook 2ª geração. Modelo de produto: 81QB0000US. Nome do produto: 100e Chromebook 2ª geração 81QB0000US Chromebook. Tipo de produto: Chromebook. [Processador e chipset] Fabricante do processador: MediaTek. Modelo do processador: MT8173C. [Memória] Memória padrão: 4 GB. [Software] Plataforma do sistema operacional: Chrome OS. Sistema operacional: Chrome OS. [Informações da bateria] Número de baterias: 1. Número de células: 3 células. [Descrição de energia] Tensão de entrada: 120 V AC. 230 V CA. [Diversos] Conteúdo do pacote: 100e Chromebook 2ª geração 81QB0000US ChromeBookLithium Polymer BatteryAC Adaptador. [Garantia] Garantia limitada: 1 ano.",193268619128,Lenovo 100E Chromebook,https://www.amazon.com.br/Lenovo-81QB0000US-100E-Chromebook/dp/B07Q6F5J7G,lenovo 100e chromebook,amazon,"Notebook ideapad gaming 3i i5-10300h 8gb 256gbssd gtx 1650 4gb 15.6"" fhd wva linux 82cgs00100 Tipo de produto:NOTEBOOK_COMPUTER Instruções de cuidado/Validade: segue atentamente as informações fornecidas pelo fabricante no folheto informativo ou na caixa/embalagem do produto Descubra produtos úteis para você.",195892009962,"Lenovo Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD GTX 1650 4GB 15.6"" FHD WVA Linux 82CGS00100, Blue",https://www.amazon.com.br/Notebook-ideapad-i5-10300H-256GBSSD-82CGS00100/dp/B0945D7C9T,"lenovo notebook ideapad gaming 3i i5-10300h 8gb 256gbssd gtx 1650 4gb 15.6"" fhd wva linux 82cgs00100, blue",amazon,0
28,Especificação:,7418586368958,"Tablet PC, 100-240V 128GB Tablet 1366x768 Resolução MT6797 Ten Core HD Mode para Android 8.0",https://www.amazon.com.br/Tablet-100-240V-1366x768-Resolu%C3%A7%C3%A3o-Android/dp/B09XNXJHF2,"tablet pc, 100-240v 128gb tablet 1366x768 resolução mt6797 ten core hd mode para android 8.0",amazon,Design e,7892509109581,NOTE I7 8G 1T 15.6 HD W10 PRO  METALLIC TITANIUM,https://www.amazon.com.br/Notebook-Samsung-Titanium-NP350XBE-XB2BR-I7-8565u/dp/B07XJPTLY2,note i7 8g 1t 15.6 hd w10 pro  metallic titanium,amazon,0
34,"Fabricante: Acer, Inc. Número da peça do fabricante: NX.HBRAA.003. Nome da marca: Acer. Linha do produto: Chromebook Spin 311. Série do produto: R721T. Modelo do produto: R721T-62ZQ. Nome do produto: Chromebook Spin 311 R721T-62ZQ 2 em 1 Chromebook. Tipo de produto: Chromebook 2 em 1. [Processador e chipset] Fabricante do processador: AMD. Tipo de processador: Série A. Modelo do processador: A6-9220C. Velocidade do processador: 1,80 GHz. Velocidade máxima do turbo: 2,70 GHz. Núcleo do Processador: Dual-core (2 núcleos). Cache: 1 MB. Processamento de 64 bits: Sim. Memória padrão: 4 GB. Tecnologia de memória: DDR4 SDRAM. Leitor de cartão de memória: Sim. Cartão de memória suportado: microSD. [Armazenamento] Capacidade de memória flash: 32 GB. Tipo de unidade óptica: Não. [Exibição e gráficos] Tamanho da tela: 11,6"". Tipo de tela de exibição: LCD. Tecnologia de tela de exibição: tecnologia de troca de avião (IPS). Proporção de imagem: 16:9. Modo de tela: HD. Resolução da tela: 1366 x 768. Tecnologia de retroiluminação: LED. Tela sensível ao toque: Sim. Tela multitoque: Sim. Número de pontos de toque: 10 pontos. Fabricante do controlador de gráficos: AMD. Modelo de controlador de gráficos: Radeon R5 Graphics. Tecnologia de memória gráfica: DDR4 SDRAM. Acessibilidade de memória gráfica: compartilhada. [Rede e comunicação] Wireless LAN: Sim. Padrão de LAN sem fio: IEEE 802.11ac. Bluetooth: Sim. Bluetooth padrão: Bluetooth 4.1. [Dispositivos embutidos] Câmera frontal/webcam: Sim. Câmara frontal/resolução de vídeo na webcam: 1280 x 720. Microfone: Sim. Leitor de impressão digital: Não. Alto-falantes: Sim. Número de alto-falantes: 2. Tipo de sensor: Acelerômetro. Giroscópio. Modo de som: estéreo. [Interfaces/portas] Número total de portas USB: 4. USB tipo C: Sim. Detalhes do tipo C USB: porta USB tipo C de suporte: DisplayPort sobre USB-C USB de carregamento 5/9/15/20 V; porta DC-3 A 20 V; porta combo de fone de ouvido/microfone: Sim. [Software] Plataforma do sistema operacional: Chrome OS. Sistema operacional: Chrome OS. [Dispositivos de entrada] Teclado: Sim. Localização do teclado: Engli",193199648846,"Acer Chromebook Spin 311 R721T-62ZQ 11,6"" Touchscreen 2 em 1 Chromebook - 1366 x 768 - A-Series A6-9220C - 4 GB RAM - 32 GB Flash Memory - Shale Black - Chrome OS - AMD Radeon R5 Graphics - in-pl",https://www.amazon.com.br/Acer-Chromebook-Spin-R721T-62ZQ-Touchscreen/dp/B086HPN8DH,"acer chromebook spin 311 r721t-62zq 11,6"" touchscreen 2 em 1 chromebook - 1366 x 768 - a-series a6-9220c - 4 gb ram - 32 gb flash memory - shale black - chrome os - amd radeon r5 graphics - in-pl",amazon,"Notebook novo original com 12 meses de garantia! preço especial com duração limitada! fotos reais do produto! acompanha carregador! embalagem reforçada! Esse notebook possui chipset de vídeo hd integrado na placa mãe, sistema operacional ativado, pacote office ativado com word, excel e demais programas inclusos, antivírus ativado, conexão Wi-fi, tela led, leitor de cartões, webcam, portas usb, conector p2 para fone. Tudo isso em um notebook pensado para você produzir, se informar e se divertir ainda mais. garantia: 12 meses contados A partir do dia que for entregue",7890019801810,Notebook Asus R429MA-BV286TS 14 Intel Celeron N4020 - Azul Oferta!,https://www.americanas.com.br/produto/4958387717,notebook asus r429ma-bv286ts 14 intel celeron n4020 - azul oferta!,americanas,0
