,descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,match
1,Sobre este item    Descubra o primeiro 5G* com design ultrafino do Brasil    Ouse com a câmera de 108 MP* e Super Zoom de 30x    Descubra a tela OLED com 144 Hz para imagens mais nítidas e fluidas    Invente com a conectividade multitelas da plataforma Ready For*,7892597351206,Smartphone Motorola Edge 20 128GB 8GB RAM Branco,https://www.amazon.com.br/Smartphone-Motorola-Edge-128GB-Branco/dp/B09HVYYJMT/ref=sr_1_404?qid=1651784058&s=wireless&sr=1-404,smartphone motorola edge 20 128gb 8gb ram branco,amazon,,7895183061763,Cômoda 4 Gavetas Flora 4130 Ébano Touch - DEMÓBILE,https://www.amazon.com.br/C%C3%B4moda-Gavetas-Flora-%C3%89bano-Touch/dp/B08574LNJX/ref=sr_1_1563?qid=1651784129&s=wireless&sr=1-1563&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,cômoda 4 gavetas flora 4130 ébano touch - demóbile,amazon,0
4,"Sobre este item    3GB/64GB, Tela de 6,2"" V- Notch HD+ 20:9, Inteligência Artificial, Resistente a impactos, Câmera Dupla 13Mp+2Mp, Selfie de 5Mp, Processador Qualcomm QM215 Quad-Core 1.3 e Bateria de 3,000mAh - Titan    Tela de 6,2"" V- Notch HD+ 20:9    Inteligência Artificial    Resistente a impactos    Selfie de 5Mp, Processador Qualcomm QM215 Quad-Core 1.3 e Bateria de 3,000mAh",7893299914690,"Smartphone LG K22+ , 3GB Memória, 64GB armazenamento, Dual Chip Android 10 Tela 6.2"" Quad Core 4G Câmera 13MP+2MP - Titan",https://www.amazon.com.br/Smartphone-LG-Mem%C3%B3ria-armazenamento-Android/dp/B08DRMM17M/ref=sr_1_1367?qid=1651784116&s=wireless&sr=1-1367&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,"smartphone lg k22+ , 3gb memória, 64gb armazenamento, dual chip android 10 tela 6.2"" quad core 4g câmera 13mp+2mp - titan",amazon,Sobre este item    SDXC 0256GB ADATA Class10 UHS-I U3,4713218463944,SDXC 0256GB ADATA Class10 UHS-I U3,https://www.amazon.com.br/SDXC-0256GB-ADATA-Class10-UHS-I/dp/B07BCCP6P3/ref=sr_1_1720?qid=1651784137&s=wireless&sr=1-1720&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,sdxc 0256gb adata class10 uhs-i u3,amazon,0
12,"Multilaser E Pro com tela de 5.0, 32GB de memória interna, conexão 4G processador Quad Core e memória ram de 1GB, tenha mais velocidade para navegar, fazer uploads e conversar com a família e amigos por chamada de vídeo. Novos recursos e maior segurança com o Android 11 Go Adicione atalhos e customize seu aparelho do jeito que quiser! Memória Interna de 32GB, tenha espaço para salvar fotos, vídeos, jogos e suas séries prediletas na palma da sua mão. Guarde os melhores momentos da sua vida e faça ótimas fotos com as câmeras traseira e frontal do Multilaser E Pro. Imagens meramente ilustrativas.",7908414420243,Smartphone Multilaser E Pro 32GB 4G wi-fi Dourado Tela 5.0 Dual Chip 1GB ram Câmera 5MP + Selfie 5MP Android 11 Go - P9151,https://www.americanas.com.br/produto/4888023159,smartphone multilaser e pro 32gb 4g wi-fi dourado tela 5.0 dual chip 1gb ram câmera 5mp + selfie 5mp android 11 go - p9151,americanas,Smartphone Multilaser E Pro Dourado - P9151,7908414420243,Smartphone multilaser E pro dourado - P9151,https://www.americanas.com.br/produto/5068984106,smartphone multilaser e pro dourado - p9151,americanas,1
13,"Com o Smartphone Multilaser F Café 3G 16GB, você tem mais versatilidade para seu dia a dia. descrição: Segurança e praticidade com desbloqueio por impressão digital. Aproveite muito mais do seu Smartphone com o Android 9.0 Pie Go, tela de 5.5"" para melhor visualização de fotos e vídeos, câmera traseira de 5MP + selfiel de 5MP e bateria de 2500 mAh que não te deixa na mão. Além disso, o aparelho conta com 1GB de memória ram, processador Quad-Core, tecnologia 3G e Dual Chip",7899838864716,Smartphone Multilaser F 16GB Café,https://www.americanas.com.br/produto/3549853924,smartphone multilaser f 16gb café,americanas,"Com o Smartphone Multilaser F Café 3G 32GB, 1gb Ram, você tem mais versatilidade para seu dia a dia. descrição: Segurança e praticidade com desbloqueio por impressão digital. Aproveite muito mais do seu Smartphone com o Android 9.0 Pie Go, tela de 5.5"" para melhor visualização de fotos e vídeos, câmera traseira de 5MP + selfiel de 5MP e bateria de 2500 mAh que não te deixa na mão. Além disso, o aparelho conta com 1GB de memória ram, processador Quad-Core, tecnologia 3G e Dual Chip. Modelo do processador: Unisoc SC7731E; Velocidade do processador: 1.3 GHz Operadora: Desbloqueado Capacidade máxima do cartão de memória: 64 gb Tamanhos de cartão sim compatíveis: Micro-SIM, Nano-SIM",7899838864716,Smartphone Multilaser F 32GB Café 1gb Ram,https://www.americanas.com.br/produto/4703840145,smartphone multilaser f 32gb café 1gb ram,americanas,1
14,"Multilaser G 2 com tela de 6.1"" hd +, 32GB de memória interna e bateria de 3000 mAh. Registre os melhores momentos da sua vida com a câmera de 8MP do Multilaser G 2. Tenha espaço para salvar fotos, vídeos, jogos e suas séries prediletas na palma da sua mão. Assista séries e filmes e navegue com incrível nitidez e praticidade da tela de 6.1"" hd +. Aproveite todas as funções sem travamentos com o Processador Quad Core 1,8 Ghz e Memória ram de 2GB do aparelho. Novos recursos e maior segurança com o Android 11 Go. Adicione atalhos e customize seu aparelho do jeito que quiser! Sensor de Digitais e Reconhecimento Facial, mais praticidade e segurança na palma da sua mão, desbloqueie o aparelho rapidamente e entre na sua conta bancária em apenas um toque. Tenha mais velocidade para navegar, fazer uploads e conversar com a família e amigos por chamada de vídeo.",7908414420274,Smartphone multilaser g2 2gb 32gb android 11 p9154 dual,https://www.americanas.com.br/produto/3814027202,smartphone multilaser g2 2gb 32gb android 11 p9154 dual,americanas,,7895183061763,Cômoda 4 Gavetas Flora 4130 Ébano Touch - DEMÓBILE,https://www.amazon.com.br/C%C3%B4moda-Gavetas-Flora-%C3%89bano-Touch/dp/B08574LNJX/ref=sr_1_1563?qid=1651784129&s=wireless&sr=1-1563&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,cômoda 4 gavetas flora 4130 ébano touch - demóbile,amazon,0
20,"Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol. 3g Quad Core Camera Traseira 5mp FrontalSimplicidade e conforto com o novo Smartphone Multilaser E Lite 3G 32GB. Seu primeiro smartphone. Design sofisticado com Tela de 4.0 Polegadas, Câmera traseira de 5MP + frontal de 5MP. Bateria de 1500 mAh que não te deixa na mão. Memória interna de 32GB, 512MB de memória ram e Processador Quad Core. Acompanha Capa e Película. Android 8.1 go. Especificações Técnicas: Bluetooth: Sim Conexões: 3G, Wi-fi Microfone Embutido: Sim Entradas: usb, Cartão de memoria Resistente à Água: Não Compatibilidade: Android, Smartphone, usb Cabo de Áudio P2: Não Sistema Operacional: Android 8.1 Mémoria ram: 512MB Conexão: Bluetooth Capacidade: 32GB Mémoria Interna: 32GB Cor: Dourado Tipo: Micro usb Com Microfone: Sim Tamanho da Tela: 4.0 Pol Câmera Frontal: 5MP Display: lcd Câmera traseira: 5MP Garantia: 03 Meses contra Defeitos de Fabricação Marca: Multilaser",7899838889214,Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol 3g,https://www.americanas.com.br/produto/1983758671,smartphone multilaser e lite 32gb dourado tela 4.0 pol 3g,americanas,"Smartphone Multilaser E Lite 3G 32GB. Seu primeiro smartphone. Design sofisticado com Tela de 4.0 Polegadas, Câmera traseira de 5MP + frontal de 5MP. Bateria de 1500 mAh que não te deixa na mão. Memória interna de 32GB, 512MB de memória ram e Processador Quad Core. Acompanha Capa e Película. Android 8.1 go. Garantia do Fabricante: 1 Ano. *Imagens Meramente Ilustrativas*",7899838889214,Smartphone Multilaser E Lite 32GB,https://www.americanas.com.br/produto/2521630147,smartphone multilaser e lite 32gb,americanas,1
21,"Sobre este item    O conjunto de câmeras traseiras Ultra Wide de 13 MP e 5 MP com 123º é ideal para fotografar. Você só precisa deixar rolar sua criatividade enquanto tira as fotos.    A bateria de 4,000 mAh do Galaxy A20 garante que você tenha bateria para compartilhar com os amigos, assistir a vídeos por streaming ou simplesmente viver a vida.    O Modo Noturno ajuda você a desacelerar, tornando-se mais escuro para você acalmar a vista e descansar melhor à noite.    Vá além com uma tela grande    Design bonito e simplificado    Duas câmeras para capturar momentos épicos",7892509107563,"Smartphone Samsung Galaxy A20, 32Gb, Tela 6.4'', Preto, Sm-A205Gzkjzto",https://www.amazon.com.br/Smartphone-Samsung-Galaxy-Preto-Sm-A205Gzkjzto/dp/B07R18D87H/ref=sr_1_1403?qid=1651784119&s=wireless&sr=1-1403,"smartphone samsung galaxy a20, 32gb, tela 6.4'', preto, sm-a205gzkjzto",amazon,"Galaxy A20: clicks potentes com DNA SamsungO Galaxy A20 é o novo smartphone da Samsung que veio para compor a família A 2019. Com display sAMOLED de 6,4 polegadas, esse modelo atende às necessidades de quem precisa de um smartphone com uma tela maior e capaz de rodar todos os tipos de conteúdo com resolução HD+. Sua câmera principal de 13 e 5MP e a ultra wide-angle 5MP, entregam fotos com uma perspectiva mais ampla em um único clique. Já a câmera frontal de 8MP, pode tirar selfies com qualidade sempre que você quiser. Tudo isso com um processador Octa-Core + 3GB de RAM, que permite que você rode seus aplicativos sem preocupações.Com uma bateria poderosa de 4000 mAh de capacidade, esse modelo tem energia o suficiente para acompanhar você nas suas atividades. E para manter tudo em segurança, o Samsung Galaxy A20 vem com sistema de desbloqueio por reconhecimento facial e por sensor de impressão digital. Assim, só você terá acesso as suas informações.Continue rolando a página para ver a ficha técnica do Galaxy A20 e ficar por dentro dessa grande novidade. Aproveite! :)Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.",7892509107563,Smartphone Samsung Galaxy A20 - Preto,https://www.americanas.com.br/produto/134254022,smartphone samsung galaxy a20 - preto,americanas,1
27,"Você merece mais tecnologia no seu dia a dia e o Smartphone Positivo Twist 4 Pro é a melhor opção. Ideal para quem ama selfies, possui LED flash traseiro e frontal, para não faltar ótimas fotos nem no escuro. Conta ainda com câmera traseira de 8MP. Desenvolvido com design moderno, possui o mais novo e atualizado Android, otimizado para trazer maior velocidade nos aplicativos e melhor uso da memória do aparelho. Seu processador é o Octa-Core. Ou seja, muito mais rapidez para você. Com 64GB de armazenamento, você poderá adicionar fotos, instalar aplicativos, baixar vídeos e muito mais sem se preocupar com a memória. Muito mais espaço! Para garantir a proteção do Smartphone Positivo Twist 4 Pro, já vem com película de proteção na embalagem. Um jeito muito mais fácil de manter o aparelho protegido. Esse é o smartphone que você precisa! Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.<Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",7896904691795,"Smartphone Positivo Twist 4 Pro 64GB Dual Chip Android 10 Tela 5.5"" Octa-Core 1,6GHz 4G 8MP -  Black Piano",https://www.americanas.com.br/produto/2966383231,"smartphone positivo twist 4 pro 64gb dual chip android 10 tela 5.5"" octa-core 1,6ghz 4g 8mp -  black piano",americanas,,7895183061763,Cômoda 4 Gavetas Flora 4130 Ébano Touch - DEMÓBILE,https://www.amazon.com.br/C%C3%B4moda-Gavetas-Flora-%C3%89bano-Touch/dp/B08574LNJX/ref=sr_1_1563?qid=1651784129&s=wireless&sr=1-1563&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,cômoda 4 gavetas flora 4130 ébano touch - demóbile,amazon,0
28,,7892509119160,Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-C%C3%A2mera-Tripla/dp/B09JTS7FWD/ref=sr_1_419?qid=1651784060&s=wireless&sr=1-419,smartphone samsung galaxy s20 fe 128gb 4g wi-fi tela 6.5'' dual chip 6gb ram câmera tripla + selfie 32mp - cloud navy,amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509116213,Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Mint,https://www.americanas.com.br/produto/2290966401,smartphone samsung galaxy s20 fe 128gb 4g wi-fi tela 6.5'' dual chip 6gb ram câmera tripla + selfie 32mp - cloud mint,americanas,0
32,"Smartphone Positivo Twist 3 Pro AuroraPara você que não abre mão de estar sempre conectado, o Smartphone Positivo Twist 3 Pro (s533) Aurora é a escolha ideal. Com ele, sua rotina diária fica muito mais prática e eficiente. Com sistema operacional Android™ Oreo ™ (Go Edition), você tem mais velocidade ao acessar aplicativos e navegar na internet, além de executar as funções com segurança, melhor desempenho, economia de dados e aplicativos reformulados especialmente para ele. Com o processador Quad Core você acessa as redes sociais, escuta a suas playlist, joga ou até mesmo assiste seus filmes e programas favoritos de uma forma muito mais fácil e rápida, já que as interfaces ficam mais acessíveis e não desaceleram durante o uso.Outro diferencial do Twist 3 Pro (s533) Aurora, é que além de ter a maior e melhor tela já lançada em um smartphone da Positivo, ele mantém uma pegada confortável com o design 18:9. Já a câmera traseira e frontal de 8MP dá várias possibilidades para fazer suas selfies, retratos, fotografias de paisagens e muito mais! Além disso, ele possui filmadora HD para você produzir os seus vídeos e registrar todos os momentos com máxima qualidade.E com a bateria de 3.000mAh, Li Ion removível, você tem mais autonomia para usar o seu Smartphone Positivo aonde quiser e, assim, explorar as suas multifunções e não perder nenhum detalhe. Com o Twist 3 Pro você tem em suas mãos um smartphone completo de alta tecnologia e desempenho, com diversos recursos para garantir resultados surpreendentes. Confira mais detalhes abaixo!",7896904647198,"Smartphone Positivo Twist 3 Pro S533 64GB Dual Chip Android Oreo Go Edition Tela 5.7"" Quad Core 3G Câmera 8MP - Aurora",https://www.americanas.com.br/produto/1446550998,"smartphone positivo twist 3 pro s533 64gb dual chip android oreo go edition tela 5.7"" quad core 3g câmera 8mp - aurora",americanas,"Sobre este item    2 drivers de áudio grandes de 40 mm para jogos    Áudio de jogo estéreo bem equilibrado    Cabo plano antiemaranhado    A maioria dos dispositivos móveis    Compatível com 4 etapas de 3,5 mm",8886411982591,Molotov-3 Alpine Allies,https://www.amazon.com.br/Armaggeddon-Molotov-Alpin-Molotov-3-Alpine/dp/B018776DOY/ref=sr_1_1941?qid=1651784150&s=wireless&sr=1-1941&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,molotov-3 alpine allies,amazon,0
