descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
,7896584035544,Frigobar RE80 79L Branco - Electrolux 110V,https://www.americanas.com.br/produto/310181,frigobar re80 79l branco - electrolux 110v,americanas,"Cor: branco - Voltagem: 220 volts Frigobar Electrolux RE80, compacto e prático para conservar alimentos e bebidas! Características: Compartimento Cold Drink: gela bebidas rapidamente, economizando tempo. Compartimento Flex Box: facilita a abertura para colocar e retirar alimentos proporcionando mais espaço e melhor organização interna. Tampa do compartimento: Flex Box reversível para prateleira extra: proporciona mais espaço e melhor organização interna. Porta-latas com capacidade para 8 latas: espaço específico para armazenamento de latas de bebidas em geral. Porta-latas reversível: podem ser utilizados como prateleiras na porta, armazenando qualquer tipo de embalagem, basta inverter o lado do encaixe. Prateleira em ps Cristal super-resistente: melhor transparência e visibilidade. Congelador: melhor conservação dos alimentos e mais rapidez para gelá-los. Porta reversível: facilita a colocação e adaptação do produto em qualquer ambiente. Controle de temperatura: regula a temperatura conforme necessidade. Economiza energia e preserva melhor os alimentos. Prateleira inferior da porta para garrafas: capacidade para garrafas de até 2,5l. Pés niveladores frontais: fácil nivelamento do produto, facilitando a limpeza. Certificado pelo Inmetro: Nível A de consumo de energia. 3 anos de garantia contra corrosão na porta e no gabinete: qualidade Zyncplus, garantindo a resistência do produto. Informações técnicas: Modelo: RE80 Classificação Energética: a Capacidade Total de Armazenamento (l): 79 Capacidade Total Bruta (l): 80 Tensão (v): 127 V ou 220 V (Não é Bivolt). Frequuml; Ência (Hz): 60Hz Consumo (KWh/mês) 127 v: 17.4 Consumo (KWh/mês) 220 v: 17.4 Dimensões: Altura: 64cm Largura: 49,5cm Profundidade: 54cm Peso: 25Kg Garantia do Fornecedor de 12 meses",7896584035551,Frigobar 79L electrolux - RE80,https://www.americanas.com.br/produto/3745581612,frigobar 79l electrolux - re80,americanas,geladeiras,0
"Características do Produto Tipo: Refrigerador Controlador de Temperatura: Mecânico, Regulável 0°C a 5°C Iluminação Interna: Sim Porta: Metal com Isolamento Térmico Puxador da Porta: Plástico Abertura da Porta: Da Esquerda para Direita* Trava de Abastecimento: Não Degelo: Manual Dreno: Não Recipiente de Degelo: Não Prateleiras: 2 Fixas Evaporador: Não Sistema de Refrigeração: Compressor Gás Refrigerante: R134a Pés: Frontais Reguláveis e Traseiros com Rolete Gabinete Interno: psai Gabinete Externo: Aço Revestido com Pintura Eletrostática Capacidade de Armazenamento: 70L Refrigerador e 12L Congelador Marca: Venax Especificações Técnicas Tensão: 12/24V – Com Chave Seletora Frequência: 60Hz Isolamento Térmico: Poliuretano Etiquetas: Inmetro Garantia: 1 Ano Potência e Corrente do Aparelho em 12V: 42W/3,5 a Potência e Corrente do Aparelho em 24V: 24W/1,0 a Volume Líquido: 82 L",7899552144682,Refrigerador ngv 10 branco 12/24 V,https://www.americanas.com.br/produto/3652790626,refrigerador ngv 10 branco 12/24 v,americanas,"Características do ProdutoTipo: RefrigeradorControlador de Temperatura: Mecânico, Regulável 0°C a 5°CIluminação Interna: SimPorta: Metal com Isolamento TérmicoPuxador da Porta: PlásticoAbertura da Porta: Da Esquerda para Direita*Trava de Abastecimento: NãoDegelo: ManualDreno: NãoRecipiente de Degelo: NãoPrateleiras: 2 FixasEvaporador: NãoSistema de Refrigeração: CompressorGás Refrigerante: R134aPés: Frontais Reguláveis e Traseiros com RoleteGabinete Interno: PSAIGabinete Externo: Aço Revestido com Pintura EletrostáticaCapacidade de Armazenamento: 70L Refrigerador e 12L CongeladorMarca: VenaxEspecificações TécnicasTensão: 127V ou 220VFrequência: 60HzIsolamento Térmico: PoliuretanoEtiquetas: InmetroGarantia: 1 AnoPotência: 90WVolume Líquido: 82L",7899552101357,Refrigerador Ngv 10 Branco,https://www.americanas.com.br/produto/3193711545,refrigerador ngv 10 branco,americanas,geladeiras,0
"Mini Geladeira 10L Branca 110V-12V Cabo Ac-Dc Tv015 Caracteristicas principais Temperatura mínima de até -2graus para sempre ter à mão os alimentos frescos, aquece os alimentos em até 60ºc para sua maior comodidade. Aviso sobre o produto Evitar contato com líquidos. Alcas: Alca superior praticidade no manuseio Alimentação: 12v Conexão usb: Nao possui conexão usb Controle remoto: Nao Ideal para: Passeios e viagens Leitor de cartao: Nao Marca: Multilaser Conteúdo da embalagem 1 mini geladeira 10l 1 cabo carregador 1 manual do usuario Cor principal: Branca",7899838866574,Mini Geladeira 10L Branca 110V-12V Cabo Ac-Dc Tv015,https://www.americanas.com.br/produto/3268378451,mini geladeira 10l branca 110v-12v cabo ac-dc tv015,americanas,"Características: - Marca: Multilaser - Modelo: TV015 Especificações: - refrigeraão: Temperatura mínima de até -2ºC para sempre ter à mão os alimentos frescos. - aquecimento: Aquece os alimentos em até 60ºC para sua maior comodidade! - meio ambiente: Ecologicamente sustentável. Livre de cfc, principal gás responsável pela redução da camada de ozônio. - alto poder de resfriamento: Sistema duplo para muito mais eficiência - carregador automotivo: Acompanha carregador automotivo 12V dc - alça superior: Praticidade no manuseio - ARMAZENAMENTO:10L, comporta até garrafas na posição vertical - econômica: Pressione eco para economizar energia da iluminação de led Conteúdo Da Embalagem: - 1x Mini Geladeira 10L - 1x Cabo Carregador - 1x Manual Do Usuario",7899838866574,Mini Geladeira 10L Branca Painel Led Trivolt com Cabo ac/dc Multilaser - TV015,https://www.americanas.com.br/produto/3461705951,mini geladeira 10l branca painel led trivolt com cabo ac/dc multilaser - tv015,americanas,geladeiras,1
"Características do Produto Tipo: Refrigerador Controlador de Temperatura: Mecânico, Regulável 0°C a 5°C Iluminação Interna: Sim Porta: Metal com Isolamento Térmico Puxador da Porta: Plástico Abertura da Porta: Da Esquerda para Direita* Trava de Abastecimento: Não Degelo: Manual Dreno: Não Recipiente de Degelo: Não Prateleiras: 2 Fixas Evaporador: Não Sistema de Refrigeração: Compressor Gás Refrigerante: R134a Pés: Frontais Reguláveis e Traseiros com Rolete Gabinete Interno: psai Gabinete Externo: Aço Revestido com Pintura Eletrostática Capacidade de Armazenamento: 70L Refrigerador e 12L Congelador Marca: Venax Especificações Técnicas Tensão: 12/24V – Com Chave Seletora Frequência: 60Hz Isolamento Térmico: Poliuretano Etiquetas: Inmetro Garantia: 1 Ano Potência e Corrente do Aparelho em 12V: 42W/3,5 a Potência e Corrente do Aparelho em 24V: 24W/1,0 a Volume Líquido: 82 L",7899552144385,Refrigerador ngv 10 preto fosco 12/24 V,https://www.americanas.com.br/produto/3652814018,refrigerador ngv 10 preto fosco 12/24 v,americanas,"Características do ProdutoTipo: RefrigeradorControlador de Temperatura: Mecânico, Regulável 0°C a 5°CIluminação Interna: SimPorta: Metal com Isolamento TérmicoPuxador da Porta: PlásticoAbertura da Porta: Da Esquerda para Direita*Trava de Abastecimento: NãoDegelo: ManualDreno: NãoRecipiente de Degelo: NãoPrateleiras: 2 FixasEvaporador: NãoSistema de Refrigeração: CompressorGás Refrigerante: R134aPés: Frontais Reguláveis e Traseiros com RoleteGabinete Interno: PSAIGabinete Externo: Aço Revestido com Pintura EletrostáticaCapacidade de Armazenamento: 70L Refrigerador e 12L CongeladorMarca: VenaxEspecificações TécnicasTensão: 12/24V – Com Chave SeletoraFrequência: 60HzIsolamento Térmico: PoliuretanoEtiquetas: InmetroGarantia: 1 AnoPotência e Corrente do Aparelho em 12V: 42W/3,5 APotência e Corrente do Aparelho em 24V: 24W/1,0 AVolume Líquido: 82 L",7899552144385,Refrigerador Ngv 10 Preto Fosco 12/24 V,https://www.americanas.com.br/produto/2986962539,refrigerador ngv 10 preto fosco 12/24 v,americanas,geladeiras,1
"Geladeira/refrigerador Smart Bottom Freezer Thinq 451 Litros Lg Gc-b656bsb1 Aço Escovado 220v Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B656BSB1 Aço Escovado Nova era de geladeira Smart com tecnologiaInverter elg Thinq - Nature fresh – Seu alimento fresco por mais tempo - fresh Balancer – Controle ideal de umidade - Compressor Linear Inverter – Maior eficiência e mais silencioso - LG Thinq – Controle sua geladeira pelo aplicativo 24 Horas de refrigeração constante: A estabilidade da temperatura é o principal indicador de frescor, O LINEARCooling mantém a flutuação da temperatura dentro de + - 0,5°C Resfriamento até 35% mais rápido e uniforme: O LG DoorCooling + torna a temperatura interna mais uniforme e resfria 35% mais rápido que o sistema de resfriamento convencional. Ele reduz significamente a diferença de temperatura entre a parte interna e do lado do porta compartimento. Divisão inteligente do espaço: Armazene tudo que sua família precisa. Esta moderna geladeira possui freezer na parte de cima e freezer na parte de baixo para melhor ergonomia e praticidade para organizar seus alimentos. fresh Balancer: Manter a umidade das frutas e legumes é fundamental. Por isso, a gaveta fresh balancer vem com uma tecnologia exclusiva da LG que mantém a umidade de frutas e verduras. Ice Maker Twist: Tenha sempre gelo pronto para sua conveniência. Acabamento: Em cada detalhe, tenha um design moderno e diferenciado que vai deixar sua cozinha muito mais sofisticada. Design ergonômico com portas reversíveis e prateleira retrátil: Você pode dobrar a capacidade de armazenamento, garantindo muito mais alimentos para o seu dia a dia, festas e refeições de toda a família. Compressor linear inverter: 10 Anos de garantia a tecnologia do compressor linear inverter uma operação muito mais silenciosa e econômica que o compressores convencionais. Controle rápido e conveniente: Com o LG ThinQ, você pode controlar e diagnosticar sua geladeira pelo smartphone, mesmo quando não estiver em casa. Defina facilmente a temperatura da geladeira, controle o HygieneFresh + e faça o diagnostico dela com um simples toque no seu smartphone. Especificações Técnicas - Marca: lg - Cor: Aço Escovado - Capacidade Geladeira: 329L - Capacidade freezer: 122L - Capacidade total de armazenamento: 451 l - Peso: 91 Kg - Tipo de degelo: Automatico - Display/Painel: Sim - Controle de temperatura: Sim - Dispenser de água: Não - Porta ovos: Não - Porta latas: Não - Voltagem: 220V - Altura (cm): 185 - Largura (cm): 70,5 - Profundidade (cm): 74 - Crossdocking-b2w: 2 - Código Modelo: GC-B659BSB1 - Garantia: 12 meses",8806098423927,Geladeira Smart Bottom Freezer Thinq 451L LG 220V,https://www.americanas.com.br/produto/4082986335,geladeira smart bottom freezer thinq 451l lg 220v,americanas,"Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado Nova era de geladeira Smart com tecnologia Inverter e lg ThinqNature fresh – Seu alimento fresco por mais tempofresh Balancer – Controle ideal de umidadeCompressor Linear Inverter – Maior eficiência e mais silenciosolg Thinq – Controle sua geladeira pelo aplicativo 24 Horas de refrigeração constante: A estabilidade da temperatura é o principal indicador de frescor, O LINEARCooling mantém a flutuação da temperatura dentro de + - 0,5°C Resfriamento até 35% mais rápido e uniforme: O LG DoorCooling + torna a temperatura interna mais uniforme e resfria 35% mais rápido que o sistema de resfriamento convencional. Ele reduz significamente a diferença de temperatura entre a parte interna e do lado do porta compartimento. Divisão inteligente do espaço: Armazene tudo que sua família precisa. Esta moderna geladeira possui freezer na parte de cima e freezer na parte de baixo para melhor ergonomia e praticidade para organizar seus alimentos. fresh Balancer : Manter a umidade das frutas e legumes é fundamental. Por isso, a gaveta fresh balancer vem com uma tecnologia exclusiva da LG que mantém a umidade de frutas e verduras. Ice Maker Twist : Tenha sempre gelo pronto para sua conveniência. Acabamento: Em cada detalhe, tenha um design moderno e diferenciado que vai deixar sua cozinha muito mais sofisticada. Design ergonômico com portas reversíveis e prateleira retrátil : Você pode dobrar a capacidade de armazenamento, garantindo muito mais alimentos para o seu dia a dia, festas e refeições de toda a família. Compressor linear inverter: 10 Anos de garantia a tecnologia do compressor linear inverter uma operação muito mais silenciosa e econômica que o compressores convencionais. Controle rápido e conveniente : Com o LG ThinQ, você pode controlar e diagnosticar sua geladeira pelo smartphone, mesmo quando não estiver em casa. Defina facilmente a temperatura da geladeira, controle o HygieneFresh + e faça o diagnostico dela com um simples toque no seu smartphone.",8806098423927,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V,https://www.americanas.com.br/produto/4955349361,geladeira/refrigerador smart bottom freezer thinq 451 litros lg gc-b659bsb1 aço escovado 220v,americanas,geladeiras,1
"Refrigerador Philco Inverter 489L Side By Side Inox Frost Free 127V PRF504I O Refrigerador Philco Side By Side PRF504I possui mais eficiência e um design moderno que vai deixar a sua cozinha muito mais bonita! Pensando na sua economia, este modelo acompanha um potente compressor com tecnologia Inverter, que evita picos de funcionamento, juntamente da função de modo econômico, combatendo os gastos indesejados. Com seu design Side By Side, ela garante mais espaço vertical, e conta com a tecnologia Smart Colling, que distribui a temperatura por todo o refrigerador e freezer de maneira uniforme, evitando o acúmulo de gelo e proporcionando melhor higiene e conservação dos alimentos, além, é claro, do sistema de degelo Frost Free, que proporciona a circulação da temperatura no gabinete, facilitando a limpeza. Falando em facilidade, a Philco inova trazendo 3 funções plus de operação (Turbo Refrigerador, Turbo Freezer e Turbo Smart), sendo possível acelerar o processo de resfriamento e congelamento do refrigerador e freezer, sem falar do sistema Ice Twist, que facilita a fabricação e utilização do gelo. Mais espaço, organização e versatilidade! Além da excelente capacidade de 324 litros do Refrigerador e 165 litros do Freezer, o produto acompanha prateleiras em vidro reguláveis e conta também com prateleiras nas portas e gavetão de frutas, verduras e legumes, proporcionando espaço de sobra para você. Sem falar dos pés niveladores e rodinhas traseiras que garantem a fácil instalação e deslocamento do produto no ambiente. Garantias de que o Refrigerador Philco Side By Side PRF504I atenderá suas necessidades sempre que você precisar! Especificações Técnicas: - Marca: Philco - Modelo: PRF504I - Voltagem: 127V - Cor: Inox - Capacidade: 489L - Potência: 210W - Consumo: 47,5 kWh - Tipo: Side by Side - 2 Portas - Tecnologia: Smart Cooling - Funções: Smart Turbo Freezer Turbo Refrigerador - Classificação Energética: a - Temperatura Freezer: -15°C a -22°C - Temperatura Refrigerador: 2 a 8°C - Prateleiras: Sim - Vidro Temperado: Sim - Água na Porta: Não - Dimensões do Produto Embalado (LxAxP): 97,7 x 185 x 68 cm - Dimensões do Produto (LxAxP): 92 x 1,77 x 63 cm - Peso do Produto Embalado: 89,50Kg - Peso: 80,30Kg - Garantia: 12 meses",7891356084591,Refrigerador Philco Inverter 489L Side By Side Inox Frost Free 127V PRF504I,https://www.americanas.com.br/produto/5113934889,refrigerador philco inverter 489l side by side inox frost free 127v prf504i,americanas,"Refrigerador Philco Inverter 489L Side By Side Inox Frost Free 220V PRF504I O Refrigerador Philco Side By Side PRF504I possui mais eficiência e um design moderno que vai deixar a sua cozinha muito mais bonita! Pensando na sua economia, este modelo acompanha um potente compressor com tecnologia Inverter, que evita picos de funcionamento, juntamente da função de modo econômico, combatendo os gastos indesejados. Com seu design Side By Side, ela garante mais espaço vertical, e conta com a tecnologia Smart Colling, que distribui a temperatura por todo o refrigerador e freezer de maneira uniforme, evitando o acúmulo de gelo e proporcionando melhor higiene e conservação dos alimentos, além, é claro, do sistema de degelo Frost Free, que proporciona a circulação da temperatura no gabinete, facilitando a limpeza. Falando em facilidade, a Philco inova trazendo 3 funções plus de operação (Turbo Refrigerador, Turbo Freezer e Turbo Smart), sendo possível acelerar o processo de resfriamento e congelamento do refrigerador e freezer, sem falar do sistema Ice Twist, que facilita a fabricação e utilização do gelo. Mais espaço, organização e versatilidade! Além da excelente capacidade de 324 litros do Refrigerador e 165 litros do Freezer, o produto acompanha prateleiras em vidro reguláveis e conta também com prateleiras nas portas e gavetão de frutas, verduras e legumes, proporcionando espaço de sobra para você. Sem falar dos pés niveladores e rodinhas traseiras que garantem a fácil instalação e deslocamento do produto no ambiente. Garantias de que o Refrigerador Philco Side By Side PRF504I atenderá suas necessidades sempre que você precisar! Especificações Técnicas: - Marca: Philco - Modelo: PRF504I - Voltagem: 220V - Cor: Inox - Capacidade: 489L - Potência: 210W - Consumo: 42,5kWh - Tipo: Side by Side - 2 Portas - Tecnologia: Smart Cooling - Funções: Smart Turbo Freezer Turbo Refrigerador - Classificação Energética: a - Temperatura Freezer: -15°C a -22°C - Temperatura Refrigerador: 2 a 8°C - Prateleiras: Sim - Vidro Temperado: Sim - Água na Porta: Não - Dimensões do Produto Embalado (LxAxP): 97,7 x 185 x 68 cm - Dimensões do Produto (LxAxP): 92 x 177 x 63 cm - Peso do Produto Embalado: 89,50Kg - Peso: 80,30Kg - Garantia: 12 meses",7891356084607,Refrigerador Philco Inverter 489L Side By Side Inox Frost Free 220V PRF504I,https://www.americanas.com.br/produto/2933866332,refrigerador philco inverter 489l side by side inox frost free 220v prf504i,americanas,geladeiras,0
"A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela também tem um painel externo para controlar a temperatura do refrigerador e do freezer de maneira independente. Além disso, a função Turbo Freezer te ajuda a congelar ainda mais rápido os alimentos no freezer. Características: Capacidade Total: 397 Litros Dispenser de Água: Não Capacidade Freezer: 112 Litros Tipo de Degelo: Frost Free Recipiente para guardar gelo: Sim Compartimento extra frio: Não Capacidade Geladeira: 285 Litros Gavetas: 1 Porta Ovos: Sim Porta Latas: Não Pés Niveladores: Sim Porta Reversível: Não Display: led Controle de Temperatura: Sim Portas: 2 Painel de controle: Externo Formato: Inverse Dimensões do Produto: Altura: 184 cm Largura: 62 cm Profundidade: 73 cm Peso: 69,7 kg Garantia do fornecedor: 12 meses",7891129499768,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,https://www.americanas.com.br/produto/5010355702,geladeira duplex invertida 397 litros cre44 frost free consul,americanas,A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Sem falar da Tecnologia EVOX. Ahhh! Bem pensado. A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Ahhh! Bem pensado.,7891129499768,Geladeria/Refrigerador Consul Duplex CRE44 Frost Free com Freezer Embaixo 397 litros Evox - 220V,https://www.americanas.com.br/produto/134545663,geladeria/refrigerador consul duplex cre44 frost free com freezer embaixo 397 litros evox - 220v,americanas,geladeiras,1
"Refrigerador Brastemp 2 Portas Branco 375L Frost Free Design sofisticado e grande capacidade para armazenar alimentos, o Refrigerador Brastemp BRM45HBANA conta com compartimento especial que se encaixa perfeitamente no freezer ou na geladeira, possibilitando gelar as bebidas de forma eficaz. Você consegue deixar os alimentos bem organizados no seu refrigerador graças aos compartimentos pensados para o encaixe de todos os alimentos, bebidas e até mesmo seus temperos favoritos. Aproveite melhor o espaço do seu congelador, com a tecnologia Frost Free você não precisa mais fazer o degelo do seu refrigerador, não tem mais o acúmulo de gelo! Espaço Adapt Prateleiras com múltiplas combinações possíveis para armazenar itens de diversos tamanhos na porta de sua geladeira. Gavetão de legumes Fresh Zone Suas frutas e verduras organizadas e conservadas por mais tempo com o sistema Fresh Zone. Compartimento extra frio Gele as bebidas mais rápido e conserve melhor frios e laticínios. Acesso Rápido Compartimento de fácil acesso para armazenar os itens que você mais usa. Temperos Compartimento específico para guardar e deixar seus temperos sempre à mão. Especificações Técnicas: - Marca: Brastemp - Modelo: BRM45HBANA - Cor: Branco - Capacidade Total: 375 Litros - Tipo: Frost Free - Portas: 2 - Painel de Controle: Externo - Voltagem: 127v ou 220V (não é bivolt) - Largura: 62.1 - Altura: 176cm - Profundidade: 75,5cm - Peso: 58kg - Classificação Energética: a - Garantia: 12 meses - Potência: 110 w - Consumo: 54 kWh - Corrente: 2 a - Frequência: 60 Hz - Selo inmetro: Sim - Ruído: 42 dBA -Capacidade Freezer: 86 Litros - Capacidade Refrigerador: 288 Litros",7891129252745,Refrigerador Brastemp 2 Portas Branco 375L Frost Free 127V,https://www.americanas.com.br/produto/4885290585,refrigerador brastemp 2 portas branco 375l frost free 127v,americanas,"Refrigerador Brastemp 375l 2 Portas Evox Frost Free BRM44HKANA Design sofisticado e grande capacidade para armazenar alimentos, o Refrigerador Brastemp BRM44HBANA conta com compartimento especial que se encaixa perfeitamente no freezer ou na geladeira, possibilitando gelar as bebidas de forma eficaz. Você consegue deixar os alimentos bem organizados no seu refrigerador graças aos compartimentos pensados para o encaixe de todos os alimentos, bebidas e até mesmo seus temperos favoritos. Aproveite melhor o espaço do seu congelador, com a tecnologia Frost Free você não precisa mais fazer o degelo do seu refrigerador, não tem mais o acúmulo de gelo! A tecnologia evox protege sua geladeira da ferrugem e corrosão com uma camada de zinco e uma película impermeabilizante aplicadas sobre o aço. Gavetão de legumes Fresh Zone Suas frutas e verduras organizadas e conservadas por mais tempo com o sistema Fresh Zone. Compartimento extra frio Gele as bebidas mais rápido e conserve melhor frios e laticínios. Acesso Rápido Compartimento de fácil acesso para armazenar os itens que você mais usa. Temperos Compartimento específico para guardar e deixar seus temperos sempre à mão. Especificações Técnicas: - Marca: Brastemp - Modelo: BRM44HBANA - Cor: Evox - Capacidade Total: 375 Litros - Tipo: Frost Free - Portas: 2 - Painel de Controle: Externo - Voltagem: 127v ou 220V (não é bivolt) - Largura: 62,1cm - Altura: 176cm - Profundidade: 75,5cm - Peso: 58kg - Classificação Energética: a - Garantia: 12 meses - Potência: 110 w - Consumo: 54 kWh - Corrente: 2 a - Frequência: 60 Hz - Selo inmetro: Sim - Ruído: 42 dBA -Capacidade Freezer: 86 Litros - Capacidade Refrigerador: 288 Litros",7891129252721,Refrigerador Brastemp 375l 2 Portas Evox Frost Free 127V,https://www.americanas.com.br/produto/5188880918,refrigerador brastemp 375l 2 portas evox frost free 127v,americanas,geladeiras,0
"Invista em um refrigerador moderno que vai trazer mais praticidade e economia no seu dia a dia! Além de funcional, o produto, possui um design que irá contribuir para a decoração da sua cozinha. Com o sistema Degelo Seco, basta um toque no botão que o refrigerador faz o trabalho sozinho, fim da molhadeira na cozinha! Maior espaço e melhor organização para os congelados. E para melhor aproveitamento do espaço, possui: gavetão de legumes transparente e gaveta de frios e carnes. E também 2 prateleiras com separador de garrafas, que comportam garrafas de até 2,5L. Características: - Espaço na porta mais organizado com 2 prateleiras com separador de garrafas, que comportam garrafas de até 2,5L. - Classe A em consumo de energia com mais economia. - Degelo Seco - descongela sozinho ao toque de um botão. - Gaveta de frios e carnes para melhor aproveitamento de espaço e visualização dos alimentos. - Gavetão de legumes transparente para melhor organização e visualização dos alimentos. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",7891129186415,Refrigerador Consul CRA30 261 Litros Degelo Seco Branco 220v,https://www.americanas.com.br/produto/108770509,refrigerador consul cra30 261 litros degelo seco branco 220v,americanas,"A Geladeira Consul Degelo Seco 261 litros possui o Sistema de Degelo Seco, que permite fazer o descongelamento com apenas um botão e sem molhar o chão da sua cozinha. Além disso, ela tem o Compartimento Extra Frio, que gela as bebidas mais rápido e ainda conserva melhor os frios e laticínios. Com o Gavetão Hortifruti, você organiza suas frutas, verduras e legumes, mantendo-os sempre fresquinhos.",7891129186408,Geladeira 1 Porta Classe A Degelo Seco 261 Litros 110V Branca - Consul,https://www.amazon.com.br/Geladeira-Classe-Degelo-Litros-Branca/dp/B076BCHJ5L,geladeira 1 porta classe a degelo seco 261 litros 110v branca - consul,amazon,geladeiras,0
"A Geladeira Panasonic BB71GV Frost Free Inverter 480 L conta com a nova gaveta Fresh Freezer, especialmente desenvolvida para armazenar alimentos e bebidas em temperaturas ideais para consumo ou para um maior tempo de conservação. Com quatro controles de temperatura, independentes do restante da geladeira. Proporciona o armazenamento ideal de uma grande variedade de alimentos. Também monitora o uso da geladeira no dia a dia, fazendo-a funcionar de acordo com a rotina da casa, e ajudando na economia de energia com a tecnologia Smartsense, composta por sensores de abertura de portas, luminosidade, temperatura interna e externa. Além de reduzir em mais de 41% o consumo de energia com a tecnologia Inverter, pois regula o compressor de acordo com a temperatura que varia com o abre e fecha da porta e com a quantidade de comida interna. Além disso, é mais silencioso e congela os alimentos mais rápido.Tecnologias: Vitamin Power: Gaveta FreshZone com VitaminPower Luzes de LED especiais que potencializam os nutrientes dos alimentos, especialmente as vitaminas C e d. Fresh Freezer: Especialmente desenvolvido para armazenar alimentos e bebidas em temperaturas ideais para consumo ou para um maior tempo de conservação. Conta com 4 controles de temperatura, independentes do restante da geladeira. Tecnologia Inverter: Reduz em mais de 41% o consumo de energia, pois regula o compressor de acordo com a temperatura que varia com o abre e fecha da porta e com a quantidade de comida interna. Além disso, é mais silencioso e congela os alimentos mais rápido. Climacontrol: Tecnologia exclusiva que controla automaticamente a umidade dentro do gavetão, preservando melhor legumes e frutas. Smartsense: Tecnologia exclusiva que monitora o uso do refrigerador no dia a dia, fazendo-o funcionar de acordo com a rotina da casa, e ajudando na economia de energia. Composta por sensores de abertura de portas, luminosidade, temperatura interna e externa.Características: 2 Portas Frost Free Capacidade útil do refrigerador: 334 l Capacidade útil do freezer: 146 l Eficiência energética: a Funções pré-programadas: Férias, festa e compras 3 Gavetas no freezer 2 Gavetas no refrigerador 2 Prateleiras na porta do refrigerador 3 Prateleiras de vidro temperado no refrigerador 1 Prateleira retrátil Painel de controle eletrônico Porta ovos Potência de degelo: 180 w Potência de operação: 115 wConteúdo da embalagem: 1 Geladeira 1 Manual de Instruções 1 Porta ovos 1 Porta laticíniosDimensões: Altura: 195 cm Largura: 69,5 cm Profundidade: 75,8 cm Peso: 86 kgGarantia do fornecedor: 12 meses.",7896067227510,Geladeira Panasonic BB71GV Frost Free Inverter 480L,https://www.americanas.com.br/produto/1973090452,geladeira panasonic bb71gv frost free inverter 480l,americanas,REFRIGERADOR PANASONIC NR-BB71GVFBB 220V 480L BLACK GLASS - FROST FREE |  480L |  2 PORTAS | BOTTOM FREEZER | Painel Easy Touch | INVERTER: mais de 41% de economia | FRESH FREEZER: gaveta com seleção entre 4 temperaturas | SMARTSENSE* | Vitamin Power: Potencializa Vitamina C e D | Climate Control*: Preserva melhor frutas e verduras | Prateleira Retrátil e prateleiras móveis na porta,7896067227510,Refrigerador Panasonic NR-BB71GVFBB 480L Black Glass,https://www.americanas.com.br/produto/2134958038,refrigerador panasonic nr-bb71gvfbb 480l black glass,americanas,geladeiras,1
