descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Smartphone Realme 6 Pro 8Gb Ram / 128Gb Rom Global version (dual sim card ) Especificações técnicas: Ficha técnica Aparelho celular 4g dual sim (nano sim) - processador: snapdragon 720g (chipset) adreno 618 (gpu) - memória ram: 8gb - memória interna: 128gb - câmera traseira: 64mp + 12mp + 8mp + 2mp - câmera frontal: 16mp - tela ips lcd 6.60 polegadas gorilla glass 5 1080 x 2400 pixels - desbloqueio facial: sim - bluetooth 5.1 - radio: sim - navegação: gps, glonass, bds, navic - bateria de 4300 mah - sistema operacional: android 10 Garantia 90 dias Sobre a garantia produto tem três meses para defeito de fabrica: a garantia não cobre: defeitos ou danos resultantes do uso inadequado, como superfícies plásticas e outras peças expostas externamente arranhadas trincadas ou quebradas, defeitos ou danos decorrentes de intervenção no produto realizada por terceiro. Defeitos e danos causados pelo uso de software e(ou) hardware não compatíveis com as especificações dos produtos. Peças que se desgastam naturalmente com o uso regular, tais como cabos, entradas e conectores usb, baterias, alto falante estourado; tela touch quebrada ou danificada, etc.; defeitos ou danos causados por oxidação de peças do produto causada por exposição inadequada. Devido a pandemia, não garantimos que a cor enviada será a mesma do anúncio. O modelo certamente será mantido. Pedimos a compreensão de nossos clientes. anatel: Código RMX3231 Anatel: 060052113366",7892800100690,Smartphone Realme 6 Pro 8Gb Ram / 128Gb Rom,https://www.americanas.com.br/produto/4342514052,smartphone realme 6 pro 8gb ram / 128gb rom,americanas,"Global Version (Dual sim Card ) Especificações Técnicas: ficha TÉCNICAAparelho Celular 4G Dual sim (Nano sim)- Processador: Snapdragon 720G (Chipset) Adreno 618 (gpu)- Memória ram: 8GB- Memória interna: 128GB- Câmera traseira: 64MP + 12MP + 8MP + 2MP- Câmera frontal: 16MP- Tela ips lcd 6.60 polegadas Gorilla Glass 5 1080 x 2400 pixels- Desbloqueio facial: Sim - Bluetooth 5.1- Radio: Sim- Navegação: gps, glonass, bds, NavIC- Bateria de 4300 mAh- Sistema Operacional: Android 10 ******GARANTIA 90 DIAS*******SOBRE A garantiaproduto tem três meses para defeito de fabrica: A garantia não cobre: Defeitos ou danos resultantes do uso inadequado, como superfícies plásticas e outras peças expostas externamente arranhadas trincadas ou quebradas, Defeitos ou danos decorrentes de intervenção no produto realizada por terceiro. Defeitos e danos causados pelo uso de software e(ou) hardware não compatíveis com as especificações dos produtos. Peças que se desgastam naturalmente com o uso regular, tais como cabos, entradas E conectores usb, baterias, alto falante estourado; tela touch quebrada ou danificada, etc.; Defeitos ou danos causados por oxidação de peças do produto causada por exposição inadequada. ** Devido a Pandemia, não garantimos que a cor enviada será a mesma do anúncio. O modelo certamente será mantido. Pedimos a compreensão de nossos clientes.",7892800100690,Smartphone Realme 6 pro (8GB ram / 128GB rom),https://www.americanas.com.br/produto/2696762993,smartphone realme 6 pro (8gb ram / 128gb rom),americanas,celulares,1
,7892509119160,Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-C%C3%A2mera-Tripla/dp/B09JTS7FWD/ref=sr_1_419?qid=1651784060&s=wireless&sr=1-419,smartphone samsung galaxy s20 fe 128gb 4g wi-fi tela 6.5'' dual chip 6gb ram câmera tripla + selfie 32mp - cloud navy,amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509119160,Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy,https://www.americanas.com.br/produto/3234381133,smartphone samsung galaxy s20 fe 128gb 4g wi-fi tela 6.5'' dual chip 6gb ram câmera tripla + selfie 32mp - cloud navy,americanas,celulares,1
"Sobre este item    ATENÇÃO: Redmi Note 10s VERSÃO INDIANA, com carregador VERSÃO INTERNACIONAL. Acompanha ADAPTADOR para tomada Brasileira. Celular ROM Global (Internacional) e idioma PORTUGUÊS BRASIL.",6934177739729,Redmi Note 10S Pebble White 8 GB RAM 128 GB ROM,https://www.amazon.com.br/Redmi-Note-10S-Pebble-White/dp/B098TVV17V/ref=sr_1_755?qid=1651784080&s=wireless&sr=1-755&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,redmi note 10s pebble white 8 gb ram 128 gb rom,amazon,"Com câmera frontal de 13MP e bateria de 5000 mAh, o Redmi Note 10S da Xiaomi está pronto para surpreender até os mais exigentes fãs da marca! Tem um ótimo processador Octa-core, processador gráfico Mali-G76 MC4 e 8GB de memória ram, ideal para os jogos mais pesados! A tela é de 6.43 polegadas e conta com resolução incrível de 1080x2400 amoled. As câmeras traseiras tem 64MP, 8MP, 2MP e 2MP podem gravar vídeos em até 4K e tirar fotos com qualidade profissional. MARCA XiaomiMODELO Redmi Note 10SMEMÓRIA interna 128GBMEMÓRIA ram 8GB",6934177739729,Smartphone i Redmi Note 10S Dual sim 128GB 8GB ram Branco,https://www.americanas.com.br/produto/4831919405,smartphone i redmi note 10s dual sim 128gb 8gb ram branco,americanas,celulares,1
"Sobre este item    O conjunto de câmeras traseiras Ultra Wide de 13 MP e 5 MP com 123º é ideal para fotografar. Você só precisa deixar rolar sua criatividade enquanto tira as fotos.    A bateria de 4,000 mAh do Galaxy A20 garante que você tenha bateria para compartilhar com os amigos, assistir a vídeos por streaming ou simplesmente viver a vida.    O Modo Noturno ajuda você a desacelerar, tornando-se mais escuro para você acalmar a vista e descansar melhor à noite.    Vá além com uma tela grande    Design bonito e simplificado    Duas câmeras para capturar momentos épicos",7892509107563,"Smartphone Samsung Galaxy A20, 32Gb, Tela 6.4'', Preto, Sm-A205Gzkjzto",https://www.amazon.com.br/Smartphone-Samsung-Galaxy-Preto-Sm-A205Gzkjzto/dp/B07R18D87H/ref=sr_1_1403?qid=1651784119&s=wireless&sr=1-1403,"smartphone samsung galaxy a20, 32gb, tela 6.4'', preto, sm-a205gzkjzto",amazon,"Sobre este item    A câmera dupla de 13MP ajusta a profundidade de suas fotos, enquanto a câmera frontal de 5MP garante selfies perfeitas    Mais bateria para você ir mais rápido por mais tempo: a bateria de 3.000 mAh permite que você faça streaming, downloads e publicações sem se preocupar    Processador octa-core potente e memória RAM de 2 GB que suporta seus jogos com gráficos pesados e oferece alta velocidade para transmissões    Dê a si mesmo mais espaço: armazenamento interno de 32GB, com possibilidade de expansão para até 512GB com um cartão MicroSD    Desbloqueio facial: você pode desbloquear seu celular instantaneamente apenas segurando-o em frente ao seu rosto",7892509113281,"Smartphone Samsung Galaxy A01, 32GB - Preto",https://www.amazon.com.br/Smartphone-Samsung-Galaxy-A01-32GB/dp/B0876FYQ21/ref=sr_1_1111?qid=1651784103&s=wireless&sr=1-1111,"smartphone samsung galaxy a01, 32gb - preto",amazon,celulares,0
"Conheça o Navcity NP-752 Preto! Unindo velocidade, economia e praticidade, com design original e uma tela de 5 polegadas. Seu processador Quad-Core de 1.3Ghz, com ele você pode esquecer travamentos e aqueles bugs nos seus games favoritos, além de experimentar uma navegação muito mais fluída e dinâmica. Com a câmera de 2MP (traseira) do NP-752 suas fotos ficam ainda melhores, e não se preocupe com a luz, pois o aparelho já vem equipado com flash. Aproveite também a câmera frontal de 0.3MP. Sem dúvida esse é o smartphone completo, tem suporte à conexão 3G, cartão de memória de até 32Gb, Android 11 (Go edition), Bluetooth, Wifi, entre outros. SmartPhone NavCity NP-752, com tela de 5 polegadas, Android 11 (Go edition), Processador Quad-Core de 1.3GHz, memória interna de 8GB (expansível até 32GB por MicroSD), câmera frontal de 0.3MP e traseira de 2MP, bateria de 1700mAh, Li-ion recarregável e conexão 3G. Marca NavCity, com acessórios inclusos (Cabo usb, carregador e guia-rápido).ESPECIFICAÇÕES:Marca: Navcity Linha: Smartphone Modelo: NP-752 Preto Entrada para 2 (dois) chips Memória interna: 8GB Memória ram: 1GB Operadora: Desbloqueado Sistema Operacional: Android Versão do Android: 11 (Go Edition) Tamanho da tela: 5 polegadas Resolução da tela: 480x854DIMENSÕES:Altura: 14,5 cm Largura: 4,5 cm Comprimento: 8,0 cm",7908505900012,Smartphone Navcity NP-752 Preto - Android 11 e Dual Chip,https://www.americanas.com.br/produto/5060658461,smartphone navcity np-752 preto - android 11 e dual chip,americanas,"O NP-752 é o mais novo lançamento da NavCity. Ele é o Smartphone que todos esperavam, com design original, um processador incrível e uma tela de 5"". O seu processador é um Quad-Core de 1.3Ghz, com ele você pode esquecer travamentos e aqueles bugs nos seus games favoritos, além de experimentar uma navegação muito mais fluída e dinâmica. Com a câmera de 5MP (traseira) do NP-752 suas fotos ficam ainda melhores e não se precoupe com a luz, pois o aparelho já vem equipado com flash. Aproveite também a câmera frontal de 2MP. Sem dúvida esse é o smartphone completo, tem suporte a 3G, Cartão de memória de até 32Gb, Android 8.1 (Go edition), Bluetooth, Wifi, entre outros. SmartPhone NavCity NP-752, modelo NP-752 com tela de 5, Android 8.1 (Go edition), Processador Quad-Core de 1.3GHz, memória interna de 8GB (expansível até 32GB por MicroSD), câmera frontal de 2MP e traseira de 5MP, bateria de 2000mAh, Li-ion recarregável e conexão 3G. Marca NavCity, com acessórios inclusos (Carregador de parede Bi-Volt e Guia-rápido, Capa e Película)",7898590572136,Smartphone navcity NP-752 G - vermelho,https://www.americanas.com.br/produto/4929816851,smartphone navcity np-752 g - vermelho,americanas,celulares,0
"Modelo: XT2167-1 Cor: Azul Marca: Motorola Tipo de Tela: Max Vision Tamanho da Tela: 6,4"" Resolução da Tela: fhd + (1080 x 2400) Característica da Tela: Proporção da Tela: 20:9 Densidade de Pixels da Tela: 409 ppi Número de cores da Tela: 16 m Performance: Sistema Operacional: Android 11 gpu: arm Mali-G52 MC2 Armazenamento Total*: 128 gb Armazenamento Disponível: tbd Memória ram: 4 gb Modelo sim Card (Chip): Nano sim (4FF) Memória Externa: Micro sd 256 gb Entrada do Chip: Entrada do Chip 1: Chip 1 / Entrada do Chip 2: Chip 2 ou sd Card (Híbrido) Câmera Frontal: 13 mp Câmera Principal Frontal: 13 mp Lente 74° Abertura f/2,2 Flash Frontal: Na Tela Resolução de Gravação de Vídeo: Full HD (30fps) Bateria: 5000 mAh Tipo de Conector: usb-c Tipo de Carregador: TurboPower 30 w Câmeras Traseiras: 48 mp ois + 8 mp + 2 mp Camera Principal: 48 mp Lente 74° Abertura f/1,8 ois ""Câmera Híbrida Ultra-wide & Sensor de Profundidade: 8 mp Lente 118° Abertura f/2,2"" Câmera Macro: 2 mp Lente 78° Abertura f/2,4 Zoom Digital: 8x Zoom Óptico: Não Zoom Combinado: Não Flash: Sim led Foco: Auto Foco af Formato de Gravação de Vídeo: Mp4 Resolução de Gravação de Vídeo: Full HD (30fps) Bluetooth: Bluetooth 5.0 Wi-Fi: 802.11 a/b/g/n/ac 2,4 GHz e 5 GHz gps: gps, agps, lteppp, supl, glonass, Galileo NFC*: Sim Rádio FM*: Sim Com banda estendida tv Digital*: Não Entrada P2 Fone de Ouvido: Sim Microfone: 2 Microfones Alto-falante: 1 Alto-falante",7892597351503,Smartphone Motorola Moto G41 128GB 4GB ram Azul,https://www.americanas.com.br/produto/5077574512,smartphone motorola moto g41 128gb 4gb ram azul,americanas,"Sobre este item    Sistema de câmera tripla + Estabilização óptica    Cores surreais na tela OLED Full HD+ de 6,4″    Superbateria de 5000 mAh + Carregamento TurboPower 30    Processador de alta performance    128 GB de armazenamento interno",7892597351503,Smartphone Motorola Moto G41 128GB 4GB RAM Azul,https://www.amazon.com.br/Smartphone-Motorola-Moto-128GB-Azul/dp/B09Q98FT34/ref=sr_1_924?qid=1651784091&s=wireless&sr=1-924&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,smartphone motorola moto g41 128gb 4gb ram azul,amazon,celulares,1
"Conheça o novo Samsung Galaxy S22+: com uma tela de 6,6 polegadas, este lançamento vai te surpreender O novo Samsung Galaxy S22+ é uma excelente opção para quem gosta de smartphones com telas grandes e busca por um aparelho que possua câmeras de alta qualidade e um processador que proporcione uma experiência leve e tranquila. Confira mais detalhes: Tela grande: O Samsung Galaxy S22+ possui uma tela de 6,6 polegadas: ideal para quem quer assistir filmes, vídeos ou jogar pelo celular. Além disso, possui bordas arredondadas e uma moldura fina e polida para um display expansivo e equilibrado. Fotos incríveis com o Samsung Galaxy S22+ A câmera ultragrande-angular de 12 MP e a grande-angular de 50 MP possuem um sensor que ilumina sua foto na luz noturna, deixando tudo bem nítido mesmo com pouca luz. Além disso, a lente frontal tem 10 MP e a câmera teleobjetiva possui zoom óptico de 3x para você tirar fotos ótimas à distância. Nada de travamentos O processador de 4 nm dá um show à parte. É um aparelho que possui alta performance e desempenho, ou seja, é rápido e não trava ;) Escolha a sua cor favorita: O Samsung Galaxy S22+ possui 4 cores lindas: Branco Fantasma, Verde, Rosa-Dourado e Preto Fantasma. Seu design é moderno e muito estiloso <3 Invista em qualidade para o seu dia a dia com um smartphone que possui tela grande, câmeras que entregam ótimas fotos em diferentes iluminações e um processador poderoso, que torna tuuudo mais fácil e rápido. Venha conhecer cada detalhe do Galaxy S22+ abaixo:",7892509122306,Smartphone Samsung Galaxy S22+ 128GB 5G Wi-Fi Tela 6.6'' Dual Chip 8GB RAM Câmera Tripla + Selfie 10MP - Verde,https://www.americanas.com.br/produto/4645251747,smartphone samsung galaxy s22+ 128gb 5g wi-fi tela 6.6'' dual chip 8gb ram câmera tripla + selfie 10mp - verde,americanas,"Conheça o novo Samsung Galaxy S22+: com uma tela de 6,6 polegadas, este lançamento vai te surpreender O novo Samsung Galaxy S22+ é uma excelente opção para quem gosta de smartphones com telas grandes e busca por um aparelho que possua câmeras de alta qualidade e um processador que proporcione uma experiência leve e tranquila. Confira mais detalhes: Tela grande: O Samsung Galaxy S22+ possui uma tela de 6,6 polegadas: ideal para quem quer assistir filmes, vídeos ou jogar pelo celular. Além disso, possui bordas arredondadas e uma moldura fina e polida para um display expansivo e equilibrado. Fotos incríveis com o Samsung Galaxy S22+ A câmera ultragrande-angular de 12 MP e a grande-angular de 50 MP possuem um sensor que ilumina sua foto na luz noturna, deixando tudo bem nítido mesmo com pouca luz. Além disso, a lente frontal tem 10 MP e a câmera teleobjetiva possui zoom óptico de 3x para você tirar fotos ótimas à distância. Nada de travamentos O processador de 4 nm dá um show à parte. É um aparelho que possui alta performance e desempenho, ou seja, é rápido e não trava ;) Escolha a sua cor favorita: O Samsung Galaxy S22+ possui 4 cores lindas: Branco Fantasma, Verde, Rosa-Dourado e Preto Fantasma. Seu design é moderno e muito estiloso <3 Invista em qualidade para o seu dia a dia com um smartphone que possui tela grande, câmeras que entregam ótimas fotos em diferentes iluminações e um processador poderoso, que torna tuuudo mais fácil e rápido. Venha conhecer cada detalhe do Galaxy S22+ abaixo:",7892509122320,Smartphone Samsung Galaxy S22+ 128GB 5G Wi-Fi Tela 6.6'' Dual Chip 8GB RAM Câmera Tripla + Selfie 10MP - Preto,https://www.americanas.com.br/produto/4646792932,smartphone samsung galaxy s22+ 128gb 5g wi-fi tela 6.6'' dual chip 8gb ram câmera tripla + selfie 10mp - preto,americanas,celulares,0
"Smartphone celular 32gb multilaser e lite 2 preto - p9146 Smartphone celular 32gb multilaser e lite 2 preto - p9146 Multilaser e lite 2 com tela de 4.0, 32gb de memória interna, processador quad core e memória ram de 1gb, tenha mais velocidade para navegar, fazer uploads e conversar com a família e amigos por chamada de vídeo. Novos recursos e maior segurança com o android 10 go. Adicione atalhos e customize seu aparelho do jeito que quiser memória interna de 32gb, tenha espaço para salvar fotos, vídeos, jogos e suas séries prediletas na palma da sua mão. Guarde os melhores momentos da sua vida e faça ótimas fotos com as câmeras traseira e frontal do multilaser e lite 2. Nome do produto: smartphone multilaser e lite 2 preto - p9146 Certificado anatel:04745-21-03111 Descrição do produto: multilaser e lite 2 com tela de 4.0, 32gb de memória interna, processador quad core e memória ram de 1gb, tenha mais velocidade para navegar, fazer uploads e conversar com a família e amigos por chamada de vídeo. Novos recursos e maior segurança Cor principal: preto Marca: multilaser Modelo: multilaser e lite 2",7908414420199,Smartphone Celular 32Gb Multilaser E Lite 2 Preto - P9146,https://www.americanas.com.br/produto/4700417659,smartphone celular 32gb multilaser e lite 2 preto - p9146,americanas,"Smartphone E lite 2 preto 32GB 3G wi-fi tela 4,0"" dual chip android 11 (go edition) quad core - P9146 Novos recursos e maior segurança com o Android 11. Adicione atalhos e customize seu aparelho do jeito que quiser! Memória Interna de 32GB, tenha espaço para salvar fotos, vídeos, jogos e suas séries prediletas na palma da sua mão. Guarde os melhores momentos da sua vida e faça ótimas fotos com as câmeras traseira e frontal do Multilaser E Lite 2. características técnicas Processador: Quad Core 1.3 GHz; Sistema Operacional: Android 11; Bluetooth: Sim; Diferenciais do Produto: Design moderno; Conexões: 2G, 3G, Wi-fi, usb, Bluetooth; Memória ram: 1GB; Memória Interna: 32GB expansível com cartão Micro sd até 64 gb (não incluso); Cor: Preto; Tipo de Cabo: Micro usb; Dual Chip: Slot 1 Micro-SIM e Slot 2 Nano-SIM; Câmera Frontal: 2.0 mp; Câmera Principal: 2.0MP; Bateria: 1.500 mAh; Tela Capacitiva: 4.0"" wvga; Peso do produto: 240,00 g; Largura do produto: 6,5 cm; Altura do produto: 1,0 cm; Comprimento do produto: 12,4 cm; Certificado Anatel: 04745-21-03111. conteúdo da embalagem 1 Smartphone E Lite 2; 1 Cabo usb; 1 Carregador; 1 Manual de Instruções; 1 Capa Protetora; 1 Película Protetora.",7908414420199,"Smartphone e Lite 2 Preto 32gb 3g Wi-fi Tela 4,0 Dual Chip Android 11 (go Edition) Quad Core - P914",https://www.americanas.com.br/produto/5059905277,"smartphone e lite 2 preto 32gb 3g wi-fi tela 4,0 dual chip android 11 (go edition) quad core - p914",americanas,celulares,1
"O Smartphone Xiaomi Redmi 9A é a melhor opção para você que não abre mão de inovação. Desenvolvido com o design moderno, conta com tela grande que permite que você mergulhe totalmente no mundo virtual. A traseira apresenta um design texturizado que previne impressões digitais, para que seu dispositivo mantenha seu aspecto impecável a qualquer momento. Além disso, possui certificação de proteção contra luz azul, seus olhos estarão à vontade mesmo depois de passar longas horas no seu telefone. Outro diferencial do Smartphone Xiaomi Redmi 9A é o seu processador MediaTek Helio G25 que proporciona um desempenho confiável, garantindo uma experiência sem lentidões. Já a sua câmera, você poderá capturar os melhores momentos em cores vivas. Bateria de longa duração A bateria tem um ciclo de carga de até 1000, o que significa que o telefone pode ser usado diariamente por mais de 2,5 anos sem nenhuma degradação notável na bateria. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",7898567779018,Smartphone Xiaomi Redmi 9A 32GB 4G Wi-Fi Tela 6.53'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Verde,https://www.americanas.com.br/produto/4702070741,smartphone xiaomi redmi 9a 32gb 4g wi-fi tela 6.53'' dual chip 2gb ram câmera dupla + selfie 5mp - verde,americanas,"O Smartphone Xiaomi Redmi 9A é a melhor opção para você que não abre mão de inovação. Desenvolvido com o design moderno, conta com tela grande que permite que você mergulhe totalmente no mundo virtual. A traseira apresenta um design texturizado que previne impressões digitais, para que seu dispositivo mantenha seu aspecto impecável a qualquer momento. Além disso, possui certificação de proteção contra luz azul, seus olhos estarão à vontade mesmo depois de passar longas horas no seu telefone. Outro diferencial do Smartphone Xiaomi Redmi 9A é o seu processador MediaTek Helio G25 que proporciona um desempenho confiável, garantindo uma experiência sem lentidões. Já a sua câmera, você poderá capturar os melhores momentos em cores vivas. Bateria de longa duração A bateria tem um ciclo de carga de até 1000, o que significa que o telefone pode ser usado diariamente por mais de 2,5 anos sem nenhuma degradação notável na bateria. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",7898567778998,Smartphone Xiaomi Redmi 9A 32GB 4G Wi-Fi Tela 6.53 Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul,https://www.americanas.com.br/produto/4702070644,smartphone xiaomi redmi 9a 32gb 4g wi-fi tela 6.53 dual chip 2gb ram câmera dupla + selfie 5mp - azul,americanas,celulares,0
"Sobre este item    ProcessadorMedia Tek Helio G80CPU: FinFET de 12 nm, até 2,0 GHz; 2 ARM Cortex A75 + 6 ARM Cortex A55,GPU de CPU Octa-core : Mali-G52 MC2, 950 MHz4 GB RAM + 64 GB Memória internaRAM: LPDDR4XROM ROM: eMMC 5.1   Tela FHD + Dot Drop de 6,53” 2340x1080 FHD +, 394 PPIRelação de aspecto de 19,5: 9 Relaçãode contraste de 1500: 1, Relação tela / corpo 89,83%NTSC 70% (typ)400 nit (typ) brilhoSuporte Ajuste",7898567778868,Smartphone Xiaomi Redmi 9 64GB 4GB Ram 4 Câmeras Roxo,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-64GB-C%C3%A2meras/dp/B08G1VS56Z/ref=sr_1_977?qid=1651784093&s=wireless&sr=1-977,smartphone xiaomi redmi 9 64gb 4gb ram 4 câmeras roxo,amazon,,6941059646075,Smartphone Xiaomi Redmi 9 64gb 4gb Ram Ocean Green Verde,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Ocean-Green/dp/B089WCRP52/ref=sr_1_1149?qid=1651784104&s=wireless&sr=1-1149&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,smartphone xiaomi redmi 9 64gb 4gb ram ocean green verde,amazon,celulares,0
