descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Descrição Geral - A Geladeira Frost Free Duplex Branca 472 Litros TC56 possui alta capacidade e prateleiras reversíveis, tanto no freezer quanto no refrigerador, que permitem que você tenha muito espaço para armazenar e organizar os alimentos da forma que quiser. - Seu super freezer robusto e flexível de 126 litros, acomoda qualquer tipo de alimento e embalagem, sem complicação. - Possui um design único, na cor branca com puxador ergonômico e embutido, a Geladeira TC56 super fácil de limpar. - Possui um compartimento fechado no freezer, que possibilita o congelamento mais rápido dos alimentos. - Além disso, a Geladeira TC56 possui um espaço extra frio reversível no refrigerador, ideal para alimentos frescos que necessitam maior refrigeração e cuidado. - Para garantir uma alimentação saudável, você ainda conta com o Gavetão de frutas, legumes e vegetais que facilita a organização e a visualização dos alimentos. - Super Freezer Robusto e Flexível: Com 126 litros o freezer tem espaço de sobra para armazenar alimentos e diversos tipos de embalagem sem passar aperto. - Design Único: design moderno que combina com a sua cozinha e ainda conta com puxador ergonômico e integrado. - Espaço Freezer Reversível: Compartimento fechado para congelar rapidamente os alimentos e diversos tipos de embalagens. Para maior aproveitamento do compartimento você pode reverter a prateleira conforme a sua necessidade. Características - Cesta porta ovos - Compartimento congelamento rápido - Compartimento extra frio - Degelo automático - Iluminação interna - Pés niveladores - Prateleiras de vidro temperado - Prateleiras na porta - Prateleiras reguláveis - Recipiente para guardar gelo - Rodízios - Prateleiras no freezer - Classificação energética A Dimensões e Peso - Altura: 191,5cm - Largura: 70,3cm - Profundidade: 73,6 cm - Peso: 66,5kg Garantia - 01 ano Importante - As Imagens são meramente ilustrativas. Os demais itens e objetos de decoração não acompanham o produto. - Confira as dimensões deste produto e certifique-se de que passará normalmente por elevadores, portas, escadas e/ou corredores de sua moradia. Bem como sua acomodação. - Em caso de divergência, o preço válido é o do Carrinho de Compras. - Ofertas e condições válidas somente para compras via Internet.",7909569003022,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,https://www.americanas.com.br/produto/1511774868,refrigerador frost free duplex branca 472 litros (tc56) - continental,americanas,"Geladeira/Refrigerador Frost Free Duplex 472 Litros TC56S Características Super freezer robusto e flexível com 127L: Armazena todos os alimentos e diversos tipos de embalagem sem passar aperto. Design único com puxador ergonômico e integrado: Design moderno que combina com a cozinha. Puxador embutido, bonito e fácil de limpar. Espaço Freezer reversível: Compartimento fechado para congelar rapidamente os alimentos e diversos tipos de embalagens. Você pode reverter a prateleira para maior aproveitamento do compartimento Freezer conforme a sua necessidade. Espaço Extra Frio Reversível: Espaço fechado no refrigerador ideal para alimentos frescos que necessitam maior refrigeração e cuidado. Gavetão de frutas, legumes e vegetais com tampa e frontal Basculante: Espaço específico para frutas, verduras e legumes. Mais fácil de organizar e visualizar os alimentos com fácil acesso aos alimentos através da abertura da gaveta e do frontal basculante. Prateleira no Freezer: Prateleira plástica no interior do Freezer. Iluminação em Led: Melhor visualização do interior da geladeira e baixo consumo de energia elétrica. Controle Eletrônico de Temperatura: Botão giratório para selecionar a temperatura da geladeira. Controle Deslizante de Temperatura no Freezer: Seleciona a Temperatura do Freezer. Características Frequência (Hz): 60 Timer: Não Capacidade Líq. Congelador (l): 126 Capacidade Total Bruta (l): 504 Capacidade Bruta Refrigerador (l): 354 Quantidade de Portas: 2 Consumo (Kw): 56 Prateleiras Removíveis: Não Prateleiras na Porta: Sim Recipiente para Guardar Gelo: Sim Material das Prateleiras: 2 de vidro fixas no interior do refrigerador, restante plástico Cesta porta Ovos: Sim Degelo Automático: Sim Pés Niveladores: Sim Prateleiras Reguláveis: Sim Compartimento Extra Frio: Sim Painel Digital: Não Água na Porta: Não Gelo na Porta: Não Máquina de Gelo Automática: Não Tecnologia: frost fre Selo Procel: Não Temperatura do congelador (ºC): -18 Tempo máximo de conservação s/energia (h): 8 Tipo: 2 Portas Classificação Energética: a Capacidade Líq. Refrigerador (l): 346 Capacidade Bruta Congelador (l): 150 Puxadores: Sim Gavetas Externas: Não Capacidade Total de Armazenamento (l): 472 Porta Laticínios: Não Prateleiras de Vidro Temperado: Sim Total de Prateleiras: Interior do refrigerador: 3; Porta do refrigerador: 3; Interior do freezer: 2; Porta do freezer: 2 Iluminação Interna: Sim Separador de Garrafas: Não Rodízios: Sim Porta Reversível: Não Alarme de Porta Aberta: Não Compartimento Congelamento Rápido: Sim Desodorizador: Não Porta Latas: Não Tipo de Degelo: Automático Capacidade de congelamento (Kg/24h): 8 Dimensões Altura: 1,882 cm Largura: 70,3 cm Profundidade: 73,6 cm Peso: 66,5 Kg Garantia do fornecedor de 12 meses",7909569245286,Refrigerador Continental Tc56s Frost Free Duplex 472 Litros,https://www.americanas.com.br/produto/3170152390,refrigerador continental tc56s frost free duplex 472 litros,americanas,geladeiras,0
"Refrigerador Consul 386l Frost Free Classe A - Crm43 Platinum 110v Ela é a única com as prateleiras Altura Flex, que podem ser ajustadas em até 8 níveis de altura. Possui também a Prateleira Dobrável, e a Bandeja Deslizante, que aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras.E você ainda ganha potinhos práticos e sacolas exclusivas que ajudam na organização. Tudo isso com controle de temperatura externo.Altura Flex: Com o exclusivo sistema de regulagem, as prateleiras podem ser ajustadas em 8 níveis de altura para acomodar potes, jarras e alimentos de diversos tamanhos.Prateleira Dobrável: A prateleira dobrável pode ser rebatida quando houver necessidade de acomodar itens maiores como garrafas, jarras, entre outros. Quando não houver necessidade, ela funciona como uma prateleira normal, suportando a mesma quantidade de peso.Bandeja Deslizante: Aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras. Basta deslizá-la ao longo da prateleira e você ganha um novo espaço ou removê-la quando não for utilizá-la. Potinhos Práticos: Exclusivos para você guardar desde temperos até porções de comida. Eles se encaixam perfeitamente nas prateleiras facilitando a organização. Podem ser levados ao freezer e ao microondas e ainda podem ser lavados na lava louças.Sacolas Organizadoras: Agora as hortaliças não vão mais ficar perdidas na sua geladeira. Controle de temperatura externo: Controle a temperatura sem precisar abrir a porta. São 4 níveis de temperatura e a função turbo, ideal para quando sua geladeira está bem cheia.Função Turbo (freezer e refrigerador): Apenas um toque! Frost-free: Chega de trabalho extra! Você nunca mais vai precisar descongelar o freezer, pois não forma gelo nas paredes. Compartimento extra-frio: Espaço com a temperatura mais baixa da geladeira. Indicado para conservar frios e laticínios, além de gelar suas bebidas mais rápido.Gavetão de legumes: Compartimento para guardar legumes e verduras. Iluminação led: Moderno e econômico, facilita a visibilidade dos alimentos. Porta Ovos Flex: Com capacidade para até 12 ovos e pode ser acomodados na prateleira da porta ou levados ao fundo da geladeira.Prateleiras na porta do refrigerador e do freezer.Separador de garrafas: Com o Separador de Garrafas, elas ficam mais organizadas e seguras na porta do refrigerador.Congelamento rápido: O Congelamento Rápido tem a temperatura mais baixa do freezer, conservando melhor seus alimentos.Características: Prateleiras: 3 prateleiras de vidro, sendo 1 dobrável. Bandejas: 1 Bandeja deslizante. Prateleira Dobrável: 1. Controle de temperatura Externo: Eletrônico. Porta-ovos: 2 x 6 Ovos. Gavetas: 1 Gaveta Legumes. Iluminação: led. Forma de gelo: 2 x 18 gelos. Pés: Reguláveis. Porta reversível: Não. Puxadores: 2 Embutidos na Cabeceira. Eficiência Energética: a. Consumo aprox. de energia (kWhmês): 54. Potência (watts): 160.Dimensões do produto: Altura: 184,6 cm Largura: 62,1 cm Profundidade: 75,7 cm Peso líquido: 64,5 kgDimensões do produto embalado: Altura: 188,7 cm Largura: 66,1 cm Profundidade: 75,7 cm Peso bruto: 68 kgGarantia do Fornecedor de 12 MesesCor: Cor Voltagem: Voltagem",7891129240636,Refrigerador Consul 386l Frost Free - Crm43 Platinum 110v,https://www.americanas.com.br/produto/4897922501,refrigerador consul 386l frost free - crm43 platinum 110v,americanas,"Cansado de passar aperto com a geladeira? A nova Geladeira Consul Frost Free 386L é bem pensada para se adaptar a todos os seus momentos, das compras do mês às ocasiões especiais, como aquele almoço de domingo ou a cerveja com os amigos. Ela é a única com as prateleiras Altura Flex, que podem ser ajustadas em até 8 níveis de altura. Possui também a Bandeja Deslizante, que aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras, e a função Turbo, ideal para momentos em que sua geladeira está muito cheia. E você ainda ganha potinhos práticos exclusivos para guardar temperos ou porções de comida. Tudo isso com controle de temperatura externo e tecnologia Frost Free, que não precisa descongelar nunca, pois não forma gelo nas paredes do congelador. Bem pensada assim, só podia ser Consul. Imagens Meramente Ilustrativas. Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129240636,Geladeira / Refrigerador Consul Duplex 2 Portas Frost Free CRM43HK 386 Litros - Platinum,https://www.americanas.com.br/produto/124291903,geladeira / refrigerador consul duplex 2 portas frost free crm43hk 386 litros - platinum,americanas,geladeiras,1
"A Geladeira Brastemp Frost Free Inverse 3 com 419 litros possui configuração Inverse, com geladeira em cima e freezer embaixo, deixando os alimentos na altura dos seus olhos. Com o Freeze Control PRO tenha 3 compartimentos com controle de temperatura independente e escolha entre 4 modos: carnes prontas para corte, cerveja a -4°C, frios e laticínios além de vinhos e espumantes. Possui também o Turbo Ice para fabricar gelo em até 3 horas e o Twist Ice Advanced para abastecer as formas de gelo sem molhar o chão. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129531451,Refrigerador Brastemp Inverse 3 BRY59 419 Litros Preto - 110v,https://www.americanas.com.br/produto/2117242169,refrigerador brastemp inverse 3 bry59 419 litros preto - 110v,americanas,"A Geladeira Brastemp Frost Free Inverse 3 com 419 litros possui configuração Inverse, com geladeira em cima e freezer embaixo, deixando os alimentos na altura dos seus olhos. Com o Freeze Control PRO tenha 3 compartimentos com controle de temperatura independente e escolha entre 4 modos: carnes prontas para corte, cerveja a -4°C, frios e laticínios além de vinhos e espumantes. Possui também o Turbo Ice para fabricar gelo em até 3 horas e o Twist Ice Advanced para abastecer as formas de gelo sem molhar o chão. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129531475,Refrigerador Brastemp Inverse 3 BRY59 419 Litros Evox - 110v,https://www.americanas.com.br/produto/2070713196,refrigerador brastemp inverse 3 bry59 419 litros evox - 110v,americanas,geladeiras,0
"Frigobar 93 Litros Inox Classe A 220V Midea MRC10B2-X Com capacidade para 93 litros e tamanho ideal para armazenar bebidas e alimentos, o Frigobar da Midea MRC10B2-X possui diversos compartimentos para latas e gavetas espaçosas. Graças ao seu termostato você conseguirá controlar a temperatura de forma mais precisa. Possui sistema de refrigeração por compressor livre de cfc, compartimento extra frio que vai deixar a sua bebida gelada mais rápido, suas prateleiras são de vidro. Seu design clean, permite que você acomode o frigobar onde achar melhor, ele é no tamanho ideal para qualquer espaço, além de possuir selo Procel com classificação A em economia de energia. Atributos do Produto: Referência: MRC10B2-X Código: MRC10B2X Código de Barras: 7908198000587 Material: Inox Garantia: 12 meses Marca: Midea Modelo: MRC10B2-X Voltagem: 220V Detalhes e Especificações Técnicas: Sistema de refrigeração por compressor Super Econômico: selo Procel e classificação A no Programa Brasileiro de Etiquetagem Prateleiras de Vidro: mais estabilidade para latas e garrafas Termostato: controle de temperatura de forma precisa Espaçoso: comporta garrafas de 2 Litros Compartimento Extra frio: espaço perfeito para gelar mais rapidamente suas bebidas Compartimento para latas: armazenamento inteligente para latas Possui gaveta organizadora: melhor armazenamento dos seus alimentos Baixo nível de ruídos Gás Refrigerante Ecológico R600A Dimensões do produto Peso: 22,6Kg Comprimento: 45,0cm Largura: 47,2cm Altura: 86,0cm Capacidade: 93 Litros Conteúdo da Embalagem: 1 Frigobar 93 Litros Inox Classe A 220V Midea MRC10B2-X Importante Produtos de decoração não inclusos. Imagens meramente ilustrativas; As cores dos objetos podem sofrer alterações devido a luminosidade, configurações do monitor e até mesmo a percepção do usuário; *Os dados divulgados são de responsabilidade do fabricante/fornecedor.",7908198000587,Frigobar 93 Litros Inox Classe A 220V Midea MRC10B2-X,https://www.americanas.com.br/produto/4243108307,frigobar 93 litros inox classe a 220v midea mrc10b2-x,americanas,"Na medida certa para ter tudo sempre à mão Tem coisa que deveria estar sempre ao nosso alcance na hora de maratonar uma série ou socializar na sala de estar ou área externa, né? Com o Frigobar Midea 45L isso se tornou possível! Supereconômico quando o assunto é consumo de energia, e com um forte conceito sustentável graças ao gás refrigerante ecológico livre de CFC, esse frigobar vem para tornar o dia a dia muito mais agradável, realizando o seu desejo de poder ter tudo ao seu alcance. Diferente dos outros produtos similares no mercado, o Frigobar Midea de 47,2cm (largura) x 49,2cm (altura) x 45cm (profundidade) tem um compartimento extra frio internamente e as divisões estratégicas para armazenar os mais variados tipos de alimentos e bebidas com máxima organização e capacidade, como é o caso do porta-garrafas de até 2L. Além de possuir um design moderno com as cores preto e inox predominantes, ele é extremamente discreto, por ser projetado para emitir baixo nível de ruídos, e incrivelmente resistente, graças às suas prateleiras de vidro que, por sua vez, agregam ainda mais sofisticação, além de proporcionar mais estabilidade para latas e garrafas. Seu termostato fica na parte interna e permite que você controle a temperatura de forma precisa e de acordo com suas necessidades. Para conferir mais detalhes é só dar uma olhada no material logo abaixo!",7908198002789,Frigobar 45 Litros Preto Inox Classe A Midea Mrc06B1-X 127V,https://www.americanas.com.br/produto/3309535724,frigobar 45 litros preto inox classe a midea mrc06b1-x 127v,americanas,geladeiras,0
"Para praticidade na cozinha, conte com a Geladeira Frost Free Top Freezer 382L com dispenser de água da Electrolux. A Frost Free Top Freezer possui controle de temperatura digital Blue touch externo, design sofisticado e inovador, com o puxador de alumínio ergonômico e degelo automático. A geladeira possui 2 formas de gelo suspensas e turbo congelamento que quando acionado, congela rapidamente os alimentos e os mantém conservados.",7909569244043,Geladeira Frost Free Electrolux Top Freezer 382L com Dispenser de Água (TW42S) 127V,https://www.amazon.com.br/Geladeira-Electrolux-TW42S-Freezer-Dispenser/dp/B083VQT6L9,geladeira frost free electrolux top freezer 382l com dispenser de água (tw42s) 127v,amazon,"A geladeira Electrolux DW44S foi elaborada com alta tecnologia. Ela possui dispenser de água na porta, que permite muito mais conforto, pois você terá acesso à água gelada a qualquer momento sem abrir a geladeira.",7896584097993,Geladeira Top Freezer com Dispenser de Água Platinum 400L (DW44S) 127V,https://www.amazon.com.br/Geladeira-Electrolux-Freezer-Dispenser-Platinum/dp/B081P3GZTG,geladeira top freezer com dispenser de água platinum 400l (dw44s) 127v,amazon,geladeiras,0
"CaracterísticasModelo: RCD34 Cor: Preto Puxadores ergonômicos: Produto mais atraente e de fácil manuseio Iluminação na lateral do refrigerador: Boa visibilidade interna Pés elevados com niveladores: Mais facilidade na limpeza Classificação: A em eficiência energética, mais economia no consumo de energia Prateleiras internas: Removíveis e reguláveis Gaveta de legumes: ps cristal fumê Beleza e design: Sim, aliados a praticidade de limpeza Capacidade do Freezer: 55 litros. Alimentos congelados a -18ºC * Freezer Não Possui Prateleiras Capacidade Refrigerador: 221 Litros Capacidade Total: 276 Litros Consumo de Energia: 38,5 kWh Potência: 102.5 w Peso: 42.40 Kg Dimensões (a x L x p): 158.5 x 56 x 66 cm Garantia: 1 ano (ofertada pelo fabricante)sac - Fornecedor Esmaltec 0800 275 1414",7899081732084,"Geladeira/Refrigerador Esmaltec 276 Litros, RCD34, Cycle Defrost, 2 Portas, Preto",https://www.americanas.com.br/produto/86655629,"geladeira/refrigerador esmaltec 276 litros, rcd34, cycle defrost, 2 portas, preto",americanas,"CaracterísticasModelo: RCD34 Cor: Preto Puxadores ergonômicos: Produto mais atraente e de fácil manuseio Iluminação na lateral do refrigerador: Boa visibilidade interna Pés elevados com niveladores: Mais facilidade na limpeza Classificação: A em eficiência energética, mais economia no consumo de energia Prateleiras internas: Removíveis e reguláveis Gaveta de legumes: ps cristal fumê Beleza e design: Sim, aliados a praticidade de limpeza Capacidade do Freezer: 55 litros. Alimentos congelados a -18ºC * Freezer Não Possui Prateleiras Capacidade Refrigerador: 221 Litros Capacidade Total: 276 Litros Consumo de Energia: 38,5 kWh Potência: 102.5 w Peso: 42.40 Kg Dimensões (a x L x p): 158.5 x 56 x 66 cm Garantia: 1 ano (ofertada pelo fabricante)sac - Fornecedor Esmaltec 0800 275 1414",7899081732084,Refrigerador Esmaltec RCD34 Black 276L 2 Portas,https://www.americanas.com.br/produto/247379251,refrigerador esmaltec rcd34 black 276l 2 portas,americanas,geladeiras,1
"Refrigerador Philco 498 Litros 4 Portas Inox PRF510I – 127 VoltsO Refrigerador Philco 498 Litros 4 Portas Inox PRF510I – 127 Volts tem grande aproveitamento de espaço e eficiência para armazenar alimentos. Inverse Plus: Além da comodidade e facilidade no uso que a disposição do freezer, na parte inferior e refrigerador na parte superior garante, o conceito Inverse Plus da Philco traz um produto com 4 portas que proporciona mais harmonia com o ambiente sendo possível a instalação até mesmo em áreas menos espaçosas. Smart Cooling: Distribui de maneira uniforme a temperatura em todo interior do aparelho proporcionando a conservação por igual de todos os alimentos. Frost Free:Proporciona a circulação constante da temperatura no gabinete, a tecnologia Frost Free evita o indesejado acúmulo de gelo, garantindo mais higiene e a conservação mais adequada dos alimentos, além de facilitar a limpeza. Funções Display digital: O display digital possibilita acompanhar as temperaturas e funções selecionadas. Mais espaço: São 4 portas com 498 litros de capacidade, sendo: 335 litros e freezer com capacidade para 163 litros. Funções especiais:O produto possui 3 funções diferentes de operação: Férias, Smart e Turbo Freezer. Capacidade de 498L (335L no refrigerador e 163L no freezer). Sistema de refrigeração Frost Free. Freezer inverse com abertura lateral independente. Controle de temperatura do freezer e refrigerador de forma independente, localizado no interior do refrigerador. Freezer com temperaturas de -15°C a -24°C. Refrigerador com temperaturas de 1°C a 7°C. Funções férias, turbo freezer e Smart. Alarme de porta aberta. Iluminação interna led. Porta em aço com tratamento anti-corrosão. Prateleiras em vidro temperado. Divisão do refrigerador: 3 prateleiras, 2 gavetas de legumes e 3 prateleiras em cada porta. Divisão do freezer: 4 prateleiras e 2 gavetas (3 itens de cada lado). Imagem meramente ilustrativa.",7891356084034,Refrigerador Philco 498 Litros 4 Portas Inox PRF510I – 127 Volts,https://www.americanas.com.br/produto/5176160243,refrigerador philco 498 litros 4 portas inox prf510i – 127 volts,americanas,"Refrigerador Philco 482 Litros French Door Inverse Inox PFR500I – 127 Volts A evolução das geladeiras acompanha a necessidade das pessoas. Hoje é utilizado não só para conservar os alimentos com qualidade, mas também para organizar os mantimentos auxiliando a alimentação saudável virar uma rotina prática. Pensando nisso a philco desenvolveu o Refrigerador Philco 482 Litros French Door Inverse Inox PFR500I Inverse Plus: Possui o refrigerador na parte superior e o freezer na parte inferior, além de contar com 4 portas que proporciona mais harmonia com o ambiente, sendo possível a instalação até mesmo em áreas menos espaçosas. Smart Cooling: Distribui de maneira uniforme a temperatura em todo o gabinete do refrigerador e freezer proporcionando a conservação por igual de todos os alimentos. Frost Free: Proporcionando a circulação constante da temperatura no gabinete a tecnologia Frost Free evita o indesejado acúmulo de gelo, garantindo mais higiene e a conservação mais adequada dos alimentos, além de facilitar a limpeza. Capacidade para 482 Litros: Refrigerador com capacidade para 331 litros e freezer com capacidade para 151 litros. Display Digital e Controle de Temperatura e Modos: Elegante display digital que possibilita acompanhar as temperaturas e modos selecionados. Por meio do controle de temperatura e modos é possível selecionar as temperaturas individuais do refrigerador e freezer além de selecionar os modos disponíveis. Mais Espaço e Mais Organização: Além das prateleiras em vidro reguláveis o refrigerador conta também com prateleiras nas portas, porta-ovos e gavetão de frutas, verduras e legumes. Funções especiais: O produto possui 3 funções especiais para operação (Turbo Refrigerador/Turbo Freezer /Férias), através dos quais é possível acelerar o resfriamento e congelamento consecutivamente do refrigerador e freezer, ou colocar o produto em modo econômico. Fácil de Deslocar e Instalar: Além do design elegante e versátil os pés niveladores e rodinhas traseiras garante o fácil deslocamento e instalação do produto no ambiente.",7891356080029,Refrigerador Philco 482 Litros French Door Inverse Inox PFR500I – 127 Volts,https://www.americanas.com.br/produto/2499413209,refrigerador philco 482 litros french door inverse inox pfr500i – 127 volts,americanas,geladeiras,0
"A Geladeira Brastemp Frost Free Inverse 3 com 419 litros possui configuração Inverse, com geladeira em cima e freezer embaixo, deixando os alimentos na altura dos seus olhos. Com o Freeze Control PRO tenha 3 compartimentos com controle de temperatura independente e escolha entre 4 modos: carnes prontas para corte, cerveja a -4°C, frios e laticínios além de vinhos e espumantes. Possui também o Turbo Ice para fabricar gelo em até 3 horas e o Twist Ice Advanced para abastecer as formas de gelo sem molhar o chão. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129531451,Refrigerador Brastemp Inverse 3 BRY59 419 Litros Preto - 110v,https://www.americanas.com.br/produto/2117242169,refrigerador brastemp inverse 3 bry59 419 litros preto - 110v,americanas,"Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Preto BRY59BE A Brastemp sempre trazendo o que há de melhor, traz para sua casa o Refrigerador Brastemp Frost Free Inverse 3. Um refrigerador, bonito, moderno e prático, pois com sua configuração Inverse, a parte do refrigerador fica em cima e o freezer fica na parte de baixo, permitindo que os alimentos fiquem na altura dos olhos, deixando assim muito mais fácil manter o controle e organização dos alimentos. Com o Freezer Control pro você conta com um total de 3 compartimentos com temperaturas independentes, são 4 opções de temperaturas para você escolher. Assim, seus alimentos estarão sempre melhor armazenados de acordo com suas necessidades individuais. Você quer ter gelo rápido para aqueles dias quentes? Com a Função Turbo Ice isso fica muito fácil, pois o gelo fica pronto em até 3 horas, e tudo isso apenas em um clique no botão que fica no painel exterior do Refrigerador. E com o Twist Ice Advanced, sistema exclusivo, você abastece facilmente, sem molhar o chão. Sem contar que é muito simples de desenformar o gelo em um recipiente portátil e prático. Com o Espaço Adapt, o Refrigerador te permite ajustar as prateleiras totalmente conforme suas necessidades, você ajusta de acordo com os tamanhos, podendo incluir até garrafas de 3L. Com o Incrível Freezer Control pro é possível escolher 4 modos de temperatura neste compartimento: Conservar carnes por até 10 dias sem congelar*, manter a cerveja a -4ºC, utilizar a função Frios e Laticínios para alimentos mais perecíveis ou armazenar seus vinhos e espumantes na temperatura ideal. *respeitada a data de validade impressa na embalagem Para gelar muito mais rápido suas bebidas, conte com a Função Turbo Freezer, deixando-as na temperatura ideal com mais rapidez. O refrigerador ainda possui Iluminação em led.Especificações Técnicas: - Marca: Brastemp - Modelo: BRY59BE - Voltagem: 220V ou 110V (não é bivolt) - Cor: Preto - Cor principal (visão frontal): Preto - Capacidade total líquida (l): 419 - Tipo de degelo: Frost Free - Número de portas: 3 - Painel de controle: Externo - Posição do freezer: Embaixo - Plugue e tomada: 10A - Classificação energética: a - Garantia produto (meses): 12 - Potência (w): 112 - Consumo aproximado de energia 220 v (kwh): 63 - Frequência: 60Hz - Selo inmetro no produto: Sim - Itens inclusos na embalagem: Tampo, base, cantoneira e produto - Tipo de controle do painel: Touch, Eletrônico - Tipo de display: led - Controle de temperatura no refrigerador: Sim - Número de níveis de temperatura do refrigerador: 5 - Função trava painel: Sim - Controle de temperatura no freezer: Sim - Aviso de porta aberta: Sim - Aviso troca filtro: Não - Número de níveis de temperatura do freezer: 5 - Porta-ovos: Sim - Porta-ovos removível: Sim - Separador de garrafas: Sim - Porta garrafas: Sim - Número de formas de gelo: 2 - Função turbo freezer: Sobremesas, Geral - Compartimento de congelamento rápido: Sim - Suporte para taças: Sim - Tipos de gavetas: Gaveta Multiuso e gaveta legumes - Pés ajustáveis: Sim - Pés: Sim - Tipo de iluminação interna refrigerador: led - Tipo de iluminação interna freezer: led - Dimensões do Produto (LxAxP): 70 x 194 x 75 cm - Dimensões do Produto Embalado (LxAxP): 75,5 x 199 x 83,3 cm - Peso Líquido: 87 kg - Peso Bruto: 90 kg - Garantia: 12 meses",7891129531451,Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Preto 127V BRY59BE,https://www.americanas.com.br/produto/4725832293,refrigerador brastemp inverse 419l 3 portas frost free preto 127v bry59be,americanas,geladeiras,1
"Para você que procura economia e uma geladeira moderna, o refrigerador Frost free Electrolux IF55 possui o maior freezer da categoria com 128 litros. Esse amplo espaço interno permite armazenar tudo o que você deseja com mais facilidade e segurança. Uma aposta certa para adicionar muito mais praticidade ao seu dia a dia. A tecnologia Inverter da Electrolux faz com que o refrigerador atinja a temperatura necessária com maior eficiência, reduzindo em até 45 por cento o consumo de energia, tenha elegância e praticidade sempre a disposição no seu dia a dia.",7896584098013,Geladeira/Refrigerador Inverter Top Freezer 431L Branco (IF55) 127V,https://www.amazon.com.br/Refrigerador-Inverter-IF55-431-litros/dp/B07QC8PZWD,geladeira/refrigerador inverter top freezer 431l branco (if55) 127v,amazon,"Com a nova Geladeira Electrolux você tem a mais moderna concepção de economia para sua residência. Ele vem com tecnologia Inverter, que ajuda na redução do consumo de energia.",7896584098037,Geladeira/Refrigerador Inverter Top Freezer 431L Platinum (IF55S) 127V,https://www.amazon.com.br/Geladeira-Refrigerador-Electrolux-Inverter-Platinum/dp/B07QHDR9X1,geladeira/refrigerador inverter top freezer 431l platinum (if55s) 127v,amazon,geladeiras,0
"Refrigerador Philco Side By Side 2 Portas 489 Litros PRF504I. Características: Capacidade de 489L (324L no refrigerador e 165L no freezer) Classificação A em eficiência energética Sistema de refrigeração Frost Free Side by side (freezer na porta esquerda e refrigerador na porta direita) Painel touch Controle de temperatura do freezer e refrigerador de forma independente Freezer com temperaturas de -15°C a -22°C Refrigerador com temperaturas de 2 a 8°C Funções smart, turbo freezer e turbo refrigerador Alarme de porta aberta Porta em aço com tratamento anti-corrosão Prateleiras em vidro temperado Iluminação interna LED Compressor inverter Função smart: Produto monitora o uso e temperaturas internas automaticamente e ajusta a programação conforme necessário Turbo freezer e turbo Refrigerador: Refrigeração acelerada para uso severo, pode ser acionada nos compartimentos separadamente ou em conjunto Dimensões: Altura: 176,8 cm Largura: 92 cm Profundidade: 63 cm Peso: 79,5 kg Garantia do fornecedor de 12 meses.",7891356084607,Refrigerador Philco Side By Side 2 Portas 489 Litros PRF504I,https://www.americanas.com.br/produto/3359076773,refrigerador philco side by side 2 portas 489 litros prf504i,americanas,"Sua cozinha vai ficar muito mais bonita e organizada com a Geladeira Philco PRF533I. Tem capacidade de 434 litros e porta Side by Side, você tem espaço de sobra para armazenar e organizar os alimentos da forma que quiser, acessando o que precisa a qualquer momento, sem dificuldades. Tem painel touch, controle de temperatura independente, prateleiras de vidro e portas com anticorrosão. E tem mais, além de super espaçoso esse refrigerador conta com tecnologia de compressor inverter, isso significa que além das inúmeras vantagens ele possui baixo consumo de energia. Características: Tipo de degelo: Frost Free Tipo de porta: Side by Side Quantidade de portas: 2 Capacidade líquida total: 434L Capacidade líquida do refrigerador: 289L Capacidade líquida do freezer: 145L Recursos: Painel touch Controle de temperatura independente do refrigerador e do freezer Alarme de porta aberta Iluminação interna em LED Portas com tratamento anticorrosão Prateleiras em vidro temperado Compressor inverter Prateleiras: 4 internas e 3 na porta Freezer: 4 internas e 4 na porta Gavetas: Sim Tecnologia de refrigeração: Compressor inverter Potência: 220W Eficiência energética: a Consumo aproximado de energia: 44 kWh/mês Dimensões: Altura: 177 cm Largura: 91 cm Profundidade: 59 cm Garantia do fornecedor de 12 meses.",7891356086885,Refrigerador Philco 434 Litros 2 Portas Side By Side PRF533I,https://www.americanas.com.br/produto/3365709135,refrigerador philco 434 litros 2 portas side by side prf533i,americanas,geladeiras,0
