descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Smart TV Toshiba LED Quantum dot 55 uhd 4K - TB001 Produto não acompanha conversor digital Com a Smart TV 4K Quantum Dot M550 de 55 polegadas Toshiba, você terá realidade além dos pixels. Sua tecnologia permite a reprodução de mais de um bilhão de tons de cores e precisão muito superior as TVs LED convencionais. Com nosso processador Quad-Core, a abertura de apps e comandos será muito mais rápido que em outras telas. O sistema operacional vidaa é fluído, amigável e customizável, uma das mais rápidas do mercado e com muitos conteúdos para desfrutar. Vivencie uma experiência sem igual de imersão em som, com a Dolby Atmos Experience. Acompanha um controle remoto completo, tenha tudo o que precisa em suas mãos com botões Netflix, Youtube, Amazon Prime, entre outros que vão garantir uma experiência única e fácil. Estabeleça regras digitais e controle os conteúdos impróprios de acordo com a faixa desejada através da função de controle parental. E ainda conta com o Modo Arte, em apenas um toque no botão do controle remoto sua tela se torna uma obra de arte. Com bordas infinitas. Acompanha acessórios, conversor de canais de tv digital (dtv).Especificações: Brilho (CD/M):400 Contraste nativo:4000:1 Dimensão VESA:300x200MM Resolução: 3840 x 2160 (uhd 4K) Sistema operacional: vidaa Tamanho de tela (cm): 139 Tamanho de tela (pol. ): 55 Tecnologia do painel: Dled Quantun Dot Espelhamento de tela: Sim Tempo de resposta do painel (ms): 8 Ângulo de visualização (graus): h: 178 v: 178 Streaming uhd (4K): Sim Aplicativos pré instalados: Netflix, Prime Video, Youtube, Kids, Loja de App Banda Wi-Fi: 2.4/5GHZ Bluetooth: 5.0 Comando de voz: Sim Consumo stand-by:0.5W dlna: Sim Entradas: 1 isdbt/ntsc, 1 av Input compartilhada com componente, 2 USB 2.0, 1 saída de áudio digital (spdif), 1 saída P2, 3 entradas hdmi (tipo 2.0 hdcp 2.2), 1 RJ45 Frequência (hz): 50-60 Processador: Quad-Core Wi-Fi integrado: Sim Wi-Fi ieee 802.11: a/b/g/n/ac Canal áudio de retorno: Sim (HDMI1) cec via hdmi: HDMI1, HDMI2, HDMI3 Memória de armazenamento emmc: 4G Memória de processamento ddr: 1.5G Voltagem: Bivolt Tensão: 100-240V Peso do produto: 17,7Kg Dimensões do produto: 122 x 8 x 78cm (c X L X a) Imagens de caráter ilustrativo. NAC009045",7908414412934,Smart TV Toshiba LED Quantum dot 55 uhd 4K TB001,https://www.americanas.com.br/produto/3503291727,smart tv toshiba led quantum dot 55 uhd 4k tb001,americanas,"Com a Tela 4K qled Display M550 de 55 polegadas Toshiba, você terá realidade além dos pixels! Sua tecnologia permite a reprodução de mais de um bilhão de tons de cores e precisão muito superior às TVs LED convencionais. Com nosso processador Quad-Core, a abertura de apps e comandos será muito mais rápido que em outras telas. O sistema operacional vidaa é fluído, amigável e customizável, uma das mais rápidas do mercado e com muitos conteúdos para desfrutar. Vivencie uma experiência sem igual de imersão em som, com a Dolby Atmos Experience. Acompanha um controle remoto completo, tenha tudo o que precisa em suas mãos com botões Netflix, Youtube, Amazon Prime, entre outros que vão garantir uma experiência única e fácil. Estabeleça regras digitais e controle os conteúdos impróprios de acordo com a faixa desejada através da função de controle parental. E ainda conta com o Modo Arte, em apenas um toque no botão do controle remoto sua tela se torna uma obra de arte!Ficha Técnica Marca: Multilaser Modelo: Tela Toshiba Qled 55 Pol. 55m550kb Quantum Dot 4k Smart Vidaa - Tb001 Tamanho da Tela (polegada): 55 Tipo de Tela: Quantum Dot Resolução da Tela: 4k Wi-fi: Sim Som Stereo: Sim Tecnologia: Quantum Dot Controlador: Rca, Áudio In, hdmi, Áudio Out, Usb, 3.5mm, Lan Alimentação: Bivolt (110/220v) Conexão usb: Sim Controle Remoto: Sim Conexão de Dados Móveis: Sim Quantidade de Entradas usb: 1 Quantidade Entradas hdmi: 3 Entrada para Fone: Sim Atualização Automática de Software: Sim Porta Rj45: Sim Cor Principal: Preto Conteúdo da Embalagem: Tela, Cabo, Controle Remoto, Pilhas Dimensões do produto (LxAxC): 8 x 71 x 123 cm Peso (Kg): 17,7Garantia: 12 mesesAcompanha acessório conversor de canais de tv digital externo (dtv).",7908414412934,Smart Tela Toshiba Qled Display 55 Pol. 55m550kb Quantum Dot 4k Vidaa Hdr - TB001,https://www.americanas.com.br/produto/4573655961,smart tela toshiba qled display 55 pol. 55m550kb quantum dot 4k vidaa hdr - tb001,americanas,tvs,1
"Descrição resumidaConte com uma tela de 39 HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível.Características - Marca: Multilaser - Modelo: TL028Especificações - Smart TV Não - Tamanho da tela 39 - Resolução 1366x768 - Tecnologia da tela dled - Velocidade do painel 60Hz - vga 0 - Processador n/a - Entrada hdmi 2 - Entrada USB 1 - AV/vídeo 1 - Wi-Fi Não - Espelhamento do smartphone Não - Espelhamento de áudio Não - Controle remoto Sim - Dimensão do prodto (mm) 885.9510.586.4 - Função dnrGarantia 12 mesesConteúdo da embalagem: - 1 x Tv - 1 x Controle - 1 x Conversor de TV digital exteronoPeso - 7,00Kg",7908414405271,Televisao 39 Polegadas Hd Tl028,https://www.americanas.com.br/produto/4800383732,televisao 39 polegadas hd tl028,americanas,"Descrição resumidaConte com uma tela de 39 HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível.Características - Marca: Multilaser - Modelo: TL033Especificações - Smart TV Não - Tamanho da tela 39 - Resolução 1366x768 - Tecnologia da tela dled - Velocidade do painel 60Hz - vga 0 - Processador n/a - Entrada hdmi 2 - Entrada USB 1 - AV/vídeo 1 - Wi-Fi Não - Espelhamento do smartphone Não - Espelhamento de áudio Não - Controle remoto Sim - Dimensão do prodto (mm) 885.9510.586.4 - Função dnrGarantia 12 mesesConteúdo da embalagem: - 1 x Tv - 1 x ControlePeso - 7,00Kg",7908414405448,Televisao 39 Polegadas Hd s/ Conversor Digital Tlo33,https://www.americanas.com.br/produto/4800389923,televisao 39 polegadas hd s/ conversor digital tlo33,americanas,tvs,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7899968301143,"Smart TV Semp 32"" Roku LED HD R5500 Wi-Fi Dual Band 3 HDMI 1 USB com Controle por Aplicativo",https://www.americanas.com.br/produto/3913051081,"smart tv semp 32"" roku led hd r5500 wi-fi dual band 3 hdmi 1 usb com controle por aplicativo",americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7899968301150,"Smart TV 43"" Led Semp Roku R5500 FHD Wifi Dual Band 3 HDMI 1 USB com Controle por Aplicativo",https://www.americanas.com.br/produto/3953974576,"smart tv 43"" led semp roku r5500 fhd wifi dual band 3 hdmi 1 usb com controle por aplicativo",americanas,tvs,0
"Com a Tela Full HD de 32 Polegadas da Multilaser, você terá realidade além dos pixels! Conte com uma tela 32 polegadas com 1366 x 768 de alta resolução, que proporciona uma imersão total ao conteúdo em reprodução. A mesma contém 3 entradas HDMI, 2 USB, 1 RJ45 e 1 AV, com alimentação bivolt 100V/220V de 60Hz. Conta também com saída digital coaxial, com processador Quad Core e função DNR, que te proporciona granulação reduzida, assim você terá imagens mais claras e nítidas. Acompanha 1 conversor digital externo removível sem necessidade do uso de dois controles remotos. Garanta já a sua Tela Full HD de 32 Pol da Multilaser! Aplicativo Globoplay não disponível. BRILHO: 200cd/m² ÁUDIO: 2x8WRMS CONTRASTE: 1200:1. Imagens Meramente Ilustrativas.",7899838894744,Monitor Tv 32 Polegadas HD Com Função Smart E Wi-Fi Integrado Multilaser - TL020,https://www.amazon.com.br/Polegadas-Fun%C3%A7%C3%A3o-Smart-Integrado-Multilaser/dp/B08N2WM2N5,monitor tv 32 polegadas hd com função smart e wi-fi integrado multilaser - tl020,amazon,"Tela TL020 da Multilaser, realidade além dos pixels! Conte com uma tela Widescreen de 32"" HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. A TV 32 Multilaser hd, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e acompanhe seus seriados e veja os melhores filmes. Aproveite diversos conteúdos, você também consegue reproduzir conteúdo direto do seu Pen Drive. Fora todas essas vantagens, ela acompanha um conversor digital, basta você conectar seu conversor na sua tela e transforme em uma televisão com recepção digital. Modelo: TL020 pn: TL020 Tecnologia da Tela: Widescreen Cor: PretoCaracterísticas: Alimentação (Voltagem): Bivolt Tamanho da Tela: 32"" Resolução: hd Resolução da Tela: 1366 x 768 Acompanha Conversor Digital: Sim (Externo Removível) Smart tv: Sim WiFi Integrado: Sim Brilho: 250 cd / metro ao quadrado Contraste: 1200:1 Frequência: 60Hz Função dnr: Granulação reduzida (imagens mais claras e nítidas) Com Auto Falante Embutido (2 x 8WRMS)Conectividade: 03 x hdmi 02 x usb 01 x Rj45 01 x Entrada de Vídeo e Áudio (av) 01 x Saída Digital CoaxialConteúdo da Embalagem: 01 x Smart TV LED 32"" HD Multilaser TL020 3 hdmi 2 USB Wi-Fi 01 x Manual de Instruções Fabricante: Multilaser Garantia: 12 meses com a fabricante Dimensões do Produto (a x L x p): 47,6 x 18,5 x 73,10 cm Peso: 4.1 Kg Telefone de Atendimento: (11) 3198-5883 / (11) 2388-8213",7899838894744,Smart TV LED 32 HD Multilaser TL020 Conversor Digital Externo 3 hdmi 2 USB Wi-Fi,https://www.americanas.com.br/produto/4880613701,smart tv led 32 hd multilaser tl020 conversor digital externo 3 hdmi 2 usb wi-fi,americanas,tvs,1
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509116701,"Smart TV Tela QLED 55"" Samsung 55q60a 4K Conversor Digital  Wi-Fi integrado 2 USB 3 HDMI",https://www.americanas.com.br/produto/3060874906,"smart tv tela qled 55"" samsung 55q60a 4k conversor digital  wi-fi integrado 2 usb 3 hdmi",americanas,"Já pensou em uma TV com tela infinita? A Smart TV 4K Samsung TU7000 de 55 garante que você veja a imagem e não a tv, com sua exclusiva tela sem bordas aparentes e a mais fina da categoria! Além de excelente intensidade de brilho para a imagem ficar mais nítida e para você não perder nenhum detalhe.Uma TV com design moderno na cor preta e visual livre de cabos! Perfeito para seu espaço ficar mais organizado e livre de confusões. Ainda, desligada você pode transformar em um lindo mural de fotos com o modo ambiente foto.Transforme sua sala em um verdadeiro cinema! Ela combina recursos e tecnologias que inovam a experiência de assistir tv, entregando máximo desempenho e definição para você e toda sua família curtir.Características Marca: Samsung Cor: PretoTela / Imagem Tamanho da tela: 55 polegadas Resolução: 4K uhd - 3,840 x 2,160 Frequência da Tela: 60 Hz Sistema Operacional: Tizen Processador: Crystal uhdConexões hdmi: 2 usb: 1 Entrada de Componente (Y/Pb/Pr): 1 Entrada de Composto (av): 1 Entrada de rf (terrestre/entrada de cabo): 1 Saída de Áudio Digital (Óptica): 1 Ethernet (lan): 1 Rede sem fio integrada Anynet + (hdmi-cec)Funções Smart Sistema Operacional: Tizen Navegador (Web Browser) GaleriaÁudio Dolby Digital Plus Potência (rms): 20W Tipo de alto-falante: 2 ch Multiroom Link Bluetooth de Áudio Aprimoramento de DiálogoConvergência Espelhamento do Smartphone para tv, dlna WiFi Direct Acesso Remoto Som da TV para smartphone Bluetooth Low Energy Espelhamento de ÁudioSintonizadorSintonizador analógico: Sim (Trinorma) Transmissão digital: isdb-t Transmissão de dados: gingaRecursosDetecção de brilho/cor Acessibilidade – Outros: Ampliar/Alto contraste/Áudio de várias saídas Desligamento automático ConnectShare bt hid integrado Suporte para mbr Digital Clean View EPG Compatível com hid usb Acessibilidade – Aprenda a usar o controle remoto/Aprenda a usar a tela menu Connect Share (hdd) IdiomaItens Inclusos 01 Smart tv 01 Controle Remoto - TM1940A 01 Cabo de Força 01 Manual Eletrônico 01 Manual do UsuárioAlimentação Tensão: Bivolt (110 Volts e 220 Volts) Frequência: 50/60 Hz Consumo médio: 200 WattsDimensões Tamanho sem suporte (AxLxP): 70,72 x 123,05 x 5,99 cm Tamanho com suporte (AxLxP): 77,83 x 123,05 x 24,97 cm Peso com embalagem: 19,05 Kg Peso do conjunto com suporte: 14,2 kg Peso do conjunto sem suporte: 13,9 kgGarantia: 12 meses",7892509113472,"Smart TV 4K Samsung 55 uhd, 2 hdmi, 1 usb, Wi-Fi Integrado",https://www.americanas.com.br/produto/2474000256,"smart tv 4k samsung 55 uhd, 2 hdmi, 1 usb, wi-fi integrado",americanas,tvs,0
"Smart TV LG acompanha o sistema webOS 3.5, onde vem com tudo para você aproveitar a internet ao máximo. Navegue por sites, assista séries e vídeos em streaming, acesse aplicativos e muito mais. Televisor ou monitor, no trabalho ou lazer você vai ter uma verdadeira experiência digital. O Wi-Fi Integrado permite que você simplesmente conecte sua rede de preferência e pronto. Já começa a navegar por qualquer site ou aplicativo. Nota: A porta USB está presente na parte traseira do monitor no lado direito.",7893299911453,"Smart TV LED 24"" Monitor LG 24TL520S, Wi-Fi, WebOS 3.5, DTV Machine Ready",https://www.amazon.com.br/Smart-Monitor-LG-Machine-24TL520S/dp/B07SSCKJJ3,"smart tv led 24"" monitor lg 24tl520s, wi-fi, webos 3.5, dtv machine ready",amazon,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7893299911453,"Smart TV LG 24"" LED 24TL520S - 24"" Monitor Wi-Fi WebOS 3.5 DTV Machine Ready",https://www.americanas.com.br/produto/1708933455,"smart tv lg 24"" led 24tl520s - 24"" monitor wi-fi webos 3.5 dtv machine ready",americanas,tvs,1
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,8806090491559,"Samsung Smart Tv Qled 4k The Sero 2020 43"", Tv Vertical, Som De 60w Rms E 4.1 Canais, Modo Retrato, Modo Ambiente 3.0",https://www.americanas.com.br/produto/1829677970,"samsung smart tv qled 4k the sero 2020 43"", tv vertical, som de 60w rms e 4.1 canais, modo retrato, modo ambiente 3.0",americanas,,7892509113632,"Smart TV QLED 55"" UHD 4K Samsung The Frame QN55LS03TAG Modo Arte Modo Ambiente 3.0 com Molduras Customizáveis Única Conexão - 2020",https://www.americanas.com.br/produto/1803603315,"smart tv qled 55"" uhd 4k samsung the frame qn55ls03tag modo arte modo ambiente 3.0 com molduras customizáveis única conexão - 2020",americanas,tvs,0
"Características do Produto: Modelo: TV39G65N5CHMarca: PhilcoCor: PretoAltura: 51,6 cmLargura: 88,5 cmComprimento: 8,6 cmPeso: 6,060 KgTamanho da Tela: 39""Resolução da Tela: HDAlto-Falantes: NãoFunção Gamer: NãoConexões: hdmi e USBEspecificações Técnicas: TV Backlight d-led 39""Resolução: HD (1366 X 768) Tempo de resposta: 8.0 ms Ângulo de Visão: 178°(H) x 178°(V) Brilho: 254 cd/m² Contraste dinâmico: 3.000.000:1 Frequência da Tela: 60Hz Potência do Alto-Falante: 10Wrms x 2 Formato da Tela: 16:9 Sistema de cores: pal-m, pal-n, ntsc Furação Vesa: 200x200mm wifi integrado Cor: Preto Entrada de vídeo e áudio estéreo (rca) 1 entrada hdmi e 1 entrada hdmi (ARC)², total de 2 entradas Entrada rf para TV aberta (Digital e Analógica) e TV à cabo 1 entrada usb: reproduz filmes, músicas e fotos 1 entrada s/pdif out Optical 1 entrada Ethernet 1 entrada P2: Para periféricos de áudio Menu nos idiomas Português e Inglês Busca automática de canais Recepção em atv, dtv e catv Conversor digital integrado Equalizadores de som e imagem predefinidos Ajustes de temperatura de cor Nivelador automático de volumeConteúdo da embalagem: TelevisãoControle remotoCabo de alimentação ACManual de Instruções em PortuguêsParafusos da baseBaseDimensões do Produto: Sem Base: 51,6 x 88,5 x 8,6 cmPeso: 6,060 KgCom Base: 56,1 x 88,5 x 22,8 cmPeso: 6,680 KgDimensões do Produto (Embalado): (AxLxC): 63,5 x 102 x 13 cmPeso: 7,560 KgGarantia: 1 (Ofertado pelo fabricante)Fornecedor: Philco",7891356095955,"Smart TV LED 39 Philco TV39G65N5CH HD com Wi-Fi, 1 usb, 1 hdmi, Mídia Cast, Controle com Botão Netflix, 60Hz",https://www.americanas.com.br/produto/4880313952,"smart tv led 39 philco tv39g65n5ch hd com wi-fi, 1 usb, 1 hdmi, mídia cast, controle com botão netflix, 60hz",americanas,"Smart TV PHILCO 39"" TV PTV39G65N5CH LED possui nova loja de aplicativos, oferecendo muito mais na TV com a loja de aplicativo; Navegador de internet: Acesse a internet de forma rápida e direta em sua TV; Mídia Cast: Espelhe seu dispositivo móvel na tela de alta qualidade de sua Fast Smart TV; Processador Gráfico Triple Core: Processador gráfico com três núcleos que trabalha em conjunto com o processador do televisor, isso permite um melhor desempenho de imagens e respostas gráfica; Processador Quad core: É um processador com quatro núcleos de processamento, permitindo um melhor desempenho do seu televisor; Entretenimento: NETFLIX / GLOBOPLAY / PRIME VIDEO / YOUTUBE, com Controle Remoto com botão Netflix e Globoplay.",7891356095955,"Smart TV PHILCO 39"" TV PTV39G65N5CH LED - NETFLIX- YOUTUBE - MIDIACAST",https://www.amazon.com.br/Smart-PHILCO-PTV39G65N5CH-LED-MIDIACAST/dp/B097NJ4K8Z,"smart tv philco 39"" tv ptv39g65n5ch led - netflix- youtube - midiacast",amazon,tvs,1
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7892509117913,"Smart TV 55"" UHD Samsung 4k 55AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In",https://www.americanas.com.br/produto/3069509622,"smart tv 55"" uhd samsung 4k 55au7700 processador crystal 4k tela sem limites visual livre de cabos alexa built in",americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7892509117944,"Smart TV 70"" UHD Samsung 4k 70AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In",https://www.americanas.com.br/produto/3069544698,"smart tv 70"" uhd samsung 4k 70au7700 processador crystal 4k tela sem limites visual livre de cabos alexa built in",americanas,tvs,0
"Tela 43 Polegadas Full Hd s/ Conversor Digital - Tl023 Conte com uma tela Widescreen de 43 Full HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível com o processador de alta performace e 256MB de ram. Tela 43 Multilaser Full hd, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e acompanhe seus seriados e veja os melhores filmes. Aproveite diversos conteúdos, você também consegue reproduzir conteúdo direto do seu Pen Drive. Possui 2 entradas de hdmi, entrada rca e sua alimentação é 100-220V 60Hz. Características: Resolução: Full hd Entradas: hdmi, usb Quantidade de Entradas hdmi: 2 Polegadas: 43 Garantia do Fornecedor: 12 meses Imagens Meramente Ilustrativas.",7899838894775,Tela 43 Polegadas Full Hd s/ Conversor Digital Tl023,https://www.americanas.com.br/produto/3120061191,tela 43 polegadas full hd s/ conversor digital tl023,americanas,"Tela 43 Polegadas Full Hd + Conversor Tv Digital Externo Multilaser - Tl029 Tl029Conte com uma tela de 43 Full HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. A tela 43"" Multilaser Full hd, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e veja os melhores filmes. Com a função dnr, possui Granulação reduzida, com imagens mais claras e nítidas. Possui 2 entradas de hdmi, entrada av e sua alimentação é bivolt. Acompanha acessórios, conversor externo de canais de tv digital (dtv). Imagens meramente ilustrativas. Especificações Técnicas Cor: Preto Porta USB: 1 Contraste: 5000:1 Brilho: 220Cd/m² Tempo de Resposta: 8Ms Peso do produto: 10300.0G Largura do produto: 108.0Cm Altura do produto: 56.6Cm Comprimento do produto: 97.3Cm Dimensões sem Suporte: 97,3 X 9,4 x 56,6 cm Frequência do Painel (Hz): 60Hz hdmi: 2 wifi: Não lan: Não Consumo Stand by:<0.5W Resolução da tela: Full HD (1920x1080) Garantia:03 Meses contra Defeitos de Fabricação Marca: Multilaser Ref.: TL029 14/02/2022 17:01:20",7908414405295,Tela 43 Polegadas Full Hd + Conversor Tv Digital Externo Multilaser,https://www.americanas.com.br/produto/4974273576,tela 43 polegadas full hd + conversor tv digital externo multilaser,americanas,tvs,0
