descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"A Geladeira Brastemp Inverse Frost Free BRE59 460 litros possui refrigerador em cima e freezer embaixo, deixando os alimentos mais utilizados sempre à mão. Ela conta com o compartimento Freeze Control Advanced, com controle de temperatura independente que permite programar diferentes funções de acordo com a sua necessidade: carnes conservadas por até 10 dias sem congelar*, cerveja extragelada a ?4 °C e frios e laticínios nas condições ideais.*respeitada a data de validade impressa na embalagem.",7891129252110,Geladeira Brastemp Inverse Frost Free 460 litros - BRE59 Branco 110v,https://www.americanas.com.br/produto/132532210,geladeira brastemp inverse frost free 460 litros - bre59 branco 110v,americanas,"Com a Geladeira Brastemp Frost Free Duplex BRM56 462 litros, tenha gelo mais rápido sempre que precisar com a função Turbo Ice e saiba quando está pronto. O Twist Ice Advanced permite abastecer as formas de gelo e desenformá-lo facilmente, e com o Espaço Adapt você conta com prateleiras ajustáveis para armazenar itens de diversos tamanhos. Possui ainda com o compartimento bipartido Turbo Control, que permite aumentar a potência em um dos lados para gelar bebidas e sobremesas ainda mais rápido. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129250086,Geladeira Brastemp Frost Free 462 litros - BRM56 Branco - 110V,https://www.americanas.com.br/produto/132717302,geladeira brastemp frost free 462 litros - brm56 branco - 110v,americanas,geladeiras,0
"O novo Refrigerador Consul Frost Free 386 Litros é bem pensado para se adaptar a todos os seus momentos, das compras do mês a ocasiões especiais, como aquele almoço de domingo ou a cerveja com os amigos. é o único com as prateleiras Altura Flex, que podem ser ajustadas em até 8 níveis de altura para acomodar potes, jarras e alimentos de diversos tamanhos. Possui também a prateleira dobrável, que pode ser rebatida para acomodar itens maiores, e a bandeja deslizante, que aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras. Tudo isso com controle de temperatura externo e a tecnologia Frost Free, que não precisa descongelar nunca, pois não forma gelo nas paredes do congelador.",7891129240636,Refrigerador Consul CRM43H Frost Free Evox 386L,https://www.americanas.com.br/produto/4305783376,refrigerador consul crm43h frost free evox 386l,americanas,"Cansado de passar aperto com a geladeira? A nova Geladeira Consul Frost Free 386L é bem pensada para se adaptar a todos os seus momentos, das compras do mês às ocasiões especiais, como aquele almoço de domingo ou a cerveja com os amigos. Ela é a única com as prateleiras Altura Flex, que podem ser ajustadas em até 8 níveis de altura. Possui também a Bandeja Deslizante, que aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras, e a função Turbo, ideal para momentos em que sua geladeira está muito cheia. E você ainda ganha potinhos práticos exclusivos para guardar temperos ou porções de comida. Tudo isso com controle de temperatura externo e tecnologia Frost Free, que não precisa descongelar nunca, pois não forma gelo nas paredes do congelador. Bem pensada assim, só podia ser Consul. Imagens Meramente Ilustrativas. Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129240636,Geladeira / Refrigerador Consul Duplex 2 Portas Frost Free CRM43HK 386 Litros - Platinum,https://www.americanas.com.br/produto/124291903,geladeira / refrigerador consul duplex 2 portas frost free crm43hk 386 litros - platinum,americanas,geladeiras,1
"Frigobar Midea 124 Litros Branco MRC12B Completo para Sua Casa!Conheça o Frigobar Midea 124 Litros com sua supercapacidade (o maior espaço interno da categoria), é perfeito para você guardar de forma correta suas alimentos preferidos e suas bebidas.Esse frigobar se destauqe pelos diversos compartimentos exclusivos, como por exemplo o de latas, onde você poderá gelar suas bebidas de forma rápida. E não se preocupe com o consumo de energia, pois ele tem o menor consumo de energia da categoria*. Chegou a hora de você ter um frigobar com mais espaço e energia!Suas qualidades não ficam por aí. Ele também possui 3 prateleiras, gaveta com amplo espaço para frutas e verduras e compartimento gela rápido, sendo de vidro uma delas.Você também terá espaço para até 7 latas e 2 garrafas de 2 litros, contando ainda com mais dois nichos para que você armazene condimentos, outras bebidas e alimentos.Com termostato e sistema de refrigeração por compressor, o frigobar ficará com temperatura sempre constante.Características:Porta reversível: Para se adaptar a qualquer canto. Termostato: Controla a temperatura dos alimentos de forma precisa. Segurança certificada pelo inmetro: A qualidade que você procura. Compartimento gela rápido: Espaço para gelar rapidinho sua bebida predileta. Gaveta para frutas e legumes: O cantinho ideal para guardar as frutas e os vegetais. Fluido Refrigerante R-134A: Não inflamável, atóxico e menos nocivo à camada de ozônio. Porta com compartimentos: Cabe uma garrafa de dois litros e até outras diferentes bebidas.*As imagens postadas neste site são apenas ilustrativas, não necessariamente contendo todos os detalhes do produto final, os quais podem variar de modelo para modelo, e são passíveis, a qualquer momento, de modificação, exclusão e adição sem autorização prévia dos usuários.",7898626573854,Frigobar Midea 124 Litros Branco MRC12B,https://www.americanas.com.br/produto/30312278,frigobar midea 124 litros branco mrc12b,americanas,"Pensando em dar maior comodidade e praticidade aos seus clientes, a Midea apresenta sua nova linha de frigobares. São utilizados como apoio para áreas de lazer, hotéis e restaurantes de todos os portes, aumentando a praticidade para refrigeração em locais com menos espaço evitando assim, o vai e vem com bebidas e alimentos, disponíveis modelos com capacidade de 45, 71, 93 e 124L. Os frigobares da Midea foram projetados para serem mais duradouros, sendo resistente ao impacto, além de apresentarem um design clean e pratico. Além destes benefícios os frigobares contam ainda com congelador, compartimento extra frio e gaveta transparente para conservação de frutas e verduras. Características: Freezer de alta eficiência; Baixo consumo; Termostato preciso; Design Clean Refrigerado por compressor. Gás Ecológico R600A; Porta ovos e bandeja de gelo Eficiência energética: Selo Procel a Capacidade: 124 Litros Funções: Freezer e refrigerador Número de portas: 1 Gavetas: Sim Prateleiras: 2 + 1 de vidro Prateleiras para pets: Sim Porta latas: Sim Possui Rodinhas: Não Pés niveladores: Sim Gás ecológico: Sim Consumo aproximado de energia: 14,6 kWh/mês Frequência: 60 Hz Itens inclusos na embalagem: 1 Frigobar e 1 manual Garantia do fornecedor de 12 meses.",7908198000495,Frigobar 124 Litros Classe A MRC12B Midea,https://www.americanas.com.br/produto/2945643128,frigobar 124 litros classe a mrc12b midea,americanas,geladeiras,0
"A geladeira Electrolux DW44S foi elaborada com alta tecnologia. Ela possui dispenser de água na porta, que permite muito mais conforto, pois você terá acesso à água gelada a qualquer momento sem abrir a geladeira.",7896584097993,Geladeira Top Freezer com Dispenser de Água Platinum 400L (DW44S) 127V,https://www.amazon.com.br/Geladeira-Electrolux-Freezer-Dispenser-Platinum/dp/B081P3GZTG,geladeira top freezer com dispenser de água platinum 400l (dw44s) 127v,amazon,"Para praticidade na cozinha, conte com a Geladeira Frost Free Top Freezer 382L com dispenser de água da Electrolux. A Frost Free Top Freezer possui controle de temperatura digital Blue touch externo, design sofisticado e inovador, com o puxador de alumínio ergonômico e degelo automático. A geladeira possui 2 formas de gelo suspensas e turbo congelamento que quando acionado, congela rapidamente os alimentos e os mantém conservados.",7909569244043,Geladeira Frost Free Electrolux Top Freezer 382L com Dispenser de Água (TW42S) 127V,https://www.amazon.com.br/Geladeira-Electrolux-TW42S-Freezer-Dispenser/dp/B083VQT6L9,geladeira frost free electrolux top freezer 382l com dispenser de água (tw42s) 127v,amazon,geladeiras,0
"A Geladeira Frost Free Electrolux com 598 litros de capacidade, conta com amplo espaço no refrigerador e freezer. Possui ergonomia com design inovador, facilita o uso do refrigerador se adaptando as diversas ocasiões. é mais espaço e comodidade para você armazenar seus alimentos e bebidas com muito conforto e praticidade.Modelo: DB84 pn: 02802FBA106 Cor: Branco Marca: ElectroluxCapacidade Líquida Congelador: 196 Litros Capacidade Líquida Refrigerador: 402 Litros Capacidade Total de Armazenamento: 598 Litros Frequência: 60 Hz Drink Express: Resfria garrafas e latas de bebidas rapidamente acionado pelo painelPuxadores: Sim Quantidade de Portas: Duas Consumo: 68 Kw Prateleiras Removíveis: Sim Bottom Freezer: ergonomia com design inovador, facilita o uso do refrigerador e se adapta as diversas ocasiões. Funções do painel Blue touch: Facilidade na ponta dos dedos para controlar o refrigerador do seu jeitoPrateleiras na Porta: SimRecipiente para Guardar Gelo: Sim Classificação Energética: a Pés niveladores frontais e rodízios traseiros: Fácil nivelamento e movimentação do produtoDuas prateleiras internas no refrigerador Quatro prateleiras na contra porta do refrigerador Material das Prateleiras: Vidro temperado Iluminação Interna: Sim Porta ovos (12 unidades): Organização ideal para os ovos com segurançaSeparador de Garrafas: Sim Degelo Automático: Sim Turbo Freezer: Resfria e congela os alimentos com rapidez para melhor preservaçãoPrateleiras reguláveis: Sim Alarme de Porta Aberta: Sim Compartimento Extra Frio: SimCompartimento Congelamento Rápido: Sim Painel Digital: Sim Tecnologia: Frost Free Selo Procel: SimTemperatura do congelador: -18 graus Celsius Capacidade de congelamento: 10 Kg/24h Voltagem: 110VImagens meramente ilustrativas Todas as informações divulgadas são de responsabilidade exclusiva do fabricante/fornecedorConteúdo da embalagem: 01 x Geladeira; 01 x Manual de Instruções;Garantia: 12 meses com o fabricante Fabricante: ElectroluxDimensões do produto (a x L x p): 190,5 x 83,5 x 75 cm Peso: 109 KgTelefone de atendimento: 0800-728-8778 / (11) 2388-8213",7896584073553,Geladeira Frost Free DB84 Electrolux 598 Litros Duplex Branco 110V,https://www.americanas.com.br/produto/5141300429,geladeira frost free db84 electrolux 598 litros duplex branco 110v,americanas,"""Se você procura por um refrigerador com design inovador e funcionalidades modernas e tecnologias para deixar o seu dia a dia mais prãtico e fácil, o Refrigerador Frost Free Bottom Freezer 598 litros (DB84) éa escolha perfeita.",7896584073553,Refrigerador Frost Free Electrolux Bottom Freezer Electrolux 598 Litros (DB84) - 110V,https://www.amazon.com.br/Refrigerador-Electrolux-Bottom-Freezer-Litros/dp/B07BBT6Y57,refrigerador frost free electrolux bottom freezer electrolux 598 litros (db84) - 110v,amazon,geladeiras,1
"Reduz mais de 36 de energia Em relação ao mínimo necessário para classificação A no Programa Brasileiro de Etiquetagem. Freezer na parte inferior 425L Com Luz de led Espaços especiais: possui espaços especiais para pizza latas tetra park, garrafas de 3l e de 600ml Biodesodorizador Elimina uma grande quantidade de bactérias que retiram o frescor dos alimentos e geram um odor desagradável Dimensões: Altura: 185,4 cm Largura: 69,5 cm Profundidade: 75,8 cm Peso: 79 kg Garantia do fornecedor: 12 meses",7896067226650,Geladeira Duplex Inverter Frost Free com 425 Litros BB53 Panasonic,https://www.americanas.com.br/produto/5010270338,geladeira duplex inverter frost free com 425 litros bb53 panasonic,americanas,"Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 220V 2 Portas Preto Frost Free NR-BB53GV3BB A Panasonic está trazendo para você o refrigerador Panasonic BB53 Inverter Bottom Freezer, com um novo design inovador, com porta de vidro espelhada. Vai deixar sua cozinha esbanjando estilo e design. Extremamente fácil de limpar e bonita de ver. Ela vai mudar a sua cozinha para melhor. Tecnologia Inverter A tecnologia Inverter usada pela Panasonic controla o funcionamento do compressor, detectando possíveis variações de temperatura do refrigerador, de acordo com o uso da porta e quantidade de alimentos. Tudo isso sem aquele barulho de liga e desliga. Assim possibilitando um menor consumo de energia, mais silencioso, congelamento muito mais rápido e produção de gelo mais rápida. Inteligência Eco em função do Meio ambiente. A Panasonic desenvolveu a Tecnologia Econavi para poder monitorar automaticamente o uso do refrigerador durante as 3 últimas semanas, otimizando o funcionamento e reduzindo o consumo de energia em até 10%, isso sem diminuir a eficiência da refrigeração. Melhor para você e para o meio ambiente. Vitamin Power A tecnologia Vitamin Power chegou para inovar seu cuidado e conservação dos alimentos. O Refrigerador contém luzes de LED que simulam luz solar, potencializando vitaminas encontradas nos alimentos como por exemplo, pimentão, alface, tomate, cogumelos e muito mais. Sem contar que o compartimento possui controle automático de umidade para poder preservar os vegetais por muito mais tempo. E pra manter sua organização e praticidade, ele ainda possui espaços especiais para pizzas, latas, garrafas de 3L ou 600ml. Sem contar que conta com Biodesodorizador, que elimina uma grande quantidade de bactérias que retiram o frescor dos alimentos e geram um um odor desagradável.Especificações Técnicas: - Marca: Panasonic - Modelo: NR-BB53GV3BB - Voltagem: 220V - Cor: Preto - Capacidade: Total: 425 l - Refrigerador: 305 l - Freezer: 120 l - Sistema de refrigeração: Frost-Free - Fluido refrigerante: R600a - Prateleiras: Vidro temperado - Dimensões externas (LxAxP): 69,5 x 185,4 x 75,1 cm - Dimensões da embalagem (LxAxP): 73,7 x 191,4 x 79,9 cm - Peso aproximado (sem embalagem): 87 kg - Peso aproximado (com embalagem): 90 kg - Consumo de energia (KwH): 39,9 kWh/mês - Econavi: Sim - Inverter: Sim - Vitamin Power: Sim - Climate Control: Sim - Biodesodorizador: Sim - Painel de controle: Easy Touch - Possibilidade de inversão de abertura de portas: Não - Garantia: 12 meses",7896067226650,Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 220V 2 Portas Preto Frost Free NR-BB53GV3BB,https://www.americanas.com.br/produto/5188874411,refrigerador panasonic bb53 inverter bottom freezer 425l 220v 2 portas preto frost free nr-bb53gv3bb,americanas,geladeiras,1
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7896067226834,Geladeira Panasonic Frost Free 425L NR-BB53PV3X Aço Escovado - 110v,https://www.americanas.com.br/produto/1832445037,geladeira panasonic frost free 425l nr-bb53pv3x aço escovado - 110v,americanas,"Especificações Técnicas Garantia do Fornecedor 12 meses Capacidade Útil do Refrigerador 305 L Capacidade Útil do Freezer 120 L Capacidade Útil Total 425 L Eficiência Energética A+++ Consumo Aproximado de Energia 39,9 kWh/mês Inverter Sim Sistema de Refrigeração Frost-Free Largura sem Embalagem 69,5 cm Altura sem Embalagem 185,4 cm Profundidade sem Embalagem 75,8 cm Peso Bruto 79 Kg Litragem 425 Recursos Tecnologia inverter Econavi Sim Vitamin Power Sim Climate Control Sim",7896067226841,Geladeira Panasonic Frost Free 425L A+++ Aço Escovado - NR-BB53PV3X,https://www.amazon.com.br/Refrigerador-Panasonic-BB53PV3X-Escovado-BB53PV3XB/dp/B07GWWQVBD,geladeira panasonic frost free 425l a+++ aço escovado - nr-bb53pv3x,amazon,geladeiras,0
,7891129252721,Geladeira Brastemp BRM44HK Frost Free Duplex 375L com Compartimento Extrafrio Fresh Zone Inox - 110V,https://www.americanas.com.br/produto/133605724,geladeira brastemp brm44hk frost free duplex 375l com compartimento extrafrio fresh zone inox - 110v,americanas,"Com design moderno e sofisticado, a geladeira frost free BRM44 da Brastemp possui grande capacidade para armazenar diversos tipos de alimentos. Sua capacidade total para até 375 litros permite uma melhor distribuição dos alimentos entre o refrigerador (288,5 litros) e o freezer (86,5 litros). A geladeira brastemp é a escolha ideal para você que busca por praticidade e organização na cozinha. O compartimento extra frio possibilita que gele mais rápido as bebidas e conserve melhor os alimentos, e com o seu espaço especial para long neck e latas, que encaixa perfeitamente na geladeira ou freezer, você pode gelar ou refrigerar suas bebidas de forma eficaz. Suas frutas e verduras ficarão sempre organizadas e serão conservadas por mais tempo graças ao seu gavetão de legumes fresh zone. A geladeira conta com compartimento de fácil acesso para armazenar os itens que você mais usa e um espaço diferenciado para os seus temperos preferidos. As prateleiras, dessa geladeira duas portas, são injetados em cristal transparente, o que garante maior durabilidade e resistência ao produto. A geladeira duplex BRM44 possui ainda display led, painel de controle eletrônico, 3 níveis de temperaturas no freezer e 5 níveis no refrigerador, porta-ovo removível, separador de garrafas, compartimento para gelo, e pés ajustáveis e com rodízios.",7891129252721,Geladeira Brastemp BRM44HK Frost Free Duplex 375 Litros,https://www.americanas.com.br/produto/5079286813,geladeira brastemp brm44hk frost free duplex 375 litros,americanas,geladeiras,1
"Desenvolvido para você economizar: Refrigerador Consul 386 Litros 2 Portas Frost Free Classe a. Cansado de passar aperto com a geladeira? A nova geladeira Consul Frost Free 386L é bem pensada para se adaptar a todos os seus momentos, das compras do mês à ocasiões especiais, como aquele almoço de domingo ou a cerveja com os amigos. Ela é a única com as prateleiras Altura Flex, que podem ser ajustadas em até 8 níveis de altura. Possui também a Prateleira Dobrável, que pode ser rebatida para acomodar itens maiores, e a Bandeja Deslizante, que aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras. Tudo isso com controle de temperatura externo e a tecnologia Frost Free, que não precisa descongelar nunca, pois não forma gelo nas paredes do congelador. Bem pensada assim, só podia ser Consul. Especificações Tipo de degelo: Frost Free Quantidade de portas: 2 Capacidade Armazenagem: Refrigerador: 294 Freezer: 92 Total: 386 Prateleiras: 3 prateleiras de vidro, sendo 1 dobrável Bandejas: 1 Bandeja deslizantePrateleira Dobrável: 1 Cestos: Temperatura uniforme: x Controle de temperatura Interno: na Controle de temperatura Externo: Eletrônico Dreno de Gelo: na Porta-ovos: 2 x 6 Ovos Pote Multiuso: Não Gavetas: 1 Gaveta Legumes Organizador de Frutas e Legumes: na Iluminação: led Forma de gelo: 2 x 18 gelos Pés: Reguláveis Porta reversível: Não Puxadores: 2 Embutidos na Cabeceira Eficiência Energética: a Consumo aprox. de energia (kWh/mês): 55,8 Potência (watts): 160 Tensão(V): 127V/60Hz ou 220V/60Hz ( Não é Bivolt)Dimensões do produto: Altura: 184.6 cm Largura: 62.1 cm Profundidade: 73.1 cm Peso: 64.5 kgGarantia do Fornecedor de 12 Meses",7891129246720,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,https://www.americanas.com.br/produto/4734543434,geladeira/refrigerador consul 386 litros 2 portas frost free classe a crm43,americanas,"A Geladeira Consul Frost Free Duplex 386 litros não precisa descongelar nunca. Possui prateleiras com Altura Flex que permite até 8 níveis de altura e prateleira dobrável, que pode ser rebatida para acomodar itens maiores. Ahhh! Bem pensado. A Geladeira Consul Frost Free Duplex 386 litros é a única com as prateleiras Altura Flex, que podem ser ajustadas em até 8 níveis de altura para acomodar potes, jarras e alimentos de diversos tamanhos. Possui também a Prateleira Dobrável e a Bandeja Deslizante, que aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras. Tudo isso com controle de temperatura externo e a tecnologia Frost Free, que não precisa descongelar nunca. - Altura Flex - Prateleira Dobrável - Bandeja Deslizante - Painel de controle: Externo - Plug e Tomada: 10ª - Posição do freezer: em cima Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.",7891129246737,Geladeira/Refrigerador Consul CRM43 386 Litros Branco - 220v,https://www.americanas.com.br/produto/1843116909,geladeira/refrigerador consul crm43 386 litros branco - 220v,americanas,geladeiras,0
"Refrigerador Panasonic Bb53pv3xb 425 L Inox Frost Free Tecnologia Inverter: Economia de até 36 de energia Tecnologia exclusiva econavi: monitora o uso do produto e economiza até 10 de energia. Tecnologia VitaminPower: potencializa as vitaminas C e D de frutas e verduras. Tecnologia exclusiva ClimateControl: conserva frutas e verduras por mais tempo. 425L, freezer inteligente na parte inferior Dimensões do produto: Altura: 1,85 cm Largura: 69,5 cm Profundidade: 71,5 cm Peso: 84 kg Garantia do fornecedor: 12 meses.",7896067226841,Refrigerador Panasonic Bb53pv3xb 425 L Inox Frost Free,https://www.americanas.com.br/produto/2466188181,refrigerador panasonic bb53pv3xb 425 l inox frost free,americanas,"Especificações Técnicas Garantia do Fornecedor 12 meses Capacidade Útil do Refrigerador 305 L Capacidade Útil do Freezer 120 L Capacidade Útil Total 425 L Eficiência Energética A+++ Consumo Aproximado de Energia 39,9 kWh/mês Inverter Sim Sistema de Refrigeração Frost-Free Largura sem Embalagem 69,5 cm Altura sem Embalagem 185,4 cm Profundidade sem Embalagem 75,8 cm Peso Bruto 79 Kg Litragem 425 Recursos Tecnologia inverter Econavi Sim Vitamin Power Sim Climate Control Sim",7896067226841,Geladeira Panasonic Frost Free 425L A+++ Aço Escovado - NR-BB53PV3X,https://www.amazon.com.br/Refrigerador-Panasonic-BB53PV3X-Escovado-BB53PV3XB/dp/B07GWWQVBD,geladeira panasonic frost free 425l a+++ aço escovado - nr-bb53pv3x,amazon,geladeiras,1
