descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"O novo notebook Inspiron 15 é fácil de usar e mantém sua produtividade. Faça tudo com eficiência: Os mais recentes processadores Intel CoreTM de 11ª geração com Intel Iris Xe graphics oferecem capacidade de resposta incrível e multitarefa contínua. Rápida, silenciosa e mais resistente a impactos do que as unidades de disco rígido, a unidade de estado sólido (ssd) PCIe NVMe do Inspiron oferece estabilidade de desempenho. Aproveite a potência extra e o ótimo desempenho diário da placa gráfica dedicada nvidia GeForce MX450 com memória gráfica GDDR5 de 2GB. Mais privacidade: nosso câmera shutter (bloqueador mecânico de câmera) protege contra qualquer invasão de sua privacidade, para que você possa ler, assistir ou conversar o dia todo com tranquilidade. O segredo do conforto: A dobradiça de elevação proporciona um ângulo de digitação mais confortável e melhor circulação de ar no dispositivo. Mantenha o conforto no dia a dia, graças à tampa de borracha da dobradiça que assegura maior aderência à superficie. Desfrute dos detalhes extras: as bordas lapidadas do touchpad e o revestimento de alumínio da tampa e do apoio para as mãos conferem um toque de estilo ao dispositivo. Maior do que as gerações anteriores, o touchpad oferece espaço extra para navegação. Mais iluminação: o teclado retroiluminado permite que você digite com facilidade em ambientes com pouca luz. complete sua experiência com A mochila dell essential! A mochila é leve e confortável, resistente a água, e possui impressão gráfica reflexiva fornece maior visibilidade durante as horas de baixa luminosidade, mantem os dispositivos protegidos, possui zíperes ocultos (os zíperes passam por baixo da alça de ombro) que dificultam o acesso indesejado enquanto se utiliza a mochila. Imagens meramente ilustrativas. A Mochila Dell Essential é maleável, podendo se adaptar a diversos conteúdos diferentes. Nas imagens, a mochila contém objetos em seu interior que ajudam a manter a forma. Tranquilidade incluída: Este produto conta com a praticidade da garantia padrão válida por 12 meses (incluindo a garantia legal de 90 dias). Realizamos diagnóstico remoto em horário comercial e, se for identificada a necessidade de substituição de algum componente, você pode utilizar a agência dos Correios mais próxima para enviar seu equipamento a um centro de reparos da Dell. Para ficar ainda melhor, conte com 12 meses do antivírus McAfee sem nenhum custo adicional, que permite ao cliente Dell proteger ilimitados dispositivos. Este modelo acompanha o sistema operacional Windows 11 para uma experiência completa e Microsoft Office Trial – Versão para experimentação, válida por 30 dias. Para ficar ainda melhor, conta com 3 anos de garantia com troca avançada (realizando o envio de um produto novo caso ocorra algum problema).",7899864941979,Kit Notebook Dell Inspiron 15.6 i1101-M60SB fhd 11ªger Intel Core i7 16GB 512GB ssd nvidia Geforce Windows 11 Mochila,https://www.americanas.com.br/produto/4299511138,kit notebook dell inspiron 15.6 i1101-m60sb fhd 11ªger intel core i7 16gb 512gb ssd nvidia geforce windows 11 mochila,americanas,,7899864941979,Kit Notebook Dell Inspiron 15.6” i1101-M60SF FHD 11ªger Intel Core i7 16GB 512GB SSD NVIDIA Geforce Windows 11 Mochila,https://www.amazon.com.br/Notebook-Dell-Inspiron-i1101-M60SF-Geforce/dp/B09LDH8ZS3,kit notebook dell inspiron 15.6” i1101-m60sf fhd 11ªger intel core i7 16gb 512gb ssd nvidia geforce windows 11 mochila,amazon,notebooks,1
"- Marca: Lenovo Especificações Técnicas: - Processador: Intel Core i3-1005 (1.2GHz base e 3.4GHz de frequência turbo, 4MB Cache) - Sistema Operacional: freedos - Tela: 15.6'' HD (1366x768) Antirreflexo - Memória: 4GB - Armazenamento: HD 500GB - Unidade Ótica: Não incluso - Gráficos: Intel uhd Graphics integrada - Bluetooth: Bluetooth 4.2 - Outros: Câmera 0.3 mp - Dispositivo Apontador: Touchpad - Wireless: Wireless 1x1 ac - Teclado: Padrão brasileiro abnt 2 / Teclado numérico - Conectividade: WiFi 1x1 ac, Bluetooth 4.2 - Peso: 1,85 kg aproximadamente - Dimensões: (LxPxA): 362,2 x 251,5 x 19,9 mm Conteúdo da Embalagem: - Notebook Lenovo Bs145 Intel I3-1005g1s, 4GB, 500GB, Fdos - 82hb000bbr",195348259293,Notebook lenovo BS145-15IIL I3 1005G1 4GB 500GB 15.6 dos,https://www.americanas.com.br/produto/4551397286,notebook lenovo bs145-15iil i3 1005g1 4gb 500gb 15.6 dos,americanas,"NOTEBOOK LENOVO BS145-15IIL 15,6"" HD/ 82HB000BBR/ I3-1005G1/ 4GB/ 500GB/ FREEDOS",195348259293,"NOTEBOOK LENOVO BS145-15IIL 15,6"" HD/ 82HB000BBR/ I3-1005G1/ 4GB/ 500GB/ FREEDOS",https://www.amazon.com.br/NOTEBOOK-BS145-15IIL-82HB000BBR-I3-1005G1-FREEDOS/dp/B097LQ99Q2,"notebook lenovo bs145-15iil 15,6"" hd/ 82hb000bbr/ i3-1005g1/ 4gb/ 500gb/ freedos",amazon,notebooks,1
"Eleva o jogo a outro nível: equipado com Processador Intel Core de 10ª Geração e placa gráfica dedicada nvidia é ideal para gamers e usuários que precisam de alta performance. Com tela Full HD wva Antirreflexo e um teclado desenvolvido para jogos, este notebook possui um sistema de refrigeração aprimorado e projetado para não esquentar. Esteja pronto para enfrentar qualquer batalha! Características: Marca: Lenovo Modelo: 82CGS00100 Conectividade: Bluetooth, Wi-Fi Entrada P2 para microfone: 1 Entrada/Saída P2 para microfone/fone de ouvido: Não Quantidade de entradas USB 2.0: 1 Quantidade de entradas USB 3.0: 2 Saída P2 para fone de ouvido: 1 Saída vga: Não Entrada lan (RJ45): 1 Saída hdmi: 1 Tipo de conector: hdmi, usb Duração da bateria: Depende do tipo de uso Quantidade de slots: 1 Velocidade da memória: 2933MHz Barramento da memória: DDR4 Cache do processador: 8Mb Drive óptico: Não possui Resolução da Tela: hd Armazenamento: 256GB ssd Leitor de cartões: Não Possui Memória Expansível Até: 32Gb Mouse: Mousepad Padrão da bateria: 3 Células 45WH Placa de áudio: Alto Falantes Estéreo (2 x 2W) Placa de rede lan: 100/1000 Placa mãe: Intel Resolução da tela: 1920 x 1080 wva Antirreflexo Resolução da webcam: hd Sistema operacional: Linux Tamanho da Tela: 15.6 Pol. Teclado: Padrão abnt Tecnologia de áudio: Alto falantes (2x 1.5W) com certificação Dolby Audio Modelo da Placa de Vídeo: Dedicada Chipset: Intel Interface do hd: ssd Modelo da placa de vídeo: Placa Dedicada nvidia GeForce gtx 1650 4GB Modelo do processador: Intel Core i5-10300H Velocidade do processador: 2.5Hz até 4.5GHz Max Turbo Itens Inclusos: Notebook Cabo de energia e manual Dimensões aproximadas do produto: Altura: 2,5 cm Largura: 36 cm Profundidade: 25 cm Peso: 2,190 kg Observações: Imagem meramente ilustrativa. Verifique a voltagem do produto antes de colocar no carrinho. Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. As cores podem sofrer variações de acordo com o tipo, configuração e resolução do seu monitor. Não nos responsabilizamos pela montagem/instalação dos produtos. Garantia do Fornecedor: 12 Meses",195892009962,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,https://www.americanas.com.br/produto/3699433802,notebook gamer 82cgs00100 core i5 8gb 256gb ssd geforce gtx 1650 4gb tela 15.6 linux 3i-15imh 10300h lenovo,americanas,"Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD Placa Dedicada nvidia GeForce gtx 1650 4GB 15.6"" fhd wva Linux 82CGS00100 Chameleon Blue Lenovo ideapad Gaming 3i: Novo design com Processadores Intel Core i5-10300H e placa de vídeo nvidia GeForce gtx 1650 4GB. Ideal para gamers e usuários que também precisam de alta performance. Com tela de 15.6'' Full HD wva Antirreflexo para melhor definição de imagem e cores. O armanezamento ssd PCIe NVMe é 10x mais rápido que um hdd 2.5 sata, você terá mais segurança ao armazenar seus dados. O teclado retroiluminado em LED azul, deixa o computador mais atraente e também favorece a performance para jogos em lugares com pouca iluminação. Silencioso e não esquenta, projetado com um sistema de resfriamento otimizado composto por 2 coolers e 4 saídas de ar para suportar o alto desempenho do notebook. Sua privacidade pessoal é muito importante, é por isso que o Ideapad Gaming 3i está equipado com prática porta de privacidade da webcam. Quando não estiver em uma chamada de vídeo ou gravando algo, basta deslizá-la. Com até 9.6 horas de duração de bateria o Ideapad Gaming 3i permite que você jogue por muito mais tempo. Além de possuir a tecnologia de carregamento rápido: quinze minutos de carregamento com notebook desligado garante até duas horas de uso. A Lenovo coloca o Ideapad Gaming 3i à prova em testes de resistência altamente estressantes como, altas e baixas temperaturas, choque de temperatura, quebra e vibração, certificando a preocupação com a segurança e qualidade. Por meio de testes militares, mantém a convicção da melhor escolha sempre. A distância entre a tecla e o botão ficou menor, apenas 1.5mm. Tenha mais agilidade, rapidez e tempo de resposta. A função Q Control permite que o usuário da Lenovo mude a engrenagem simplesmente pressionando as teclas Fn + q. Mude do Modo Performance para maior fps, altere do Modo Silencioso para melhor duração da bateria, ou use o Modo Balanceado para uso diário. Armazenamento híbrido, possui 2 slots ssd M2 e 1 slot hdd sata.",195892009962,Notebook Lenovo Gaming 3 Core i5 8GB 256GB ssd gfx 4GB Linux,https://www.americanas.com.br/produto/4318154253,notebook lenovo gaming 3 core i5 8gb 256gb ssd gfx 4gb linux,americanas,notebooks,1
"Notebook Samsung Book S Intel Core i5, 512GB SSD, 8GB RAM , Tela 13.3"" Full HD -Touch Screen - Dourado (Earth Gold)",7892509117500,"Notebook Samsung Book S Intel Core i5, 512GB SSD, 8GB RAM , Tela 13.3"" Full HD -Touch Screen - Dourado (Earth Gold)",https://www.americanas.com.br/produto/3358296230,"notebook samsung book s intel core i5, 512gb ssd, 8gb ram , tela 13.3"" full hd -touch screen - dourado (earth gold)",americanas,"Você com mais estilo O Samsung Galaxy Book S traz o expertise e a engenhosidade do mundo Galaxy para o notebook mais impressionante dos últimos tempos. Com um processador poderoso e uma bateria de longa duração, oferece um design super-slim com tela sensível ao toque para uma experiência de uso aprimorada.",7892509116251,"Notebook Samsung Galaxy Book S Intel Core i5- L16G7 8GB 256GB SSD 13,3"" Full HD Windows 10 Home, Cinza",https://www.amazon.com.br/Notebook-Samsung-Galaxy-Intel-Windows/dp/B093XXB54J,"notebook samsung galaxy book s intel core i5- l16g7 8gb 256gb ssd 13,3"" full hd windows 10 home, cinza",amazon,notebooks,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7899864941306,Notebook Dell Alienware m15 R6 i1100-M20P 15.6 fhd 11ª ger Intel Core i7 16GB 1TB ssd rtx 3060 Win 11,https://www.americanas.com.br/produto/4065706741,notebook dell alienware m15 r6 i1100-m20p 15.6 fhd 11ª ger intel core i7 16gb 1tb ssd rtx 3060 win 11,americanas,Desafie os limites,7899864941306,"Notebook Dell Alienware m15 R6 AW15-i1100-M20P 15.6"" FHD 11ª ger Intel Core i7 16GB 1TB SSD RTX 3060 Win 11",https://www.amazon.com.br/Notebook-Dell-Alienware-AW15-i1100-M20P-Intel/dp/B09HJCKWTL,"notebook dell alienware m15 r6 aw15-i1100-m20p 15.6"" fhd 11ª ger intel core i7 16gb 1tb ssd rtx 3060 win 11",amazon,notebooks,1
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7892509117142,Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR,https://www.americanas.com.br/produto/3081358732,notebook samsung book intel celeron-6305 4gb 500gb w10 fhd 15.6'' cinza chumbo np550xda-ko1br,americanas,"O Samsung Book interage perfeitamente com os dispositivos da família Galaxy. Receba notificações do seu smartphone, gerencie seus compromissos, atenda chamadas e compartilhe fotos e vídeos diretamente do seu Samsung Book. O aplicativo Link com Windows permite que você acesse as coisas importantes do seu smartphone no seu PC.",7892509117142,"SAMSUNG Book Intel® Dual-Core, Windows 11 Home, 4GB, 500GB, 15.6'' Full HD LED, 1.86kg Cinza Chumbo, NP550XDA-KO1BR",https://www.amazon.com.br/Samsung-Intel%C2%AE-Dual-Core-Windows-1-86kg/dp/B0931ZW98J,"samsung book intel® dual-core, windows 11 home, 4gb, 500gb, 15.6'' full hd led, 1.86kg cinza chumbo, np550xda-ko1br",amazon,notebooks,1
"Notebook Positivo Motion 14 HD Intel i3-7020U 1TB 4GB Linux Cinza EscuroAtenção Senhores (a) Clientes, o modelo correto do processador! 7020U positivo motion Com design moderno, fino e elegante, os novos Notebooks da linha Motion Série I disponibilizam o máximo em entretenimento e diversão. diversão A um toque de distância Seus filmes, músicas e vídeos favoritos estão ainda mais perto. O teclado conta com teclas de acesso rápido Netflix, Deezer e Youtube, que são entretenimento garantido ao simples toque de um botão. fino E compacto A nova série I possui um design diferenciado com 19.9 mm de espessura. dualpad Seu touchpad teve suas dimensões e funcionalidades atualizadas. Basta um simples gesto para ativar o teclado numérico. aproveite O seu dia Trabalhe e divirta-se o dia todo, sem precisar estar conectado a tomada, graças à bateria com mais de 5 horas de duração. acompanha também: -Processador Intel de baixo consumo de energia -Intel Graphics, experiência visual incrível em alta definição -Memória DDR4, mais performance e menor consumo de bateriaespecificações Modelo: Motion I341TBi Processador: Intel Core i3-7020U Sistema Operacional: Linux Memória: ram 4 gb Tipo de Memória: On-board DDR4 2133 Mhz Armazenamento: HD 1 tb, sata, 5400 rpm Leitor de Cartões Micro sd, suporta os padrões sdhc e sdxc Tela: lcd 14 Widescreen Resolução 1366 x 768 de Alta Definição (hd) Tecnologia led Vídeo: Processamento de vídeo integrado Gráficos HD Intel 620Áudio: Áudio de alta definição (hd Áudio) Microfone e alto-falantes estéreo embutidos Conectividade: Rede sem fio ieee 802.11 b/g/nTM Bluetooth 4.0 Conexão: 1x USB 3.1 Gen 1 2x USB 2.0, 1x hdmi 1x Áudio (para microfone e fone de ouvido) 1x DC-in (carregador) Teclado: Português-Brasil (84 teclas + tecla Power + 3 teclas de acesso rápido) Mouse: Tipo Touchpad, com toque múltiplo, 2 botões integrados e função de teclado numérico Carregador: 100-240V Automático Bateria: 38Wh - Integrada Imagens de caráter ilustrativo NAC007598",7896904634457,Notebook Positivo Motion 14 HD Intel i3-7020U 1TB 4GB Linux Cinza Escuro,https://www.americanas.com.br/produto/3420290972,notebook positivo motion 14 hd intel i3-7020u 1tb 4gb linux cinza escuro,americanas,"Notebook Positivo Motion I34128BI 14 HD Intel Core i3-6157U 1TB 4GB Linux Cinza Escuro diversão A um toque de distância Seus filmes, músicas e vídeos favoritos estão ainda mais perto! O teclado conta com teclas de acesso rápido Netflix, Deezer e Youtube, que são entretenimento garantido ao simples toque de um botão. fino E compacto A nova série I possui um design diferenciado com 19.9 mm de espessura. positivo motion Com design moderno, fino e elegante, os novos Notebooks da linha Motion Série I disponibilizam o máximo em entretenimento e diversão dualpad Seu touchpad teve suas dimensões e funcionalidades atualizadas! Basta um simples gesto para ativar o teclado numérico. aproveite O seu dia Trabalhe e divirta-se o dia todo, sem precisar estar conectado a tomada, graças à bateria de alta duração.especificações: Processador: Intel Core i3 6157U Sistema Operacional: Linux Memória ram: 4 gb Tipo de Memória: On-board DDR4 Armazenamento: 1TB hd Unidade Ótica: Não Leitor de Cartões: Micro sd, suporta os padrões sdhc e sdxc Webcam: Sim, com webcam cover Tela: lcd 14, Widescreen, resolução 1366 x 768 de Alta Definição (hd), com tecnologia LED Vídeo: Processamento de vídeo integrado Intel Graphics Áudio: Áudio de alta definição (hd Áudio), Microfone e alto-falantes estéreo embutidos Conectividade: Rede sem fio ieee 802.11 b/g/n e Bluetooth 4.0 Rede lan: 10/100/1000 Mbps, Gigabit Ethernet Portas de Conexão: 1x USB 3.1 Gen 1, 2x USB 2.0, 1x hdmi, 1x RJ-45, 1x Áudio (para microfone e fone de ouvido), 1x DC-in (carregador) Teclado: Português-Brasil, 84 teclas + tecla Power + 3 teclas de acesso rápido Mouse: Tipo Touchpad, com toque múltiplo, 2 botões integrados e função de teclado numérico Carregador: 100-240V Automático: Bateria 49,59Wh - Integrada Cor: Cinza Escuro Dimensões: 329 x 215 x 19,9 mm Peso Líquido: 1,6 kg Peso Bruto: 2,2 kg Conteúdo da embalagem: Notebook, Adaptador ca com cabo padrão Inmetro e Guia Rápido de Instalação Embalagem do Produto: 375 x 330 x 60 mm (LxPxA) Informações divulgadas de acordo com o manual do fabricanteEm caso de duvidas sobre informações técnicas, utilização, limitações e manuseio do produto, verifique o manual do fabricante. EAN:7896904683448 NAC009465",7896904683448,Notebook Positivo Motion I34128BI 14 HD Intel Core i3-6157U 1TB 4GB Linux Cinza Escuro,https://www.americanas.com.br/produto/4013372727,notebook positivo motion i34128bi 14 hd intel core i3-6157u 1tb 4gb linux cinza escuro,americanas,notebooks,0
"O Positivo Motion foi criado para te acompanhar em todos os momentos. Ele conta com design moderno, elegante e pesa apenas 1.3kg, com somente 18,7 mm de espessura. Sua tela é de 14 polegadas e conta com processador Intel Atom Quad Core e memória ram de 4GB. Ele ainda tem teclas mais redondas e largas para dar mais comodidade ao escrever, além de teclas específicas para reuniões online e plataformas de vídeo e música como Netflix, Deezer e Youtube. Como se não bastasse, ele tem webcam de alta resolução e microfone digital para captações de áudios mais nítidos e 128GB de armazenamento para seus arquivos. Tudo isso com uma bateria de longa duração capaz de ficar até 7 horas longe da tomada. Características: Modelo: Motion Referência de modelo: C4128E Tela:14 polegadas Tipo de tela: LED hd Resolução da tela:1366 x 768 pixels Processador: Intel Atom Quad Core Memória de cache:2 mb Frequência/velocidade clock:1,10 GHz com frequência de Burst de até 2,40 GHz Sistema operacional: Windows 10 Home Disco Rígido (HD):128GB ssd Memória RAM:4 gb Leitor de cartões de memória: Micro sd Modelo da placa de vídeo: Intel HD Graphics Unidade ótica: Não Wi-Fi: IEEE 802.11 b/g/n Bluetooth:4.0 Áudio: Áudio de alta definição (hd), alto-falantes estéreo e dois microfones embutidos Microfone: Digital Webcam: Sim Teclado: Português-Brasil, 83 teclas + tecla Power + 3 teclas de acesso rápido + tecla Call Touchpad: Touchpad, com toque múltiplo, 2 botões integrados Conexões:2x USB (1x USB 3.0), 1x mini hdmi, 1x áudio (para microfone e fone de ouvido), 1x DC-in (carregador) Softwares inclusos: MS Office 365 Trial 30 dias, Antivírus 30 dias Bateria:37Wh - integrada mAh Tipo de bateria: Integrada Duração da bateria: Até 7h, dependendo da utilização do usuário Armazenamento:64 gb, Flash (onboard) + 64 gb de armazenamento na nuvem Conteúdo da embalagem: Notebook, adaptador ca com conector padrão Inmetro guia rápido de instalação Dimensões: Altura:1,87 cm Largura:32,80 cm Profundidade:22,00 cm Peso:1,30 kg Garantia do fornecedor: 12 meses",7896904694000,Notebook Positivo Motion Tela 14 Intel Celeron 128GB - C4128E,https://www.americanas.com.br/produto/3735418862,notebook positivo motion tela 14 intel celeron 128gb - c4128e,americanas,"O Positivo Motion foi criado para te acompanhar em todos os momentos. Ele conta com design moderno, elegante e pesa apenas 1.3kg, com somente 18,7 mm de espessura. Sua tela é de 14 polegadas e conta com processador Intel Atom Quad Core N3350 e memória ram de 4GB. Ele ainda tem teclas mais redondas e largas para dar mais comodidade ao escrever, além de teclas específicas para reuniões online e plataformas de vídeo e música como Netflix, Deezer e Youtube. Como se não bastasse, ele tem webcam de alta resolução e microfone digital para captações de áudios mais nítidos e 1TB de armazenamento para seus arquivos. Tudo isso com uma bateria de longa duração capaz de ficar até 7 horas longe da tomada. Características: Modelo: Motion Referência de modelo: C41TE Tela: 14 polegadas Tipo de tela: LED hd Resolução da tela: 1366 x 768 pixels Processador: Intel Atom Quad Core Memória de cache: 2 mb Frequência/velocidade clock: 1,10 GHz com frequência de Burst de até 2,40 GHz Sistema operacional: Windows 10 Home Disco Rígido (hd): 1TB hdd sata Memória ram: 4 gb Leitor de cartões de memória: Micro sd Modelo da placa de vídeo: Intel HD Graphics Unidade ótica: Não Wi-Fi: ieee 802.11 b/g/n Bluetooth: 4.0 Áudio: Áudio de alta definição (hd), alto-falantes estéreo e dois microfones embutidos Microfone: Digital Webcam: Sim Teclado: Português-Brasil, 83 teclas + tecla Power + 3 teclas de acesso rápido + tecla Call Touchpad: Touchpad, com toque múltiplo, 2 botões integrados Conexões: 2x USB (1x USB 3.0), 1x mini hdmi, 1x áudio (para microfone e fone de ouvido), 1x DC-in (carregador) Softwares inclusos: ms Office 365 Trial 30 dias, Antivírus 30 dias Bateria: 37Wh - integrada mAh Tipo de bateria: Integrada Duração da bateria: Até 7h, dependendo da utilização do usuário Armazenamento: 64 gb, Flash (onboard) + 64 gb de armazenamento na nuvem Conteúdo da embalagem: Notebook, adaptador ca com conector padrão Inmetro guia rápido de instalação Dimensões: Altura: 1,87 cm Largura: 32,80 cm Profundidade: 22,00 cm Peso: 1,30 kg Garantia do fornecedor: 12 meses",7896904693775,Notebook Positivo Motion Tela 14 Intel Celeron 1TB - C41TE,https://www.americanas.com.br/produto/3735523822,notebook positivo motion tela 14 intel celeron 1tb - c41te,americanas,notebooks,0
"Notebook Acer Aspire 5 256Gb ssd Core I5-10210U 4Gb Ram Notebook Acer Aspire 5, Processador Intel Core I5 - 10210U, 4GB ram, 256GB ssd, Tela LED 15,6 Full hd, Antirreflexo Tecnologia Acer ComfyView, Gráficos Intel uhd Graphics, Endless os - Prata Características: ean: 4710886393528 Marca: Acer Modelo: A515-54-557C Cor: Prata Processador: Intel Core I5-10210U Quad core 1.6 GHz até 4.2 GHz Memória Ram: 4Gb DDR4 Armazenamento: 256Gb PCIe NVMe ssd Tela: 15,6"" fhd Acer ComfyView LED lcd Bateria: 48Wh Íon-Lítio Rede/Bluetooth: 802.11ac + Bluetooth Sistema Operacional Instalado: Endless os Dimensões da Embalagem: Altura: 31cm Largura: 53cm Profundidade: 7cm Peso: 2,500Kg Garantia: 12 Meses",4710886393528,Notebook Acer Aspire 5 256Gb ssd Core I5-10210U 4Gb Ram,https://www.americanas.com.br/produto/3552026727,notebook acer aspire 5 256gb ssd core i5-10210u 4gb ram,americanas,"Desenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida. Equipado com o processador Intel® i5 estudar, trabalhar e se divertir ficam mais fácil. Com SSD 256 GB, você pode ler e gravar arquivos muito mais rápido do que em um HD tradicional. Após pouco segundos da inicialização do sistema operacional, você já tem acesso completo as funcionalidades do seu notebook. Equipado com o sistema operacional Endless OS, baseado em Linux, você tem tudo o que você precisa de forma simples e intuitiva. Mesmo se não tiver experiência alguma com computadores, é tão fácil quanto usar um smartphone. Ficha Técnica: Marca: Acer Modelo: A315-56-569F Sistema Operacional: Endless Os Webcam: Acer com resolução de 640x480 Processador: Modelo: Intel® Core™ I5 – 1035G1 Core: Quad Core Frequência: 1.00GHz até 3.60GHz Cache: 6MB Intel Smart  Memória: Ram: 4GB (4GB Soldada) Tipo: DRR4 2400Mhz Armazenamento SSD: 256GB Tela: Polegadas: 15,6” LED LCD com designer ultrafino Resolução: HD (1366x768) Tipo: Anti reflexo Conexões: 01 Entrada para fonte de alimentação 01 Porta  Ethernet Gigabit (RJ-45) 01 Entrada HDMI 01 Entrada USB 3.1 02 Entradas USB 2.0 01 Entrada padrão combo para alto falante e microfon Áudio e Vídeo: Possui: Dois alto falantes digitais estéreo Microfone digital: Integrado Gráficos: Intel® UHD Graphics Conexões: Wireless Compatível com: IEEE 802.11ª/b/g/n/ac Bluetooth: Versão 4.2 LAN/Rede com fio: Gigabit Ethernet 10/100/1000 (RJ45) com suporte a Wake on LAN Alimentação e Bateria: Fonte de Alimentação: Bivolt Adaptador: AC de 3 pinos (45W) com cabo com Certificação INMETRO Bateria de: 3 células (Li-Íon) 36 Wh Bateria com autonomia de até: 7 horas (dependendo do uso) Teclado: Tipo membrana em português do Brasil padrão ABNT 2 com teclado numérico dedicado Touchpad: Multi-gestual Conteúdo da Embalagem: 01 Notebook Aspire 3 I5 4GB 256GB SSD Endless - Acer; 01 Fonte carregadora do notebook. Imagem Meramente Ilustrativa Código de Barras: 4710886059059 Referência: NX.HV1AL.00F Garantia: 12 Meses",4710886059059,Notebook Aspire 3 I5 4GB 256GB SSD Linux - Acer,https://www.americanas.com.br/produto/2575237771,notebook aspire 3 i5 4gb 256gb ssd linux - acer,americanas,notebooks,0
"Desenvolvido para não deixar você parar, o Aspire 3 tem a tecnologia que acompanha seu estilo de vida, além do Design elegante. Execute suas tarefas diárias sem crise com a memória RAM de 4GB e armazenamento de 256GB SSD. Imagens incríveis em qualquer situação pois o notebook vem com tela LED LCD de 15.6"" e resolução HD (1366x768) para você ver tudo o que precisa com a qualidade de imagem que merece. Bateria que não te deixa na mão, pois foi feito para aguentar todas as necessidades do dia. Dependendo do uso, sua bateria pode durar até 7 horas, permitindo que você complete todas as suas tarefas! O teclado de rápida resposta em português do Brasil, padrão ABNT 2 com teclado numérico dedicado. Para dúvidas, acesse: acer.com.br, no menu SUPORTE. Caso sua dúvida não tenha sido esclarecida ou necessite de auxílio especializado, acesse o nosso Chat no site: acer.com.br, no menu SUPORTE SUPORTE PÓS-VENDA CHAT ON-LINE. Ou ligue para o Centro Nacional de Serviços Acer 0800-762-2237 e fale com um de nossos técnicos. O horário de atendimento é de segunda-feira a sábado das 8h às 22h (horário de Brasília), e aos domingos das 10h às 18h, com exceção dos feriados",4710886059059,"Notebook Acer 15,6 A315-56-569F i5-10ª 4GB 256SSD Linux",https://www.amazon.com.br/Notebook-A315-56-569F-i5-10%C2%AA-256SSD-Linux/dp/B00FN1U6O6,"notebook acer 15,6 a315-56-569f i5-10ª 4gb 256ssd linux",amazon,"Notebook Acer 15,6 - A315-56-569F/ I5-1035G1 - Linux Endless Informações Técnicas Bluetooth: Bluetooth 4.2 Cor: Cinza Dimensão da Embalagem (a / P / l): 19.0mm / 247.0mm / 363.0mm Peso do produto com embalagem: 1.9kg Frequência: 2400MHz Garantia com o Fabricante: 01 ano hdmi: Sim Interface USB 2.0: 02 Interface USB 3.1: 01 Memória: 4GB DDR4 soldado Memória Máxima: 20 gb - (4GB soldado + 16GB slot) Processador: Intel Core i5-1035G1 Rede: Gigabit lan 10/ 100/ 1000 Mb/S Rj 45: Sim ssd: 256GB M.2 PCIe NVMe Teclado: abnt 2 (português) + teclado numérico Tela: 15,6 LED HD (1366x768) 16:9 brilhante wi-fi: WiFi 1x1 ac Webcam: Sim",4710886059059,"Notebook Acer 15,6 - A315-56-569F/ I5-1035G1 - Linux Endless",https://www.americanas.com.br/produto/2800997152,"notebook acer 15,6 - a315-56-569f/ i5-1035g1 - linux endless",americanas,notebooks,1
