descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Ideal para deliciosas receitas com praticidade e economia. Por possuir queimadores industriais duplos, ela assa, grelha e cozinha em menos tempo que produtos convencionais de uso doméstico. Feita com estrutura em aço inox 304 escovado e grelha em ferro fundido, características que garantem a mais beleza e durabilidade na sua cozinha ou espaço gourmet. Modelo: 40008202 (Linha Gourmet) Alimentação: Gás glp (baixa pressão); Material: aço inox 304; Acabamento: escovado; Medidas de nicho para embutir (LxP): 68 x 40 cm; Medidas totais (AxLxC): 4 x 72 x 48 cm; Peso: 16 kg. Características: 02 Queimadores Industriais Duplos; Queimador 15 cm: consumo de 0,255 Kg/h, potência de 2,910 Kcal/h; Queimador 7 cm: consumo de 0,132 Kg/h, potência de 1,420 Kcal/h; Grelhas em Ferro Fundido de 30x30cm; Queimadores com 15x7cm cada um; Opera com gás glp, com válvula reguladora de baixa pressão (não fornecida com o equipamento).0",7894484683087,Fogão 2 Bocas Guindani Com Queimador Duplo 72Cm Inox 304,https://www.americanas.com.br/produto/5029675319,fogão 2 bocas guindani com queimador duplo 72cm inox 304,americanas,"Design super moderno Mesa de vidro temperado: qualidade e alta resistência Trempes individuais de ferro fundido: mais modernas, robustas e duráveis Acendimento automático total na mesa e no forno Capacidade do forno: 56L Forno Easy Clean: a gordura não gruda e fica mais fácil de limpar Dobradiças italianas: amortecem o fechamento da porta 1 grade fixa e 1 grade deslizante com 3 níveis de ajuste no forno Proteção térmica com vidro duplo no forno Controle de temperatura do forno: 180°C a 280°C Puxador em alumínio escovado Pés elevados que facilitam a limpeza do piso Forno com válvula de segurança Luz no forno (a lâmpada não acompanha o produto) Bivolt especificações nome do produto Fogão Best Cook 4 queimadores cor Preto quantidade de peças caixa individual 1 caixa master - código bivolt sku FGV401PT ean caixa 790.831.280.030-7 DIMENSÕES(Larg. XAlt. XProf. cm) produto sem caixa 49,5x89,0x63,0 produto com caixa 50,5x91,0x64,0 pesos (kg) produto sem caixa 20,3 produto com caixa 22,96",7908312800307,Fogão de piso Best Cook Preto 4 Queimadores Suggar,https://www.americanas.com.br/produto/2949894240,fogão de piso best cook preto 4 queimadores suggar,americanas,fogoes,0
"Caracteristicas Tipo: Fogão de Piso Acendimento: Super-Automático Queimadores: 1 Grande e 3 Médios Trempe dos Queimadores: Individual Luxo Esmaltada Mesa Queimadores: Vidro Preto Base das Trempes: Esmaltada na cor Preta Botões: Removíveis Válvula de Segurança: Sim Luz no Forno: Sim (Lâmpada não acompanha o produto) Prateleiras do Forno: Duas Auto Deslizantes Revestimento do Forno: Esmalte Easy Clean Temperatura: 5 posições de 180°C Até 290°C Função Grill: Sim Timer Grill: Sim Timer Gás: Não Espeto Giratório: 1 Espeto removível Bandeja Coletora de Resíduos: Sim Porta Removível: Sim Porta do forno: Vidro Panorâmico Espelhado Vidro Duplo na Porta: Sim Puxador da Porta: Alumínio Polido Estufa: Móvel com Vidro Espelhado Puxador da Estufa: Alumínio Polido Entrada de Gás: Uma Entrada(Lado Esquerdo Visto de Frente) Cores das Laterais: Preto Fosco Marca: Venax Especificações Técnicas Alimentação: Gás glp (a conversão para Gás Natural não é coberta pela garantia) Tensão: 127V ou 220V Frequência: 60Hz Classificação Energética: ""A"" Etiquetas: ence e conpet Garantia: 1 Ano Potência do Grill: 700W Potência do Queimador do Forno: 2,30 kW Potência Queimadores Mesa: 1,80kW (Queim. Grande); 1,35kW (Queim. Médio) Dimensões Internas do Forno(LxPxA): 378x470x290 (mm) Volume do Forno: 51,8L",7899552140974,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,https://www.americanas.com.br/produto/3193703756,fogao a gas palladio vitreo 4 q preto fosco gás glp,americanas,"Fogão Brastemp 5 Queimadores Inox 220v Com o fogão Brastemp 5 bocas é possível garantir o ponto perfeito do interior do seu assado pois conta com o Termometro Meat Control, além disso a Turbo Chama Advanced permite a realização de preparos homogêneos e em potência máxima. Termômetro Meat Control Controle a temperatura interna do seu assado e garanta o ponto perfeito utilizando o Termômetro Meat Control, basta conectá-lo no interior do forno e acionar a função na Interface fulltouch.função Vapor Conserve os nutrientes dos alimentos e potencialize o sabor utilizando a função vapor do forno, para isso basta colocar água no compartimento da mesa e acionar a função na Interface Fulltouch. Turbo Chama Advanced Com a liberação de 4 chamas é possível garantir máxima potência e obter resultados homogêneos. Trempes Individuais de Ferro Fundido Máxima robustez, segurança e facilidade de limpeza. Especificações Técnicas Tipo: Piso Tipo de Aquecimento: Gás Dimensões (l x A x p) cm: 76,4 X 96,5 x 68,6 Peso (kg): 49 Quantidade de queimadores: 5 Cor: Aço Inoxidável Marca: Brastemp Classificação Energética: a Tensão (v): 220 Acendimento: Super Automático Botões Removíveis: Sim Tipo de Gás: glp / gn Grill: Sim Pés Reguláveis: Sim Faixa de temperatura do forno (ºC): Até 220 ºC Timer: Sim Porta Removível: Sim Capacidade do Forno (Litros): 96 Funções: Convecção, Vapor, Termômetro Meat Control, Autodesligamento Iluminação Interna: Sim Relógio: Sim Tipo do Forno: Elétrico Trempes: Individuais em Ferro Fundido Mesa: Compartimentada em Aço Inoxidável Características Adicionais: Potência dos Queimadores: 3350 W (Quadrichama) / 2500 W (Rápidos) / 1800 W (Semi-rápido) / 1200 W (Simmer) Display: Touch Screen Prateleiras: 2 Tampa: Sim Garantia de 1 ano: Sim Marca: Brastemp Ref.: BFS5CCRRNA",7891129264755,Fogão Brastemp 5 Queimadores Inox 220v,https://www.americanas.com.br/produto/4278047057,fogão brastemp 5 queimadores inox 220v,americanas,fogoes,0
"Tão eficiente quanto a linha Mônaco, o produto agora vem com o diferencial da mesa de vidro, trazendo um toque de sofisticação e mais praticidade na hora da limpeza. Além disso o modelo possui forno com uma grade deslizante, puxador em aço e acabamento Limpa Fácil.",7897180505127,Fogão Atlas 4 Bocas Branco,https://www.americanas.com.br/produto/5174814864,fogão atlas 4 bocas branco,americanas,"O Fogão com mesa de vidro Monaco Top Glass da Atlas Eletrodomésticos veio para trazer mais beleza e praticidade no seu dia a dia. As grades com seis pontos de apoio deixam suas panelas mais estáveis e firmes na hora de cozinhar. Os pés mais robustos e altos facilitam a limpeza. Já a mesa de vidro é um show a parte, além de segura e resistente vai deixar sua cozinha ainda mais moderna! Tão eficiente quanto a linha Mônaco, o produto agora vem com o diferencial da mesa de vidro, trazendo um toque de sofisticação e mais praticidade na hora da limpeza. Além disso o modelo possui forno com uma grade deslizante, puxador em aço e acabamento Limpa Fácil. Características Marca: Atlas Cor: Branco Código: 300000707 Voltagem: Bivolt (127v/220v) Linha: Mônaco Top Glass Instalação: Fogão de Piso Quantidade de Bocas: 4Q Funcionamento: Gás Capacidade do Forno: 50 Litros Acendimento Automático Total Potência queimadores: 2Q Ramal 1,7 kW Potência queimadores: 2Q Família 2,0 kW Acabamento do Forno: Limpa Fácil Mesa de Vidro Temperado Sem Bordas Trempes Individuais e Robustas Manípulos Removíveis e na Base da Mesa Sistema com Bloqueia Gás Eficiência Energética 1 Grade Deslizante com 2 Regulagens de Altura Dimensões Internas do Forno (LxAxP): 37 cm x 30 cm x 45 cm Dimensões Aproximadas do Produto (LxAxP): 48 cm x 89 cm x 59,5 cm Peso Aproximado: 23 Kg Imagens meramente ilustrativas Importante: Imprescindível à conferência no ato da entrega. Em caso de anormalidade, recuse o recebimento. Garantia de 12 meses contra defeitos de fabricação, de acordo com as normas do fabricante. Produto novo, original, lacrado e acompanha nota fiscal.",7897180505127,Fogão de Piso Atlas Mônaco Top Glass 4 Bocas Acendimento Automático Branco,https://www.americanas.com.br/produto/4866156891,fogão de piso atlas mônaco top glass 4 bocas acendimento automático branco,americanas,fogoes,1
"Conte com uma tela de 32'' HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível. Tela 32"" Multilaser HD. Com a função DNR, possui Granulação reduzida, com imagens mais claras e nítidas, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e acompanhe seus seriados e veja os melhores filmes. Aproveite diversos conteúdos, você também consegue reproduzir conteúdo direto do seu Pen Drive. Possui 3 entradas de HDMI, 2 entrada USB, 2 entradas RJ45, 1 entrada AV e sua alimentação é (Bivolt) 100-220V 60Hz. Imagens Meramente Ilustrativas.",7898149189167,"Tela 32"" HD com Função Smart e Wi-Fi Integrado - Multilaser, TL026",https://www.amazon.com.br/Tela-Fun%C3%A7%C3%A3o-Smart-Wi-Fi-Integrado/dp/B08V1W7RRC,"tela 32"" hd com função smart e wi-fi integrado - multilaser, tl026",amazon,"Conte com uma tela Widescreen de 32” HD de alta resolução, proporcionando uma imersão total ao conteúdo em reprodução. Além de uma velocidade de resposta incrível com o processador Mstar e 256MB de RAM. Tela 32"" Multilaser HD, te oferece imagens nítidas e vivas para você ter uma experiência surpreendente, assista aos seus canais favoritos e acompanhe seus seriados e veja os melhores filmes. Aproveite diversos conteúdos, você também consegue reproduzir conteúdo direto do seu Pen Drive. Possui 2 entradas de HDMI, entrada RCA e sua alimentação é 100-220V 60Hz. IMAGENS MERAMENTE ILUSTRATIVAS",7908414405363,"Tela 32"" HD com Função Smart e Wi-Fi Integrado - Multilaser, TL031",https://www.amazon.com.br/Tela-Fun%C3%A7%C3%A3o-Smart-Wi-Fi-Integrado/dp/B08X186RJ8,"tela 32"" hd com função smart e wi-fi integrado - multilaser, tl031",amazon,tvs,0
"Especificações Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox Com design exclusivo e funcional, o Fogão Piacere da Mueller irá se destacar em sua cozinha. Características ean: 7908156901680 Marca: Sirius Modelo: 601230004 Cor: Inox 5 Bocas Acendimento Automático Forno: 81,6L Dimensões da Embalagem: Altura: 95cm Largura: 78cm Profundidade: 62cm Peso: 29,500Kg Garantia: 12 MesesDescrição Com design exclusivo e funcional, o Fogão Piacere da Mueller irá se destacar em sua cozinha.",7908156901680,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,https://www.americanas.com.br/produto/3639949444,fogão mueller 5 bocas piacere automático 601230004 - inox,americanas,"O Fogão Fascino é simples e prático, se encaixa em ambientes menores com facilidade. Desenvolvido em 5 bocas sendo 1 tripla chama, 2 rápidas e 2 semirrápidas, com suas trempes esmaltados, evitando que as panelas deslizem no fogão. Seu Forno de 97 litros conta com acendimento automático e revestimento interno Easy Clean que facilita na limpeza. Modelo: Fascino Cor: Branco Material: Aço Material da tampa do fogão: Vidro Temperado Material dos pés: Plástico Tensão: Bivolt Capacidade do forno: 97 Litros Dimensões internas do forno: 45 x 29 x 59 cm (a x L x c) Forno com válvula de segurança: Sim Com acendimento automático: Sim Potência do forno: 3,3 Kw Potência do queimador tripla chama: 3,5 Kw Potência do queimador rápido: 1,5 Kw Potência dos queimadores semirrápidos: 1,3 Kw Quantidade de grades do forno: 2 Quantidade de pés: 4 Quantidade de queimadores: 5 Tecnologia Easy Clean: Sim Temperatura do forno: 180 a 270 Graus c Tipo das grades do forno: Fixa e Deslizante Tipo de queimador: Forjado Marca: Clarice Conteúdo da embalagem: 1 Fogão 5 Bocas Dimensões aproximadas do produto: 63 x 93 x 77 cm (a x L x c) Dimensões aproximadas da embalagem: 65 x 87 x 79 cm (a x L x c) Peso aproximado do produto: 38 Kg Peso aproximado da embalagem: 40 Kg Informações Adicionais: Fácil de usar e simples para limpar Informações Importantes: - Os objetos que ambientam as imagens, não acompanham o produto. - Fique atento: As cores das imagens podem sofrer alterações devido a luminosidade, configurações do monitor e até mesmo a percepção do usuário.",7898342108804,Fogão à Gás 5 Bocas Fascino Automático Clarice Tripla Chama Bivolt Branco,https://www.americanas.com.br/produto/4771922530,fogão à gás 5 bocas fascino automático clarice tripla chama bivolt branco,americanas,fogoes,0
"CaracterísticasVídeo Tecnologia: FreeSync Premium Pro Resolução: qled 4K (3840 x 2160) Tamanho da Tela: 75"" Sistema Operacional: Plataforma Tizen Processador Quantum 4K com iaConexões Wi-Fi BluetoothPortas de Entrada e Saída 04 Entradas hdmi 02 Entradas usbOutros Recursos Timer Sleeptimer Tela Ultra-Wide Pontos Quânticos Modo Game Menu de Jogos Som em movimento virtual Sincronia Sonora Alexa built in Motion Xcelarator Turbo Design SlimEAN 7892509117593Cor PretoEspecificações Técnicas Modelo: QN75Q70AAGXZD Frequência: 60 Hz Consumo de Energia: 330 kW/h Garantia: 12 mesesDimensões e Peso Dimensões do Produto sem Embalagem (AxLxP): 960,7x1677,5x26,6 mm Dimensões do Produto com Embalagem (AxLxP): 1138x1834x190 mm Dimensão do Produto com Base (AxLxP): 960,7x1677,5x26,6 mm Peso do Produto sem Embalagem: 32,1 kg Peso do Produto com Embalagem: 32,1 kg Peso do Produto com Base: 44 kgItens Inclusos 01 Smart tv 01 Controle remoto único 01 Cabo de força Manual do usuárioServiço de Instalação e Orientação de Uso Para sua comodidade e segurança, a Fast Shop dispõe do serviço de Instalação e Orientação de Uso*. Agendamos o serviço para você, executamos a instalação com equipes próprias especializadas e autorizadas pelo fabricante, ensinamos como utilizar os produtos da melhor forma e temos uma área de qualidade para acompanhar e garantir que tudo dê certo. é rápido e fácil. Você pode contratar o serviço com o nosso Televendas pelo tel.: 3003-3278 ou em uma de nossas lojas. Consulte os valores e regiões atendidas.* Verifique com nossos vendedores se a Fast Shop realiza a instalação desse produto.",7892509117593,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",https://www.americanas.com.br/produto/3249116279,"smart tv 4k samsung qled 75 com design slim, alexa built in e wi-fi - 75q70aa",americanas,"Modelo: Q70AAGXZD Desfrute do máximo da qualidade de imagem em 4K, com 1 bilhão de cores vibrantes por muito mais tempo. O processador mais brilhante de todos os tempos usa a tecnologia de Inteligência Artificial para proporcionar uma incrível experiência de visualização, aperfeiçoando a resolução de qualquer conteúdo para a qualidade próxima da 4K. Seja na parede ou no rack, essa TV de apenas 2,5cm de espessura combinará perfeitamente com seu espaço, com uma exclusiva tela sem bordas aparentes, a TV destaca apenas as imagens que você quer ver, e nada mais. 10 anos de garantia contra Burn in - Aproveite sua TV livre de preocupações Algumas TVs absorvem as imagens estáticas que aparecem na tela por muito tempo, como placares ou mapas de jogos. O resultado é o burn in, ou seja, manchas permanentes na tela. Mas com a qled, você tem a melhor imagem e a garantia de 10 anos contra esse efeito. Motion Xcelerator Turbo + - Ultra performance no jogo Se a sua diversão é coisa séria, você precisa de uma TV que eleve o seu jogo para outro nível com imagens em 4K/120hz no hdmi 2.1 com respostas ainda mais rápidas e sem frames quebrados. Som em Movimento Virtual - Som que acompanha a ação A experiência do som 3D permitirá que você fique totalmente imerso na no áudio dos seus filmes e séries, como se estivesse no meio da ação. Modo Ambiente 4.0 - A TV que se integra à sua decoração Ao invés de uma tela preta, ative o exclusivo Modo Ambiente 4.0 e combine a qled com o seu espaço. Selecione uma das texturas pré-definidas na tv, ou tire uma foto da qled já na parede para que ela se adeque à sua sala. Multiplos Assistentes de voz - Uma maneira inteligente de comandar sua TV por voz Controle sua TV por voz em português: acesse apps, mude de canal ou altere o volume. A TV traz Bixby, Alexa e Google Assistant integrados para você escolher o seu serviço de voz preferido. Multitela - Seu smartphone na tela grande Divida a tela da TV ao meio, o conteúdo que você está assistindo de um lado e a tela espelhada do seu smartphone em outro. Acesse vídeos, verifique estatísticas de esportes e muito mais enquanto assiste ao seu programa ou jogo favorito. SmartThings - Casa Inteligente Controle e monitore toda sua casa. Acesse o aplicativo SmartThings e transforme sua TV na central de automação controlando os demais aparelhos inteligentes da Samsung ou criando programações de acordo com a sua rotina. Além disso, aparelhos mais antigos, como seu ventilador com controle remoto, são detectados automaticamente e controlados pela tv. Controle Remoto SolarCell - Um salto significativo rumo a sustentabilidade Um controle remoto moderno e ecológico, feito de quase um terço de plástico reciclável e que é recarregável por energia solar, pela própria luz ambiente da sua casa ou por usb, evitando o desperdício de milhões de pilhas aaa ao longo dos anos. Embalagem reutilizável - Abuse da criatividade e cuide do meio ambiente Estamos intensificando nosso compromisso com a sustentabilidade com nossas novas embalagens ecológicas. Utilizamos menos papel e tinta para as caixas das tv, que podem ser transformadas em utensílios domésticos, como uma prateleira de livros, uma casinha de gatos, caixa de ferramenta e muitos outros. Você pode encontrar as instruções criativas, acessando o QR-code da própria embalagem.",7892509117593,Smart TV Samsung qled 4K 75Q70A Design Slim Modo Game Processador ia Som em Movimento Virtual 75,https://www.americanas.com.br/produto/3253028626,smart tv samsung qled 4k 75q70a design slim modo game processador ia som em movimento virtual 75,americanas,tvs,1
Kit Fogão Campeiro 75X45 - Chapa 1 Furo + Porta M + Grelha Kit para fogão a lenha campeiro Chapa 45x75 polida com 01 furo c/tampas inclusas Porta para fornalha/cinzeiro 21x28 com trava e suspiro Grelha para cinzeiro 20x27,7898969422352,Kit Fogão Campeiro 75X45 - Chapa 1 Furo + Porta M + Grelha,https://www.americanas.com.br/produto/4967127407,kit fogão campeiro 75x45 - chapa 1 furo + porta m + grelha,americanas,"Forno a Gás de Embutir Brastemp 78 litros, com Termômetro Meat Control e Convecção. Precisão para garantir assados suculentos e no ponto certo.",7891129253315,Forno de Embutir a Gás Brastemp 78 Litros Cor Inox com Convecção e Termômetro Meat Control - BOH84AR 220V,https://www.amazon.com.br/Embutir-Brastemp-Convec%C3%A7%C3%A3o-Term%C3%B4metro-Control/dp/B07C7SJH5B,forno de embutir a gás brastemp 78 litros cor inox com convecção e termômetro meat control - boh84ar 220v,amazon,fogoes,0
"O novo Fogão 5 bocas Piacere Stile da Mueller resgata o prazer de reunir a família e cozinhar em casa. Têm design moderno, botões sobrepostos e mesa de alta potência com diversas opções de queimadores, oferecendo beleza, ergonomia e muita versatilidade para o preparo das mais variadas receitas. São quatro diferentes opções de potência. Um queimador central Ultra Chama de 3,7 kw, um Dupla Chama de 3KW, um família de 2KW, e dois queimadores tradicionais de 1,7KW. Além disso, o fogão possui acabamento em preto fosco, acendimento automático total, forno autolimpante e com amplo visor, luz no forno e puxador de metal escovado. Tudo isso para facilitar o seu dia a dia e pelo prazer de cozinhar para toda a família.",7898361095406,Fogão 5 Bocas Acendimento Automático Piacere Stile Mueller Bivolt Preto Fosco,https://www.americanas.com.br/produto/1822322367,fogão 5 bocas acendimento automático piacere stile mueller bivolt preto fosco,americanas,"Fogão 5 bocas acendimento automático Essencial Itatiaia bivolt. A linha de fogões Essencial passa por rigorosos testes de qualidade e segurança, e é aprovada principalmente no dia a dia dos consumidores. Produto resistente que garante melhor performance, manipulos removíveis com sinalização de posição e acendimento automático, porta de vidro dupla resistente. Pés altos e resistentes, 1 prateleiras deslizante manualmente, forno limpa fácil, queimadores de alumínio e trempes individuais.",7892946411759,Fogão 5 Bocas Bivolt Automático Mesa de Vidro Essencial Itatiaia Branco,https://www.americanas.com.br/produto/4913117772,fogão 5 bocas bivolt automático mesa de vidro essencial itatiaia branco,americanas,fogoes,0
"Refrigerador side by side LG 601L painel touch, dispenser, new lancaster GS65SDN 220V Modernidade e sofisticação com capacidade para 601 litros, Painel Touch Led, Gaveta Freezing Zone e Dispenser de Água e Gelo. O Refrigerador LG Side by Side GS65SDN New Lancaster possui interior amplo com capacidade de Side by Side e com compartimentos inteligentes que ajudam a manter seus alimentos bem conservados. Com o freezer na parte de baixo, tudo o que você mais usa fica ao alcance das suas mãos. Conta com Iluminação em LED que deixa sua geladeira ainda mais moderna. Além de melhorar a visualização interna, ela consome menos energia que as lâmpadas tradicionais. Sua inovadora Gaveta com Controle de Umidade mantém a umidade ideal dos seus alimentos, com mais segurança e qualidade. Com o sistema Door In Door exclusivo da LG você terá mais facilidade e rapidez ao acessar seus alimentos preferidos, além de diminuir a perda de ar frio em 41%. E mais, possui Rack Premium removível para armazenar vinhos na temperatura correta e ideal para consumo. Características Gerais - Controle de Temperatura - Painel Touch - Iluminação LED - Botão Discreto - Puxador Embutido - Dispenser de Água e Gelo - Prateleiras de Vidro Temperado mais resistente - Prateleiras de móveis com espaços mais inteligentes m Controle de Umidade: Moist Balance Crisper - Rack para Vinhos - Gaveta de Utilidades do dia a dia como ovos, queijos, leites, etc. - Gaveta FRESHBalancer mantém a umidade ideal.",6934585684468,"Refrigerador Side By Side Lg 601l Painel Touch, Dispenser, New Lancaster Gs65sdn 220v",https://www.americanas.com.br/produto/4856798144,"refrigerador side by side lg 601l painel touch, dispenser, new lancaster gs65sdn 220v",americanas,"Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 220V refrigerador side by side LG 601L painel touch, dispenser, new lancaster GS65SDN 220V Modernidade e sofisticação com capacidade para 601 litros, Painel Touch Led, Gaveta Freezing Zone e Dispenser de Água e Gelo. O Refrigerador LG Side by Side GS65SDN New Lancaster possui interior amplo com capacidade de Side by Side e com compartimentos inteligentes que ajudam a manter seus alimentos bem conservados. Com o freezer na parte de baixo, tudo o que você mais usa fica ao alcance das suas mãos. Conta com Iluminação em LED que deixa sua geladeira ainda mais moderna. Além de melhorar a visualização interna, ela consome menos energia que as lâmpadas tradicionais. Sua inovadora Gaveta com Controle de Umidade mantém a umidade ideal dos seus alimentos, com mais segurança e qualidade. Com o sistema Door In Door exclusivo da LG você terá mais facilidade e rapidez ao acessar seus alimentos preferidos, além de diminuir a perda de ar frio em 41%. E mais, possui Rack Premium removível para armazenar vinhos na temperatura correta e ideal para consumo. Características Gerais - Controle de Temperatura - Painel Touch - Iluminação LED - Botão Discreto - Puxador Embutido - Dispenser de Água e Gelo - Prateleiras de Vidro Temperado mais resistente - Prateleiras de móveis com espaços mais inteligentes - Gaveta com Controle de Umidade: Moist Balance Crisper - Rack para Vinhos - Gaveta de Utilidades do dia a dia como ovos, queijos, leites, etc. - Gaveta FRESHBalancer mantém a umidade ideal.ESPECIFICAÇÕES: Marca LG Modelo GS65SDN Cor Aço escovado EAN 6934585684468 Voltagem 220V Quantidade de porta 2 Classificação Energética A Espaço do congelador 196 Litros Espaço do refrigerador 405 Litros Capacidade de armazenagem total (l) 601 Litros Garantia 12 Meses Características (descritivo do produto) As geladeiras French Door da marca LG trazem mais inteligência para a sua cozinha. Ela já foi premiada internacionalmente. O sistema Door in Door, exclusivo da lg, proporciona facilidade e rapidez para acessar seus alimentos preferidos, além de diminuir a perda de ar frio em 46.5. Além disso, o filtro desodoriza e elimina muito mais as bactérias que os modelos comuns. Este modelo possui compartimentos para melhorar o armazenamento dos alimentos, desde bandejas para molhos, cestas, e até recipientes vedados. Prateleiras deslizantes e dobráveis e cestas ajustáveis são apenas algumas inovações da marca, permitindo guardar e manter por mais tempo alguns itens, mais uma vez, é mais tecnologia diretamente na sua casa. Conteúdo da embalagem 1 refrigerador side by side lg Dimensões ( A X L X P ) 179 X 91,3 X 73,50 cm Peso 130 kg *Imagens meramente ilustrativas.",6934585684468,Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 220V,https://www.americanas.com.br/produto/5078890154,refrigerador lg side by side new lancaster gs65sdn aço escovado 601l 220v,americanas,geladeiras,1
"Realme Smartphone C11 32gb 2gb Ram Tela de 6.52 pol. O Smartphone C11 da Realme foi projetado para apresentar uma tela Ips de 6,5 polegadas com resolução de 720 x 1600 pixels e densidade de 269 ppi para uma excelente experiência de visualização. Apresenta sistema de câmera traseira dupla de 8mp, que possibilita capturar imagens em ótima qualidade, bem como câmera frontal de 5mp para você efetuar ótimas selfies. Dispõe de processador Cortex-A55 + 4x 1.2 GHz para possibilitar oferecer uma performance de desempenho muito boa na execução de tarefas, conta com conectividade bluetooth 5.0, bem como apresenta capacidade de bateria de 5.000 mAh, para que você possa navegar pela web, jogar seus jogos favoritos e ainda desfrutar ao máximo de cada recurso por várias horas longe da tomada. Marca: Realme Versão produto: 2021 Cor do produto: Azul Resolução de 720 x 1600 pixels, 269 ppi Processador: Cortex-A55 + 4x 1.2 GHz Câmera traseira: 8MP / Câmera Frontal 5 mp Suporte a gravação: 1080p a 30fps Conectividade sem fio: Wi-Fi 802.11 a / bluetooth 5.0 Tipo de Slot cartão sim: Dual sim Capacidade de carga bateria: 5000 mAh Base Sistema Operacional: Android Dimensões: 10 x 10 x 10 cm Peso: 4000 g Garantia: 90 dias Venda condicionada a existência de produto em estoque. Prazo de postagem: 5 dias úteis Após recebimento do pedido. Prazo estimado de entrega: 35 dias",7908404842147,Realme Smartphone C11 32gb 2gb Ram Tela de 6.52 pol.,https://www.americanas.com.br/produto/4794730688,realme smartphone c11 32gb 2gb ram tela de 6.52 pol.,americanas,"Smartphone Asus Rog Phone 5S 512gb 18gb Ram Tela 6.78 pol. / topshop O Smartphone Asus Rog Phone 5S foi projetado para apresentar uma tela de 6.78 polegadas com resolução de 1080 x 2448 pixels e densidade de 395 ppi para uma excelente experiência de visualização. Apresenta câmera traseira para captura de imagens e gravação de vídeo em alta qualidade, bem como câmera frontal de 24 Mp para você efetuar selfies. é equipado com processador Snapdragon 888 Plus o que permite oferecer uma performance de desempenho muito boa na execução de tarefas e aplicativos, dispõe de conectividade Wifi 802.11 e bluetooth 5.2 para maior comodidade, assim como capacidade de bateria de 6.000 mAh para que você possa navegar a vontade pela web, jogar seus jogos favoritos e desfrutar ao máximo de todos os recurso por várias horas longe da tomada. Marca: Asus Cor produto: Branco Phantom Referência do modelo: ZS676KS Base Sistema Operacional: Android Processador: Qualcomm Snapdragon 888 Plus Capacidade de carga da bateria: 6.000 mAh Tipo de versão produto: Global Slot Cartão sim: Dual sim Dimensões: 10 x 10 x 10 cm Peso: 4000 g Garantia: 90 dias. Venda condicionada à existência de produto em estoque. Prazo estimado: 35 dias",7908404848934,Smartphone Asus Rog Phone 5S 512gb 18gb Ram Tela 6.78 pol.,https://www.americanas.com.br/produto/4273688251,smartphone asus rog phone 5s 512gb 18gb ram tela 6.78 pol.,americanas,celulares,0
