descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,categoria,match
"Lenovo ideapad Gaming 3i: Novo design com 10ª Geração de Processadores Intel Core i7-10750H e placa de vídeo nvidia GeForce gtx 1650 4GB. Ideal para gamers e usuários que também precisam de alta performance. Com tela de 15.6'' Full HD wva Antirreflexo para melhor definição de imagem e cores. O armanezamento ssd PCIe NVMe é 10x mais rápido* que um hdd 2.5 sata, você terá mais segurança ao armazenar seus dados.",195892009962,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,https://www.americanas.com.br/produto/4600778051,notebook gaming 3i core i5 8gb 256gbssd gtx1650 15.6 linux 82cgs00100,americanas,"Notebook ideapad gaming 3i i5-10300h 8gb 256gbssd gtx 1650 4gb 15.6"" fhd wva linux 82cgs00100 Tipo de produto:NOTEBOOK_COMPUTER Instruções de cuidado/Validade: segue atentamente as informações fornecidas pelo fabricante no folheto informativo ou na caixa/embalagem do produto Descubra produtos úteis para você.",195892009962,"Lenovo Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD GTX 1650 4GB 15.6"" FHD WVA Linux 82CGS00100, Blue",https://www.amazon.com.br/Notebook-ideapad-i5-10300H-256GBSSD-82CGS00100/dp/B0945D7C9T,"lenovo notebook ideapad gaming 3i i5-10300h 8gb 256gbssd gtx 1650 4gb 15.6"" fhd wva linux 82cgs00100, blue",amazon,notebooks,1
"Características Tipo: Fogão de Piso Acendimento: Automático Queimadores: 1 Grande e 3 Médios Trempe dos Queimadores: Individual Luxo Esmaltada Mesa Queimadores: Vidro Preto Base das Trempes: Esmaltada na cor Preta Botões: Removíveis Válvula de Segurança: Sim Luz no Forno: Sim Prateleiras do Forno: Duas Auto Deslizantes Revestimento do Forno: Esmalte Easy Clean Temperatura: 5 posições de 180°C Até 290°C Função Grill: Não Timer Grill: Não Timer Gás: Não Espeto Giratório: Não Bandeja Coletora de Resíduos: Não Porta Removível: Sim Porta do forno: Vidro Panorâmico Preto Vidro Duplo na Porta: Sim Puxador da Porta: Alumínio Polido Estufa: Móvel com Vidro Preto Puxador da Estufa: Alumínio Polido Entrada de Gás: Uma Entrada(Lado Esquerdo Visto de Frente) Cores das Laterais: Branco Marca: Venax Especificações Técnicas Alimentação: Gás glp Tensão: Bivolt Frequência: 50/60Hz Classificação Energética: ""A"" Etiquetas: ence e conpet Garantia: 1 Ano Potência do Queimador do Forno: 2,30 kW Potência Queimadores Mesa: 1,80 kW(Queim. Grande); 1,35 kW(Queim. Médio) Dimensões Internas do Forno(LxPxA): 378x470x290(mm) Volume do Forno: 51,8L",7899552140899,Fogao A gas maxi vitreo 4 Q branco gas glp,https://www.americanas.com.br/produto/43421496,fogao a gas maxi vitreo 4 q branco gas glp,americanas,"CaracterísticasTipo: Fogão de PisoAcendimento: AutomáticoQueimadores: 1 Tripla Chama, 2 Grandes e 2 MédiosTrempe dos Queimadores: Individual Luxo EsmaltadaMesa Queimadores: Vidro PretoBase das Trempes: Esmaltada na cor PretaBotões: RemovíveisVálvula de Segurança: SimLuz no Forno: Sim (Lâmpada não acompanha o produto)Prateleiras do Forno: Duas Auto DeslizantesRevestimento do Forno: Esmalte Easy CleanTemperatura: 5 posições de 180°C Até 290°CFunção Grill: NãoTimer Grill: NãoTimer Gás: NãoEspeto Giratório: NãoBandeja Coletora de Resíduos: NãoPorta Removível: SimPorta do forno: Vidro Panorâmico PretoVidro Duplo na Porta: SimPuxador da Porta: Alumínio PolidoEstufa: Móvel com vidro pretoPuxador da Estufa: Alumínio PolidoEntrada de Gás: Uma Entrada(Lado Esquerdo Visto de Frente)Cores das Laterais: BrancoMarca: VenaxEspecificações TécnicasAlimentação: Gás GLP (A conversão para Gás Natural não é coberta pela garantia)Tensão: BivoltFrequência: 50/60HzClassificação Energética: ""A""Etiquetas: ENCE e CONPETGarantia: 1 AnoPotência do Queimador do Forno: 3,30kWPotência Queimadores Mesa: 3,0 kW(tripla chama); 1,80 kW(Queim.Grande); 1,35 kW(Queim.Médio)Dimensões Internas do Forno(LxPxA): 648x470x290(mm)Volume do Forno: 88,3L",7899552141735,Fogao A Gas Maxi Vitreo 5 Q Branco Gás Glp,https://www.americanas.com.br/produto/2108221112,fogao a gas maxi vitreo 5 q branco gás glp,americanas,fogoes,0
"Frigobar Midea 71 Litros Branco MRC08B2Quem nunca pensou em ter um frigobar nos seus lugares favoritos de sua casa, até mesmo no quarto onde passamos bom tempo.Este Frigobar é ideal para quem está em busca de comodidade, guardar suas bebidas e até alimentos favoritos bem a mão, com praticidade. Ideal também para quem não possui muito espaço pode ser acomodado em qualquer cantinho. São resistentes, além de apresentarem um design elegante. Dentre os benefícios, os frigobares contam com compartimento extra frio e prateleiras de vidro.",7908198000167,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,https://www.americanas.com.br/produto/4021546993,frigobar midea 71 litros branco mrc08b2 - 220v,americanas,"Frigobar Midea 124L O Frigobar Midea 124L possui supercapacidade, com tamanho ideal para você armazenar corretamente suas bebidas e alimentos prediletos. Possui diversos compartimentos exclusivos, como o super latas: mais espaço para você gelar suas bebidas de forma rápida. Tudo isso sendo o frigobar com o menor consumo de energia da categoria*. Mais capacidade e maior economia para sua casa. Termostato Controla a temperatura dos alimentos de forma precisa. Compartimento gela rápido Espaço para gelar rapidinho sua bebida predileta. Porta com compartimentos Cabe uma garrafa de dois litros e até outras bebidinhas. Porta reversível Para se adaptar a qualquer canto. Fluido Refrigerante R-134A Não inflamável, atóxico e menos nocivo à camada de ozônio. Gaveta para frutas e legumes O cantinho ideal para guardar as frutas e os vegetais. Segurança certificada pelo inmetro A qualidade que você procura.",7898626573854,Frigobar Midea 124 Litros Branco MRC12B2 - 220V,https://www.americanas.com.br/produto/4929732067,frigobar midea 124 litros branco mrc12b2 - 220v,americanas,geladeiras,0
"A Itatiaia está trazendo a Linha Star, com seus fogões que serão a estrela da sua casa! Possui mesa de aço Inox brilhante e tampa de vidro temperado. Seus queimadores em metal tornam o fogão muito mais resistente e fácil de limpar. E para aqueles que querem espaço suficiente para fazer todo tipo de receita, ele conta com uma incrível capacidade de 88 litros no forno. E ainda possui um queimador superchama. Para manter o produto protegido sua pintura eletrostática a pó, dá brilho e evita arranhões e ferrugem. Pensando em facilitar seu dia a dia ele conta com acendimento automático. Prático e rápido. Seus botões possuem sinalização de posição, para melhorar o controle e acendimento dos queimadores. Além disso, os botões são removíveis, proporcionando uma limpeza mais profunda e eficaz. Para garantir maior segurança e ergonomia, o puxador em aço foi projetado para que você não encoste a mão na porta ao abrir o forno, a porta é feita de vidro temperado duplo para um melhor isolamento térmico. A cavidade interna do forno é esmaltada e lisa para evitar acúmulo de sujeira. Seus pés altos trazem mais resistência, estabilidade e também ajudam na hora da limpeza. Caracteristicas: Linha: Star Tipo de gás: glp Tipo de Fogão: De piso Bocas: 5 Prateleira: Fixa Quantidade de Pés: 4 Puxadores: Puxadores em aço Tampo de Vidro Acima da Mesa: Sim Recomendações de Uso, Manutenção e Limpeza: Pano umedecido e detergente neutro Tipo de Mesa: Mesa de Aço Brilhante Lateral do Fogão: Aço Manípulos: No Painel Tipo de Trempe: Trempe de Aço Esmaltado Acendimento: Automático Quantidade de Queimadores: 5 Quantidade de trempes: 3 Volume (lts): 88 Localização da entrada de gás (visão frontal): Superior Direito Trava de Segurança do Forno: Sim Situação do Produto Enviado: Novo Dimensões: Altura: 86,5 cm Largura: 76,9 cm Profundidade: 59,7 cm Peso: 27,5 Kg Garantia do Fornecedor 12 Meses",7892946404805,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,https://www.americanas.com.br/produto/3521104358,fogão de piso com acendimento automático star 5 bocas itatiaia,americanas,"Simples e eficiente, o linha Waves de Fogões da Itatiaia é tudo que a sua cozinha precisa. Resistência e facilidade a favor da agilidade na cozinha. Resistência e facilidade a favor da agilidade na cozinha, além de beleza e funcionalidade. Puxador em alumínio escovado e queimadores de alumínio polido. Segurança e facilidade de manuseio, manípulos com sinalização e posição. Durabilidade. Acomoda melhor as panelas com trempe resistente e de fácil utilização. Forno Auto limpante conta com 88,5 litros de capacidade, do tamanho certo para suas receitas. Design exclusivo e moderno. Pés altos e robustos com facilidade de limpeza, evitando o acúmulo de sujeiras e gorduras. Características: Marca: Itatiaia Número de Bocas: 5 Tipo: Gás Frequência da rede (Hz): 60 Potência Mesa: 10,4 Consumo: Não Informado pelo Fabricante Classificação Energética: a Capacidade do forno: 88,5L Recursos: Acendimento automático; Luz no Forno; 1 Prateleira no Forno. Dimensões: Altura: 88,5 cm Largura: 76,9 cm Profundidade: 59,7 cm Peso: 20,7 Kg Garantia do Fornecedor 12 Meses",7892946330081,Fogão de Piso com Acendimento Automático Waves 5 Bocas Itatiaia,https://www.americanas.com.br/produto/27172000,fogão de piso com acendimento automático waves 5 bocas itatiaia,americanas,fogoes,0
,7892597351206,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Branco",https://www.americanas.com.br/produto/3616585721,"smartphone motorola edge 20 128gb 5g wi-fi tela 6,7'' dual chip 8gb ram câmera tripla + selfie 32mp - branco",americanas,,7892597351633,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Verde",https://www.americanas.com.br/produto/3616562159,"smartphone motorola edge 20 128gb 5g wi-fi tela 6,7'' dual chip 8gb ram câmera tripla + selfie 32mp - verde",americanas,celulares,0
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7899968300887,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant",https://www.americanas.com.br/produto/134544943,"smart tv led 43"" semp 43s5300 full hd android bluetooth controle remoto com comando de voz google assistant",americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7899968300832,"Android Tv Led 43"" Tcl 43s6500 Bluetooth, Controle Remoto Com Comando De Voz E Google Assistant",https://www.americanas.com.br/produto/134256001,"android tv led 43"" tcl 43s6500 bluetooth, controle remoto com comando de voz e google assistant",americanas,tvs,0
"Conecte-se ao que há de melhor com o Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB RAM Câmera Quadrupla + Selfie 13MP. O aparelho oferece um desempenho de tirar o folego, além disso, seu visual é incrível. Quad Câmera com Sensor De 48 MP + Night Vision: Com o sistema Quad Câmera com sensor de 48 MP do Smartphone Moto G20, você tira fotos nítidas e vibrantes com pouca luz ou até à noite, além de retratos lindos com fundo desfocado e imagens bem de perto com um nível de detalhes surpreendente. Tela Max Vision de 6,5"" E 90 Hz: Dê vida a jogos, filmes e videochamadas com a tela Max Vision HD+ de 6,5"". E com uma taxa de 90 Hz no smartphone moto g20, o lag dá lugar a uma visualização mais fluida e um desempenho muito mais suave. Super Bateria com mais de dois dias de duração: O smartphone moto g20 possui bateria de 5000 mAh, o que proporciona mais de dois dias de duração² a cada recarga. Com ela, você pode ouvir músicas por 122 horas³, assistir a vídeos por 11,6 horas³ ou navegar na internet por 18,3 horas³. Tudo isso com uma única carga. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.A memória interna disponível para o usuário pode variar de acordo com o sistema operacional e aplicativos instalados no dispositivo.",7892597351497,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,https://www.americanas.com.br/produto/3805072618,smartphone motorola moto g20 128gb 4g wi-fi tela 6.5'' dual chip 4gb ram câmera quádrupla + selfie 13mp - azul,americanas,"Sobre este item    Quad Câmera com sensor de 48 MP + Night Vision    Tela Max Vision de 6,5″ e 90 Hz    Superbateria com mais de dois dias de duração    Câmera de selfie de 13 MP    128 GB de armazenamento interno",7892597351497,Smartphone Motorola Moto G20 128GB 4GB RAM Azul,https://www.amazon.com.br/Smartphone-Motorola-Moto-128GB-Azul/dp/B09KP11Z6V/ref=sr_1_999?qid=1651784095&s=wireless&sr=1-999&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,smartphone motorola moto g20 128gb 4gb ram azul,amazon,celulares,1
"Tecnologia Smart Cooling: Distribui de maneira uniforme a temperatura em todo o gabinete do refrigerador e freezer, proporcionando a conservação por igual de todos os alimentos.",7891356086892,Refrigerador Philco Side By Side PRF533I 220v,https://www.americanas.com.br/produto/3419495292,refrigerador philco side by side prf533i 220v,americanas,"Refrigerador Philco Side By Side Prf533ipd Eco Inverter 434l 127v O Refrigerador e Freezer Side By Side Philco PRF533IPD Eco Inverter 434L possui design Side By Side, onde refrigerador e freezer estão lado a lado para garantir maior aproveitamento do espaço vertical do refrigerador. Aumentando a eficiência, em conjunto, da tecnologia Smart Colling. Distribuindo de maneira uniforme a temperatura por todo refrigerador e freezer. Sem ter o acúmulo de gelo. Garantindo melhor higiene e conservação dos alimentos. Aliado ao compressor Inverter, que em constante funcionamento evita picos de funcionamento fazendo com que o produto não consuma energia em excesso. Temperaturas que são facilmente configuradas a partir do painel digital. Cujo display, possui diversas funções e configurações para você alterar as preferências tanto do freezer quanto do refrigerador. Garantindo que o Refrigerador e Freezer Side By Side Philco PRF533IPD Eco Inverter 434L sempre atenderá suas necessidades quando precisar. Além de tornar sua cozinha muito mais atraente e completa Característica Capacidade de 434L (289L no refrigerador e 145L no freezer) Classificação A em eficiência energética Sistema de refrigeração Frost Free Side by side (freezer na porta esquerda e refrigerador na porta direita) Dispenser de água na porta com abastecimento manual (3L de capacidade) Painel touch Controle de temperatura do freezer e refrigerador de forma independente Freezer com temperaturas de -14C a -22C Refrigerador com temperaturas de 2 a 8C Funções Smart, Eco, turbo freezer e turbo refrigerador Alarme de porta aberta Iluminação interna LED Porta em aço com tratamento anti-corrosão Prateleiras em vidro temperado Divisão do refrigerador: 4 prateleiras, 2 gavetas, 3 prateleiras de porta e reservatório de água Divisão do freezer: 4 prateleiras, 2 gavetas e 4 prateleiras de porta Dimensão do Produto Largura:91 Cm Altura:177 Cm Profundidade:59 Cm Peso Líquido:80 Kg Especificações Técnicas Funções: Função smart: Produto monitora o uso e temperaturas internas automaticamente e ajusta a programação conforme necessário.função eco: Temperatura ideal para preservar os alimentos em funcionamento tanto do freezer quanto do refrigerador. Funções turbo freezer e turbo refrigerador: Refrigeração acelerada para uso severo. Classificação Energética: a Temperatura Freezer: -14C a -22C Temperatura Refrigerador: 2 A 8C",7891356086892,Refrigerador Philco Side By Side Eco Inverter 434L 127V,https://www.americanas.com.br/produto/4750000712,refrigerador philco side by side eco inverter 434l 127v,americanas,geladeiras,1
"Fogão de Piso 5 Bocas Electrolux 76LBU Branco BivoltQueimador Ultra-chama: Chama mais potente que proporciona maior rapidez no preparo dos alimentos.Vidro removível: Facilidade para limpeza"" Grades duplas"": Facilidade de transição entre as bocas da mesa"" Queimadores potentes"": Mais potência de no momento da cocção"" Puxador Ergonômico e resistente"": Mais segurança e facilidade de manuseio do produtoMesa compartimentada: ""Os compartimentos evitam que líquidos derramados se espalhem pela mesa"""" Botões removíveis"": Facilita a limpeza do dia-a-dia"" Mesa sem furação"": ""Evita a concentração de sujeira e facilita a limpeza da superfície da mesa""Grafismo em alto relevo: ""resistente e durável, não pode ser removido por produtos químicos """" Classificação energética A"": Mais eficiência e economia para o consumidor"" Forno com cavidade esmaltada (Easy to clean)"": ""Cavidade esmaltada com acabamento Easy to clean, facilita a limpeza e remoção de resíduos no interior do produto"""" Acendimento automático: Acendimento com ignição rápida, fácil e seguraBloqueia gás: Sistema segurança corta gás em caso da chama se apagar",7909569000267,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,https://www.americanas.com.br/produto/5015857007,fogão de piso 5 bocas electrolux 76lbu branco bivolt,americanas,"Presente em todas as cozinhas, o fogão se tornou um eletrodoméstico muito útil e necessário para o dia a dia. Devido à sua versatilidade, o fogão de piso 5 bocas torna o preparo de pratos e receitas mais prático e saboroso. Ao oferecer 5 queimadores, o fogão de piso Electrolux aumenta o leque de alimentos sendo cozidos ao mesmo tempo, tornando suas refeições mais variadas e saudáveis. Com 91 litros de capacidade, seu forno torna este fogão de piso branco um eletrodoméstico muito espaçoso e diferenciado. Possui vidro interno que facilita a limpeza do interior do forno, evitando o acúmulo de resíduos e restos de alimentos. - Painel completo Localizado na mesa, ajuda você na programação do fogão e impede o acesso de crianças, oferecendo segurança para toda a família. O grafismo com alto relevo é resistente à ação do tempo e aos produtos de limpeza. - Potência de sobra Com 1 queimador ultra chama e 4 queimadores semirrápidos, cozinhar será uma tarefa mais rápida, prática e flexível. - Vidro interno do forno removível Tenha uma limpeza mais completa com o vidro interno removível. - Grades duplas Conta com design que proporciona mais segurança e facilidade de limpeza. - Prateleira removível A prateleira removível é prática e fácil de limpar. - Puxador ergonômico Feito em prata, o puxador oferece mais resistência, durabilidade, ergonomia e segurança de manuseio. informações técnicas Marca: Electrolux Modelo: 76LBU Capacidade do forno: 91 litros Bocas: 5 Temperatura do forno: 180 - 280°Cdimensões aproximadas do produto Largura: 77,2cm Altura: 93cm Profundidade: 59cm peso aproximado Peso: 32kg prazo de garantia 12 meses",7909569000267,Fogão 5 Bocas Electrolux Branco Automático com Ultra Chama e Painel Completo (76LBU) - Bivolt,https://www.americanas.com.br/produto/2105207462,fogão 5 bocas electrolux branco automático com ultra chama e painel completo (76lbu) - bivolt,americanas,fogoes,1
Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. Imagens Meramente Ilustrativas.,7893299915987,"Smart TV LG OLED 65"" 4K OLED65C1 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa",https://www.americanas.com.br/produto/3280462701,"smart tv lg oled 65"" 4k oled65c1 120hz g-sync freesync 4x hdmi 2.1 inteligência artificial thinq google alexa",americanas,Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.Imagens Meramente Ilustrativas.,7893299916960,"Smart TV OLED 83"" LG OLED83C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa",https://www.americanas.com.br/produto/3849625667,"smart tv oled 83"" lg oled83c1 4k 120hz g-sync freesync 4x hdmi 2.1 inteligência artificial thinq google alexa",americanas,tvs,0
