descricao_1,ean_1,titulo_1,url_1,titulo_cb_1,loja_1,descricao_2,ean_2,titulo_2,url_2,titulo_cb_2,loja_2,match
Material: ABS ,8344530850097,"Ljyutihg Geladeira de carro bx 22 l portátil termoelétrico elétrico refrigerador de carro para bebidas, cerveja, vinho, frutos do mar, frutas, casa e viagem.",https://www.amazon.com.br/Ljyutihg-Geladeira-port%C3%A1til-termoel%C3%A9trico-refrigerador/dp/B08XQ4MCJK,"ljyutihg geladeira de carro bx 22 l portátil termoelétrico elétrico refrigerador de carro para bebidas, cerveja, vinho, frutos do mar, frutas, casa e viagem.",amazon,"Refrigerador Samsung 432 Litros 2 Portas Frost Free Inverter RL4353RBASL. Características: Capacidade Total: 432 litros Refrigerador: 300 litros Freezer: 132 litros Recursos de Refrigeração Frost Free: Sim Compressor: Digital Inverter Tecnologia de Refrigeração: All Around Cooling Recursos Refrigerador: Temperatura Refrigerador: 1ºC a 7ºC Espaços Porta Refrigerador: 5 Gavetas no Refrigerador: 1 iluminação Interna: led Prateleiras no Refrigerador: 4 Porta Ovos: Sim Recursos do Freezer: Fábrica de Gel: Twist Temperatura Freezer: -15ºC a -23ºC Recursos Gerais: Número de Portas: 2 Outros Atributos: Smart Sensor Pés Ajustáveis com Rodízio: Sim Alarme de Porta Aberta: Sim Recursos Externos: Display: Externo Puxador na Porta: Embutido Desempenho: Consumo Energético (kWh/Mês): 38,5 Classificação inmetro: a Dimensões Altura: 185 cm Largura: 70 cm Profundidade: 69 cm Peso: 93 kg Garantia do fornecedor de 12 meses. atenção: Não nos responsabilizamos, no ato da entrega, por desmontagens, subir escadas/elevadores ou transporte por guincho para apartamentos. Eventuais despesas são de responsabilidade do cliente. Confira as dimensões deste produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua moradia. Recomendamos que os produtos sejam instalados por profissionais especializados e não nos responsabilizamos pelo mau uso ou instalação indevida, causando a perda da garantia. Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor. Valor unitário. Imagem meramente ilustrativa Prazo de troca e devolução: 7 dias a partir do recebimento do produto - Lei nº 8.078 - Sempre confira no ato da entrega.",8806090580413,Refrigerador Samsung 432 Litros 2 Portas Frost Free Inverter RL4353RBASL,https://www.americanas.com.br/produto/3342138000,refrigerador samsung 432 litros 2 portas frost free inverter rl4353rbasl,americanas,0
"Frigobar Philco 47L Compacto Porta Reversível PFG50P Preto 110v Frigobar Compacto Preto Philco Porta Reversível PFG50P 47 Litros é compacto e tem capacidade de 47 litros. Você pode organizar o que precisa, as prateleiras são removíveis e o compartimento extra frio ajuda a conservar os congelados. Para servir em qualquer lugar ele tem porta reversível, mais praticidade para você! - Baixo consumo de energia elétrica. - Controle de temperatura com 5 opções de ajuste. - Compartimento extra frio. - Compartimento para latas e garrafas. - Porta reversível com possibilita de abertura para esquerda ou direita. - Prateleiras removíveis, resistentes e duráveis. - Pés frontais ajustáveis, possibilitando o nivelamento do frigobar. Informações Técnicas- Marca Philco- Modelo PFG50P- Capacidade 47 litros- Cor/Acabamento Preto- Degelo manual- Refrigeração por compressor- Gás refrigerante R600a livre de cfc- Voltagem 110v (não é bivolt)- Classificação energética ADimensões e Peso- Produto (a x L x p) 51,2 x 43,7 x 47 cm- Caixa Produto (a x L x p) 52,5 x 48,5 x 47 cm- Peso Líquido 14,80 kg- Peso Bruto 16,3 kgConteúdo da embalagem- 1 Frigobar Philco 47L- 1 Manual de instruções- Certificado de garantiaGarantia do Fabricante 12 meses",7891356092701,Frigobar Philco 47L Compacto Porta Reversível PFG50P Preto 220v,https://www.americanas.com.br/produto/4811923933,frigobar philco 47l compacto porta reversível pfg50p preto 220v,americanas,A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Sem falar da Tecnologia EVOX. Ahhh! Bem pensado.,7891129499751,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 110V,https://www.amazon.com.br/gp/offer-listing/B07WGQQRXN,geladeira consul frost free duplex 397 litros com freezer embaixo cor inox - cre44ak 110v,amazon,0
"Geladeira LG Smart French Door InstaView Door In Door 525 Litros Preta 110V GR-X228NMSM O InstaView Door-in-Door possui um elegante painel de vidro espelhado, que ilumina com duas pequenas batidas. Assim, você pode ver o que há dentro sem precisar abrir a porta, reduzindo a perda de ar frio e mantendo os alimentos frescos por mais tempo.Hygiene Fresh 99,999% de Ar Puro A tecnologia do filtro remove até 99,999% das bactérias e minimiza o odor no interior da geladeira, garantindo maior frescor em um ambiente mais limpo. Estimule seus sentidos com NaturalFRESH e aproveite o frescor dos alimentos.Refrigeração constante a qualquer momento A manutenção da temperatura é o principal indicador de frescor. O LINEARCooling mantém a flutuação da temperatura dentro do + - 0,5 ºC.Refrigeração rápida e uniforme em qualquer lugar O lg DoorCooling torna a temperatura interna mais uniforme e resfria 19% mais rápido que o sistema de resfriamento convencional. Reduz significativamente a diferença de temperatura entre a parte interna e ao lado da porta do compartimento.Compressor Linear Inverter 10 anos de garantia A tecnologia do compressor Linear Inverter garante uma operação muito mais silenciosa e econômica que os compressores convencionais. Maior durabilidade e confiança com 10 anos* de garantia.",8806098602629,Geladeira LG Smart French Door InstaView Door In Door 525 Litros Preta 110V GR-X228NMSM,https://www.americanas.com.br/produto/2015106537,geladeira lg smart french door instaview door in door 525 litros preta 110v gr-x228nmsm,americanas,"Perfeito para armazenar e conservar adequadamente uma grande quantidade de alimentos e bebidas São 47 litros de capacidade total para guardar variados produtos e de diferentes proporções. Para deixar no seu quarto, sala, na casa de praia, no sítio, na quitinete, onde você quiser, super compacto é perfeito para refrigerar tudo que desejar, esse é o Frigobar PH50N 47 litros Philco. Melhor aproveitamento de espaço Capacidade de 47 litros. Compartimento para latas e garrafas Maior praticidade e organização. Sistema de refrigeração com compressor Maior capacidade de refrigeração. Controle de temperatura com 5 opções de ajuste Permite escolher a temperatura de acordo com o necessário. Porta reversível e Pés ajustáveis Permite o nivelamento perfeito do frigobar. Livre de CFC e Classificação ""A"" em eficiência energética Ecologicamente correto, não agride o meio ambiente. Menor consumo de energia. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Confira a voltagem selecionada antes de finalizar a compra.",7891356056550,Frigobar Philco PFG50B - 110v,https://www.americanas.com.br/produto/127187837,frigobar philco pfg50b - 110v,americanas,0
"A Geladeira Consul Degelo Seco 261 litros possui o Sistema de Degelo Seco, que permite fazer o descongelamento com apenas um botão e sem molhar o chão da sua cozinha. Além disso, ela tem o Compartimento Extra Frio, que gela as bebidas mais rápido e ainda conserva melhor os frios e laticínios. Com o Gavetão Hortifruti, você organiza suas frutas, verduras e legumes, mantendo-os sempre fresquinhos.",7891129186408,Geladeira 1 Porta Classe A Degelo Seco 261 Litros 110V Branca - Consul,https://www.amazon.com.br/Geladeira-Classe-Degelo-Litros-Branca/dp/B076BCHJ5L,geladeira 1 porta classe a degelo seco 261 litros 110v branca - consul,amazon,"Bem pensada assim, só podia ser Consul Cansado de passar aperto com a geladeira? A nova geladeira Consul Frost Free 386L é bem pensada para se adaptar a todos os seus momentos, das compras do mês a ocasiões especiais, como aquele almoço de domingo ou a cerveja com os amigos. Altura Flex Com o exclusivo sistema de regulagem, as prateleiras podem ser ajustadas em 8 níveis de altura para acomodar potes, jarras e alimentos de diversos tamanhos. Prateleira Dobrável A prateleira dobrável pode ser rebatida quando houver necessidade de acomodar itens maiores como garrafas, jarras, entre outros. Quando não houver necessidade, ela funciona como uma prateleira normal, suportando a mesma quantidade de peso. Bandeja Deslizante Aproveita aquele espaço que sobra entre itens mais baixos e as prateleiras. Basta deslizá-la ao longo da prateleira e você ganha um novo espaço ou removê-la quando não for utilizá-la. Controle de temperatura externo Controle a temperatura sem precisar abrir a porta. São 4 níveis de temperatura e a função turbo, ideal para quando sua geladeira está bem.",7891129246737,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável,https://www.americanas.com.br/produto/5148393445,geladeira consul frost free duplex 386 litros branca com prateleira dobrável,americanas,0
"Econômico e ecológico e silencioso, com o Frigobar eos Ice Compact você terá suas bebidas e alimentos prediletos sempre à mão contribuindo para o meio ambiente. Compacto e versátil, cabe em vários cantinhos e combina com qualquer ambiente: seu quarto, sala ou escritório. Conta com compartimento gela rápido, espaço para gelar suas bebidas prediletas em menos tempo. O Eco-Friendly oferece uma refrigeração por compressor com gás ecológico que não agride o meio ambiente e ainda reduz a sua conta de energia. Principais Características: Mais espaço: 93L de volume interno; Prateleiras Internas em vidro; Baixo ruído; Porta com compartimentos - Cabe uma garrafa de dois litros, latas e outras bebidas; Espaço interno otimizado; Gaveta inferior no congelador para gelo;2 prateleiras ajustáveis para você armazenar seus alimentos; Termostato; Controla a temperatura dos alimentos de forma precisa; Puxador superior que facilita a abertura e fechamento da porta; Porta reversível, que permite abertura para esquerda ou direita; Pés com ajuste de altura.",0736532819567,Frigobar eos Ice Compact 93 Litros Preto Efb101P 110V,https://www.americanas.com.br/produto/4376014355,frigobar eos ice compact 93 litros preto efb101p 110v,americanas,"Frigobar 88 Litros Inox FB8811IX Suggar 127V O Frigobar FB8811IX possui a capacidade de 88 litros e sua cor inox torna os ambientes ainda mais elegantes. Você conseguirá selecionar a temperatura ideal de acordo com os produtos que estiverem nele. Possui uma porta de vidro que permite a visão completa do interior do frigobar, pode-se armazenar várias garrafas e latas. Bastante silencioso devido a sua estrutura, o frigobar da Suggar é perfeito para os mais diversos tipos de bebidas, possui refrigeração por compressor e porta inox com vidro integrado. Sua temperatura é regulável e de fácil instalação. Atributos do Produto: Referência: FB8811IX Código: FB8811IX ean: 7896518503637 Material: Inox Garantia: 12 meses Marca: Suggar Modelo: FB8811IX Voltagem: 127V Baixo consumo: 0,085kWh Potência: 85W Detalhes e Especificações Técnicas: Para diversos tipos de bebidas Ausência de vibrações Refrigeração por compressor Porta em aço inox com vidro integrado Temperatura regulável Fácil instalação Ausência de vibrações Prateleiras cromadas removíveis Dimensões do produto Peso: 25,5Kg Comprimento: 48,0cm Largura: 43,0cm Altura: 82,5cm Capacidade: 88 Litros Conteúdo da Embalagem: 1 Frigobar 88 litros Inox Importante Produtos de decoração não inclusos. Imagens meramente ilustrativas; As cores dos objetos podem sofrer alterações devido a luminosidade, configurações do monitor e até mesmo a percepção do usuário; Os dados divulgados são de responsabilidade do fabricante/fornecedor.",7896518503637,Frigobar 88 Litros Inox Fb8811Ix Suggar 127V,https://www.americanas.com.br/produto/86120413,frigobar 88 litros inox fb8811ix suggar 127v,americanas,0
"Refrigerador Brastemp 375l 2 Portas Evox Frost Free BRM44HKANA Design sofisticado e grande capacidade para armazenar alimentos, o Refrigerador Brastemp BRM44HBANA conta com compartimento especial que se encaixa perfeitamente no freezer ou na geladeira, possibilitando gelar as bebidas de forma eficaz. Você consegue deixar os alimentos bem organizados no seu refrigerador graças aos compartimentos pensados para o encaixe de todos os alimentos, bebidas e até mesmo seus temperos favoritos. Aproveite melhor o espaço do seu congelador, com a tecnologia Frost Free você não precisa mais fazer o degelo do seu refrigerador, não tem mais o acúmulo de gelo! A tecnologia evox protege sua geladeira da ferrugem e corrosão com uma camada de zinco e uma película impermeabilizante aplicadas sobre o aço. Gavetão de legumes Fresh Zone Suas frutas e verduras organizadas e conservadas por mais tempo com o sistema Fresh Zone. Compartimento extra frio Gele as bebidas mais rápido e conserve melhor frios e laticínios. Acesso Rápido Compartimento de fácil acesso para armazenar os itens que você mais usa. Temperos Compartimento específico para guardar e deixar seus temperos sempre à mão. Especificações Técnicas: - Marca: Brastemp - Modelo: BRM44HBANA - Cor: Evox - Capacidade Total: 375 Litros - Tipo: Frost Free - Portas: 2 - Painel de Controle: Externo - Voltagem: 127v ou 220V (não é bivolt) - Largura: 62,1cm - Altura: 176cm - Profundidade: 75,5cm - Peso: 58kg - Classificação Energética: a - Garantia: 12 meses - Potência: 110 w - Consumo: 54 kWh - Corrente: 2 a - Frequência: 60 Hz - Selo inmetro: Sim - Ruído: 42 dBA -Capacidade Freezer: 86 Litros - Capacidade Refrigerador: 288 Litros",7891129252721,Refrigerador Brastemp 375l 2 Portas Evox Frost Free 127V,https://www.americanas.com.br/produto/5188880918,refrigerador brastemp 375l 2 portas evox frost free 127v,americanas,220 Volts.,1015096150217,Geladeira 2 Portas Cycle Defrost 475L Branca DC51 220V - Electrolux,https://www.amazon.com.br/Geladeira-Portas-Cycle-Defrost-Branca/dp/B0779LK3D2,geladeira 2 portas cycle defrost 475l branca dc51 220v - electrolux,amazon,0
"Geladeira LG Side by Side Thinq 611L Door In Door Inverse Inox 127V GC-J257CSFSDoor-in-Door:A exclusiva tecnologia Door-in-Door da LG proporciona facilidade de acesso aos principais itens da sua geladeira. Com isso, você minimiza a perda de ar frio e evita a troca de calor com o ambiente. O resultado é uma menor sobrecarga do compressor e, consequentemente, maior economia de energia.Compressor Linear Inverter:Diferentemente dos compressores tradicionais, que ligam e desligam durante o funcionamento, o compressor Linear Inverter trabalha com velocidade variável. Isso garante melhor consumo de energia e maior conservação dos seus alimentos. O resultado é um produto muito mais silencioso e que economiza na conta de luz.Bocal UVnano:A exclusiva tecnologia UVnano usa uma lâmpada ultravioleta no bocal da saída de água, que elimina até 99,99% das impurezas. Com isso, você tem garantia de água pura e saúde para sua família.Filtro HygieneFresh +: Ninguém gosta de abrir a porta da geladeira e sentir um odor desagradável. Pensando nisso, a LG desenvolveu o HygieneFresh +, um filtro de 5 camadas com LEDs uv que elimina 99,999% das bactérias, mantendo seus alimentos frescos e seu refrigerador livre de odores.Resfriamento Rápido (DoorCooling + ):Chega de se preocupar com o abre e fecha da geladeira. Através de duas saídas de ar estrategicamente posicionadas próximas à parte superior das portas, o resfriamento da geladeira e do freezer acontece até 35% mais rápido, mantendo seus alimentos mais conservados, inclusive aqueles localizados na porta.Temperatura Estável (LinearCooling):O principal fator para a conservação dos seus alimentos é a estabilidade de temperatura. Enquanto geladeiras convencionais trabalham com uma variação de até 4ºC ( + ou – 2ºC) na temperatura interna, as geladeiras LG reduzem essa variação para apenas + ou - 0,5ºC. Com isso, seus alimentos tem uma melhor conservação e mantém o sabor por muito mais tempo.Conectividade Wi-Fi com LG ThinQ:Seu dia a dia vai ficar muito mais fácil com o app LG ThinQ. Agora, de qualquer lugar, você monitora o funcionamento da sua geladeira. Altere a temperatura do refrigerador, do freezer e até receba alertas caso esqueça a porta aberta.Gavetas com Controle de Umidade:As geladeiras LG contam com modernas gavetas com controle de umidade. Basta escolher o tipo de alimento armazenado (frutas ou verduras) para garantia de maior conservação do sabor dos alimentos.Água e Gelo na porta:Complemente a experiência premium do seu produto com a conveniência de água filtrada e gelo (em cubos ou triturado) direto na porta.",8806091501882,Geladeira LG Side by Side Thinq 611L Door In Door Inverse Inox 127V GC-J257CSFS,https://www.americanas.com.br/produto/5027892310,geladeira lg side by side thinq 611l door in door inverse inox 127v gc-j257csfs,americanas,A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Sem falar da Tecnologia EVOX. Ahhh! Bem pensado. A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Ahhh! Bem pensado.,7891129499768,Geladeria/Refrigerador Consul Duplex CRE44 Frost Free com Freezer Embaixo 397 litros Evox - 220V,https://www.americanas.com.br/produto/134545663,geladeria/refrigerador consul duplex cre44 frost free com freezer embaixo 397 litros evox - 220v,americanas,0
"Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I – 127 Volts O Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I possui design ''Side By Side'', onde refrigerador e freezer estão lado a lado para garantir maior aproveitamento do espaço vertical, assim, aumentando a eficiência em conjunto da tecnologia Smart Cooling, que distribui de maneira uniforme a temperatura por todo refrigerador e freezer, sem ter o acúmulo de gelo garantindo melhor higiene e conservação dos alimentos. Sem falar no compressor inverter, que não gera picos de funcionamento e ajuda na economia de energia. As temperaturas são facilmente configuradas a partir do painel digital. Cujo display, possui diversas funções e configurações para você alterar as preferências tanto do freezer quanto do refrigerador. Garantindo que o Refrigerador sempre atenderá suas necessidades quando precisar. Além de tornar sua cozinha muito mais atraente e completa!",7891356086885,Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I – 127 Volts,https://www.americanas.com.br/produto/3926979515,refrigerador philco 437 litros side by side eco inverter inox prf533i – 127 volts,americanas,"A Geladeira Consul Frost Free 397 litros com freezer embaixo deixa os alimentos do dia-a-dia na altura ideal para você encontrar tudo num piscar de olhos. Ela vem com um painel externo para controle da temperatura e a função Turbo Freezer. Sem falar da Tecnologia evox. Ahhh! Bem pensado. Com uma geladeira com freezer embaixo, os alimentos do dia-a-dia ficam na altura ideal para você encontrar tudo em um piscar de olhos. Facilita na organização e na limpeza, além de ser mais prática para pegar os produtos. Controle facilmente a temperatura do refrigerador e do freezer de maneira independente sem precisar abrir a porta. A função Turbo Freezer te ajuda a congelar os alimentos mais rápido. Para acionar a função, basta acionar o controle externo. O gavetão agora está à altura das suas mãos no refrigerador, facilitando a organização e limpeza. Além de manter as frutas, verduras e legumes fresquinhos. Evox protege sua geladeira da ferrugem e corrosão com uma camada de zinco e uma película impermeabilizante aplicadas sobre o aço. Tecnologia Evox com 3 anos de garantia contra ferrugem e corrosão na porta da sua geladeira. Prateleiras do refrigerador em vidro com moldura plástica, prateleiras de porta, gaveta e cesto em plástico injetado.",7891129499737,Geladeira Consul Inverse CRE44AK 397 L Branco,https://www.americanas.com.br/produto/4305751171,geladeira consul inverse cre44ak 397 l branco,americanas,0
"Geladeira Frost Free 478 litros A Geladeira Brastemp Frost Free Duplex BRM59 478 litros possui o exclusivo compartimento Freeze Control Advanced, com controle de temperatura independente que permite programar funções de acordo com sua necessidade. Conta ainda com o Turbo Ice.Freeze Control AdvancedConserve as carnes por até 10 dias sem congelar*, resfrie o compartimento em até -4°C, para deixar a cerveja no ponto ideal, ou utilize a função Frios e Laticínios para consevar melhor alimentos mais perecíveis. Turbo IceTenha gelo mais rápido sempre que precisar. Twist Ice AdvancedO exclusivo sistema Twist Ice Advanced permite abastecer as formas de gelo de um jeito inteligente, evitando molhar o chão da cozinha, além de desenformar o gelo facilmente e armazená-lo em um recipiente portátil e prático. Espaço AdaptPrateleiras com múltiplas combinações possíveis para armazenar itens de diversos tamanhos na porta de sua geladeira.Latas e Long Necks Compartimento especial para gelar rápido suas bebidas. Ele pode ser encaixado tanto no freezer como no refrigerador para gelar a cerveja ou o refrigerante, com um espaço perfeito para 3 garrafas long neck ou 6 latas.AdegaCompartimento retrátil para armazenar vinhos na posição ideal de conservação, aproveitando ao máximo o espaço do seu refrigerador. Cooling ControlA tecnologia Cooling Control mantém os alimentos bem conservados em qualquer lugar da geladeira. Isso porque conta com múltiplas saídas de ar que possibilitam uma temperatura homogênea em todo o seu interior.",7891129251694,Geladeira Brastemp Frost Free Duplex 478 litros Branca com Freezer Control Advanced - BRM59AB 110V,https://www.amazon.com.br/Geladeira-Brastemp-Freezer-Control-Advanced/dp/B07CKHWTG6,geladeira brastemp frost free duplex 478 litros branca com freezer control advanced - brm59ab 110v,amazon,Material: ABS ,8344530850097,"Ljyutihg Geladeira de carro bx 22 l portátil termoelétrico elétrico refrigerador de carro para bebidas, cerveja, vinho, frutos do mar, frutas, casa e viagem.",https://www.amazon.com.br/Ljyutihg-Geladeira-port%C3%A1til-termoel%C3%A9trico-refrigerador/dp/B08XQ4MCJK,"ljyutihg geladeira de carro bx 22 l portátil termoelétrico elétrico refrigerador de carro para bebidas, cerveja, vinho, frutos do mar, frutas, casa e viagem.",amazon,0
"O Frigobar Midea 124L possui supercapacidade, com tamanho ideal para você armazenar corretamente suas bebidas e alimentos prediletos. Possui diversos compartimentos exclusivos, como o super latas: mais espaço para você gelar suas bebidas de forma rápida. Tudo isso sendo o frigobar com o menor consumo de energia da categoria*. Mais capacidade e maior economia para sua casa.",7898626573854,Frigobar Midea Compact 124 Litros Black Edition,https://www.americanas.com.br/produto/2907263431,frigobar midea compact 124 litros black edition,americanas,"A Geladeira Frost Free Duplex 472 Litros TC56 é a melhor opção para quem precisa de espaço, possui alta capacidade e prateleiras reversíveis, tanto no freezer quanto no refrigerador. Com um super freezer de 126L, acomoda todo tipo de alimento e embalagens com muita facilidade. Possui um design único e com puxador ergonômico fácil de limpar. Além disso, conta com o Espaço Extra Frio Reversível no refrigerador para armazenar alimentos frescos que necessitam maior refrigeração e cuidado, como manteiga e queijos. No freezer possui um compartimento fechado, que permite congelar os alimentos de forma mais rápida. Para manter os alimentos sempre frescos, o gavetão de frutas, legumes e vegetais ajuda na organização e visualização dos alimentos. A Geladeira TC56 oferece todo espaço que você precisa para ter alimentos sempre frescos para sua família. Iluminação em Led: Melhor visualização do interior da geladeira e baixo consumo de energia elétrica. Controle Eletrônico de Temperatura: Botão giratório para selecionar a temperatura da geladeira. Controle Deslizante de Temperatura no Freezer: Seleciona a Temperatura do Freezer. Características Frequência (Hz): 60 Timer: Não Capacidade Líq. Congelador (l): 126 Capacidade Total Bruta (l): 504 Capacidade Bruta Refrigerador (l): 354 Quantidade de Portas: 2 Consumo (Kw): 56 Prateleiras Removíveis: Não Prateleiras na Porta: Sim Recipiente para Guardar Gelo: Sim Material das Prateleiras: 2 de vidro fixas no interior do refrigerador, restante plástico Cesta porta Ovos: Sim Degelo Automático: Sim Pés Niveladores: Sim Prateleiras Reguláveis: Sim Compartimento Extra Frio: Sim Painel Digital: Não Água na Porta: Não Gelo na Porta: Não Máquina de Gelo Automática: Não Tecnologia: frost fre Selo Procel: Não Temperatura do congelador (ºC): -18 Tempo máximo de conservação s/energia (h): 8 Tipo: 2 Portas Classificação Energética: a Sistema: Frost Free Capacidade Líq. Refrigerador (l): 346 Capacidade Bruta Congelador (l): 150 Puxadores: Sim Gavetas Externas: Não Capacidade Total de Armazenamento (l): 472 Porta Laticínios: Não Prateleiras de Vidro Temperado: Sim Total de Prateleiras: Interior do refrigerador: 3; Porta do refrigerador: 3; Interior do freezer: 2; Porta do freezer: 2 Iluminação Interna: Sim Separador de Garrafas: Não Rodízios: Sim Porta Reversível: Não Alarme de Porta Aberta: Não Compartimento Congelamento Rápido: Sim Desodorizador: Não Capacidade Dispenser de Água: n/a Porta Latas: Não Tipo de Degelo: Automático Capacidade de congelamento (Kg/24h): 8 Conteúdo da Embalagem Embalagem em eps, com saco plastico em pebd Dimensões Altura: 1,882 cm Largura: 70,3 cm Profundidade: 73,6 cm Peso: 66,5 Kg Garantia do fornecedor de 12 meses",7909569003022,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,https://www.americanas.com.br/produto/2298984451,refrigerador continental tc56 frost free duplex 472 litros,americanas,0
