categoria,descricao,ean,preco,titulo,url,titulo_cb,loja
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-duplex,"FlexiSpace: Compartimento inteligente com temperatura variável que vai de freezer (-23°C) à geladeira (7°C), com ajustes automáticos para as funções freezer (-23°C), carnes e peixes (-2°C), bebida s frias (0 °C), alimentos frescos ( + 3 °C) e vinhos (7 °C). Função Meat & Fish: A função Meat & Fish, dentro do compartimento FlexiSpace, preserva seu alimento fresco sem congelar por até 7 dias. Função Lembrete: Através do app Electrolux Home +, você pode adicionar lembretes para os alimentos que estão dentro do compartimento e quando chegar o período informado, ele te avisa e pergunta se irá consumir o alimento ou se prefere ativar a função Freezer remotamente, estendendo a vida útil do alimento e evitando desperdícios. TasteLock: Compartimento especial com vedação e controle automático de umidade que mantém frutas e vegetais frescos por 14 dias*. * Testes internos realizados com morangos e cogumelos e o produto ajustado na temperatura média. TasteGuard com Pure Air Filter: TasteGuard elimina 9x mais rápido** os maus odores causados por bactérias, garantindo que sua geladeira permaneça sempre fresca e higiênica. **Comparado ao uso do bicarbonato de sódio. Conectividade: Controle a ative diversas funções do sua geladeira remotamente, como temperatura dos compartimentos, função Meat & Fish, congelamento rápido, Drink Express, Ice Maker, modo férias, trava painel, aviso de substituição do filtro de ar e estatísticas sobre o consumo de água e economia de garrafas de plástico. Tecnologia Inverter: Mantém a temperatura mais estável, garantindo condições ideais para preservar seus alimentos e economia de até 30% de energia***. ***Em relação ao mínimo para a classificação A do Inmetro. TwinTech Dual Cooling: Controla a temperatura e a umidade em cada compartimento de forma independente, garantindo alimentos mais frescos e com sabor original por mais tempo. Prateleiras Flexíveis (Sistema Fast Adapt, Prateleiras Reversíveis e Retráteis): Adapte o espaço interno para guardar os mais diversos tipos de embalagens e alimentos. Dispenser de água e gelo na porta com Pure Source Water Filter: Água filtrada e gelo, em cubos ou triturados, a qualquer hora, com a tecnologia PureSource que remove 99,3% de chumbo e 99,9% de cisto da sua água. Wine Racks: No compartimento FlexiSpace há dois racks exclusivos para o armazenamento de garrafas de vinho, além do acionamento da função Wine que regula a temperatura ideal de preservação.Características Tipo: French Door Quantidade de Portas: 04 Frost Free Painel Eletrônico Prateleiras: 02 prateleiras retráteis de vidro, 02 gavetas Hortinatura Tastelock (Gavetas para Frutas e verduras seladas) Porta do Refrigerador: 06 prateleiras de plástico (1 Fast adapt 01 compartimento para laticínios) Freezer: 02 prateleiras reversíveis plástico/vidro e 01 gaveta fixa de plástico Porta do freezer: 02 prateleiras de plástico Flexspace: 02 prateleiras reversíveis plástico/vidro, 02 wine racks metálico e 01 gaveta de plástico Porta do Flexspace: 02 prateleiras de plástico Alarme de Portas Abertas Dispenser de Água na Porta: Externo Dispenser de Gelo na Porta: Externo Função Gelo Rápido Degelo Automático Porta Latas Porta Garrafas Controle Automático de Temperatura Controle de Temperatura para Bebidas Conexão de Ponto de Água Pés NiveladoresEspecificações Técnicas Modelo: DQ90X Cor: Inox Capacidade Total: 585 Litros Capacidade de Armazenamento do Freezer: 222 Litros Capacidade de Armazenamento do Refrigerador: 363 Litros Selo Procel (Eficiência Energética): a Consumo de Energia: 62,5 kwh/mês Voltagem: 110V e 220V (não é bivolt) ean: 9315540410860 (110V) / 9315540410877(220V) Garantia: 12 mesesDimensões e Peso Dimensões do produto sem embalagem (AxLxP): 1853x913x752 mm Dimensões do produto com embalagem (AxLxP): 1853x947x812 mm Peso do produto sem embalagem: 135 Kg Peso do produto com embalagem: 145 KgItens Inclusos 01 Refrigerador French DoorServiço de Instalação e Orientação de Uso Para sua comodidade, a Fast Shop dispõe do serviço de Instalação* e Orientação de Uso, com equipe especializada e autorizada pelo fabricante que poderá realizar a medição de todos os acessos, retirando as portas do produto caso necessário. Esse serviço pode ser adquirido em contato com nosso Televendas pelo tel.: 3003-3278 ou em uma de nossas lojas, consulte os valores e regiões atendidas. * Verifique com nossos vendedores se a Fast Shop realiza a instalação desse produto. * A Fast Shop não realiza instalação de produtos a gás (consulte o fabricante).",9315540410877,"R$ 19.079,10",Refrigerador French Door Electrolux de 04 Portas Frost Free com 585 Litros FlexiSpace Inox - DQ90X,https://www.americanas.com.br/produto/3610044449,refrigerador french door electrolux de 04 portas frost free com 585 litros flexispace inox - dq90x,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/french-door,"Para que um novo eletrodoméstico atenda às nossas necessidades, ele precisa oferecer uma boa relação custo-benefício e facilitar o nosso dia a dia na cozinha. A Geladeira/refrigerador French Door Conectado 540L (DM91X) se encaixa perfeitamente nesse quesito, oferecendo o que há de melhor em desempenho, eficiência e economia de energia. Vai chamar todos os seus amigos para um churrasco ou vai viajar nessas férias? Não precisa se preocupar, pois a sua nova geladeira Electrolux têm um painel blue touch completo com funções como festa, férias e turbo! Quer a sua bebida gelada em minutos? A função drink express gela tudo mais rápido e se quiser gelo, use a função ice maker. Saiu de casa e se esqueceu de ativar o seu painel blue touch? O aplicativo Home+ te ajuda com isso. Nele você tem acesso a todas as funções do seu refrigerador. A DM91X é a única do mercado brasileiro com essa conectividade. Com o espaço Flexispace control fully, você pode optar entre usá-lo como refrigerador ou como freezer, pois essa gaveta atinge de -23ºC à 7ºC. Tenha água e gelo sempre que quiser com o dispenser na porta. Basta acioná-lo uma vez para gelar suas bebidas com cubos ou gelo triturado. Experimente o compartimento Tastelock para manter suas frutas e vegetais preservadas por mais tempo. Conte também com o Tasteguard desse refrigerador Frost Free que ajuda a manter o sabor dos alimentos enquanto evita o aparecimento de odores no interior do eletrodoméstico. O melhor de tudo é o fato de não precisar descongelar nunca mais sua geladeira, já que a tecnologia Frost Free impede que o freezer fique cheio de gelo, garantindo que o refrigerador Electrolux possa trabalhar de forma mais eficiente, mantendo os alimentos internos sempre refrigerados e prontos para o consumo. Atenção: Confira as dimensões deste produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores, não nos responsabilizamos por içamento ou serviço de guincho Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Confira a voltagem selecionada antes de finalizar a compra.",9315540405606,"R$ 18.449,10",Geladeira Frost Free Electrolux 540 Litros 3 portas Inverse Inverter Inox com Wi-fi DM91X,https://www.americanas.com.br/produto/102120089,geladeira frost free electrolux 540 litros 3 portas inverse inverter inox com wi-fi dm91x,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/side-by-side,"A Geladeira Brastemp Frost Free Inverse 4 com 543 litros possui configuração Inverse, deixando os alimentos na altura dos seus olhos, design sofisticado com 4 portas e alta capacidade! Com o Convertible Space escolha entre freezer e geladeira e até 12 opções de temperatura para criar um ambiente ideal para os mais variados tipos de alimentos e bebidas! Conte também com o Fresh Control, que combina maior estabilidade de temperatura, controle de umidade e purificação do ar para manter os alimentos conservados em qualquer lugar da geladeira. E ela conta também com o Dispenser de Água e Gelo para ter água fresca e gelo picado ou em cubos sempre que quiser. Você também pode deslizar a prateleira presente no freezer e acessar os produtos do fundo facilmente, além de conseguir armazenar potes altos ou com tampa. Caracteristicas: Modelo: BRO90AK Tipo: Side by Side Capacidade:543 Litros Capacidade do refrigerador: 327 litros Capacidade do freezer: 216 litros Frost free: Sim Potência: 490 Watts Porta reversível: Não Painel: Com comando touch Controle de temperatura: Sim Iluminação interna: Sim Iluminação: led Potência da lâmpada:7.82 Watts Prateleiras: 11 Prateleira no refrigerador: Sim Prateleiras no Freezer: Sim Dispenser de água e gelo: Sim Compartimento para gelo: Sim Ice Maker: Sim Compartimento extra-frio: Sim Compartimento de congelamento rápido: Sim Separador de garrafas: Sim Porta latas: Não Porta ovos: Não Desodorizador: Não Portas: 4 Alarme na porta: Sim Trava de segurança no painel: Sim Classificação Energética: a Consumo de energia:58 kW/h Nível de ruído: 41 dB Frequência:60 Hz Função trava painel: Sim Turbo Freezer: Sim Dimensões: Altura: 187,20 cm Largura:90,50 cm Profundidade: 72,40 cm Peso: 159,00 kg Garantia do fornecedor: 12 meses Acessórios: O kit de instalação, filtro de água e manual acompanham o produto.",7891129519749,"R$ 21.279,00",Geladeira Side by Side Brastemp 4 Portas Frost Free Inverse 543L BRO90AK,https://www.americanas.com.br/produto/3735441894,geladeira side by side brastemp 4 portas frost free inverse 543l bro90ak,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-duplex,"A linha Pro Series Electrolux segue as tendências mais sofisticadas de design, com estilo e muito charme. é uma coleção de produtos que investe em elegância em cada detalhe, como por exemplo, no uso de Vidro Preto com detalhes na cor Light Gold e painéis touch em led branco, que atraem a atenção pelo bom gosto de sua concepção. Com a tecnologia Inverter, o Refrigerador Frost Free consome menos energia e possui menor variação de temperatura, assim possuir melhor preservação dos alimentos.Modelo: DM86V pn: 02607FBA135 Cor: Preto Marca: ElectroluxCapacidade Total: 538 litros Capacidade Líquida do Congelador: 196 litros Capacidade Liquida do Refrigerador: 342 litros Sistema: Inverter Frost FreeFast Adapt: Flexibilidade para adaptar o espaço aos diferentes tamanhos de embalagens e itens e se adaptar ao seu estilo. Dispenser de água e gelo: Água fresca e gelo, em cubos ou triturados, filtrados e prontos para o consumo, a qualquer hora, direto da porta da geladeira. Painel com diversas funções (Turbo, Festa, Férias, Drink Express): Controle e adaptação para as diversas ocasiões de uso. O refrigerador se adaptando as suas necessidades. Portas assimétricas: Maior flexibilidade e organização para acessar o refrigerador.Acabamento da Porta: Vidro Cor da Porta: Preto Cor do Gabinete: Preto Quantidade de Portas: 3Água na Porta: Sim Alarme de Porta Aberta: Sim Cesta porta Ovos: Sim Compartimento Congelamento Rápido: SimDegelo Automático: Sim Desodorizador: Sim Gelo na Porta: Sim Iluminação Interna: SimMáquina de Gelo Automática: Sim Material das Prateleiras: Vidro temperado Painel Digital: Sim Pés Niveladores: SimPrateleiras na Porta: Sim Prateleiras Reguláveis: Sim Prateleiras Removíveis: Sim Recipiente para Guardar Gelo: SimRodízios: Sim Separador de Garrafas: Sim Temperatura do congelador: -18 graus Celsius Tipo: French doorSelo Procel: Sim Classificação Energética: a Consumo: 69 Kw Frequência: 60 Hz Voltagem: 110VConteúdo da embalagem: 01 x Geladeira 01 x Manual de InstruçõesGarantia: 12 meses com o fabricante Fabricante: Electrolux Dimensões do produto (a x L x p): 190 x 83,5 x 79,5 cm Peso: 133,4 Kg Telefone de atendimento: 0800-728-8778 / (11) 2388-8213",7896584099072,"R$ 15.751,12",Geladeira Multidoor Inverter Frost Free Electrolux 538 Litros DM86V Pro Series Preta 110V,https://www.americanas.com.br/produto/4972161116,geladeira multidoor inverter frost free electrolux 538 litros dm86v pro series preta 110v,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-duplex,"geladeira instaview craft ice uvano side by side 598L, inverter, thinq, aço escovado 220V GCX257CSH1 ***InstaView Door-in-Door A exclusiva tecnologia InstaView Door-in-Door da LG proporciona facilidade de acesso aos principais itens da sua geladeira. Bastam 2 toques na tela para ver seus itens e escolhê-los antes de abrir a porta. Com isso, você minimiza a perda de ar frio e evita a troca de calor com o ambiente. O resultado é uma menor sobrecarga do compressor e, consequentemente, maior economia de energia. ***Craft Ice Bem-vindo à nova tendência em drinks. Com a exclusiva máquina Craft Ice você faz gelos em esfera, que demoram a derreter e entregam mais sabor aos seus drinks. Toda sofisticação de um bar no conforto da sua casa. ***Compressor Linear Inverter Diferentemente dos compressores tradicionais, que ligam e desligam durante o funcionamento, o compressor Linear Inverter trabalha com velocidade variável. Isso garante melhor consumo de energia e maior conservação dos seus alimentos. O resultado é um produto muito mais silencioso e que economiza na conta de luz. ***Bocal UVnano A exclusiva tecnologia UVnano usa uma lâmpada ultravioleta no bocal da saída de água, que elimina até 99,99% das impurezas. Com isso, você tem garantia de água pura e saúde para sua família ***Filtro HygieneFresh Ninguém gosta de abrir a porta da geladeira e sentir um odor desagradável. Pensando nisso, a LG desenvolveu o HygieneFresh +, um filtro de 5 camadas com LEDs uv que elimina 99,999% das bactérias, mantendo seus alimentos frescos e seu refrigerador livre de odores. ***Resfriamento Rápido (DoorCooling) Chega de se preocupar com o abre e fecha da geladeira. Através de duas saídas de ar estrategicamente posicionadas próximas à parte superior das portas, o resfriamento da geladeira e do freezer acontece até 35% mais rápido, mantendo seus alimentos mais conservados, inclusive aqueles localizados na porta. ***Temperatura Estável (LinearCooling) O principal fator para a conservação dos seus alimentos é a estabilidade de temperatura. Enquanto geladeiras convencionais trabalham com uma variação de até 4ºC ( + ou – 2ºC) na temperatura interna, as geladeiras LG reduzem essa variação para apenas + ou - 0,5ºC. Com isso, seus alimentos tem uma melhor conservação e mantém o sabor por muito mais tempo. ***Conectividade Wi-Fi com LG ThinQ Seu dia a dia vai ficar muito mais fácil com o app LG ThinQ. Agora, de qualquer lugar, você monitora o funcionamento da sua geladeira. Altere a temperatura do refrigerador, do freezer e até receba alertas caso esqueça a porta aberta ***Água e Gelo na porta Complemente a experiência premium do seu produto com a conveniência de água filtrada e gelo (em cubos ou triturado) direto na porta",8806091501875,"R$ 15.899,90","Geladeira Instaview Craft Ice Uvano Side By Side 598l, Inverter, Thinq, Aço Escovado 220v Gcx257csh1",https://www.americanas.com.br/produto/5167835093,"geladeira instaview craft ice uvano side by side 598l, inverter, thinq, aço escovado 220v gcx257csh1",americanas
/categoria/eletrodomesticos/geladeira-refrigerador/side-by-side,"Modelo: RS65R5691 Armazene mais alimentos com seu interior espaçoso de 602 litros. A exclusiva tecnologia SpaceMax exclusiva permite que as paredes sejam mais finas com quantidade mínima de isolamento de alta eficiência. Assim, ela oferece mais espaço sem aumentar as dimensões externas ou comprometer a eficiência energética.",8806090389740,"R$ 18.499,00",Geladeira Samsung RS65R Frost Free Side by Side 3portas com Dispenser de Água e Gelo 601L Inox,https://www.americanas.com.br/produto/4342019975,geladeira samsung rs65r frost free side by side 3portas com dispenser de água e gelo 601l inox,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/french-door,Modelo: RF23R6201 Garanta que seus alimentos estejam frescos por mais tempo*. O Twin Cooling Plus otimiza a temperatura e a umidade da geladeira e do freezer com sistemas de resfriamento independentes. Ele preserva os alimentos em ótimas condições e protege seu sabor e aroma originais evitando a mistura de odores.Aproveite um design elegante e simples. As portas Sleek Edge têm estilo sofisticado e atemporal valorizado por um dispenser de água e gelo minimalista e puxadores New Edge. Esses elementos combinam de forma natural e harmoniosa com qualquer cozinha.Dê à sua cozinha um visual aconchegante excepcional e mantenha o exterior limpo. O acabamento de aço inoxidável cria uma atmosfera harmoniosa enquanto a textura fosca oferece um visual luxuoso. Seu revestimento resistente a impressões digitais evita manchas.,8801643928353,"R$ 17.999,00",Geladeira Samsung RF23R Inverter Frost Free Smart 3 Portas Twin Cooling Plus 536L Inox,https://www.americanas.com.br/produto/3163651297,geladeira samsung rf23r inverter frost free smart 3 portas twin cooling plus 536l inox,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-duplex,"Produto importado dos Estados Unidos, o prazo de entrega é de até 25 dias úteis.As importações são oficiais através do Regime de Tributação Simplificada da Receita Federal. O preço inclui imposto de Importação, icms, Frete Nacional, Frete Internacional, Serviços Alfandegários e a intermediação de cambio para pagamento no exterior.O preço já inclui todos os custos, não será cobrado nenhum valor extra para o recebimento do produto. atenção: Todos os produtos elétricos são 110V e necessitam de adaptador para a tomada no formato brasileiro.com capacidade de 96 latas de 375ml Capacidade de resfriamento, monitoramento e controle sem fio através de dispositivos habilitados para Bluetooth compatíveis, tampa de liberação rápida com fornecimento de vidro/garrafa antiderrapante Entrada de alimentação dc dupla em extremidades opostas para instalações personalizadas, entrada de alimentação ac frontal para conexão rápida em casa ou local com alimentação Revestimento externo de aço resistente e durável, alças de transporte embutidas com pontos de amarração integrados. Sistema de cesto interno versátil e removível com capacidade para itens/garrafas altos Conveniente tomada USB de cinco volts, 3.000 mA para carregar telefones e dispositivos semelhantes Compressor de velocidade variável altamente eficiente, luz interior LED de baixo consumo de energia.",9332018071279,"R$ 30.540,00","Arb 10802602 Mini Geladeira/Cooler Automotiva Elétrico Portátil 63L, 110V, Preto.",https://www.americanas.com.br/produto/2963207573,"arb 10802602 mini geladeira/cooler automotiva elétrico portátil 63l, 110v, preto.",americanas
/categoria/eletrodomesticos/geladeira-refrigerador/frigobar,"Modelo: RS58T5561B1 Título: Geladeira Samsung Family Hub Side by Side 585L com Soundbar Preto brand: Samsung model: Geladeira Garantia: 12 Capacidade Total (l): 585 l Capacidade do Freezer (l): 193 l Capacidade do Refrigerador (l): 392 l Compressor: Sim Tecnologia de Refrigeração: All-Around Cooling Prateleiras no Refrigerador: 4 Gavetas no Refrigerador: 2 Power Cool (Resfriamento Rápido): Sim Iluminação Interna: Sim Gavetas no Freezer: 2 Power Freeze (Congelamento Rápido): Sim Alarme de Porta Aberta: Sim Filtro (Refil): Sim Wi-Fi: Sim Garantia no Compressor: 10 anos Tela: Externo, Family Hub lcd Dispenser de Água e Gelo: Sim Classificação inmetro (ence): a + + + Consumo Energético (kWh/Mês): 48 kWh/mês Profundidade s/ Porta (mm): 61 Peso Líquido (kg): 116 Dimensões Produto c/ Embalagem (AxLxP): 91.2 x 178 x 72.6 Condition: Novo Manufacturer: samsung eletrônica da amazônia ltdaModelo: VR05R5050WK Título: POWERbot-E VR5000RM Potente e Inteligente Aspirador Robô 2 em 1 Samsung: Aspira e passa pano com conectividade por Wi-Fi- Bivolt brand: Samsung model: Aspirador de Pó store stock cross docking: 1 Garantia: 12 Largura do aspirador: 85 mm Tipo de bateria: Li-íon Dimensões (AxLxP, mm): 340x85x340 mm Dimensões da Embalagem (AxLxP, mm): 465x153x395 mm Peso (g): 3 kg Peso da embalagem (g): 5.7 kg",1000043603519,"R$ 25.999,00",Kit Geladeira Family Hub Side by Side RS58 110V E Aspirador Aspira e Passa Pano WiFi,https://www.americanas.com.br/produto/4978411083,kit geladeira family hub side by side rs58 110v e aspirador aspira e passa pano wifi,americanas
/categoria/eletrodomesticos/geladeira-refrigerador/frigobar,"Modelo: RS58T5561B1 Título: Geladeira Samsung Family Hub Side by Side 585L com Soundbar Preto brand: Samsung model: Geladeira Garantia: 12 Capacidade Total (l): 585 l Capacidade do Freezer (l): 193 l Capacidade do Refrigerador (l): 392 l Compressor: Sim Tecnologia de Refrigeração: All-Around Cooling Prateleiras no Refrigerador: 4 Gavetas no Refrigerador: 2 Power Cool (Resfriamento Rápido): Sim Iluminação Interna: Sim Gavetas no Freezer: 2 Power Freeze (Congelamento Rápido): Sim Alarme de Porta Aberta: Sim Filtro (Refil): Sim Wi-Fi: Sim Garantia no Compressor: 10 anos Tela: Externo, Family Hub lcd Dispenser de Água e Gelo: Sim Classificação inmetro (ence): a + + + Consumo Energético (kWh/Mês): 48 kWh/mês Profundidade s/ Porta (mm): 61 Peso Líquido (kg): 116 Dimensões Produto c/ Embalagem (AxLxP): 91.2 x 178 x 72.6 Condition: Novo Manufacturer: samsung eletrônica da amazônia ltda Modelo: VR20T6001MW Título: Jetbot Mop VR6000TM Robô Passa Pano Inteligente Samsung com Sistema de Navegação (Bivolt) brand: Samsung model: Aspirador de Pó store stock cross docking: 1 Garantia: 12 Largura do aspirador: 165 Cor do aparelho: Branco Tempo de funcionamento (máximo): 100 minutos Tipo de bateria: Li-íon Acessórios: Escova de Silício Dimensões (AxLxP, mm): 327X165X136 mm Dimensões da Embalagem (AxLxP, mm): 396X236X230 mm Peso (g): 1,6 kg Peso da embalagem (g): 2,9 kg",1000043603441,"R$ 25.999,00",Kit Geladeira Family Hub Side by Side RS58 220V E Aspirador Robô Passa Pano Bivolt,https://www.americanas.com.br/produto/4978396071,kit geladeira family hub side by side rs58 220v e aspirador robô passa pano bivolt,americanas
