categoria,descricao,ean,preco,titulo,url,titulo_cb,loja
fogoes,"Modelo: BrasilReferência de modelo: ANFGBDPRVMMXTipo de fogão: A Lenha, biomassa, briquetteCor: PretoAcabamento: Pintura para alta temperatura e aço inoxChapa: Vitrocerâmica; 75 x 45 com espessura de 6 mmEstrutura Construtiva: Aço carbono com aço inoxidávelForno: Aço inoxidável com termômetro analógico. Capacidade do forno: 65 litrosQueimador (fornalha): Com tijolos refratáriosSaída da chaminé: Acima do fornoDiâmetro da chaminé: 13 cmDiferenciais do produto: Depósito para lenha; gaveta para cinzas com pintura para alta temperatura; puxadores cromados; regulagem de saída de ar Pés: CromadosPeso: 140 kgComprimento: 75 cmLargura: 146 cmAltura: 118,5 cmDimensão da chapa: Largura: 45 cm; Profundidade: 75 cmDimensão do forno: Largura: 32 cm; Altura: 32 cm; Profundidade: 62cmDimensão do queimador: Largura: 35 cm; Altura: 18 cm; Profundidade: 68cmATENÇÃO: A prime auto não se responsabiliza pela montagem e instalação; Produto não acompanha canos para chaminé. Garantia:1 ano, contra defeitos de fabricação",700083260338,"R$ 11.999,00",Fogão Brasil Chapa Vitrocerâmica a Lenha - Preto com Inox Saída Direita - Antonow - 101VLD,https://www.americanas.com.br/produto/4776542229,fogão brasil chapa vitrocerâmica a lenha - preto com inox saída direita - antonow - 101vld,americanas
fogoes,"Fogao Industrial fgi 48 cd (16110), Marca: g. Paniz, Modelo: fgi 48, Garantia: 06 Meses",7898654582781,"R$ 10.540,25",Fogao indl fgi 4 8 c d (16110),https://www.americanas.com.br/produto/2887765863,fogao indl fgi 4 8 c d (16110),americanas
fogoes,"Fogão Range Top Gourmet Wgr-6 Wictory Fogão Range Top Gourmet WGR-6 Wictory - Marca: Wictory - Mesa e painel totalmente em aço inoxidável; - Trempes em ferro fundido esmaltadas. - Botões texturizados na cor preta com marcações de intensidade de chama. - Modelo com 6 queimadores de alta Performance, sendo: 2 queimadores dual-chama / 2 queimadores semi-rápido / 2 queimadores rápidos. - Método de instalação: embutido; - Dimensões externas do produto (AxLxP): 23x90x64cm - Dimensões externas da embalagem (AxLxP): 47x104x85cm - Peso Líquido: 31kg - Peso Embalado: 54kg - Garantia de 12 meses",7898609121133,"R$ 7.943,76",Fogão Range Top Gourmet Wgr-6 Wictory,https://www.americanas.com.br/produto/2643087314,fogão range top gourmet wgr-6 wictory,americanas
fogoes,"Características Tipo: Fogão de Piso Acendimento: Super-Automático Queimadores: 1 Tripla chama, 2 Grandes e 2 Médios Trempe dos Queimadores: Dupla em Ferro fundido Esmaltada Mesa Queimadores: Aço Inox 304 Escovado Botões: Removíveis Válvula de Segurança: Sim Luz no Forno: Sim Prateleiras do Forno: Duas Auto Deslizantes Revestimento do Forno: Esmalte Easy Clean Temperatura: 5 posições de 180°C Até 290°C Função Grill: Sim Timer Grill: Sim Timer Gás: Não Espeto Giratório: 2 Espetos Removíveis Bandeja Coletora de Resíduos: Sim Porta Removível: Sim Porta do forno: Aço Inox 304 Escovado + Visor em vidro Vidro Duplo na Porta: Sim Puxador da Porta: Aço cromado Estufa: Móvel Puxador da Estufa: Aço cromado Entrada de Gás: Uma Entrada(Lado Esquerdo Visto de Frente) Cores das Laterais: Aço Inox 304 Escovado Marca: Venax Especificações Técnicas Alimentação: Gás glp (a conversão para Gás Natural não é coberta pela garantia) Tensão: 127V ou 220V (não é bivolt) Frequência: 60Hz Classificação Energética: ""A"" Etiquetas: ence e conpet Garantia: 1 Ano Potência do Grill:1250W Potência do Queimador do Forno: 3,30kW Potência Queimadores Mesa: 3,0 kW(tripla chama); 1,80 kW(Queim. Grande); 1,35 kW(Queim. Médio) Dimensões Internas do Forno(LxPxA): 648x470x290(mm) Volume do Forno: 88,3L",7899552147355,"R$ 8.150,14",Fogao A gas temis 5 Q inox gas glp,https://www.americanas.com.br/produto/4954876661,fogao a gas temis 5 q inox gas glp,americanas
fogoes,"Fogão de Piso 5 Bocas 76DXW Electrolux Características: Marca: Electrolux Condição do Produto: Novo Ambiente: Cozinha Tipo de Fogão: Fogão de Piso Tipo de Acendimento: Automático Tipo de Gás: GLP Consumo Aproximado de Energia: 0,01 kw/h até 1 kw/h Eficiência Energética: Classe A Modelo: 76DXW Quantidade de Queimadores: 5 Quantidade de Bocas: 5 Potência dos Queimadores Médios: 2000 Potência dos Queimadores Grandes: 2700 Capacidade em Litros: 94.5 Itens Inclusos: 1 Fogão 1 Manual de Instruções Dimensões: Altura: 97 cm Largura: 76.2 cm Profundidade: 68 cm Peso: 63.500 kg Garantia do Fornecedor: 12 Meses",7909569000533,"R$ 6.935,00",Fogão de Piso 5 Bocas 76DXW Electrolux,https://www.americanas.com.br/produto/1335477302,fogão de piso 5 bocas 76dxw electrolux,americanas
fogoes,"Fogão Range Top Gourmet Wgr-4 Wictory Fogão Range Top Gourmet WGR-4 Wictory - Marca: Wictory - Mesa e painel totalmente em aço inoxidável; - Trempes em ferro fundido esmaltadas. - Botões texturizados na cor preta com marcações de intensidade de chama. - Modelo com 4 queimadores de alta Performance, sendo: 1 queimadores dual-chama / 1 queimadores semi-rápido / 2 queimadores rápidos. - Método de instalação: embutido; - Dimensões externas do produto (AxLxP): 23x62x64cm - Dimensões externas da embalagem (AxLxP): 47x76x85cm - Peso Líquido: 23kg - Peso Embalado: 44kg - Garantia de 12 meses",7898609121126,"R$ 6.079,92",Fogão Range Top Gourmet Wgr-4 Wictory,https://www.americanas.com.br/produto/5067204534,fogão range top gourmet wgr-4 wictory,americanas
fogoes,"Fogão De Piso Electrolux 76dxv à Gás 5 Queimadores 2 Fornos Prata 110v 33052vba188Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 127V 33052VBA188 O design moderno do fogão com mesa de vidro temperado vai deixar a sua cozinha mais elegante e sofisticada. As grades individuais facilitam a limpeza e deixam o fogão ainda mais bonito. O design full glass espelhado da porta frontal adiciona ainda mais modernidade ao eletrodoméstico. O painel blue touch, com seis funções pré-programadas facilitam o dia a dia e o manuseio desse fogão Elextrolux. Manter aquecido é uma funcionalidade que mantém os alimentos na temperatura ideal até o momento de servir, já o grill doura carnes ou aves e gratina massas deixando suas refeições mais saborosas. O queimador tripla chama acelera o processo de cocção dos alimentos, tornando o preparo mais rápido e eficiente. O acendimento super automático é rápido e seguro, basta você girar o botão, sem a necessidade de apertar qualquer botão de ignição. O vidro triplo da porta isola adequadamente o calor do fogão de piso, melhorando inclusive o tempo de preparo das refeições e evitando acidentes com animais e crianças. A grande opção do mercado só poderia ser Electrolux! fogao de piso com mesa de vidro e timer digital electrolux 76dxv frente Duplo forno elétrico e a gás Permite assar duas receitas ao mesmo tempo. Forno superior elétrico (assa e doura no tempo determinado pelo timer) e forno inferior a gás. Design Full Glass espelhado Frontal total espelhada, mais moderna e sofisticada para a cozinha. porta frontal totalmente espelhada, garantindo mais modernidade e sofisticação para sua cozinha. Você consegue ver o interior do forno com facilidade para acompanhar o andamento das receitas. Queimadores (1) Rápido, (3) Semirrápidos e (1) Tripla-chama Potência garantida, aproveite a cocção mais rápida com nossos queimadores potentes. Grill elétrico Doure ou gratine os alimentos e tenha refeições mais saborosas. Mesa de vidro com painel blue touch Design moderno com acabamento superior. Facilidade de limpeza, superfícies lisas e poucos recortes. / Friendly usability, o painel permite uma interação maior do consumidor com o produto. Além disso, o produto conta com 6 funções pré-programadas que facilitam o seu dia-a-dia. Timer digital Programe o tempo de cocção desejado e ao término do preparo um sinal sonoro para o forno a gás e corta o sistema de alimentação do forno elétrico. Especificações Técnicas Tipo: Piso Acendimento: Gás Dimensões (l x A x p) cm: 76,2 X 97,0 x 68,0 Cor: Prata Marca: Electrolux Peso (kg): 65,0 Classificação Energética: a Garantia de 1 ano: Sim Marca: Electrolux Ref.: 33052VBA188",7909569000502,"R$ 5.719,12",Fogão Electrolux à Gás 5 Queimadores 2 Fornos Prata 110v,https://www.americanas.com.br/produto/2448720524,fogão electrolux à gás 5 queimadores 2 fornos prata 110v,americanas
fogoes,"O Fogão de Piso 5 Bocas com Duplo Forno e Timer Digital Electrolux 76DXR foi criado para atender aqueles que priorizam eficiência e a qualidade na cozinha. Com duplo forno a gás, o fogão Electrolux garante mais agilidade no preparo dos alimentos, pois permite a cocção de mais de uma receita ao mesmo tempo, sem que haja qualquer tipo de interferência entre elas. Dois fornos totalmente independentes garantem mais autonomia para o seu dia a dia.O design full glass espelhado da porta frontal adiciona um toque moderno e sofisticado para a decoração da sua cozinha, além de permitir que você acompanhe em tempo real o andamento das suas receitas.Para preparar refeições maiores que contemplem toda a família, o fogão 76DXR possui um queimador tripla chama. Localizado no centro da mesa, ele é ideal para panelas maiores e vai proporcionar maior rapidez no preparo dos alimentos.O timer digital do fogão duplo forno permite que você programe o tempo de cocção desejado e ao término do preparo, ele emitirá um aviso sonoro para avisar que a receita está finalizada. Além disso, o grill deixa seus alimentos assados, dourados ou gratinados de acordo com a necessidade de cada receita.Projetado para facilitar a limpeza diária na cozinha, o fogão 5 bocas possui queimadores selados que impedem a entrada de resíduos em seu interior. A tampa de vidro, os botões e o vidro interno da porta do forno são removíveis e ajudam a manter o fogão 76DXR sempre impecável e pronto para usar.",7909569001493,"R$ 3.519,12",Fogão de Piso 5 Bocas Duplo Forno e Timer Digital Electrolux (76DXR),https://www.americanas.com.br/produto/1556603317,fogão de piso 5 bocas duplo forno e timer digital electrolux (76dxr),americanas
fogoes,"Fogão de Piso 5 Bocas Electrolux 76DXW. Características: Capacidade em Litros: 94.5L Tipo de Acendimento: Automático Tipo de Gás: glp Modelo: 76DXW Consumo Aproximado de Energia: 0,01 kw/h até 1 kw/h Eficiência Energética: Classe a Potência dos Queimadores Grandes: 2700 Potência dos Queimadores Médios: 2000 Dimensões: Altura: 97 cm Largura: 76,2 cm Profundidade: 68 cm Peso: 63,5 Kg Observações: Imagem meramente ilustrativa Todas as informações divulgadas são de responsabilidade do fabricante/fornecedor As cores podem sofrer variações de acordo com o tipo, configuração e resolução do seu monitor Verifique a voltagem do produto antes de colocar no carrinho Verifique as dimensões do produto. Certifique-se de que ele passará por elevadores, portas, escadas e/ou corredores, evitando imprevistos com a entrega do produto Garantia do fornecedor de 12 meses.",7909569000526,"R$ 6.119,00",Fogão de Piso 5 Bocas Electrolux 76DXW,https://www.americanas.com.br/produto/4309314139,fogão de piso 5 bocas electrolux 76dxw,americanas
fogoes,"Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188 O design moderno do fogão com mesa de vidro temperado vai deixar a sua cozinha mais elegante e sofisticada. As grades individuais facilitam a limpeza e deixam o fogão ainda mais bonito. O design full glass espelhado da porta frontal adiciona ainda mais modernidade ao eletrodoméstico.O painel blue touch, com seis funções pré-programadas facilitam o dia a dia e o manuseio desse Fogão Elextrolux. Manter aquecido é uma funcionalidade que mantém os alimentos na temperatura ideal até o momento de servir, já o grill doura carnes ou aves e gratina massas deixando suas refeições mais saborosas.O queimador tripla chama acelera o processo de cocção dos alimentos, tornando o preparo mais rápido e eficiente. O acendimento super automático é rápido e seguro, basta você girar o botão, sem a necessidade de apertar qualquer botão de ignição.O vidro triplo da porta isola adequadamente o calor do fogão de piso, melhorando inclusive o tempo de preparo das refeições e evitando acidentes com animais e crianças. A grande opção do mercado só poderia ser Electrolux!Duplo forno elétrico e a gás Permite assar duas receitas ao mesmo tempo. Forno superior elétrico (assa e doura no tempo determinado pelo timer) e forno inferior a gás.Design Full Glass espelhado Frontal total espelhada, mais moderna e sofisticada para a cozinha. porta frontal totalmente espelhada, garantindo mais modernidade e sofisticação para sua cozinha. Você consegue ver o interior do forno com facilidade para acompanhar o andamento das receitas.Queimadores (1) Rápido, (3) Semirrápidos e (1) Tripla-chama Potência garantida, aproveite a cocção mais rápida com nossos queimadores potentes.Grill elétrico Doure ou gratine os alimentos e tenha refeições mais saborosas.Mesa de vidro com painel blue touch Design moderno com acabamento superior. Facilidade de limpeza, superfícies lisas e poucos recortes. / Friendly usability, o painel permite uma interação maior do consumidor com o produto. Além disso, o produto conta com 6 funções pré-programadas que facilitam o seu dia-a-dia.Timer digital Programe o tempo de cocção desejado e ao término do preparo um sinal sonoro para o forno a gás e corta o sistema de alimentação do forno elétrico.",7909569000502,"R$ 6.499,00",Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188,https://www.americanas.com.br/produto/2221616941,fogão de piso electrolux 76dxv à gás 5 queimadores 2 fornos prata 110v 33052vba188,americanas
