categoria,descricao,ean,preco,titulo,url
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões Cooktop","Prático e fácil, basta ligar e colocar a panela sobre a placa de aquecimento. Não necessita de gás, apenas de energia. Possui botões de controle independentes com 5 níveis de temperatura para regulagem a sua escolha. A placa é feita em ferro fundido, maior durabilidade e melhor aquecimento,possui luz piloto que indica quando o produto está ligado .Acabamento arredondado e com pés, mais praticidade e segurança. Especificações Técnicas Placas: 2 elétricas de aquecimento Tampo: Aço Inox Voltagem: 127V ou 220V Potência das placas: 1000W cada Material da placa: Ferro fundido Diâmetro da placa: 2 x 155mm Dimensões: A:5,5 x L: 23,5 x C: 46 Acendimento: Elétrico Garantia: 1 Ano Produto Certificado pelo INMETRO",,"R$253,90",FOGAO ELETRICO PORTATIL INOX SAFANELLI 2 PLACAS 220V - IMP,https://www.amazon.com.br/FOGAO-ELETRICO-PORTATIL-SAFANELLI-PLACAS/dp/B07QSB18T2
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","O Fogão a Gás de Piso 4 bocas Consul CFO4NAB vai tornar seu dia a dia muito mais prático. Ele foi pensado para facilitar a sua vida, desde o preparo das refeições até a hora da limpeza. O design frontal é em peça única: possui menos recortes para deixar a higienização mais simples e descomplicada. O forno do fogão Consul possui a tecnologia Cleartec: um revestimento totalmente liso e esmaltado que evita a absorção de gordura. Além disso, o vidro interno do forno é vedado, o que impede o acúmulo de sujeira, ajuda a não aumentar a temperatura do produto e dificulta o amarelamento das peças externas. O modelo ainda conta com grades duplas esmaltadas, uma prateleira deslizante ajustável em três alturas e manípulos removíveis. Experimente novas receitas com a praticidade e eficiência que os fogões Consul oferecem!",,"R$1.110,00",Fogão 04 Bocas FS CF04NABUNA - Consul Unica,https://www.amazon.com.br/Fog%C3%A3o-04-Bocas-FS-CF04NABUNA/dp/B07JPZN51P
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","O Fogão 5 Bocas Duplo Forno e Timer Digital Electrolux 76DXR foi criado para atender aqueles que priorizam eficiência e a qualidade na cozinha. Com duplo forno, superior e inferior a gás, o fogão 76DXR Electrolux garante mais agilidade no preparo dos alimentos, pois permite a cocção de mais de uma receita ao mesmo tempo, sem que haja qualquer tipo de interferência entre elas. Dois fornos totalmente independentes garantem mais autonomia para o seu dia a dia. O design full glass espelhado da porta frontal adiciona um toque moderno e sofisticado para a decoração da sua cozinha, além de permitir que você acompanhe em tempo real o andamento das suas receitas. Para preparar refeições maiores que contemplem toda a família, o fogão 76DXR possui um queimador tripla chama. Localizado no centro da mesa, ele é ideal para panelas maiores e vai proporcionar maior rapidez no preparo dos alimentos. O timer digital do fogão duplo forno permite que você programe o tempo de cocção desejado e ao término do preparo, ele emitirá um aviso sonoro para avisar que a receita está finalizada. Além disso, o grill elétrico deixa seus alimentos assados, dourados ou gratinados de acordo com a necessidade de cada receita. Projetado para facilitar a limpeza diária na cozinha, o fogão 5 bocas possui queimadores selados que impedem a entrada de resíduos em seu interior. A tampa de vidro, os botões e o vidro interno da porta do forno são removíveis e ajudam a manter o fogão 76DXR sempre impecável e pronto para usar.",,"R$3.984,00",Fogão de Piso Silver com Duplo Forno e Timer Digital (76DXR) Bivolt,https://www.amazon.com.br/Fog%C3%A3o-Electrolux-76DXR-Bocas-Digital/dp/B0831S7MCR
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","O Fogão Bali é referência em praticidade e eficiência. Possui acendimento manual, tampa de vidro temperado e puxador de aço, que facilita no manuseio, sempre deixando sua segurança em primeiro lugar.",,"R$569,00",Fogão Esmaltec 4 Bocas Bali Branco,https://www.amazon.com.br/Fog%C3%A3o-Esmaltec-Bocas-Bali-Branco/dp/B07SFHPDBL
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","Resistente e muito econômico, o fogão Electrolux 52LPV vai compor o ambiente destinado ao preparo de refeições com muita elegância. A porta full glass com acabamento superior do fogão de piso proporciona melhor visibilidade do interior do forno, garantindo mais comodidade para acompanhar, em tempo real, o andamento e o tempo de preparo de suas receitas. Seu sistema de grades individuais impede que os líquidos derramados se espalhem em sua superfície, auxiliando na manutenção do fogão 4 bocas e mantendo-o sempre limpo. A mesa de vidro temperado garante modernidade e inovação para sua cozinha, sendo mais fácil de limpar por ser lisa e possuir poucos recortes. O vidro interno do forno removível facilita a limpeza, deixando o fogão com mesa de vidro sempre impecável. Além disso, você conta com máxima potência e robustez com os dois queimadores rápidos que aceleram o preparo das receitas, garantindo mais agilidade ao seu dia a dia. As duas prateleiras, uma manual e uma deslizante, facilitam a retirada dos alimentos que estavam no interior do forno com praticidade e segurança. Para facilitar a limpeza e garantir máxima robustez, os trempes individuais de aço esmaltado fosco proporcionam um toque arrojado e moderno ao fogão, projetado para suprir as necessidades e exigências de quem cozinha.",,,Fogão 4 Bocas Electrolux Preto Automático com Mesa de Vidro e Porta Full Glass (52LPV) Bivolt,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Vidro-Temperado-Electrolux/dp/B07W8YWYPF
Cozinha/Eletroportáteis/Eletroportáteis Especiais/Fornos Elétricos,"Forno Elétrico Multilaser 127V Vermelho, seus pratos suculentos e no ponto certo. O forno elétrico da Multilaser é ideal para assar, tostar, grelhar e esquentar, para seus pratos ficarem deliciosamente perfeitos. Ela também conta com um design moderno e acabamento inox premium para deixar sua cozinha ainda mais bonita. Desenvolvida com fundo curvo para formas redondas e pizzas, timer de 120 minutos para você não perder o ponto das suas receitas e controle de temperatura de até 230°C, possui 46L de capacidade para você preparar qualquer receita que você faria em um forno convencional. Além disso tudo, ele possui seletor de Funções assim você pode assar, gratinar e esquentar apenas selecionando a função desejada. É ideal para assados diversos, pães, toras, bolos, cupcakes, doces, pizzas e brotinhos. IMAGENS MERAMENTE ILUSTRATIVAS.",7899838874845,"R$632,63",Forno Elétrico 46L Multilaser 127V 1500W Vermelho - CE129,https://www.amazon.com.br/Forno-El%C3%A9trico-Multilaser-1500W-Vermelho/dp/B07YL7QM6H
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","Deixe a sua cozinha ainda mais aconchegante e equipada. Esse belo fogão é a combinação do moderno com o sofisticado, seus pratos preferidos ficam ainda mais bonitos e apetitosos. Com ele você ganha praticidade, agilidade e qualidade na sua cozinha. Tudo para facilitar o seu dia a dia. Recomendações de Uso/Limpeza: Pano umedecido e detergente neutro Itens Inclusos: - 1 Manual de Instruções Produtos de decoração não inclusos. Imagens meramente ilustrativas. As cores dos objetos podem sofrer alterações devido a luminosidade, configurações do monitor e até mesmo a percepção do usuário.",,"R$1.168,90",Fogão Esmaltec Ágata Glass 4090 4 Bocas Fogão Esmaltec 4 bocas Autolimpante e Acendimento Automático GLP (Botijão de Gás),https://www.amazon.com.br/Esmaltec-Autolimpante-Acendimento-Autom%C3%A1tico-Botij%C3%A3o/dp/B07VCMDV45
"Eletrodomésticos/Fogões, Fornos e Cooktops/Coifas e Exaustores/Coifas de Parede","A Coifa Retangular da Fogatti, possui acabamento em aço inox escovado e acompanha filtro de alumínio e filtro de carvão ativado. A coifa pode ser instalada de dois modos distintos: como exaustor ou como depurador. Com design diferenciado, e no tamanho certo para seu fogão. O que facilita sua limpeza, iluminação com lâmpadas de led e três velocidades. Traga mais versatilidade para sua cozinha!",7898268765228,"R$1.009,90",COIFA DE PAREDE Fogatti RETANGULAR INOX DUTO SLIM 75CM 127V,https://www.amazon.com.br/Coifa-Parede-Fogatti-Retangular-Inox/dp/B078JYNB9B
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões",,,"R$1.509,00",FOGAO A GAS DE EMBUTIR GAUDI PLATINUM VITREO 4 Q INOX GAS GLP (220),https://www.amazon.com.br/FOGAO-EMBUTIR-GAUDI-PLATINUM-VITREO/dp/B07KRMJ8PC
"Eletrodomésticos/Fogões, Fornos e Cooktops/Fogões com Forno/Fogões","Um dos líderes de mercado nacional de eletrodomésticos, a Esmaltec, empresa do Grupo Edson Queiroz, está há mais de 50 anos no mercado investindo em tecnologia e inovação por um único motivo: a satisfação total dos clientes. Além de produtos domésticos, a empresa oferece uma linha completa de produtos para Refrigeração Comercial: Esmaltec Food and Beverage. Produtos de decoração não inclusos.",,"R$239,00",Fogão de Mesa 4 Bocas Laguna Bivolt 4Q Branco - Esmaltec,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Laguna-Bivolt-Branco/dp/B077JF2GX8
