categoria,descricao,ean,preco,titulo,url
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"O Refrigerador Cycle Defrost DC51 chega com o maior freezer do mercado: 155 litros de capacidade. Outros diferenciais são os compartimentos diferenciados para os alimentos, porta-latas removível, prateleiras com vidro-temperadoVidro Temperado e o sistema multi-flowMulti Flow que conserva melhor os alimentos. O espaço interno pode ser melhor aproveitado, com espaço para garrafas.",,"R$3.399,00",Geladeira/Refrigerador Cycle Defrost Electrolux 475L Branco (DC51) 220V,https://www.amazon.com.br/Refrigerador-Cycle-Defrost-Branco-Electrolux/dp/B076B9CRTX
Eletrodomésticos/Geladeiras e Freezers/Freezers/Freezers Horizontais,"O Freezer Horizontal Digital FlexBeer 100L Midea veio para trazer muito mais versatilidade no seu dia a dia. Compacto por fora e espaçoso por dentro, conta com termostato eletrônico externo, proporcionando variação grau por grau de temperatura para uma seleção mais precisa. Pode ser usado como Refrigerador, Freezer e Conservador, podendo operar entre -30°C e 10°C. Super econômico, o Freezer Horizontal Digital FlexBeer 100L Midea conta com a Função Super-Freeze, que entrega uma redução de temperatura em menos tempo além de possuir um guia rápido para ajudar você a armazenar suas cervejas na temperatura correta. Silencioso, possui 2 pés reguladores para ajuste do nivelamento do aparelho e Gás Refrigerante Ecológico R600a, livre de CFC.",7908198003120,"R$1.259,00","Freezer Horizontal Digital FlexBeer 100L, Midea, 127V, Preto, CBA10P1",https://www.amazon.com.br/Freezer-Horizontal-FlexBeer-Midea-CBA10P1/dp/B09HSRB995
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,FROST FREE | BLACK GLASS | 425L | 2 PORTAS | BOTTOM FREEZER | Painel Easy Touch | INVERTER: 36% de economia | ECONAVI*: +10% de economia | Vitamin Power: Potencializa Vitamina C e D | Climate Control*: Preserva melhor frutas e verduras | Prateleira Retrátil | OBS: *Exclusividade Panasoni,,"R$6.159,00",Geladeira Panasonic Frost Free 480L A+++ Black Glass - NR-BB71GVFB,https://www.amazon.com.br/gp/offer-listing/B08KGT9WHY
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Característica: ,,,"Frigorífico de uso duplo, consumo de energia é pequeno, mantendo o frescor de alimentos, geladeira de carro, para minicirculares em casa (tipo bandeira britânica)",https://www.amazon.com.br/Frigor%C3%ADfico-alimentos-geladeira-minicirculares-brit%C3%A2nica/dp/B097L7D9BX
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Tipo de painel: vidro temperado ,,"R$1.221,42",Ljyutihg Geladeira de carro USB Bx para acampamento ao ar livre refrigerador portátil.,https://www.amazon.com.br/Ljyutihg-Geladeira-acampamento-refrigerador-port%C3%A1til/dp/B08XQ4C21P
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,,,"R$14.506,00",Geladeira Samsung Side By Side Inox 617 Litros 220V RS65R5411M9/BZ,https://www.amazon.com.br/Geladeira-Samsung-Side-Litros-RS65R5411M9/dp/B082QZCTG4
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,"Geladeira de 3,2 pés cúbicos com aparência limpa de aço inoxidável, geladeira e freezer, porta reversível, aparência de aço inoxidável limpa, gaveta de vegetais transparente com prateleira de vidro, termostato ajustável, livre de HCFC, design de economia de espaço nas costas, bandeja de cubo de gelo, prateleiras de arame deslizantes",0058465747633,,"RCA Geladeira RFR834 com tampa dupla para freezer de 3,2 metros e aço inoxidável",https://www.amazon.com.br/RCA-Geladeira-RFR834-freezer-inoxid%C3%A1vel/dp/B0016HNM2Y
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"A Geladeira Brastemp Frost Free Duplex BRM57 500 litros Evox conta com a função Turbo Ice – gelo mais rápido sempre que precisar, com aviso de quando está pronto. Vem também com o Twist Ice Advanced, o Espaço Adapt e o compartimento Turbo Control.",,"R$4.869,00",Geladeira Brastemp Frost Free Duplex 500 litros cor Inox com Turbo Control - BRM57AK 220V,https://www.amazon.com.br/Geladeira-Brastemp-Duplex-litros-Control/dp/B07J9WYSMB
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Geladeiras com Freezer,"Transforme a sua rotina na cozinha em algo mais prático e descomplicado com um eletrodoméstico desenvolvido especialmente para manter suas compras sempre refrigeradas e conservadas. Projetado para facilitar o seu dia a dia, esse refrigerador Electrolux surpreende graças ao seu amplo espaço interno, com destaque para o freezer que consegue comportar 128 litros, facilitando o armazenamento de carnes, sobremesas, entre outros alimentos que necessitam de refrigeração constante. A organização fica por conta das prateleiras reversíveis e retráteis que podem ser ajustadas para aproveitar ao máximo o espaço disponível. Ative a função Férias, Festa ou Compras e deixe o refrigerador trabalhar para você. Prateleiras reversíveis e retráteis no freezer e no refrigerador Adapte o espaço interno para guardar os mais diversos tipo de embalagens e alimentos. Turbo freezer e drink express Compartimento de congelamento rápido para alimentos e bebidas. Icemax Compartimento para produção de gelo com exclusivo sistema sem respingos, sem mistura de odores e fácil de remover. Funções compras, férias, festa Escolhem automaticamente a temperatura ideal para cada situação. Iluminação em Led Melhor visualização do interior da geladeira e baixo consumo de energia elétrica. Fast Adapt Prateleiras deslizantes que possibilitam variadas configurações internas da geladeira e freezer, otimiza o espaço de forma rápida e simples, organizando itens de diferentes tamanhos e formatos. Gavetão de frutas e verduras Preserva frutas e verduras por mais tempo que gavetas comuns. *Teste aferido em folhas verdes. Maior freezer do mercado categoria Frost Free 500 litros São 128 litros para conservar alimentos de diferentes tamanhos. AMBIENTE: Cozinha CAPACIDADE: 431L TECNOLOGIA: Frost Free TIPO: Duas portas ALARME DE PORTA ABERTA: Sim CESTA PORTA OVOS: Sim COMPARTIMENTO CONGELAMENTO RÁPIDO: Sim COMPARTIMENTO EX",,"R$3.478,54",Geladeira/Refrigerador Top Freezer 431L Branco (TF55) 220V,https://www.amazon.com.br/Refrigerador-Frost-litros-Electrolux-volts/dp/B07SKX2VP6
Eletrodomésticos/Geladeiras e Freezers/Geladeiras/Frigobares,Geladeira de carro ,,"R$1.036,92","JUNKUN Caixa de resfriamento portátil com aquecimento eletrônico para máquina de café de 6 litros com geladeira, cosméticos, geladeira, carro doméstico",https://www.amazon.com.br/JUNKUN-resfriamento-aquecimento-eletr%C3%B4nico-cosm%C3%A9ticos/dp/B096DSDKDW
