categoria,descricao,ean,preco,titulo,url
Computadores e Informática/Notebooks,Recurso: ,7427080869175,"R$49,99","Limitador de janela, janela de batente Limitador de janela de batente Limitador de batente deslizante para janela para janela interna para janela externa",https://www.amazon.com.br/Limitador-batente-deslizante-interna-externa/dp/B08BYRSCYR
Computadores e Informática/Notebooks,"Ele é projetado para controlar e ajustar a velocidade de um motor de corrente contínua. A saída do controlador de velocidade é DC, o que não danifica o regulador. A tensão aplicada é 9-60V.",,"R$141,99","Regulador PWM, Baugger Regulador 3600W do controlador PWM da velocidade do motor da CC de 9-50V 60A com caso duro",https://www.amazon.com.br/Regulador-Baugger-3600W-controlador-velocidade/dp/B0963F135T
Computadores e Informática/Notebooks,Recurso: ,7016230520204,"R$441,67","Volante, volante de corrida Volante colorido com raios ABS 14 pol. 6 furos Acessórios para carros Deep Dish Universal para veículos Ost e carros de corrida",https://www.amazon.com.br/Volante-colorido-Acess%C3%B3rios-Universal-ve%C3%ADculos/dp/B09J41YF5K
Computadores e Informática/Notebooks,"Características: - Processador: Intel Core i7-11800H (2.3 GHz até 4.6 GHz com Tecnologia Intel Turbo Boost, 24 MB Intel Smart Cache, 8 cores) - Memória: 32 GB DDR4 - Disco Rígido: 256 GB SSD - Placa de vídeo: Nvidia GeForce RTX 3070 com 8GB GDDR6 dedicada - Tela: 15,6"" Full HD IPS (1920 x 1080) 165Hz - Teclado: Padrão Internacional retroiluminado (RGB 4-Zone AlienFX) com teclado numérico integrado - Mouse: Touchpad com suporte a gestos multitoque - Conectividade Wi-Fi: Dell Wireless Killer Wi-Fi 6 AX1650 - Conectividade Bluetooth: 5.1 - Webcam: Câmera Alienware HD (resolução 1280x720) com microfone digital integrado - Som: Nahimic 3D Audio para Gamers - Dimensões e peso: Largura 35,62 cm x Profundidade 27,25 cm x Espessura 2,29 cm e 2,42 Kg - Tipo de bateria: 6 células e 86 Wh (integrada) Entradas e saídas: - Entrada USB 3.2 x 1 Type-C (Thunderbolt 4, USB 3.2 Gen 2 Power Delivery) - Entrada USB 3.2 x 2 1ª Geração - Entrada USB 3.2 x 1 1ª geração com PowerShare 2 - Entrada Combo Microfone e Fone de Ouvido - Entrada RJ-45 x 1 Gigabit Ethernet LAN 10/100 - Saída HDMI x 1 2.1 Conteúdo da embalagem: - Notebook Dell Alienware 3070 8GB - Carregador: Bivolt - Cabo de força - Nota fiscal",,"R$13.699,00","Notebook Dell Alienware I7 32gb 256 Ssd 3070 8gb 15,6 Fhd",https://www.amazon.com.br/Notebook-Dell-Alienware-32gb-3070/dp/B0B16XCBY8
Computadores e Informática/Notebooks,"Lenovo IdeaPad 3i possui design leve e compacto. Com tela antirreflexo de 15.6"" para mais conforto visual. Notebook ideal para todos os momentos. Conta com WiFi AC ultrarrápido e teclado numérico para trabalhar com mais agilidade nas suas planilhas. O armanezamento SSD PCIe é 10x mais rápido* que um HDD 2.5” SATA, você terá mais segurança ao armazenar seus dados. Nitidez e alta qualidade de som com certificação Dolby Audio. Sua privacidade pessoal é muito importante. É por isso que o IdeaPad 3i está equipado com porta de privacidade da webcam. Quando não estiver em uma chamada de vídeo ou gravando algo, basta deslizá-la. Faça vídeo-conferências em alta-definição com a câmera HD-720p. *Com base na velocidade de leitura dos dados obtidos através de spec de dados de leitura mb/s.",0195713897969,"R$3.899,00","Notebook Lenovo IdeaPad 3i, Intel Core i3-10110U, 4GB RAM, 256 GB SSD, Windows 10, 15.6"", Prata",https://www.amazon.com.br/Notebook-Lenovo-IdeaPad-i3-10110U-Windows/dp/B094DM6SKF
Computadores e Informática/Notebooks,"Seja para trabalho ou lazer, o novo Notebook ASUS X515 é perfeito para o dia-a-dia, que oferece desempenho e recursos visuais imersivos. Sua Tela NanoEdge possui bordas incrivelmente finas e um revestimento fosco antirreflexo para uma experiência verdadeiramente envolvente. Além disso, o notebook ASUS X515 possui armazenamento SSD¹, que além de mais rápido é mais leve e mais seguro, enquanto seu chassi reforçado melhora a digitação e permite abrir e fechar a tampa em um movimento suave. No interior do ASUS X515, existe uma estrutura de suporte de metal embaixo do teclado que fornece uma plataforma muito mais estável ao digitar e usar o touchpad. Além de fornecer rigidez estrutural, também fortalece a articulação da dobradiça e protege os componentes internos. Os lados da tampa também são reforçados e funcionam como vigas de proteção contra impactos laterais em automóveis. Eles fornecem suporte estrutural para a tampa, o painel de LED e a junta de dobradiça. Proteção física e também para os seus dados. O ASUS X515 possui opções com armazenamento duplo SSD¹, que juntamente com o HDD é a combinação perfeita de velocidade e segurança. Se você está sempre em movimento e quer produtividade onde estiver, o ASUS X515 tem tela grande, mas corpo pequeno. Provavelmente você deve pensar que notebooks de 15 polegadas são grandes, mas como a moldura da tela é muito fina, o notebook ficou extremamente compacto, ainda assim sem perder produtividade e mantendo o teclado numérico. Ele ainda é leve, com apenas 1,8Kg, e bem fino, com 19,9mm de espessura - perfeito para levar, com você, onde for. Já que o ASUS X515 estará sempre com você, ele precisa estar sempre pronto! Com o carregamento rápido, você pode ter 60% da sua carga total em apenas 49 minutos de tomada. E para que isso aconteça com total segurança, a ASUS desenvolveu a exclusiva tecnologia que monitora a bateria, protegendo-a de sobrecargas e com isso aumentando a vida útil em até 3 vezes.",7898573298244,"R$3.676,61","Notebook ASUS Vivobook X515JA-EJ1791W Intel Core i5 1035G1 8GB 512GB SSD W11 15,6"" LED-backlit Cinza",https://www.amazon.com.br/Notebook-ASUS-Vivobook-X515JA-EJ1791W-LED-backlit/dp/B09LZ6YLZ2
Computadores e Informática/Notebooks,"Seja para trabalho ou lazer, o notebook ASUS M515 é perfeito para o dia-a-dia, que oferece desempenho e recursos visuais imersivos. Sua Tela NanoEdge possui bordas incrivelmente finas e um revestimento fosco antirreflexo para uma experiência verdadeiramente envolvente. Além disso, o notebook ASUS M515 possui armazenamento SSD¹, que além de mais rápido é mais leve e mais seguro, enquanto seu chassi reforçado melhora a digitação e permite abrir e fechar a tampa em um movimento suave. No interior do M515, existe uma estrutura de suporte de metal embaixo do teclado que fornece uma plataforma muito mais estável ao digitar e usar o touchpad. Além de fornecer rigidez estrutural, também fortalece a articulação da dobradiça e protege os componentes internos. Os lados da tampa também são reforçados e funcionam como vigas de proteção contra impactos laterais em automóveis. Eles fornecem suporte estrutural para a tampa, o painel de LED e a junta de dobradiça. Proteção física e também para os seus dados. O ASUS M515 possui armazenamento SSD¹, que além de ser muito mais rápido que o HD convencional, é menor, mais leve e não tem partes mecânicas extremamente sensíveis a impactos e solavancos. Isso garante maior proteção ao dados armazenados no seu notebook, para que você possa trabalhar sem preocupações, com alto desempenho e produtividade, mesmo em um veículo em movimento. Se você está sempre em movimento e quer produtividade onde estiver, o ASUS M515 tem tela grande, mas corpo pequeno. Provavelmente você deve pensar que notebooks de 15 polegadas são grandes, mas como a moldura da tela é muito fina, o notebook ficou extremamente compacto, ainda assim sem perder produtividade e mantendo o teclado numérico. Ele ainda é leve, com apenas 1,8Kg, e bem fino, com 19,9mm de espessura - perfeito para levar, com você, onde for. Já que o ASUS M515 estará sempre com você, ele precisa estar sempre pronto! Com o carregamento rápido, você pode ter 60% da sua carga total em apenas 49 minutos de tomada. E para que isso aconteça com total segurança, a ASUS desenvolveu a exclusiva tecnologia que monitora a bateria, protegendo-a de sobre-cargas e com isso aumentando a vida útil em até 3 vezes. No interior, ele é alimentado por um processador AMD Ryzen™ 5 3500U, memória RAM de 8GB e 256GB de armazenamento rápido SSD¹. Além disso, o novo ASUS M515 está equipado com a porta reversível USB Tipo-C 3.2, para transferência de dados até 10x mais rápidas² do que as conexões USB 2.0 mais antigas, e portas USB Tipo-A 3.2 e 2.0, saída HDMI e um leitor de cartão microSD³ - para que você possa conectar facilmente todos os seus periféricos, monitores e projetores atuais, sem complicações. Novo notebook ASUS M515DA, mais produtividade no seu dia-a-dia. 1. As especificações podem ser alteradas sem aviso prévio. Consulte a disponibilidade nos pontos de vendas. 2. Os números de transferência de dados USB-C™ são baseados no desempenho teórico. O desempenho real pode variar em diferentes situações de uso. 3. Cartão microSD não acompanha o produto.",7898573297476,"R$4.513,86",Notebook ASUS M515DA-EJ502T AMD RYZEN 5 3500U / Radeon Vega 8 / 8 GB / 256 GB SSD / Windows 10 Home / Cinza,https://www.amazon.com.br/Notebook-ASUS-M515DA-EJ502T-Radeon-Windows/dp/B099KLWXXT
Computadores e Informática/Notebooks,Características:,4719331827649,"R$9.658,90","Notebook Gamer Gigabyte G5 Kd, Intel I5-11400h, 15.6, Fhd, 16gb Ddr4, Ssd 512gb M.2, Rtx 3060 6gb, G5 Kd-52br123sd",https://www.amazon.com.br/Notebook-Gamer-Gigabyte-I5-11400h-Kd-52br123sd/dp/B09W41TSBK
Computadores e Informática/Notebooks,,4710886825418,"R$5.359,00","Notebook Acer Aspire 5 A515-45-R2A3 AMD Ryzen 5 Windows 11 Home 8GB 512GB SSD 15,6' Full HD",https://www.amazon.com.br/Notebook-Aspire-A515-45-R2A3-Ryzen-Windows/dp/B09PGPWP2K
Computadores e Informática/Notebooks,"Características: - Processador: Intel Core i7-10510U (1.8 GHz até 4.9 GHz com Tecnologia Intel Turbo Boost, 8 MB Smartcache, 4 cores) - Memória: 36 GB DDR4 - Disco Rígido: 128GB SSD M2 PCi-e + 2 TERA - Placa de vídeo: Gráficos UHD Intel para processadores Intel Core da 10ª Geração Integrada - Tela: 15.6” Full Hd (1920x1080) Anti reflexo - Teclado: Padrão padrão ABNT 2 com teclado numérico integrado - Mouse: Touchpad multi-gestual - Conectividade Wi-Fi: Wireless IEEE 802.11a/b/g/n/ac - Conectividade Bluetooth: Bluetooth 5.0 - Webcam: Webcam acer HD (1280x720) com microfone digital integrado - Som: Dois alto-falantes estéreo COM Tecnologia Acer TrueHarmony de 2° Geração - Dimensões e peso: Largura 36,3 cm x Profundidade 25 cm x Espessura 1,7 cm e 1,8Kg - Tipo de bateria: 4 células (Li-Íon) 48Wh Entradas e saídas: - Entrada USB 3.1 x 1 Tipo-C - Entrada USB 3.0 x 1 - Entrada USB 2.0 x 2 - Entrada Combo Microfone e Fone de Ouvido - Entrada RJ-45 x 1 Gigabit Ethernet LAN 10/100/1000 - Saída HDMI x 1 Conteúdo da embalagem: - Notebook Notebook Acer Intel Core I7-10510u - Carregador: 65W AC - Cabo de força - Nota fiscal",,"R$6.399,00","Notebook Acer Intel Core I7-10510u 36gb 128ssd+2tb 15,6 Fhd",https://www.amazon.com.br/Notebook-Acer-Intel-I7-10510u-128ssd/dp/B09HHNC41L
