categoria,descricao,ean,preco,titulo,url
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs","Toshiba Tela Smart 55"" com bordas infinitas. Acompanha acessórios, conversor de canais de tv digital (DTV). Especificações: Tamanho de tela (cm): 126 Tamanho de tela (pol): 55 Tecnologia do painel: Dled Resolução: 3840 x 2160 (UHD 4K) Frequência (HZ): 60 Brilho (CD/M²): 330 Contraste Nativo: 1200:1 Ângulo de visualização (graus): H: 178 V: 178 Tempo de resposta do painel (MS): 8 Processador: Quadcore Memória de processamento DDR: 1.5G Memória de armazenamento EMMC: 4G Tensão: 100~240V Frequência: 50-60Hz Consumo standby: 0.5W Dimensão vesa: 300×200MM Entradas: Acessório de tv digital (ISDBT/NTSC): 1 AV Input compartilhada com componente: 1 USB 2.0: 2 Saída de áudio digital (SPDIF): 1 Saída P2: 1 Entrada HDMI: 3 (TIPO 2.0 HDCP 2.2) HDMI ARC - Canal áudio de retorno: Sim - HDMI1 CEC VIA HDMI: HDMI1,HDMI2,HDMI3 RJ45: 1 Sistema operacional : VIDAA Aplicativos pré instalados: Netflix, Prime Video, Youtube, Kids, Loja de App Comando de voz: Sim (Alexa) Espelhamento de tela: Sim Wi-Fi integrado: Sim Wi-Fi IEEE 802.11: A/B/G/N/AC Banda wi-fi: 2.4/5GHZ DLNA: Sim Bluetooth: 5.0 UHD (4K) Streaming: Sim *Imagens Meramente Ilustrativas*",7908414421097,"R$3.636,93","Smart TV Toshiba UHD 4K 55"" QUANTUM DOT Alexa Wifi Integrado Bluetooth 3 HDMI 2 USB Toshiba - TB005",https://www.amazon.com.br/Smart-Toshiba-QUANTUM-Integrado-Bluetooth/dp/B097YS4LZ8
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs","Pensando em facilitar sua vida na hora de escolher os programas preferidos com plenitude de cores, sem pontos brancos, a Philco desenvolveu a incrível Smart TV Philco Roku 58” PTV58G70RCBL 4K LED UHD. a TV é Roku, seleciona de forma inteligente o filme que você deseja assistir, os dispositivos Roku acessam a milhares de filmes séries de TV dos principais canais gratuitos e pagos, para que você possa assistir o que há de melhor, auxiliando a manter seus softwares atualizados automaticamente, para espelhar seus aplicativos entre dispositivo móvel e seu televisor basta utilizar o Mídia Cast. Com 58 polegadas em resolução Ultra HD para você sentir o cinema no conforto da sua casa, é 4K de alta definição, HDR10 e Dolby Áudio, que transmite o som do filme ou vídeo reproduzido em 5.1 canais qualidade de som garantida. Com a Smart TV Philco Roku você encontra seus aplicativos favoritos com alta performance e velocidade, contém processador QUAD Core e processador gráfico TRIPLE Core. Sua entrada de conexão para cabo HDMI e USB permitem que conecte seu dispositivo favorito e reproduza com alta qualidade suas imagens e leitura/gravação de arquivos digitais, através do seu pen-drive ou HD externo, garantindo a reprodução de vídeos, imagens e músicas. Você vai ficar extremamente admirado com tecnologia e inovação que a Smart TV Philco Roku 58” PTV58G70RCBL 4K LED UHD oferece, além disso, seu design elegante vai deixar o ambiente mais moderno, destacando-se não só pela qualidade de imagem, mas também pelo Visual incrível. Estamos sempre à disposição.",7891356092336,,"Smart TV Roku 4K UHD 58” TV PTV58G70RCBL 4K LED - Wi-Fi 3 HDMI, USB, PHILCO",https://www.amazon.com.br/Smart-Roku-UHD-PTV58G70RCBL-LED/dp/B092R6H1RQ
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs",SMART TV 60 SAMSUNG UN60AU7700 CRYSTAL UHD 4K 3HDMI 1USB CINZA,7892509118989,"R$3.398,90",SMART TV 60 SAMSUNG UN60AU7700 CRYSTAL UHD 4K 3HDMI 1USB CINZA,https://www.amazon.com.br/SMART-SAMSUNG-UN60AU7700-CRYSTAL-3HDMI/dp/B09JLB8JMS
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs","Experiencie uma imersão total aos seus filmes e séries favoritas com a Smart TV TL039 da Multilaser. Conta com uma incrível tela de 58 polegadas, proporcionando uma experiência fantástica graças a sua resolução 4K, oferecendo imagens nítidas e vivas. Além disso, a TV Smart TL039 conta com tecnologia HDR10 e Dolby Audio Surround, entregando uma experiência imersiva e surpreendente. Informações Importantes: - Os objetos que ambientam as imagens, não acompanham o produto. - Fique atento: As cores das imagens podem sofrer alterações devido a luminosidade, configurações do monitor e até mesmo a percepção do usuário.",7908414423176,,Tela 58 Polegadas 4K UHD Smart com Wifi Integrado Bivolt Multilaser - TL039,https://www.amazon.com.br/Polegadas-Smart-Integrado-Bivolt-Multilaser/dp/B09NL6KY2N
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs","O kit estende o comprimento da chaminé para tetos acima de 2,7 m. Verifique sempre as instruções de instalação do capô de parede para a altura de instalação antes de usar",0883049385990,,Whirlpool EXTKIT10ES,https://www.amazon.com.br/Whirlpool-EXTKIT10ES/dp/B01KPD6GFO
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs","Modelo: AU9000GXZD Aproveite um novo nível de imagens em ultra resolução e veja todas as sutilezas e nuances das cores como na vida real. O processador Crystal 4K transforma tudo o que você assiste em resolução próxima à 4K. Design Air Slim - Elegante e fina como nunca. Seja na parede ou no rack, essa TV de apenas 2,5cm de espessura combinará perfeitamente com seu espaço. Com uma exclusiva tela sem bordas aparentes, a TV destaca apenas as imagens que você quer ver, e nada mais. Transforme sua TV em uma galeria pessoal, sua TV desligada dá espaço a um lindo mural com suas fotos preferidas. Visual Livre de cabos - Seu espaço mais organizado O fim da bagunça e confusão de cabos aparentes com uma solução de canaletas exclusiva que permite organizar os fios e escondê-los. Som em Movimento Virtual - Som que acompanha a ação A experiência do som 3D permitirá que você fique totalmente imerso na no áudio dos seus filmes e séries, como se estivesse no meio da ação. Multiplos Assistentes de voz - Uma maneira inteligente de comandar sua TV por voz Controle sua TV por voz em português: acesse apps, mude de canal ou altere o volume. A TV traz Bixby, Alexa e Google Assistant integrados para você escolher o seu serviço de voz preferido. Atividades pela TV - Divirta-se em casa Com a TV Samsung você aproveita não apenas da melhor qualidade de imagem mas também curte no conforto da sua casa diferentes atividades como: acesso a canais sem pagar nada, videoconferencias na tela grande, acesso remoto ao seu PC e conectividade entre aparelhos, além de também poder dividir a tela ao meio com dois conteúdos diferentes. Aproveite! SmartThings - Casa Inteligente Controle e monitore toda sua casa. Acesse o aplicativo SmartThings e transforme sua TV na central de automação controlando os demais aparelhos inteligentes da Samsung ou criando programações de acordo com a sua rotina. Além disso, aparelhos mais antigos, como seu ventilador com controle remoto, são detectados automaticamente e controla",7892509117463,,"Smart TV Samsung Crystal UHD 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 55"" 55""",https://www.amazon.com.br/Samsung-Crystal-55AU9000-Movimento-Virtual/dp/B09QVC5FHB
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs",,0639131013100,,"SuperSonic SC-1311H LED Widescreen HDTV 13,3"" tela plana com compatibilidade USB, leitor de cartão SD, entrada HDMI e AC/DC: redução de ruído digital integrada e cabo HDMI incluído",https://www.amazon.com.br/SuperSonic-SC-1311H-Widescreen-compatibilidade-entrada/dp/B009LEMEZU
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs","Philips Android TV 65"" 4K 65PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",7898620271404,"R$3.571,06","PHILIPS Android TV 65"" 4K 65PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0",https://www.amazon.com.br/Philips-65PUG7406-78-Assistant-Bluetooth/dp/B09JRF4DCD
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs",Recurso:,7011781475706,,"Triturador de gelo, liquidificador elétrico de 1,6 L para uso doméstico para uso comercial(#1)",https://www.amazon.com.br/Triturador-liquidificador-el%C3%A9trico-dom%C3%A9stico-comercial/dp/B09SFR4DRQ
"Eletrônicos e Tecnologia/TV, Áudio e Cinema em Casa/TVs",,7892509122009,"R$3.846,16","Smart TV Samsung 55"" QLED 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela 55""",https://www.amazon.com.br/Samsung-Design-Processador-Quantum-Multitela/dp/B0B1VW81P9
