categoria,descricao,ean,preco,titulo,url
/categoria/eletrodomesticos/geladeira-refrigerador/french-door,"Refrigerador LG French Door 525 Litros Preto Fosco GR-X228NMS – 127 Volts Se você procura uma geladeira completa, recheada de tecnologias que facilitam seu dia-dia, a Refrigerador LG French Door 525 Litros Preto GR-X228NMS – 127 Volts, vai atender o que você procura e surpreender suas expectativas. O sistema Door-in-Door proporciona facilidade e rapidez ao acessar seus itens preferidos, mantendo a refrigeração constante e prolongando a validade dos alimentos. Agora você pode ver o interior da geladeira, com apenas com dois toques, no InstaView Door-in-Door, economizando ainda mais energia e garantindo um ambiente de refrigeração ideal.Os compartimentos de gelo normalmente ocupam muito espaço no refrigerador. Mas o novo compartimento Slim Spaceplus Ice System da lg, é embutido na porta, proporcionando maior espaço de armazenamento em seu refrigerador. Além disso, é possível obter água pura (filtragem de micropartículas e ação química), gelo em forma de cubos e triturado para o consumo diário de toda a família.A conectividade via wi-fi permite acessar as funções da sua geladeira de qualquer lugar, basta acessar o aplicativo LG ThinQ e se cadastrar. Alterações de temperatura, aviso de substituição do filtro de água e controle de consumo de energia. Também está disponível via comando de voz, com Google Assistente ou Alexa.A temperatura constante é o principal indicador de frescor. A tecnologia Linear Cooling (mantém a oscilação de temperatura em 0,5ºC) associada a Door Coolin (resfria o interior do produto 35% mais rápido) reduz significativamente as diferenças de temperatura garantindo maior durabilidade dos produtos.",8806098602629,"R$ 16.999,90",Refrigerador LG French Door 525 Litros Preto Fosco GR-X228NMS – 127 Volts,https://www.americanas.com.br/produto/4708431009
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-1-porta,"Características TécnicasCapacidade Total 518 LCapacidade Refrigerador 348 LCapacidade Freezer 85 LCapacidade ATC 85 LMaterial aço inox 304 e plásticoPorta inox e acabamento em vidroPrateleiras vidro temperadoFreestanding, mas pode ser usado em conceito built inDesign moderno com painel externo de controle de temperaturaSistema de resfriamento ultra-rápido via sistema compressorAmplo armazenamento internoPrateleiras em vidro temperadoOperação silenciosaIluminação interna em LED brancoMaior Durabilidade para alimentos frescos, como frutas e legumes Especificações TécnicasConsumo de energia 1,08 kW/24hCapac. de congelamento 12 kg/24hBitola do fio 2,5 mm²Peso liquido 106 kgPeso bruto 115 kgVoltagem 220 VFrequência 60 HzTemper. Refrigerador 0°C a 8°CTemper. Freezer -14°C a -24°CTemper. ATC 5°C a -24°CPotência total 165 W Dimensões do ProdutoLargura: 830mmProfundidade: 670mmAltura: 1900mm Dimensões da EmbalagemLargura: 917mmProfundidade: 750mmAltura: 1984mm",7899100675002,"R$ 20.990,00",Refrigerador Cuisinart Multi Door Arkton 518 Litros Cinza 220v 4093450001,https://www.americanas.com.br/produto/3467786887
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-1-porta,"Características TécnicasFreestanding, mas pode ser usado em conceito built inSistema de resfriamento ultra-rápido via sistema compressorIluminação interna em LED brancoCapacidade Total: 518 litrosCapacidade Refrigerador: 348 litrosCapacidade Freezer: 85 litrosCapacidade ATC: 85 litrosMaterial: aço inox 304 e plásticoPorta: inox e acabamento em vidroPrateleiras: vidro temperadoEspecificações TécnicasVoltagem: 220 VFrequência: 60 HzPeso liquido: 106 KgPeso bruto: 115 KgTemper. Refrigerador: 0°C a 8°CTemper. Freezer: -14°C a -24°CTemper. ATC: 5°C a -24°CPotência total: 165 WAbertura das portas: 160°Consumo de energia: 1,08 kW/24hCapac. de congelamento: 12 kg/24hBitola do fio: 2,5 mm²Dimensões do ProdutoLargura: 830mmProfundidade: 673mmAltura: 1900mm",,"R$ 20.990,00",Refrigerador Cuisinart Arkton Preta 4093450002 220v,https://www.americanas.com.br/produto/3881220328
,"Geladeira Smart French Door LG Preto fosco GR-X228NMS1 525 Litros 220VO Instaview Door-In-Door possui um elegante painel de vidro espelhado, que ilumina com 2 pequenas batidas. Assim, você pode ver o que há dentro sem precisar abrir a porta, reduzindo a perda de ar frio e mantendo os alimentos frescos por mais tempo. Exclusiva tecnologia do filtro Hygiene remove até 99,999% das bactérias e minimiza o odor no interior da geladeira, garantindo maior frescor em um ambiente mais limpo. O LG DoorCooling torne a temperatura interna mais uniforme e resfria 19%* mais rápido que o sistema de resfriamento convencional. Ele também reduz significativamente a diferença de temperatura entre a parte interna e o lado da porta do compartimento Exclusiva tecnologia do filtro Hygiene remove até 99,999% das bactérias e minimiza o odor no interior da geladeira, garantindo maior frescor em um ambiente mais limpo. O LG DoorCooling torne a temperatura interna mais uniforme e resfria 19%* mais rápido que o sistema de resfriamento convencional. Ele também reduz significativamente a diferença de temperatura entre a parte interna e o lado da porta do compartimento. ESPECIFICAÇÕES: Marca LG Modelo French Door Cor Preto fosco EAN 8806098602636 Voltagem 220V Quantidade de porta 2 portas Tipo de gás Frost Free Eficiência Energética A Espaço do congelador 122 l Espaço do refrigerador 403 l Capacidade de armazenagem total (l) 525L Garantia 12 Meses Características do produto) Sua cozinha fica mais elegante e smart com o Refrigerador LG Smart French Door com Instaview Door-In-Door. Charmoso, possui até 525L de capacidade total para armazenar seus alimentos de acordo com a temperatura ideal de cada um. A tecnologia Instaview Door-In-Door, permite fácil acesso ao interior do refrigerador com apenas dois toques no painel de vidro e seu interior fica iluminado, sem precisar abrir a porta. Já o sistema Door-in-Door, com duas portas, permite facilidade e rapidez ao acessar seus itens preferidos, mantendo a refrigeração constante e prolongando a validade dos alimentos. Baixe o aplicativo LG ThinQ e, através da conectividade wi-fi acesse as funções de sua geladeira remotamente e acesse todos seus dados de funcionamento, inclusive de consumo de energia. Seus alimentos em ambientes refrigerado e livre de impurezas. Através do filtro Hygiene Fresh + o ar fica mais puro, desodorizado e elimine até 99,999% das bactérias, perfeito para não contaminar os alimentos. E por falar em alimentos, cada um deles possui a temperatura ideal para manter sua durabilidade, sem congelar ou alterar a textura. A tecnologia Linear Cooling associada a Door Cooling mantém a temperatura constante e os alimentos sempre fresquinhos. estaques: Acabamento em Aço Escovado: Sim. Conectividade: Sim, via wi-fi. Prateleiras de Vidro Temperado: Sim. Controle de temperatura: Sim. Painel Touch: Sim. Máquina de gelo: Sim Compressor Linear Inverter: Sim. Filtro antibacteriano: Sim, Hygiene Fresh + Controle de temperatura: Sim. Painel Touch: Sim. Máquina de Gelo: Sim; Compartimento fácil acesso: Sim. Prateleiras de vidro temperado: Sim. Conteúdo da embalagem refrigerador + Manual certificado Garantia Dimensões ( A X L X P ) 173 X 90,8 X 79 cm Peso 136 kg *Imagens meramente ilustrativas.",8806098602636,"R$ 20.394,89",Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,https://www.americanas.com.br/produto/5078896855
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-duplex,"FlexiSpace: Compartimento inteligente com temperatura variável que vai de freezer (-23°C) à geladeira (7°C), com ajustes automáticos para as funções freezer (-23°C), carnes e peixes (-2°C), bebida s frias (0 °C), alimentos frescos ( + 3 °C) e vinhos (7 °C). Função Meat & Fish: A função Meat & Fish, dentro do compartimento FlexiSpace, preserva seu alimento fresco sem congelar por até 7 dias. Função Lembrete: Através do app Electrolux Home +, você pode adicionar lembretes para os alimentos que estão dentro do compartimento e quando chegar o período informado, ele te avisa e pergunta se irá consumir o alimento ou se prefere ativar a função Freezer remotamente, estendendo a vida útil do alimento e evitando desperdícios. TasteLock: Compartimento especial com vedação e controle automático de umidade que mantém frutas e vegetais frescos por 14 dias*. * Testes internos realizados com morangos e cogumelos e o produto ajustado na temperatura média. TasteGuard com Pure Air Filter: TasteGuard elimina 9x mais rápido** os maus odores causados por bactérias, garantindo que sua geladeira permaneça sempre fresca e higiênica. **Comparado ao uso do bicarbonato de sódio. Conectividade: Controle a ative diversas funções do sua geladeira remotamente, como temperatura dos compartimentos, função Meat & Fish, congelamento rápido, Drink Express, Ice Maker, modo férias, trava painel, aviso de substituição do filtro de ar e estatísticas sobre o consumo de água e economia de garrafas de plástico. Tecnologia Inverter: Mantém a temperatura mais estável, garantindo condições ideais para preservar seus alimentos e economia de até 30% de energia***. ***Em relação ao mínimo para a classificação A do Inmetro. TwinTech Dual Cooling: Controla a temperatura e a umidade em cada compartimento de forma independente, garantindo alimentos mais frescos e com sabor original por mais tempo. Prateleiras Flexíveis (Sistema Fast Adapt, Prateleiras Reversíveis e Retráteis): Adapte o espaço interno para guardar os mais diversos tipos de embalagens e alimentos. Dispenser de água e gelo na porta com Pure Source Water Filter: Água filtrada e gelo, em cubos ou triturados, a qualquer hora, com a tecnologia PureSource que remove 99,3% de chumbo e 99,9% de cisto da sua água. Wine Racks: No compartimento FlexiSpace há dois racks exclusivos para o armazenamento de garrafas de vinho, além do acionamento da função Wine que regula a temperatura ideal de preservação.Características Tipo: French Door Quantidade de Portas: 04 Frost Free Painel Eletrônico Prateleiras: 02 prateleiras retráteis de vidro, 02 gavetas Hortinatura Tastelock (Gavetas para Frutas e verduras seladas) Porta do Refrigerador: 06 prateleiras de plástico (1 Fast adapt 01 compartimento para laticínios) Freezer: 02 prateleiras reversíveis plástico/vidro e 01 gaveta fixa de plástico Porta do freezer: 02 prateleiras de plástico Flexspace: 02 prateleiras reversíveis plástico/vidro, 02 wine racks metálico e 01 gaveta de plástico Porta do Flexspace: 02 prateleiras de plástico Alarme de Portas Abertas Dispenser de Água na Porta: Externo Dispenser de Gelo na Porta: Externo Função Gelo Rápido Degelo Automático Porta Latas Porta Garrafas Controle Automático de Temperatura Controle de Temperatura para Bebidas Conexão de Ponto de Água Pés NiveladoresEspecificações Técnicas Modelo: DQ90X Cor: Inox Capacidade Total: 585 Litros Capacidade de Armazenamento do Freezer: 222 Litros Capacidade de Armazenamento do Refrigerador: 363 Litros Selo Procel (Eficiência Energética): a Consumo de Energia: 62,5 kwh/mês Voltagem: 110V e 220V (não é bivolt) ean: 9315540410860 (110V) / 9315540410877(220V) Garantia: 12 mesesDimensões e Peso Dimensões do produto sem embalagem (AxLxP): 1853x913x752 mm Dimensões do produto com embalagem (AxLxP): 1853x947x812 mm Peso do produto sem embalagem: 135 Kg Peso do produto com embalagem: 145 KgItens Inclusos 01 Refrigerador French DoorServiço de Instalação e Orientação de Uso Para sua comodidade, a Fast Shop dispõe do serviço de Instalação* e Orientação de Uso, com equipe especializada e autorizada pelo fabricante que poderá realizar a medição de todos os acessos, retirando as portas do produto caso necessário. Esse serviço pode ser adquirido em contato com nosso Televendas pelo tel.: 3003-3278 ou em uma de nossas lojas, consulte os valores e regiões atendidas. * Verifique com nossos vendedores se a Fast Shop realiza a instalação desse produto. * A Fast Shop não realiza instalação de produtos a gás (consulte o fabricante).",9315540410877,"R$ 19.079,10",Refrigerador French Door Electrolux de 04 Portas Frost Free com 585 Litros FlexiSpace Inox - DQ90X,https://www.americanas.com.br/produto/3610044449
/categoria/eletrodomesticos/geladeira-refrigerador/french-door,"Para que um novo eletrodoméstico atenda às nossas necessidades, ele precisa oferecer uma boa relação custo-benefício e facilitar o nosso dia a dia na cozinha. A Geladeira/refrigerador French Door Conectado 540L (DM91X) se encaixa perfeitamente nesse quesito, oferecendo o que há de melhor em desempenho, eficiência e economia de energia. Vai chamar todos os seus amigos para um churrasco ou vai viajar nessas férias? Não precisa se preocupar, pois a sua nova geladeira Electrolux têm um painel blue touch completo com funções como festa, férias e turbo! Quer a sua bebida gelada em minutos? A função drink express gela tudo mais rápido e se quiser gelo, use a função ice maker. Saiu de casa e se esqueceu de ativar o seu painel blue touch? O aplicativo Home+ te ajuda com isso. Nele você tem acesso a todas as funções do seu refrigerador. A DM91X é a única do mercado brasileiro com essa conectividade. Com o espaço Flexispace control fully, você pode optar entre usá-lo como refrigerador ou como freezer, pois essa gaveta atinge de -23ºC à 7ºC. Tenha água e gelo sempre que quiser com o dispenser na porta. Basta acioná-lo uma vez para gelar suas bebidas com cubos ou gelo triturado. Experimente o compartimento Tastelock para manter suas frutas e vegetais preservadas por mais tempo. Conte também com o Tasteguard desse refrigerador Frost Free que ajuda a manter o sabor dos alimentos enquanto evita o aparecimento de odores no interior do eletrodoméstico. O melhor de tudo é o fato de não precisar descongelar nunca mais sua geladeira, já que a tecnologia Frost Free impede que o freezer fique cheio de gelo, garantindo que o refrigerador Electrolux possa trabalhar de forma mais eficiente, mantendo os alimentos internos sempre refrigerados e prontos para o consumo. Atenção: Confira as dimensões deste produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores, não nos responsabilizamos por içamento ou serviço de guincho Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Confira a voltagem selecionada antes de finalizar a compra.",9315540405606,"R$ 18.449,10",Geladeira Frost Free Electrolux 540 Litros 3 portas Inverse Inverter Inox com Wi-fi DM91X,https://www.americanas.com.br/produto/102120089
/categoria/eletrodomesticos/geladeira-refrigerador/french-door,"O refrigerador french door Cuisinart Arkton possui o sistema atc, no qual você consegue definir a temperatura do compartimento inferior, escolhendo entre utilizá-lo como refrigerador ou freezer. O belíssimo acabamento em vidro da porta também o torna extremamente elegante para as cozinhas mais exigentes. Tenha um refrigerador que atenda às suas necessidades práticas, assim como os melhores padrões de design.A linha Arkton tem seu nome carinhosamente inspirado em nossos grandes parceiros e formadores de opinião: os arquitetos (Arkhitektôn - nome de origem grega que significa construtor, principal origem de arquiteto). Foram agregadas atualizações e upgrades que acompanham as últimas tendências de design, tecnologia e funcionalidade.Ficha técnica: Código: 4093450001 Marca: Cuisinart Conteúdo da Embalagem: 1 Refrigerador Especificações: Sistema atc: permite controle individual de temperatura podendo ser freezer ou refrigerador, adequando-se às necessidades individuais de uso Triple cooling de refrigeração: Refrigerador: 2 portas superiores Freezer: 1 porta inferior atc: 1 porta inferior 4 portas com abertura francesa e acabamento em vidro Painel de controle de temperatura externo, discreto e moderno Sensível ao toque Resfriamento por compressor: refrigera de maneira rápida com baixo nível de ruído e sem vibrações Fast freezer: congelamento rápido 60cm de profundidade pensado especialmente para projetos de cozinhas planejadas Freestanding, mas pode ser usado em conceito built in Design moderno com painel externo de controle de temperatura Sistema de resfriamento ultra-rápido via sistema compressor Amplo armazenamento interno Prateleiras em vidro temperado Operação silenciosa Iluminação interna em LED branco Maior Durabilidade para alimentos frescos, como frutas e legumes Acessório: Bandeja de gelo Bitola do fio: 2,5 mm² Orientações: é indispensável a instalação com fio terra Se for utilizada em conceito built in em um móvel com as dimensões necessárias, respeitando o espaçamento de respiro. Deixando 10cm de espaçamento superior, 10cm de espaçamento lateral da parede, 10cm de espaçamento lateral da parede e 15cm de espaçamento atrás Limpeza: Desligue o produto para iniciar a limpeza Evite usar produtos de limpeza com cheiros fortes ou produtos químicos em geral Use apenas detergente neutro e água morna Use uma esponja macia ou pano limpo para limpeza do refrigerador Material: Aço inox 304, plástico; porta em inox e acabamento em vidro e prateleiras em vidro temperado Voltagem: 220V Frequência: 60Hz Temperatura do Refrigerador: 0°C a 8°C Temperatura do Freezer: -14°C a -24°C Temperatura atc: 5°C a -24°C Potência: 165 w Consumo: 1,08 kW/24h Capacidade de congelamento: 12 kg/24h Capacidade: 518 Litros Peso: 106kg Dimensões: 190cm x 83cm x 67,3cm (AxLxP) Garantia: 1 Ano Produto com certificação compulsória conforme registro 000290/2021",7899100675002,"R$ 20.990,00",Refrigerador Multi Door Cinza Cuisinart Arkton,https://www.americanas.com.br/produto/3293231240
/categoria/eletrodomesticos/geladeira-refrigerador/side-by-side,"A Geladeira Brastemp Frost Free Inverse 4 com 543 litros possui configuração Inverse, deixando os alimentos na altura dos seus olhos, design sofisticado com 4 portas e alta capacidade! Com o Convertible Space escolha entre freezer e geladeira e até 12 opções de temperatura para criar um ambiente ideal para os mais variados tipos de alimentos e bebidas! Conte também com o Fresh Control, que combina maior estabilidade de temperatura, controle de umidade e purificação do ar para manter os alimentos conservados em qualquer lugar da geladeira. E ela conta também com o Dispenser de Água e Gelo para ter água fresca e gelo picado ou em cubos sempre que quiser. Você também pode deslizar a prateleira presente no freezer e acessar os produtos do fundo facilmente, além de conseguir armazenar potes altos ou com tampa. Caracteristicas: Modelo: BRO90AK Tipo: Side by Side Capacidade:543 Litros Capacidade do refrigerador: 327 litros Capacidade do freezer: 216 litros Frost free: Sim Potência: 490 Watts Porta reversível: Não Painel: Com comando touch Controle de temperatura: Sim Iluminação interna: Sim Iluminação: led Potência da lâmpada:7.82 Watts Prateleiras: 11 Prateleira no refrigerador: Sim Prateleiras no Freezer: Sim Dispenser de água e gelo: Sim Compartimento para gelo: Sim Ice Maker: Sim Compartimento extra-frio: Sim Compartimento de congelamento rápido: Sim Separador de garrafas: Sim Porta latas: Não Porta ovos: Não Desodorizador: Não Portas: 4 Alarme na porta: Sim Trava de segurança no painel: Sim Classificação Energética: a Consumo de energia:58 kW/h Nível de ruído: 41 dB Frequência:60 Hz Função trava painel: Sim Turbo Freezer: Sim Dimensões: Altura: 187,20 cm Largura:90,50 cm Profundidade: 72,40 cm Peso: 159,00 kg Garantia do fornecedor: 12 meses Acessórios: O kit de instalação, filtro de água e manual acompanham o produto.",7891129519749,"R$ 21.279,00",Geladeira Side by Side Brastemp 4 Portas Frost Free Inverse 543L BRO90AK,https://www.americanas.com.br/produto/3735441894
/categoria/eletrodomesticos/geladeira-refrigerador/geladeira-duplex,"A linha Pro Series Electrolux segue as tendências mais sofisticadas de design, com estilo e muito charme. é uma coleção de produtos que investe em elegância em cada detalhe, como por exemplo, no uso de Vidro Preto com detalhes na cor Light Gold e painéis touch em led branco, que atraem a atenção pelo bom gosto de sua concepção. Com a tecnologia Inverter, o Refrigerador Frost Free consome menos energia e possui menor variação de temperatura, assim possuir melhor preservação dos alimentos.Modelo: DM86V pn: 02607FBA135 Cor: Preto Marca: ElectroluxCapacidade Total: 538 litros Capacidade Líquida do Congelador: 196 litros Capacidade Liquida do Refrigerador: 342 litros Sistema: Inverter Frost FreeFast Adapt: Flexibilidade para adaptar o espaço aos diferentes tamanhos de embalagens e itens e se adaptar ao seu estilo. Dispenser de água e gelo: Água fresca e gelo, em cubos ou triturados, filtrados e prontos para o consumo, a qualquer hora, direto da porta da geladeira. Painel com diversas funções (Turbo, Festa, Férias, Drink Express): Controle e adaptação para as diversas ocasiões de uso. O refrigerador se adaptando as suas necessidades. Portas assimétricas: Maior flexibilidade e organização para acessar o refrigerador.Acabamento da Porta: Vidro Cor da Porta: Preto Cor do Gabinete: Preto Quantidade de Portas: 3Água na Porta: Sim Alarme de Porta Aberta: Sim Cesta porta Ovos: Sim Compartimento Congelamento Rápido: SimDegelo Automático: Sim Desodorizador: Sim Gelo na Porta: Sim Iluminação Interna: SimMáquina de Gelo Automática: Sim Material das Prateleiras: Vidro temperado Painel Digital: Sim Pés Niveladores: SimPrateleiras na Porta: Sim Prateleiras Reguláveis: Sim Prateleiras Removíveis: Sim Recipiente para Guardar Gelo: SimRodízios: Sim Separador de Garrafas: Sim Temperatura do congelador: -18 graus Celsius Tipo: French doorSelo Procel: Sim Classificação Energética: a Consumo: 69 Kw Frequência: 60 Hz Voltagem: 110VConteúdo da embalagem: 01 x Geladeira 01 x Manual de InstruçõesGarantia: 12 meses com o fabricante Fabricante: Electrolux Dimensões do produto (a x L x p): 190 x 83,5 x 79,5 cm Peso: 133,4 Kg Telefone de atendimento: 0800-728-8778 / (11) 2388-8213",7896584099072,"R$ 15.751,12",Geladeira Multidoor Inverter Frost Free Electrolux 538 Litros DM86V Pro Series Preta 110V,https://www.americanas.com.br/produto/4972161116
/categoria/eletrodomesticos/geladeira-refrigerador/french-door,"Geladeira LG Smart French Door InstaView Door In Door 525 Litros Preta 110V GR-X228NMSM O InstaView Door-in-Door possui um elegante painel de vidro espelhado, que ilumina com duas pequenas batidas. Assim, você pode ver o que há dentro sem precisar abrir a porta, reduzindo a perda de ar frio e mantendo os alimentos frescos por mais tempo.Hygiene Fresh 99,999% de Ar Puro A tecnologia do filtro remove até 99,999% das bactérias e minimiza o odor no interior da geladeira, garantindo maior frescor em um ambiente mais limpo. Estimule seus sentidos com NaturalFRESH e aproveite o frescor dos alimentos.Refrigeração constante a qualquer momento A manutenção da temperatura é o principal indicador de frescor. O LINEARCooling mantém a flutuação da temperatura dentro do + - 0,5 ºC.Refrigeração rápida e uniforme em qualquer lugar O lg DoorCooling torna a temperatura interna mais uniforme e resfria 19% mais rápido que o sistema de resfriamento convencional. Reduz significativamente a diferença de temperatura entre a parte interna e ao lado da porta do compartimento.Compressor Linear Inverter 10 anos de garantia A tecnologia do compressor Linear Inverter garante uma operação muito mais silenciosa e econômica que os compressores convencionais. Maior durabilidade e confiança com 10 anos* de garantia.",8806098602629,"R$ 18.179,00",Geladeira LG Smart French Door InstaView Door In Door 525 Litros Preta 110V GR-X228NMSM,https://www.americanas.com.br/produto/2015106537
