match,pred,categoria,titulo_1,titulo_2
0,0,geladeiras,Frigobar 117L consul - CRC12CBBNA,Geladeira Duplex Inverter Frost Free com 425 Litros BB53 Panasonic
0,0,geladeiras,Mini Geladeira 15 Litros vermelha Mini Cool,Frigobar Retrô Philco PFG100RV 87L
0,0,geladeiras,Refrigerador Frost Free Duplex 340litros CRM39AKANA Consul,Refrigerador Philco Side By Side 437L Eco Inverter 220V
0,0,geladeiras,Mini Geladeira Beauty 10L - Minicool,Refrigerador Consul 386l Frost Free - Crm43 Platinum 220v
0,0,geladeiras,Refrigerador Metalfrio 350L Controle Eletrônico VB40RL 110V,Geladeira Consul CRM56HB Frost Free Duplex 450 Litros Branca
0,0,geladeiras,Refrigerador Brastemp Inverse Frost Free 573L Evox 220V BRE80AK,Refrigerador Brastemp Ative BRM50 429 Litros Gavetão Multiuso Branco 220v
0,0,geladeiras,Frigobar Philco 93 litros PFG111B 110v,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK
0,0,geladeiras,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,Refrigerador Midea Side by Side 528L Preto Midea
1,1,geladeiras,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 110V,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK
0,0,geladeiras,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Inox com Controle Interno de Temperatura - 110v,Geladeira Frost Free Electrolux 431 Litros IF55B Top Freezer Inverter Black 110V
0,0,geladeiras,Refrigerador Philco Side By Side PRF533I 220v,Geladeira Conservador Refrigerador Vertical 402 Litros com Iluminação Led Total Black VCFM402 Fricon
0,0,geladeiras,Kit Geladeira Family Hub Side by Side RS58 110V E Aspirador Robô Passa Pano Bivolt,"Ljyutihg Geladeira de carro bx 22 l portátil termoelétrico elétrico refrigerador de carro para bebidas, cerveja, vinho, frutos do mar, frutas, casa e viagem."
