match,pred,categoria,titulo_1,titulo_2
0,1,fogoes,Fogao A gas maxi vitreo 4 Q branco gas glp,Fogao A Gas Maxi Vitreo 5 Q Branco Gás Glp
0,1,fogoes,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,Fogão de Piso com Acendimento Automático Waves 5 Bocas Itatiaia
1,1,fogoes,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,Fogão 5 Bocas Electrolux Branco Automático com Ultra Chama e Painel Completo (76LBU) - Bivolt
0,0,fogoes,Fogão 5 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt,Fogão 4 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt
1,1,fogoes,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,Fogão Waves 4 Bocas - Preto
0,1,fogoes,Fogao A gas palladio vitreo 4 Q branco gás glp,Fogao A gas palladio vitreo 5 Q branco gás glp
0,0,fogoes,Fogão de Piso Fischer 4Q Gran Cheff Gás,Fogão de Piso Fischer Gran Cheff 5 Bocas Gás 220v
0,1,fogoes,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,Fogão 5 bocas Mueller Fratello Grafite acendimento automático Bivolt
1,1,fogoes,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,Fogao A gas maxi vitreo 5 Q preto fosco gas glp
0,1,fogoes,Fogão Atlas 5 Bocas Preto Acendimento Automático Bivolt,Fogão Atlas 4 Bocas preto Atenas Glass com Acendimento automático - Bivolt
0,1,fogoes,Fogao Mueller Fratello Vetro 4bcs 601230011,Fogão 4 Bocas Mueller Fratello Vetro
1,1,fogoes,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,Fogao 5b mueller fratello vetro mesa vidro - 601230014
0,0,fogoes,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,Fogão A Gás glp Venax Delplus Vítreo 4 Bocas Bivolt Amarelo
1,1,fogoes,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica - 220V Código: 7883-11654
1,1,fogoes,Fogao realce iris glass 5B,Fogão 5 Bocas Realce Iris Glass Mesa De Vidro Preto Bivolt
0,1,fogoes,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,Fogão Dako Supreme Glass 4 Bocas Branco - Bivolt
0,1,fogoes,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,Fogão Itatiaia Dream 5 Bocas Preto Tripla Chama Bivolt
1,1,fogoes,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto
1,1,fogoes,Fogão Atlas 5Bocas New Fastcook,Fogão 5 Bocas Inox com Mesa Inox Atlas New Fastcook Bivolt
0,0,fogoes,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,Fogão Dako Glass 5 Bocas Preto com Mesa de Vidro - Bivolt
1,1,fogoes,Fogão 4 bocas Mueller Piacere Vetro Branco com Mesa de Vidro Bivolt,Fogão 4 Bocas à Gás Mueller Piacere Vetro Acendimento Automático Branco Bivolt
0,0,fogoes,Fogão de Piso Esmaltec 5 Bocas Topázio Branco Bivolt,Fogão de Piso Esmaltec 4 Bocas Caribe Branco Bivolt
0,1,fogoes,Fogão a Gás Del Plus Vítreo 5 Bc Verde glp Venax,Fogão a Gás Del Plus Vítreo 5 Bc Preto GLP Venax
0,0,fogoes,Fogão Ares 4 bocas Branco,Fogão Dream 5 Bocas - Branco
1,1,fogoes,Fogão 5 bocas Mueller Piacere Vetro Branco com mesa de vidro e queimador central tripla chama Bivolt,Fogão 5 Bocas à Gás Mueller Piacere Vetro Tripla Chama Branco Bivolt
0,1,fogoes,Fogão 5 Bocas Dako Magister Style Preto Mesa de Vidro Bivolt,Fogão 4 bocas Dako Magister Style com Mesa de Vidro - Bivolt
0,0,fogoes,Fogão Atlas 5 Bocas Agile up Glass Mesa Vidro Forno- Preto,Fogão 4 Bocas Atlas Agile Up Glass Mesa Vidro
0,1,fogoes,Fogão a Gás GLP Picasso 5 Bocas Venax Grafite,Fogão A Gás glp Venax Gaudi 5 Bocas Grafite
0,1,fogoes,Fogao A Gas Gaudi Vetro Vitreo 4 Bocas 127 V Gas Glp Amarelo - Venax,Fogão A Gás glp Venax Gaudi Vetrô Vítreo 4 Bocas Inox
1,1,fogoes,Fogão Vitrum 5 Bocas - Branco,Fogão de Piso Itatiaia Vitrum 5 Bocas com Acendimento Automático
1,1,fogoes,Fogão De Piso Atlas 5 Bocas Monaco Plus Branco Bvolt,Fogão de Piso Atlas 5 Bocas Monaco Plus
