match,pred,categoria,titulo_1,titulo_2
1,0.9031181335449219,notebooks,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,"Lenovo Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD GTX 1650 4GB 15.6"" FHD WVA Linux 82CGS00100, Blue"
0,0.314882755279541,fogoes,Fogao A gas maxi vitreo 4 Q branco gas glp,Fogao A Gas Maxi Vitreo 5 Q Branco Gás Glp
0,0.4710448682308197,geladeiras,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,Frigobar Midea 124 Litros Branco MRC12B2 - 220V
0,0.9969911575317383,fogoes,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,Fogão de Piso com Acendimento Automático Waves 5 Bocas Itatiaia
0,0.6848646402359009,celulares,"Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Branco","Smartphone Motorola Edge 20 128GB 5G Wi-Fi Tela 6,7'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Verde"
0,0.9586521983146667,tvs,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant","Android Tv Led 43"" Tcl 43s6500 Bluetooth, Controle Remoto Com Comando De Voz E Google Assistant"
1,0.9868760108947754,celulares,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,Smartphone Motorola Moto G20 128GB 4GB RAM Azul
1,0.33099231123924255,geladeiras,Refrigerador Philco Side By Side PRF533I 220v,Refrigerador Philco Side By Side Eco Inverter 434L 127V
1,0.9790544509887695,fogoes,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,Fogão 5 Bocas Electrolux Branco Automático com Ultra Chama e Painel Completo (76LBU) - Bivolt
0,0.7188193798065186,tvs,"Smart TV LG OLED 65"" 4K OLED65C1 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa","Smart TV OLED 83"" LG OLED83C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial Thinq Google Alexa"
1,0.8502575755119324,celulares,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,"Smartphone Motorola Moto G20, Tela 6.5, 64GB, Octa-Core, Câmera Quádrupla 48 + 8 + 2 + 2MP, Selfie 13MP - Android 11"
0,0.9853934645652771,geladeiras,Frigobar Consul 117L CRC12 - 110V,Frigobar 117L consul - CRC12CBBNA
0,0.1437290757894516,fogoes,Fogão 5 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt,Fogão 4 Bocas Mesa de Inox Forno Easy Cean Plus Preto Bivolt
1,0.9479984641075134,fogoes,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,Fogão Waves 4 Bocas - Preto
0,0.44004878401756287,fogoes,Fogao A gas palladio vitreo 4 Q branco gás glp,Fogao A gas palladio vitreo 5 Q branco gás glp
0,0.0033153146505355835,fogoes,Fogão de Piso Fischer 4Q Gran Cheff Gás,Fogão de Piso Fischer Gran Cheff 5 Bocas Gás 220v
0,0.4993596374988556,geladeiras,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,Geladeira Panasonic Frost Free 480L NR-BB71GVFB Black Glass - 110v
0,0.30546149611473083,fogoes,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,Fogão 5 bocas Mueller Fratello Grafite acendimento automático Bivolt
1,0.9726677536964417,geladeiras,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,Geladeira Brastemp Frost Free Inverse 443 litros cor Inox com Turbo Ice - BRE57AK 110V
1,0.9094074964523315,fogoes,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,Fogao A gas maxi vitreo 5 Q preto fosco gas glp
1,0.8624057173728943,geladeiras,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts
0,0.31587299704551697,fogoes,Fogão Atlas 5 Bocas Preto Acendimento Automático Bivolt,Fogão Atlas 4 Bocas preto Atenas Glass com Acendimento automático - Bivolt
1,0.9905797839164734,geladeiras,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,Geladeira Continental TC56 Frost Free 472L
0,0.9612213969230652,fogoes,Fogao Mueller Fratello Vetro 4bcs 601230011,Fogão 4 Bocas Mueller Fratello Vetro
1,0.8267945647239685,notebooks,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,"Notebook Lenovo Ultrafino IdeaPad 3 R5-5500U 8GB 256GB SSD Windows 11 15.6"" 82MF0003BR Prata"
1,0.9345581531524658,fogoes,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,Fogao 5b mueller fratello vetro mesa vidro - 601230014
0,0.16885161399841309,fogoes,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,Fogão A Gás glp Venax Delplus Vítreo 4 Bocas Bivolt Amarelo
1,0.8756598830223083,fogoes,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica - 220V Código: 7883-11654
1,0.9244066476821899,fogoes,Fogao realce iris glass 5B,Fogão 5 Bocas Realce Iris Glass Mesa De Vidro Preto Bivolt
0,0.34484678506851196,fogoes,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,Fogão Dako Supreme Glass 4 Bocas Branco - Bivolt
1,0.9475781321525574,geladeiras,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros
1,0.7002894878387451,notebooks,"Notebook Samsung Book E30 4GB, 15.6'', Intel Core i3, ssd 256GB, Windows 10 Home, cinza","Notebook Samsung Book 11ª Intel Core i3-1115G4 4GB 256GB SSD 15,6"" Full HD Windows 10 Home, Cinza Chumbo"
