match,pred,categoria,titulo_1,titulo_2
0,0,fogoes,Fogão 2 Bocas Guindani Com Queimador Duplo 72Cm Inox 304,Fogão de piso Best Cook Preto 4 Queimadores Suggar
0,0,fogoes,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,Fogão Brastemp 5 Queimadores Inox 220v
1,1,fogoes,Fogão Atlas 4 Bocas Branco,Fogão de Piso Atlas Mônaco Top Glass 4 Bocas Acendimento Automático Branco
0,1,fogoes,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,Fogão à Gás 5 Bocas Fascino Automático Clarice Tripla Chama Bivolt Branco
0,1,fogoes,Kit Fogão Campeiro 75X45 - Chapa 1 Furo + Porta M + Grelha,Forno de Embutir a Gás Brastemp 78 Litros Cor Inox com Convecção e Termômetro Meat Control - BOH84AR 220V
0,1,fogoes,Fogão 5 Bocas Acendimento Automático Piacere Stile Mueller Bivolt Preto Fosco,Fogão 5 Bocas Bivolt Automático Mesa de Vidro Essencial Itatiaia Branco
1,1,fogoes,Fogão Atlas 5 Bocas Mônaco Top Glass com Mesa de Vidro Temperado Bivolt Branco,Fogão 5 Bocas Atlas Mônaco Mesa Vidro 300000710 - Branco
1,1,fogoes,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,Fogão 4 Bocas Mueller Moderatto G6 Branco
0,0,fogoes,Fogão 5 Bocas Mesa de Vidro Horus com Acendimento Glass Bivolt Inox,"Fogão Brastemp 4 Bocas BFO4VAE com Mesa de Vidro Temperado, Grades Duplas de Ferro Fundido e Acendimento Automático Bivolt? Preto"
0,0,fogoes,Fogão de Piso 4 Bocas Mesa Inox Vidro Duplo 60L Dako Supreme branco Bivolt,"BAKE CHEF MINI - FORNO ELÉTRICO, CAPAC 9 LITROS, ASSA, TOSTA, GRELHA, 220V"
1,1,fogoes,Fogão 5 Bocas Fratello Vetro com Mesa de Vidro Mueller,Fogão de Piso 5 Bocas Fratello Vetro Mueller
