match,pred,categoria,titulo_1,titulo_2
1,1,notebooks,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,"Notebook Ultra, W11 Home, Processador Intel Celeron N4020, Memória 4GB 120GB SSD, Tela 15,6 Pol, Microsoft 365 Personal com 1TB na Nuvem Prata – UB220"
0,1,notebooks,"Notebook Dell Inspiron i15-i1100-U10P 15.6"" Full HD Intel Pentium Gold 4GB 128GB SSD Linux Preto","Notebook Dell Inspiron 2020 Premium 14 polegadas HD Notebook Computador, 4 núcleos Intel Core i5-1035G4 até 3,7 GHz, Iris Plus Graphics, 8 GB RAM, 512 GB SSD+1TB HDD, sem DVD, webcam, Bluetooth, Wi-Fi, HDMI, Win 10"
0,1,notebooks,Notebook hp 15-DY2074NR 15.6 Intel Core I3-1115G4 - Prata Oferta!,"Notebook Ultra, Com Windows 10, Processador Core i3, 4GB de RAM, 1 TB de Armazenamento, Tela 14.1, Prata - UB431"
1,1,notebooks,"Notebook Lenovo Ideapad 3i Intel Celeron N4020 Memoria 4GB Ssd 480GB Tela 15,6'' HD Windows 10 Pro","Notebook Lenovo Ultrafino Ideapad 3i Intel Celeron-N4020 4GB 128GB SSD W10 15.6"" Prata"
1,1,notebooks,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,Notebook Acer A315 Intel Celeron N4000 Memoria 8gb HD 1tb Tela 15.6' Hd Windows 10 Home
1,1,notebooks,"Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco","Notebook Samsung Book NP550XDA, Processador Intel Celeron 4GB HD 500GB Windows 10 Tela 15.6, Branco"
0,1,notebooks,"Para Notebook Lenovo Ideapad Ultrabook U400 19V 3,42A","Notebook Msi Modern 14, Intel I7-1165g7, 14, Fhd, 8gb Ddr4, Ssd 512gb M.2, Blue Stone, Modern14b11mo-241us"
1,1,notebooks,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,Notebook ideapad Gaming 3i i5-10300H 8GB 256GBSSD gtx 1650 4GB 15.6 fhd wva Linux 82CGS00100
1,1,notebooks,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",Notebook Vaio 10ª Geração I3 4gb 128 Ssd Tela 14 Full Hd
0,1,notebooks,"Lenovo Notebook IdeaPad 3 17ITL06 82H900EDUS 17,3"" - HD+ - 1600 x 900 - Intel Core i3 11ª geração i3-1115G4 Dual-core (2 núcleos) 3 GHz - 8 GB RAM - SSD de 256 GB - Cinza Ártico - Intel Chip - Windows 11 H",Notebook Positivo Motion I34128BI 14 HD Intel Core i3-6157U 128GB SSD 4GB Linux Cinza Escuro
0,1,notebooks,Notebook Acer PH315-54-748Y i7-11800H/16GB/512GB/RTX3050 Ti 4GB/15.6 144Hz FHD/W10 Oferta!,"Dell Inspiron i3501-U25P - Tela 15.6, Intel i3 1005G1, 4GB, ssd 256GB, Linux"
1,1,notebooks,Notebook ASUS E510MA-BR295R Preto,Notebook Asus Intel Celeron 2.8GHz 4GB ram 128GB ssd Windows 10 Pro Tela 15.6
0,1,notebooks,NOTEBOOK ULTRA 15 CORE I5 8GB 480GB SSD W10 Multilaser PRATA UB520,Notebook ASUS E510MA-BR295R Preto
0,1,notebooks,"Notebook Dell Inspiron de 15,6 polegadas HD Performance – Intel Dual-Core i5-7200U 2.5GHz, 8GB DDR4, 512 GB SSD, DVD, Bluetooth, WLAN, MaxxAudio, HDMI, Webcam, leitor de cartão 3 em 1, Win 10",Notebook Asus X509MA-EJ538T 15.6 Intel Celeron N4020 ssd 128 gb - Slate Grey Oferta!
0,0,notebooks,Notebook Asus Vivobook 15 oled K513EA-L11236T 15.6 Intel Core I5-1135G7 - Plata Oferta!,NTB POSITIVO MOTION GRAY Q464C
1,1,notebooks,Notebook ASUS X571GT-AL888T INTEL CORE I5 9300H / NVIDIA GeForce GTX1650 / 16 GB / 256 GB SSD / Windows 10 Home / Black,Notebook asus X571GT-AL888T Preto
1,1,notebooks,"Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata",Notebook Lenovo Ultrafino ideapad S145 i7-1065G7 8GB (Placa de Vídeo Intel Iris Plus) 256GB SSD W10 15.6'' FHD Prata
0,1,notebooks,"MSI Laptop diário fino e leve 15A moderno: 15,6"" FHD 1080p, Intel Core i7-1195G7, Intel Iris Xe, 8GB, SSD 512GB, Win10, cinza carbono (A11MU-653)","ASUS 11,6"" Chromebook 4GB RAM 16GB eMMC Flash Memória Cinza"
0,1,notebooks,"Notebook asus VivoBook X513EA-EJ3010 Intel Core i7 1165G7 8GB 256GB ssd Linux 15,6 LED Preto","Acer Notebook Aspire 3 14"" FHD - AMD Athlon 3020e 1,2GHz - 4GB RAM 128GB PCIe SSD - Webcam - Windows 10 Home - A314-22-A21D, preto carvão"
