match,pred,categoria,titulo_1,titulo_2
1,1,tvs,Smart TV LED HD 32” Panasonic Media Player 2 HDMI 2 USB TC-32FS500B,Tv 32 Polegadas Led Hd Smart Panasonic
0,0,tvs,"Car MP4 Player, Car Music Player, removível para carro entretenimento Veículo Audiovisual System Auto-condução Tour Car Electronics",Tv Ptv24g50sn Led Bivolt
1,1,tvs,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,"Smart TV Roku 50"" Philco Led UHD 4K PTV50RCG70BL Wi-Fi 4 HDMI 2 USB e Midiacast"
0,0,tvs,Boroscópio com saídas USB / TV / Cartão sd - Akrom KR150,"Smart TV Samsung 65"" QLED 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela 65"""
0,0,tvs,Smart TV 40'' Philco PTV40G60SNBL FHD com Tela Infinita Audio Dolby Loja de Aplicativos e Processador Quadcore,"Tela 43"" FHD com Função Smart e Wi-Fi Integrado - Multilaser, TL027"
0,0,tvs,LED de sinalização eletricamente senoidal aberto 100-240V super seguro azul-Regulamentos dos EUA,"Car MP4 Player, compatível com 1080P Car Music Player, para entretenimento autônomo em carros de turismo"
0,0,tvs,"Smart TV LED 43"" Full HD AOC ROKU TV FHD 43S5195/78G, Wi-Fi, 3 HDMI, 1 USB, Wifi, Conversor Digital","Smart TV QLED 55"" UHD 4K Samsung The Frame QN55LS03TAG Modo Arte Modo Ambiente 3.0 com Molduras Customizáveis Única Conexão - 2020"
0,0,tvs,Samsung Smart TV LED 40'' Tizen FHD 40T5300 2020 com WIFI HDR para Brilho e Contraste e Plataforma Tizen,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG
0,0,tvs,Tv Digital Full Hd Ford Territory 2021 Faaftech Ft-Vf-Frd6,"TV LED 39"" Philco HD com Conversor Digital 3 HDMI 1 USB Som Surround 60Hz - Preta"
0,0,tvs,"Smart TV Samsung 65 4K Ultra hd, LED UN65BU8000GXZD, Wi-fi Integrado",Smart Tv 40S615 40 Polegadas Led Full Hd Hdr WiFi Android Tcl
0,0,tvs,"Philips Hue Gradient Tube / CMP/ Black,Compact,569129",Smart Tela Toshiba Qled Display 55 Pol. 55m550kb Quantum Dot 4k Vidaa Hdr - TB001
0,1,tvs,GOOGLE TV LED 55” TCL P725 4K UHD,Smart TV Toshiba LED Quantum DOT 55 UHD 4K TB001
0,1,tvs,Televisao 39 Polegadas Hd s/ Conversor Digital Tlo33,"Smart TV Philco PTV39G60S 39, lcd, led, hd, hdmi, Netlix"
1,1,tvs,"Samsung Smart TV 65"" Crystal UHD 4K 65AU8000, Painel Dynamic Crystal Color, Design slim, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único","Smart TV 65"" Crystal UHD Samsung 4k 65AU8000 Painel Dynamic Crystal Color Design Slim Tela Sem Limites"
0,0,tvs,"2021 Smart TV LG 65"" 4K NanoCell 65NANO85 120Hz FreeSync 2 HDMI 2.1 Inteligência Artificial ThinQAI Google Alexa",Tv Digital Full Hd Fiat Toro 2022 Faaftech Ft-Vf-Uc4
1,1,tvs,"Smart TV Samsung qled 4K 55, Slim Frame, Modo Arte, Molduras Costumizáveis e Conexão Única - 55LS03AA","Smart TV Samsung QLED 4K The Frame 2021 55LS03A Design Slim Molduras Customizáveis Modo Arte 55"" 55"""
0,1,tvs,"Samsung Smart TV 65'' QLED 8K 65Q800T, Processador com IA, Borda Infinita, Alexa built in, Som em Movimento, Modo Ambiente 3.0","PHILIPS Android TV 65"" 4K 65PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0"
0,0,tvs,Philco TV 42 Led PTV42G52RCF,"SAMSUNG, TV Smart 50 BEAHVGGXZD"
0,0,tvs,"Monoprice Suporte articulado de parede para TV motorizado acima da lareira, movimento total, para TVs entre 50 e 254 cm, peso máximo 50 kg",Smart TV 4K LED 65 Samsung LH65BENELGA Ultra HD Wi-Fi Conversor Digital 3 hdmi 2 USB
0,0,tvs,HD 4K Android 6.0 WiFi Smart Proyector (preto),Samsung Monitor 27 F27G35TFWL Preto
0,0,tvs,TX-NR5100 7.2-Channel 8K AV Receiver,SAMSUNG TV Smart 65 BEAHVGGXZD
0,0,tvs,Smart TV 58” Philips 58PUG6654/78 4K UHD HDR10+ Dolby Vision Dolby Atmos Bluetooth WiFi 3 HDMI 2 USB - Prata Bordas ultrafinas,Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast
0,0,tvs,100-240V Painel de LED dinâmico de controle remoto elétrico seguro colorido aberto para varejo azul-Regulamentos dos EUA,"Smart Tv LG 55"" 55UN7310 4K UHD Wifi Bluetooth HDR 3 HDMI 2 USB Inteligência Artificial Thinq Ai Google Assistente"
0,0,tvs,Samsung Monitor 27 F27G35TFWL Preto,Tv Monitor Led De 22 Hye Hd Hdmi/Usb/Conversor Digital
0,0,tvs,Zopsc-1 Bateria recarregável portátil de TV de 13 polegadas 1800 mAh ATSC Digital TV HD Televisão para vida de carro para acampamento externo EUA Plug 110-220V,"Smart TV LED 39” PTV39G50S Philco HD com HDR, Processador Quad Core E Loja de Aplicativos"
0,0,tvs,Tv Monitor Led De 22 Hye Hd Hdmi/Usb/Conversor Digital,Tela 39 Polegadas Hd Smart Com Fire Stick- Multilaser- Tl044
0,0,tvs,Tela 32 Pol. HD Multilaser Entradas HDMI USB - TL022,"Smart TV LG 50"" 4K UHD 50UP7750 Wi-Fi Bluetooth HDR 2 USB 3 HDMI Inteligência Artificial Thinq Smart Magic Google Alexa"
0,0,tvs,"Smart TV Led 55” Tcl P715 4K Android UHD HDR com Wi-Fi e Bluetooth Integrados, Comando de voz à distância, Google Assistant","Monitor, Tela sensível ao toque de 10,1 polegadas, Seleção ultra multilíngue de PPI de alta resolução Sinal(U.S. regulations)"
0,0,tvs,Fast Smart Tv Philco 50 Polegadas Ultra Hd Roku 4k Preto Bvolt,SAMSUNG Monitor 24 F24T350FHL Preto
0,1,tvs,"Tv 43 Led Full HD Lg, 43LW300C, Hdmi, USB",TV 39 Polegadas HD TL028 Multilaser
0,1,tvs,"Smart TV LED 50"" Philco PTV50D60SA FULL HD Conversor Digital Integrado 2 HDMI 2 USB Wi-Fi","Monitor, Tela sensível ao toque de 10,1 polegadas, Seleção ultra multilíngue de PPI de alta resolução Sinal(U.S. regulations)"
1,1,tvs,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,Fast Smart Tv Philco 50'' Ultra Hd Roku 4k Preto Bivolt
0,0,tvs,Tv Digital Full Hd E Espelhamento Ford Territory 2021 Faaft,"Samsung Monitor 21,5 S22F350Fhl Preto Brilhante"
0,0,tvs,Smart TV LED 65” LG 65NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa,Tv Digital Full Hd E Espelhamento Fiat Toro 2022 Faaftech F
0,0,tvs,Smart Tv Philco 42 D-Led Full HD PTV42G10N5SKF Preto Bivolt,"Smart TV 75"" UHD Samsung 4k 75AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In"
