match,pred,categoria,titulo_1,titulo_2
1,1,tvs,"Smart TV 65 uhd 4K Samsung 65AU7700, Processador Crystal 4K, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único","Smart TV 65"" UHD Samsung 4k 65AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In"
0,1,tvs,"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras Customizáveis Modo Arte","Samsung Smart Tv Qled 4k The Frame 2020 43"", Modo Arte, Molduras Customizáveis, Única Conexão E Suporte No-gap"
0,1,tvs,Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa,Smart TV LED 75” LG 75NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa
1,1,tvs,Tela Smart Toshiba 43 dled Full HD hdmi USB Bluetooth Wi-fi Bivolt,Smart TV Toshiba 43'' 43V35KB dled HD Smart TB008 vidaa Bivolt
0,0,tvs,TV Android Led 50 fhd 1920x1080 Philco Bivolt PTV50D60SA,Smart TV Philco 86 4k Sb Led Android Netflix Bivolt
1,1,tvs,"Smart TV 4K Samsung qled 55 com Modo Game, Alexa built in e Wi-Fi - QN55Q70AAGXZD","Smart Tv 55"" Samsung Qled 4k 55Q70A Modo Game Processador Ia Som Em Movimento Virtual Tela Sem Limites"
0,1,tvs,Smart TV 43'' LG 43LM631C0SB.BWZ Full HD Wi-Fi + 2 USB 3 HDMI,Smart TV 43'' Full HD Multilaser TL024 Wi-Fi 3 hdmi 2 USB Bivolt
0,0,tvs,Smart TV 32 Philco PTV50RCG70BL LED Quad-Core hdmi USB,Smart TV Led aoc 32 Polegadas Wi-Fi Entrada hdmi USB
0,1,tvs,"TV LED 39"" Philco HD com Conversor Digital 3 HDMI 1 USB Som Surround 60Hz - Preta","Smart TV LED 40"" Philco Ph40e60dsgwa Full HD com Conversor Digital 2 HDMI 2 USB Wi-Fi"
1,1,tvs,"Smart TV Panasonic 40"" LED Full HD Wi-Fi 2 USB 2 HDMI","Smart TV LED 40"" Panasonic TC-40FS500B Full HD"
0,0,tvs,Smart TV LED 40'' Full HD Philco PTV40G70N 3 HDMI 2 USB Wi-Fi,"Smart TV LED 40"" Philco Ph40e60dsgwa Full HD com Conversor Digital 2 HDMI 2 USB Wi-Fi"
0,1,tvs,Smart TV Philips LED 50 4K Ultra HD Wi-Fi Android Comando de Voz 50PUG7406/78,"Smart Tv Philips Android  65"" 4k 65pug7406/78 , Google Assistant, Comando de Voz, Dolby Vision, Bluetooth 5.0"
0,0,tvs,Smart TV aoc 39 Polegadas HD Roku TV Série 5195,TV 39 Polegadas HD TL028 Multilaser
0,0,tvs,Smart TV Philips 55 4K uhd 55PUG7625 HDR10 + P5 WiFi Bluetooth Dolby Vision Dolby Atmos 3 hdmi 2 USB,Smart TV 58” Philips 58PUG6654/78 4K UHD HDR10+ Dolby Vision Dolby Atmos Bluetooth WiFi 3 HDMI 2 USB - Prata Bordas ultrafinas
1,0,tvs,"Smart TV LED 32 aoc 32S5195/78G com Wi-Fi, 1 usb, 3 hdmi, com Botão Netflix/Youtube e 60Hz",Smart TV AOC Roku LED 32'' 32S5195/78 Wi-Fi 3 HDMI 1 USB com Controle Remoto com atalhos Roku Mobile Miracast
1,1,tvs,"Samsung Smart TV 65"" QLED 4K The Frame 2021 65LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão","Smart TV Samsung QLED 4K The Frame 2021 65LS03A Design Slim Molduras Customizáveis Modo Arte 65"" 65"""
1,1,tvs,"PHILIPS Android TV 55"" 4K 55PUG7406/78, Google Assistant Built-in, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0","Smart TV Philips Android  55"" 4k 55pug7406/78, Google Assistant, Comando De Voz, Dolby Vision/atmos, Vrr/allm, Bluetooth"
0,0,tvs,"Smart TV 65"" Samsung Qled 4k 65Q60A Modo Game Som Em Movimento Virtual Tela Sem Limites Design Slim","Smart Tv 55"" Samsung Qled 4k 55Q70A Modo Game Processador Ia Som Em Movimento Virtual Tela Sem Limites"
0,0,tvs,"Lg Smart Tv Pro Ai 32"" 32lm621cbsb.awz",LG 4K UHD SMART TV
1,1,tvs,Smart TV LED HD 32” Panasonic Media Player 2 HDMI 2 USB TC-32FS500B,Tv 32 Polegadas Led Hd Smart Panasonic
1,1,tvs,Tela 43 Polegadas Full Hd + Conversor Tv Digital Externo Multilaser - TL029,TV 43 Full Hd Multilaser Conversor Tv Digital Externo - TL029
1,1,tvs,"Smart TV Samsung QLED 4K 65Q70A Design Slim Modo Game Som em Movimento Virtual Tela Sem Limites 65"" 65""","Smart TV Tela Qled 65"" Samsung 65Q70A 4k Conversor Digital Wi-Fi integrado 2 USB 4 HDMI Modo Game Som Em Movimento Virtual Tela Sem Limites"
0,0,tvs,Tela 24 Polegadas HD Multilaser - TL037,Tela 39 polegadas HD Multilaser - TL028
