match,pred,categoria,titulo_1,titulo_2
0,1,geladeiras,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,Frigobar Midea 124 Litros Branco MRC12B2 - 220V
1,1,geladeiras,Refrigerador Philco Side By Side PRF533I 220v,Refrigerador Philco Side By Side Eco Inverter 434L 127V
0,1,geladeiras,Frigobar Consul 117L CRC12 - 110V,Frigobar 117L consul - CRC12CBBNA
0,0,geladeiras,Geladeira Panasonic Frost Free 425L NR-BB53GV3B Black Glass - 110v,Geladeira Panasonic Frost Free 480L NR-BB71GVFB Black Glass - 110v
1,1,geladeiras,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,Geladeira Brastemp Frost Free Inverse 443 litros cor Inox com Turbo Ice - BRE57AK 110V
1,1,geladeiras,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts
1,1,geladeiras,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,Geladeira Continental TC56 Frost Free 472L
1,1,geladeiras,Refrigerador Frost Free Duplex Branca 472 Litros (TC56) - Continental,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros
0,0,geladeiras,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 2 Portas Aço Escovado Frost Free 127V NR-BB53PV3XA
1,1,geladeiras,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,Refrigerador LG Side By Side New Lancaster GS65SDN Aço Escovado 601L 220V
1,1,geladeiras,Geladeira Panasonic Frost Free Aço Escovado 480L 110V NR-BB71PVFXA,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V
1,1,geladeiras,"Geladeira/Refrigerador Philco Side by Side PRF520DI, Frost Free, 2 Portas, 520 Litros, Inox",Side By Side Philco PRF520DI – Geladeira e Freezer
0,1,geladeiras,Geladeira Lg Automática 525L 3 Portas French Door Inverter,Geladeira Lg Automática 506L 2 Portas Top Freezer Inverter
0,1,geladeiras,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,Geladeira/Refrigerador Electrolux Duplex DFN41 Frost Free 371L Branca - 110V
1,1,geladeiras,Refrigerador BRM45 375 Litros Frost Free 110W Brastemp,Refrigerador Brastemp 2 Portas Branco 375L Frost Free 127V
1,1,geladeiras,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,Geladeira Refrigerador Frost Free BRM56AK 462 Litros 2 Portas Brastemp
1,1,geladeiras,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,Refrigerador BRM45 375 Litros Frost Free 110W Brastemp
1,1,geladeiras,Frigobar Midea 124 Litros Branco MRC12B,Frigobar Midea 124L Branco MRC12 - 220v
1,1,geladeiras,Refrigerador Brastemp Ative Inverse Maxi BRE80 573 Litros Iluminação LED Branco 110,Geladeira Brastemp Frost Free Inverse 573 litros Branca com Smart Bar - BRE80AB
0,1,geladeiras,Refrigerador Smart LG Side By Side Door In Door 601L Inox 127V GS65SDN,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1
1,1,geladeiras,Refrigerador Smart LG 601 Litros Side by Side com IceWater e System e LG ThinQ Inox GC-L247SLUV – 127 Volts,Geladeira Smart LG Side by Side Inverter 601 Litros GC-L247SLUV com LG ThinQ Inox - 110v
1,1,geladeiras,Geladeira Gorenje Ion Generation 2 Portas Inverse Inox 220V NRK6192UX,Refrigerador Ion Generation Inverse Inox Gorenje 220v
0,0,geladeiras,"Geladeira/Refrigerador Panasonic 483 Litros NR-BT55PV2, Frost Free, 2 Portas, Econavi, Branco","Geladeira/Refrigerador Panasonic 435 Litros NR-BT51PV3, Frost Free, 2 Portas, Econavi, Aço Escovado"
0,1,geladeiras,Frigobar RE80 79L Branco - Electrolux 110V,Frigobar 79L electrolux - RE80
1,1,geladeiras,Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,Geladeira LG Smart French Door InstaView Door In Door 525 Litros Preta 220V GR-X228NMS1
0,1,geladeiras,Refrigerador Samsung 617 Litros 2 Portas Frost Free Side Inverse RS65R5411M9,Refrigerador 528 Litros 2 Portas Frost Free Side By Side Midea
1,1,geladeiras,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,Geladeria/Refrigerador Consul Duplex CRE44 Frost Free com Freezer Embaixo 397 litros Evox - 220V
0,1,geladeiras,Refrigerador Invert Frost Free 483L Duplex Panasonic,Refrigerador Panasonic Frost Free 483L Aço Escovado
1,1,geladeiras,Mini Geladeira 10L Branca 110V-12V Cabo Ac-Dc Tv015,Mini geladeira 10L (110V/12V) cabo ac/dc branca - TV015
1,1,geladeiras,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK,Geladeira Consul Frost Free Duplex CRE44AK Evox 397L - Consul
1,1,geladeiras,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,Refrigerador Consul CRM43 2 Portas 386 Litros Frost Free
1,1,geladeiras,Mini Geladeira 10L Branca Painel Led Trivolt Com Cabo Ac/dc - Tv015,Mini geladeira 10L (110V/12V) cabo ac/dc branca - TV015
1,1,geladeiras,Geladeira Frost Free Continental TC41S 370 L Duplex Platinum 110V,Geladeira/Refrigerador Continental TC41S Platinum 370L Frost Free 220v
1,1,geladeiras,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável - CRM43NB 110V,Refrigerador Consul CRM43 2 Portas 386 Litros Frost Free
0,1,geladeiras,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável - CRM43NB 110V
0,1,geladeiras,Refrigerador ngv 10 vermelho,Refrigerador Ngv 10 Vermelho 12/24 V
1,1,geladeiras,Geladeira/Refrigerador Samsung Duplex RT38K5A0KS9 Inox Look 385L com All-Around Cooling - Bivolt,Refrigerador Samsung Evolution RT38KS 385L Duplex
0,1,geladeiras,Geladeira Duplex Inverter Frost Free com 425 Litros BB53 Panasonic,Geladeira Midea Md-rt453fga042 425 Litros Frost Free Duplex Inox 220V
0,1,geladeiras,Refrigerador Brastemp Side By Side Inverse 540 L Inox 110v,Refrigerador Brastemp Side By Side Inverse 540 L Inox 220v
0,1,geladeiras,"Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex 
 Branca com Painel Eletrônico Externo - 110v",Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex Inox com Painel Eletrônico Externo - 110v
1,1,geladeiras,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 110V,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK
0,1,geladeiras,Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 220V 2 Portas Preto Frost Free NR-BB53GV3BB,Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 2 Portas Aço Escovado Frost Free 220V NR-BB53PV3XB
0,1,geladeiras,Frigobar Midea MRC08B 71L Branco,Frigobar Midea 71 Litros Branco MRC08B – 220 Volts
0,1,geladeiras,Refrigerador Panasonic Frost Free 483L Aço Escovado,Refrigerador Invert Frost Free 483L Duplex Panasonic
0,1,geladeiras,Side By Side Philco PRF520DI – Geladeira e Freezer,Refrigerador Philco Side By Side Touch 520L PRF520DIP – Geladeira e Freezer
0,1,geladeiras,Geladeira/Refrigerador Samsung French Door RF27T5501SG Black Inox 614L Family Hub SmartThings (Wi-Fi) - 127v,Geladeira/Refrigerador Samsung French Door RF22R7351SR Inox Look 501L Smart (Wi-Fi) com FlexZone
1,1,geladeiras,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Branca com Controle Interno de Temperatura - 220v,Refrigerador Consul 2 Portas Frost Free 410 Litros CRM50HBANA
1,1,geladeiras,Mini Geladeira 10L Branca 110V-12V Cabo Ac-Dc Tv015,Mini Geladeira 10L Branca Painel Led Trivolt com Cabo ac/dc Multilaser - TV015
0,1,geladeiras,Geladeira/Refrigerador Consul Duplex Frost Free 340 litros CRM39 Evox 110V,Geladeira/Refrigerador Consul Duplex Frost Free 340 litros CRM39 Branca 220V
1,1,geladeiras,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V,Refrigerador LG inverse 451 litros inox GC-B659BSB1 - Aço Escovado - 220 V
0,1,geladeiras,Geladeira Philco 467 Litros PRF505TI Frost Free Eco Inverter Inox,Geladeira Philco 554 Litros PRF600I Side by Side Frost Free Eco Inverter Inox
1,1,geladeiras,Geladeira Lg Bottom Freezer 451 Litros Inox 110v Gc-b659bsb,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V
0,1,geladeiras,Refrigerador Brastemp 2 Portas Branco 375L Frost Free 127V,Refrigerador Brastemp 375l 2 Portas Evox Frost Free 127V
0,1,geladeiras,Refrigerador MD-RS587FGA041 Side by Side 528L RS5871 Midea,Refrigerador Midea Side by Side 528L Preto Midea
1,1,geladeiras,Geladeira Brastemp Frost Free Duplex 462 litros Branca com Turbo Control - BRM56AB 110V,Refrigerador Brastemp Frost Free Duplex 462 Litros com Turbo Control Branca BRM56AB – 127 Volts
1,1,geladeiras,Refrigerador Brastemp 2 Porta Evox 375l Frost Free 220v,Geladeira/Refrigerador Brastemp Frost Free BRM45 375 Litros Inox - 220v
1,1,geladeiras,Geladeira Panasonic Generation Frost Free 435L Aço Escovado,Geladeira Panasonic Frost Free 435L NR-BT51PV3XA Aço Escovado - 110V
