,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,0,fogao a gas picasso vitreo 6 q preto fosco gas glp,7899552142503,fogoes,872.3433649539948,0,0,0,1,2,0.2,1,3,0.06,3,0.3333333333333333,0.0003762227238525207
1,1,smart tv led hd 32 panasonic media player 2 hdmi 2 usb tc32fs500b,7896067213285,tvs,872.3433649539948,1,1,1,1,10,1.0,1,13,0.26,1,1.0,0.00012540757461750688
2,3,fogao 4 bocas essencial automatico mesa de vidro bivolt itatiaia inox,7892946411780,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.00012540757461750688
3,4,smartphone samsung galaxy a02 32gb 13mp 65 vermelho,7892509117708,celulares,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
4,6,fogao de piso electrolux 76dxv a gas 5 queimadores 2 fornos prata 110v 33052vba188,7909569000502,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
5,7,rele solenoide de partida 12v 4 terminais resistente ao desgaste b6az11450a vermelho substituicao do interruptor do rele solenoide para aerostar 28l 171 v6 1986 para carro,7448513007469,notebooks,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
6,8,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
7,9,smartphone multilaser e pro 32gb 4g tela 5 dual 1gb ram,7908414420236,celulares,872.3433649539948,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
8,10,frigobar 117l consul  crc12cbbna,7891129224070,geladeiras,872.3433649539948,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.00012540757461750688
9,11,fogao de piso itatiaia waves 4 bocas acendimento automatico,7892946310397,fogoes,872.3433649539948,0,0,0,1,3,0.3,1,7,0.14,5,0.2,0.0006270378730875344
10,12,fogao a gas gaudi vitreo 5 q inox gas glp,7899552145313,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
11,13,car mp4 player car music player removivel para carro entretenimento veiculo audiovisual system autoconducao tour car electronics,7003163886521,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
12,14,fogao a gas 5 bocas fascino automatico clarice mega chama bivolt preto,7898342108781,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
13,15,depurador de ar slim preto 80cm 220v suggar,7896518513971,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
14,17,forno eletrico fischer infinity embutir 50l preto 220v cgrill,7896513319776,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
15,18,smart tv roku led 50 philco uhd 4k bivolt netflix,7891356090912,tvs,872.3433649539948,1,1,1,1,6,0.6,1,15,0.3,1,1.0,0.00012540757461750688
16,19,fogao 5 bocas tripla chamalux,7897575153759,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
17,21,notebook samsung core i51135g7 8gb 256gb ssd tela full hd 156 windows 10 book np550xdakf2br,7892509117128,notebooks,872.3433649539948,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.00012540757461750688
18,23,refrigerador frost free duplex 340litros crm39akana consul,7891129514232,geladeiras,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
19,24,fogao 4 bocas clarice delicato plus glass preto bivolt,7898342104875,fogoes,872.3433649539948,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
20,25,fogao 5 bocas electrolux grill e timer digital 76gsr bivolt,7909569000410,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
21,26,linha de escova de celular cabo de porta aberta ampla compativel com desbloqueio de dados avancado 9008 modo branco para engenharia de bloqueios bl,7418914658812,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
22,27,fogao brastemp 5 bocas cor inox com botoes removiveis e exclusivo aro protetor  bfs5ncr bivolt,7891129264373,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
23,28,fogao a gas del plus vitreo 5 bc verde glp venax,7899552141186,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.00012540757461750688
24,29,fogao atlas 5 bocas agile glass inox com mesa de vidro com acendimento automatico  bivolt,7897180502478,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
25,32,hp pavilion x360 2in1 laptop 116 hd ips touchscreen display 4core pentium silver n5030 up to 31ghz uhd graphics 605 4gb ddr4 ram 1tb pcie ssd usbc hdmi sd reader qwerty us kb win 11,850001844093,notebooks,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
26,36,fogao de piso mesa de vidro front control 5 queimadores branco bivolt suggar,7908312800352,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,10,0.2,1,1.0,0.00012540757461750688
27,37,fogao de piso suggar max cook mesa de vidro 5 queimadores preto bivolt,7890170305837,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
28,38,boroscopio com saidas usb  tv  cartao sd  akrom kr150,7900661640634,tvs,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
29,39,fogao 5b fischer gran cheff grill auto acendimento inox 220v,7896513318243,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.00012540757461750688
30,41,fogao itatiaia dream 5 bocas preto tripla chama bivolt,7892946311196,fogoes,872.3433649539948,0,0,0,1,2,0.2,1,3,0.06,5,0.2,0.0006270378730875344
31,42,fogao atlas agile up glass 5 bocas acendimento automatico preto,7897180506322,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,23,0.46,1,1.0,0.00012540757461750688
32,43,fogao a gas de piso 5 bocas dako turbo glass,7897180503031,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
33,44,cabo flexivel da camera frontal profissional confiavel estavel ajuste perfeito camera frontal cabo,7450111502437,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
34,45,notebook acer aspire 3 celeron w10 home 4gb 256gb ssd 14 polegadas a31435c4cz,4710886653042,notebooks,872.3433649539948,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
35,46,smart tv 40 philco ptv40g60snbl fhd com tela infinita audio dolby loja de aplicativos e processador quadcore,7899466434862,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
36,48,fogao 5 bocas de piso electrolux ultra chama silver  76lsu,7909569000274,fogoes,872.3433649539948,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.00012540757461750688
37,49,refrigerador brastemp inverse frost free 573l evox 220v bre80ak,7891129236714,geladeiras,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
38,50,fogao mueller 5 bocas fratello vetro branco bivolt,7908156900416,fogoes,872.3433649539948,1,1,1,1,8,0.8,1,13,0.26,1,1.0,0.00012540757461750688
39,51,led de sinalizacao eletricamente senoidal aberto 100240v super seguro azulregulamentos dos eua,7440951744173,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
40,52,fogao 4 bocas mesa de inox sirius plus com acendimento automatico braslar  branco,7898385060459,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
41,53,smartphone samsung galaxy s22 ultra 256gb 5g wifi tela 68 dual chip 12gb ram camera quadrupla  selfie 40mp  vinho,7892509122368,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
42,55,smart tv led 43 full hd aoc roku tv fhd 43s519578g wifi 3 hdmi 1 usb wifi conversor digital,7898620270971,tvs,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
43,56,smartphone samsung galaxy z flip3 256gb 5g wifi tela 67 dual chip 8gb ram camera dupla  selfie 10mp  preto,7892509120531,celulares,872.3433649539948,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.00012540757461750688
44,57,samsung smart tv led 40 tizen fhd 40t5300 2020 com wifi hdr para brilho e contraste e plataforma tizen,7892509114301,tvs,872.3433649539948,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
45,59,fogao a gas clarice delicato 5 bocas manual forno 83 litros branco,7898342102086,fogoes,872.3433649539948,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0003762227238525207
46,60,fogao de mesa 2 bocas platinyum inox  layr,7896560900705,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
47,61,strobe mkp108wa rc led branco 36x108w,7908494600283,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
48,62,kit notebook dell alienware m15 r6 aw15i1100a30ph 156 fhd 11 ger intel core i7 16gb 1tb ssd rtx 3070 win 11 headset,7899864942471,notebooks,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
49,64,notebook ultra windows 10 home processador intel pentium,7908414412774,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
50,65,fogao de piso atlas 4 bocas monaco plus branco bivolt,7897180505301,fogoes,872.3433649539948,1,1,1,1,5,0.5,1,10,0.2,1,1.0,0.00012540757461750688
51,66,tv digital full hd ford territory 2021 faaftech ftvffrd6,7892460048509,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
52,67,blackview bv8800 6583 android 11 8gb de ram  128g de rom ip68 a prova dagua g96 90hz smartphone 8380mah 20mp visao noturna  50mp camera traseira celular 33w carregamento rapidolaranja,717994174456,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
53,69,smart tv samsung 65 4k ultra hd led un65bu8000gxzd wifi integrado,7892509121965,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
54,71,smartphone xiaomi redmi note 8 2021 64gb neptune blue azul,6934177743757,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
55,72,fogao eletrico layr topazio 2 bocas 676,7896560901115,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
56,75,fogao semiindustrial 3 bocas master alto,7898045942132,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
57,76,fogao 4 bocas atlas monaco plus automatico com grade deslizante bivolt  branco  6003,7891466374797,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
58,77,fogao dream 5 bocas acendimento automatico 3700000004 itatiaia,7892946310434,fogoes,872.3433649539948,1,1,1,1,9,0.9,1,12,0.24,1,1.0,0.00012540757461750688
59,78,fogao de piso atlas 4 bocas monaco acendimento automatico top glass,7897180505134,fogoes,872.3433649539948,0,0,0,0,0,0.0,1,3,0.06,33,0.030303030303030304,0.004138449962377728
60,79,fogao eletrico rubi 2 bocas  cotherm  2432  220v,7896981224220,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
61,80,frigobar philco 93 litros pfg111b 110v,7891356076848,geladeiras,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
62,81,fogao mueller 4q grade de aco acendimento manual,7908156900805,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.00012540757461750688
63,82,google tv led 55 tcl p725 4k uhd,7899968301112,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
64,84,fogao atlas tropical glass 4 bocas preto  bivolt,7897180503895,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
65,86,fogao 4 bocas electrolux prata automatico com forno de 70l e vidro interno removivel 52lxu bivolt,7909569000298,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.00012540757461750688
66,87,geladeira brastemp frost free 2 portas brm56 462l inox  110v,7891129251571,geladeiras,872.3433649539948,1,1,1,1,4,0.4,1,6,0.12,1,1.0,0.00012540757461750688
67,88,notebook dell inspiron i143467m20p 7 geracao intel core i5 4gb 1tb 14 hd windows 10,7899864915093,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
68,92,fogao cooktop fischer 4q platinium preta bivolt,7896513317253,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
69,94,geladeira consul frost free duplex 397 litros com freezer embaixo cor inox  cre44ak 110v,7891129499751,geladeiras,872.3433649539948,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.00012540757461750688
70,96,notebook aspire 3 i5 4gb 256gb ssd linux  acer,4710886059059,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,6,0.12,1,1.0,0.00012540757461750688
71,97,fogao eletrico profissional 1 boca fg1102 marchesoni 220v,7892384504990,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
72,98,televisao 39 polegadas hd s conversor digital tlo33,7908414405448,tvs,872.3433649539948,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.00012540757461750688
73,99,geladeira consul frost free duplex crm50 410l espaco flex inox com controle interno de temperatura  110v,7891129506022,geladeiras,872.3433649539948,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.00012540757461750688
74,100,wp17 robusto smartphone 8300mah 8gb  128gb 678 ffhd  android 11 cell 64m  16m celular nfc,4394085358986,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
75,101,fogao 5 bocas monaco top glass atlas automatico com mega chama  preto,7897180505165,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
76,102,samsung smart tv 65 crystal uhd 4k 65au8000 painel dynamic crystal color design slim tela sem limites visual livre de cabos alexa built in controle unico,7892509117395,tvs,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
77,103,fogao eletrico portatil de mesa 2 bocas 2000w branco temperatura regulavel cotherm feb2,7896981221724,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
78,104,kit forno eletrico embutir coifa gourmet 90cm cooktop colors safanelli  127v,7896543227607,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
79,105,refrigerador philco side by side prf533i 220v,7891356086892,geladeiras,872.3433649539948,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
80,106,dell chromebook 11 3000 3100 116 rugged chromebook  hd  1366 x 768  intel celeron n4020 dualcore 2 core  4 gb ram  16 gb de memoria flash  preto,884116402381,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
81,107,coifa glass touch  parede 60cm 220v,7612985433594,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
82,109,2021 smart tv lg 65 4k nanocell 65nano85 120hz freesync 2 hdmi 21 inteligencia artificial thinqai google alexa,7893299915758,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
83,111,do fogao a gas coleman fogao de acampamento de propano portatil bottletop com queimador ajustavel,745369226448,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
84,112,fogao de piso 5 bocas 76dxw electrolux,7909569000533,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
85,113,notebook lenovo yoga 9i 2 em 1 14 i71185g7 8gb 512gb ssd placa de video intel iris xe w11 fhd wva,196119536391,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
86,114,fogao de piso 5 bocas mesa de vidro 94l realce zeus glass preto null,7899639789942,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
87,115,notebook samsung book 156 fhd intel celeron 6305 128gb ssd 4gb windows 10 pro  np550xdako7br,7892509119511,notebooks,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
88,117,smart tv samsung qled 4k 55 slim frame modo arte molduras costumizaveis e conexao unica  55ls03aa,7892509117548,tvs,872.3433649539948,1,1,1,1,4,0.4,1,9,0.18,1,1.0,0.00012540757461750688
89,118,fogao 5 bocas tripla chama acendimento automatico bivolt dream itatiaia branco,7908439640725,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
