,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
3,4,smartphone samsung galaxy a02 32gb 13mp 65 vermelho,7892509117708,celulares,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
7,9,smartphone multilaser e pro 32gb 4g tela 5 dual 1gb ram,7908414420236,celulares,872.3433649539948,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
33,44,cabo flexivel da camera frontal profissional confiavel estavel ajuste perfeito camera frontal cabo,7450111502437,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
41,53,smartphone samsung galaxy s22 ultra 256gb 5g wifi tela 68 dual chip 12gb ram camera quadrupla  selfie 40mp  vinho,7892509122368,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
43,56,smartphone samsung galaxy z flip3 256gb 5g wifi tela 67 dual chip 8gb ram camera dupla  selfie 10mp  preto,7892509120531,celulares,872.3433649539948,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.00012540757461750688
52,67,blackview bv8800 6583 android 11 8gb de ram  128g de rom ip68 a prova dagua g96 90hz smartphone 8380mah 20mp visao noturna  50mp camera traseira celular 33w carregamento rapidolaranja,717994174456,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
54,71,smartphone xiaomi redmi note 8 2021 64gb neptune blue azul,6934177743757,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
74,100,wp17 robusto smartphone 8300mah 8gb  128gb 678 ffhd  android 11 cell 64m  16m celular nfc,4394085358986,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
93,123,pneus 10x261 10x261 pneus de roda de scooter eletrica antiderrapante operacao simples para scooter eletrica,7297720628420,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
94,126,smartphone nokia c20 32gb 2gb ram nk038  fone sem fio nokia lite earbuds,7891738200014,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
103,135,reembalado smartphone samsung galaxy a20 a205g 32gb 3gb ram vermelho  excelente,7892509107570,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
111,149,smartphone moto g20 64gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351114,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
132,174,smartphone samsung galaxy a12 64gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 8mp  vermelho,7892509116886,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
140,184,smartphone multilaser e pro 32gb 4g wifi dourado tela 50 dual chip 1gb ram camera 5mp  selfie 5mp android 11 go  p9151,7908414420243,celulares,872.3433649539948,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
143,188,gaeirt smartphone 8 pro 5 polegadas processador poderoso com tres compartimentos para cartao design de tela maior resolucao de 854 x 480 smartphones cameras de alta definicao para chamadas verde claro,7304562967225,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
157,208,smartphone samsung galaxy a30s 64gb dual chip android 90 tela 64 octacore 4g camera tripla 25mp  5mp  8mp  preto,7892509112376,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
176,232,smartphone samsung galaxy s22 ultra 256gb 5g com caneta s pen  vinho camera tripla 108mp  selfie 40mp ram 8gb tela 68,7892509122122,celulares,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
190,250,smartphone samsung galaxy j4 core smj410gzkjzto 16 gb tela 6 preto,7892509103107,celulares,872.3433649539948,0,0,0,1,2,0.2,1,2,0.04,5,0.2,0.0006270378730875344
197,260,celular xiaomi redmi 10 128gb4gb  sea blue,6934177751752,celulares,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
204,269,smartphones desbloqueados ip12 pro  face recognition smart phone 626waterdrop fullscreen dual sim camera traseira tripla telefones celulares de 1 gb  8 gbgreen,9399453862947,celulares,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
207,272,smartphone motorola moto g31 128gb 4g wifi tela 64 dual chip 4gb ram camera tripla  selfie 13mp  grafite,7892597351640,celulares,872.3433649539948,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.00012540757461750688
