,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,0,fogao a gas picasso vitreo 6 q preto fosco gas glp,7899552142503,fogoes,872.3433649539948,0,0,0,1,2,0.2,1,3,0.06,3,0.3333333333333333,0.0003762227238525207
2,3,fogao 4 bocas essencial automatico mesa de vidro bivolt itatiaia inox,7892946411780,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.00012540757461750688
4,6,fogao de piso electrolux 76dxv a gas 5 queimadores 2 fornos prata 110v 33052vba188,7909569000502,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
6,8,fogao de piso com acendimento automatico star 5 bocas itatiaia,7892946404805,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
9,11,fogao de piso itatiaia waves 4 bocas acendimento automatico,7892946310397,fogoes,872.3433649539948,0,0,0,1,3,0.3,1,7,0.14,5,0.2,0.0006270378730875344
10,12,fogao a gas gaudi vitreo 5 q inox gas glp,7899552145313,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
12,14,fogao a gas 5 bocas fascino automatico clarice mega chama bivolt preto,7898342108781,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
13,15,depurador de ar slim preto 80cm 220v suggar,7896518513971,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
14,17,forno eletrico fischer infinity embutir 50l preto 220v cgrill,7896513319776,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
16,19,fogao 5 bocas tripla chamalux,7897575153759,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
19,24,fogao 4 bocas clarice delicato plus glass preto bivolt,7898342104875,fogoes,872.3433649539948,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
20,25,fogao 5 bocas electrolux grill e timer digital 76gsr bivolt,7909569000410,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
22,27,fogao brastemp 5 bocas cor inox com botoes removiveis e exclusivo aro protetor  bfs5ncr bivolt,7891129264373,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
23,28,fogao a gas del plus vitreo 5 bc verde glp venax,7899552141186,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.00012540757461750688
24,29,fogao atlas 5 bocas agile glass inox com mesa de vidro com acendimento automatico  bivolt,7897180502478,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
26,36,fogao de piso mesa de vidro front control 5 queimadores branco bivolt suggar,7908312800352,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,10,0.2,1,1.0,0.00012540757461750688
27,37,fogao de piso suggar max cook mesa de vidro 5 queimadores preto bivolt,7890170305837,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
29,39,fogao 5b fischer gran cheff grill auto acendimento inox 220v,7896513318243,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.00012540757461750688
30,41,fogao itatiaia dream 5 bocas preto tripla chama bivolt,7892946311196,fogoes,872.3433649539948,0,0,0,1,2,0.2,1,3,0.06,5,0.2,0.0006270378730875344
31,42,fogao atlas agile up glass 5 bocas acendimento automatico preto,7897180506322,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,23,0.46,1,1.0,0.00012540757461750688
32,43,fogao a gas de piso 5 bocas dako turbo glass,7897180503031,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
36,48,fogao 5 bocas de piso electrolux ultra chama silver  76lsu,7909569000274,fogoes,872.3433649539948,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.00012540757461750688
38,50,fogao mueller 5 bocas fratello vetro branco bivolt,7908156900416,fogoes,872.3433649539948,1,1,1,1,8,0.8,1,13,0.26,1,1.0,0.00012540757461750688
40,52,fogao 4 bocas mesa de inox sirius plus com acendimento automatico braslar  branco,7898385060459,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
45,59,fogao a gas clarice delicato 5 bocas manual forno 83 litros branco,7898342102086,fogoes,872.3433649539948,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0003762227238525207
46,60,fogao de mesa 2 bocas platinyum inox  layr,7896560900705,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
50,65,fogao de piso atlas 4 bocas monaco plus branco bivolt,7897180505301,fogoes,872.3433649539948,1,1,1,1,5,0.5,1,10,0.2,1,1.0,0.00012540757461750688
55,72,fogao eletrico layr topazio 2 bocas 676,7896560901115,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
56,75,fogao semiindustrial 3 bocas master alto,7898045942132,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
57,76,fogao 4 bocas atlas monaco plus automatico com grade deslizante bivolt  branco  6003,7891466374797,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
58,77,fogao dream 5 bocas acendimento automatico 3700000004 itatiaia,7892946310434,fogoes,872.3433649539948,1,1,1,1,9,0.9,1,12,0.24,1,1.0,0.00012540757461750688
59,78,fogao de piso atlas 4 bocas monaco acendimento automatico top glass,7897180505134,fogoes,872.3433649539948,0,0,0,0,0,0.0,1,3,0.06,33,0.030303030303030304,0.004138449962377728
60,79,fogao eletrico rubi 2 bocas  cotherm  2432  220v,7896981224220,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
62,81,fogao mueller 4q grade de aco acendimento manual,7908156900805,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.00012540757461750688
64,84,fogao atlas tropical glass 4 bocas preto  bivolt,7897180503895,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
65,86,fogao 4 bocas electrolux prata automatico com forno de 70l e vidro interno removivel 52lxu bivolt,7909569000298,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.00012540757461750688
68,92,fogao cooktop fischer 4q platinium preta bivolt,7896513317253,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
71,97,fogao eletrico profissional 1 boca fg1102 marchesoni 220v,7892384504990,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
75,101,fogao 5 bocas monaco top glass atlas automatico com mega chama  preto,7897180505165,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
77,103,fogao eletrico portatil de mesa 2 bocas 2000w branco temperatura regulavel cotherm feb2,7896981221724,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
78,104,kit forno eletrico embutir coifa gourmet 90cm cooktop colors safanelli  127v,7896543227607,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
81,107,coifa glass touch  parede 60cm 220v,7612985433594,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
83,111,do fogao a gas coleman fogao de acampamento de propano portatil bottletop com queimador ajustavel,745369226448,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
84,112,fogao de piso 5 bocas 76dxw electrolux,7909569000533,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
86,114,fogao de piso 5 bocas mesa de vidro 94l realce zeus glass preto null,7899639789942,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
89,118,fogao 5 bocas tripla chama acendimento automatico bivolt dream itatiaia branco,7908439640725,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
92,122,fogao de piso electrolux 4 bocas duplo forno 56dba,7909569000656,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
98,130,fogao a gas delplus vitreo 4 q preto fosco gas glp,7899552140455,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
100,132,fogao 4 bocas mesa vidro cfo4vaeuna consul preto bvolt,7891129543201,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
101,133,fogao 4 bocas acendimento automatico bivolt dream itatiaia branco,7908439641203,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
106,139,fogao a gas gemini 2 boca vetro azul glp venax,7898456266612,fogoes,872.3433649539948,1,1,1,1,10,1.0,1,12,0.24,1,1.0,0.00012540757461750688
107,140,fogao 5 bocas moderatto preto com queimador ultra chama,7908156900812,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,10,0.2,1,1.0,0.00012540757461750688
110,143,fogao de piso atlas 5 bocas monaco plus branco bvolt,7897180505349,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.00012540757461750688
112,151,fogao atlas monaco top glass 5 bocas branco  bivolt,7897180505158,fogoes,872.3433649539948,0,0,0,1,5,0.5,1,13,0.26,2,0.5,0.00025081514923501377
114,153,forno de embutir a gas brastemp 78 litros cor inox espelhado com grill e timer touch  boa84ar 220v,7891129266216,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
116,156,fogao de piso 5 bocas mueller piacere vetro mesa de vidro,7908156901727,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
120,161,fogao esmaltec caribe glass 4 bocas acendimento automatico mesa vidro,7899081748764,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00012540757461750688
121,162,fogao 5 bocas atlas new utop acendimento automatico,7897180508012,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
124,166,fogao mueller piacere 5 bc g6 601230003,7908156901673,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,10,0.2,1,1.0,0.00012540757461750688
130,172,cooktop 4 bocas ultra chamalux 83 amarelo,7897575153094,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
131,173,fogao a gas maxi vitreo 4 q preto fosco gas glp,7899552140912,fogoes,872.3433649539948,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.0003762227238525207
134,177,fogao a gas de piso 4 bocas esmaltec agata glass,7899081743202,fogoes,872.3433649539948,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.0007524454477050414
135,178,forno de embutir a gas brastemp 78 litros preto com grill e timer touch  boa84ae 220v,7891129243828,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
136,179,fogao lento hamilton beach 3 quartos,40094332304,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
138,182,fogao de piso consul 5 bocas branco com acendimento automatico e botoes removiveis  cfs5nab bivolt,7891129246225,fogoes,872.3433649539948,0,0,0,0,0,0.0,1,4,0.08,21,0.047619047619047616,0.0026335590669676447
141,185,fogao a gas picasso 5 q grafite gas glp,7899552146419,fogoes,872.3433649539948,0,0,0,1,3,0.3,1,3,0.06,2,0.5,0.00025081514923501377
147,195,fogao agata glass piso 5 bocas preto esmaltec bivolt 0104002095,7899081743325,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,10,0.2,1,1.0,0.00012540757461750688
148,196,fogao portatil gemini vetro 2 bocas venax  s tampa  branco  gas,7899552101487,fogoes,872.3433649539948,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.00012540757461750688
150,198,fogao de piso itaglass 5 bocas acendimento automatico itatiaia,7892946398111,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.00012540757461750688
151,200,fogao a gas de piso 4 bocas braslar horus top control preto bvolt,7898385060671,fogoes,872.3433649539948,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
152,202,fogao mueller fratello vetro 5 bocas preto  bivolt,7908156900379,fogoes,872.3433649539948,1,1,1,1,7,0.7,1,19,0.38,1,1.0,0.00012540757461750688
154,205,fogao 4 bocas magister preto com mesa de vidro  dako,7897180505431,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.00012540757461750688
155,206,fogao 5 bocas mesa de inox forno easy cean plus preto bivolt,7898385061548,fogoes,872.3433649539948,0,0,0,0,0,0.0,1,2,0.04,13,0.07692307692307693,0.0016302984700275896
161,214,fogao vitrum 5 bocas com timer digital itatiaia,7892946336632,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,9,0.18,1,1.0,0.00012540757461750688
163,216,fogao a gas glp venax da vinci vitreo 4 bocas preto fosco,7899552140738,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
165,218,fogao 5 bocas automatico tripla chama vitrum bivolt itatiaia branco,7892946336120,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,13,0.26,1,1.0,0.00012540757461750688
166,219,fogao itatiaia vitrum 4 bocas  bivolt  branco,7892946336113,fogoes,872.3433649539948,1,1,1,1,5,0.5,1,13,0.26,1,1.0,0.00012540757461750688
168,221,fogao 4 bocas mueller fratello vetro grafite com mesa de vidro bivolt,7908156900386,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.00012540757461750688
171,226,fogao electrolux 5 bocas 76lbu branco automatico com ultra chama e painel completo,7909569000267,fogoes,872.3433649539948,1,1,1,1,10,1.0,1,13,0.26,1,1.0,0.00012540757461750688
172,227,fogao dako supreme 5 bocas branco,7897180504267,fogoes,872.3433649539948,0,0,0,1,5,0.5,1,8,0.16,6,0.16666666666666666,0.0007524454477050414
173,228,fogao a lenha duas bocas portatil e churrasqueira rio mar,7898702020012,fogoes,872.3433649539948,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
175,230,fogao braslar plus 4 bocas total branco bivolt,7898385060855,fogoes,872.3433649539948,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
178,234,fogao 5 bocas mueller fratello acendimento automatico,7908156900898,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
180,237,fogao a gas gemini 2 q tampa de metal bege gas glp,7898291101093,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
181,238,fogao esmaltec esmeralda glass gourmet 4 bocas preto com timer digital e grill eletrico,7899081742717,fogoes,872.3433649539948,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0003762227238525207
182,239,fogao a gas picasso 6 q preto fosco gas glp,7899552145009,fogoes,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
183,240,cooktop 4 bocas chamalux ultra chama branco tc,7897575153025,fogoes,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
188,247,fogao a gas picasso vitreo 5 q preto fosco gas glp,7899552141322,fogoes,872.3433649539948,0,0,0,1,4,0.4,1,7,0.14,4,0.25,0.0005016302984700275
193,253,fogao 4b brastemp clean acendimento  bfo4nabuna,7891129233614,fogoes,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
