,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,0,fogao 5 bocas realce iris plus vidro temperado branco bivolt,7899639785920,fogoes,488.7939827442169,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
1,1,fogao 5 bocas monaco top glass atlas automatico com mega chama  preto,7897180505165,fogoes,488.7939827442169,1,1,1,1,8,0.8,1,14,0.28,1,1.0,0.00012540757461750688
3,3,fogao 5 bocas mesa de vidro horus com acendimento total top control glass bivolt braslar  preto,7898385061586,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
5,5,fogao a gas gaudi vetro vitreo 4 bocas 127 v gas glp amarelo  venax,7899552141520,fogoes,488.7939827442169,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
9,9,fogao itatiaia vitrum 4 bocas mesa de vidro com timer digital,7892946336663,fogoes,488.7939827442169,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.00012540757461750688
10,10,fogao 5 bocas mueller decorato gourmet preto fosco com mesa em inox escovado bivolt,7908156903189,fogoes,488.7939827442169,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
13,13,fogao dream 5 bocas  branco,7892946310434,fogoes,488.7939827442169,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
14,14,fogao 4 bocas bali esmaltec,7899081743394,fogoes,488.7939827442169,1,1,1,1,10,1.0,1,19,0.38,1,1.0,0.00012540757461750688
15,15,fogao atlas 5 bocas agile up glass bivolt com trempes aneladas preto,7897180506322,fogoes,488.7939827442169,1,1,1,1,8,0.8,1,24,0.48,1,1.0,0.00012540757461750688
19,19,fogao 5 bocas new top glass preto,7898385061272,fogoes,488.7939827442169,0,0,0,1,5,0.5,1,6,0.12,2,0.5,0.00025081514923501377
22,22,fogao 4 bocas mesa de inox sirius plus com acendimento automatico braslar  branco,7898385060459,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
23,23,fogao eletrico profissional portatil mesa 1 boca 220mm 1500w esmeralda inox resistencia cotherm,7896981223926,fogoes,488.7939827442169,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
25,26,fogao 4b 2qs 2qd pmsd402f p37402,7898466541983,fogoes,488.7939827442169,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
27,28,fogao a gas 5 bocas realce zeus glass mesa de vidro preto bivolt,7899639789942,fogoes,488.7939827442169,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.00012540757461750688
30,31,fogao de piso itatiaia vitrum 5 bocas mesa de vidro com timer digital preto bivolt,7892946336632,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,21,0.42,1,1.0,0.00012540757461750688
39,40,fogao a gas picasso vitreo 6 q branco gas glp,7899552142480,fogoes,488.7939827442169,0,0,0,1,5,0.5,1,11,0.22,3,0.3333333333333333,0.0003762227238525207
45,46,fogao consul cfs5 5 bocas com acendimento automatico branco,7891129246225,fogoes,488.7939827442169,1,1,1,1,2,0.2,1,10,0.2,1,1.0,0.00012540757461750688
48,50,fogao de piso 5 bocas atlas monaco com acendimento automatico limpa facil,7897180500214,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
49,51,fogao automatico 5 bocas mueller decorato bivolt,7908156903172,fogoes,488.7939827442169,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
50,52,fogao a gas glp venax da vinci vitreo 4 bocas preto fosco,7899552140738,fogoes,488.7939827442169,1,1,1,1,10,1.0,1,11,0.22,1,1.0,0.00012540757461750688
52,54,fogao 5b mueller moderatto sacend  601230019,7908156900812,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,10,0.2,1,1.0,0.00012540757461750688
53,55,fogao de piso 6 bocas a gas glp venax delplus vitreo bivolt preto,7899552142381,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
