,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,8,refrigerador side by side lg 601l painel touch dispenser new lancaster gs65sdn 220v,6934585684468,geladeiras,75.81900024414062,1,1,1,1,6,0.6,1,9,0.18,1,1.0,0.0003762227238525207
11,16,geladeira lg bottom freezer 451 litros inox 110v gcb659bsb,8806098423927,geladeiras,75.81900024414062,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.0003762227238525207
26,36,geladeira brastemp 400l frost free com painel touch brm54hbana branca,7891129252837,geladeiras,75.81900024414062,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
30,41,geladeirarefrigerador consul 386 litros 2 portas frost free classe a crm43,7891129246720,geladeiras,75.81900024414062,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
35,48,frigobar retro midea preto onix 95 litros 127v,7908198003045,geladeiras,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
58,78,geladeira continental tc56 frost free 472l,7909569003022,geladeiras,75.81900024414062,1,1,1,1,8,0.8,1,9,0.18,1,1.0,0.0003762227238525207
69,98,refrigerador brastemp 375l 2 portas evox frost free 127v,7891129252721,geladeiras,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
73,102,geladeirarefrigerador samsung french door rf22r7351sr inox look 501l smart wifi com flexzone,8806090389719,geladeiras,75.81900024414062,0,0,0,1,2,0.2,1,2,0.04,5,0.2,0.0018811136192626034
74,103,geladeira electrolux top freezer 382l branco tf42,7896584080032,geladeiras,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
83,123,geladeirarefrigerador electrolux duplex if55s frost free inverter top freezer 431l platinum  110v,7896584098037,geladeiras,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
88,130,geladeira panasonic frost free 425l nrbb53gv3b black glass  110v,7896067226643,geladeiras,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
109,170,geladeira brastemp frost free inverse 2 portas 573l evox bre80ak,7891129236707,geladeiras,75.81900024414062,1,1,1,1,4,0.4,1,8,0.16,1,1.0,0.0003762227238525207
112,173,frigobar venax ngv 10  82 litros  branco 220v,7899552101357,geladeiras,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
126,198,geladeira consul frost free duplex crm50 410l espaco flex inox com controle interno de temperatura  110v,7891129506022,geladeiras,75.81900024414062,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
134,210,geladeira frost free db84 electrolux 598 litros duplex branco 110v,7896584073553,geladeiras,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,35,0.02857142857142857,0.013167795334838224
