,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,2,frigobar midea 71 litros branco mrc08b2  220v,7908198000167,geladeiras,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
6,7,refrigerador philco side by side prf533i 220v,7891356086892,geladeiras,67.13160943984985,0,0,0,1,2,0.2,1,2,0.04,5,0.2,0.0018811136192626034
9,11,frigobar consul 117l crc12  110v,7891129224063,geladeiras,67.13160943984985,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.0003762227238525207
14,18,geladeira brastemp frost free 443 litros  bre57 inox 110v,7891129252059,geladeiras,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
16,20,geladeirarefrigerador brastemp frost free 375 litros brm45  branca  110v,7891129252745,geladeiras,67.13160943984985,1,1,1,1,5,0.5,1,9,0.18,1,1.0,0.0003762227238525207
17,22,refrigerador continental tc56 frost free duplex 472 litros,7909569003022,geladeiras,67.13160943984985,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.0003762227238525207
35,42,refrigerador panasonic 480 litros bb71 bottom freezer aco escovado 127v,7896067227480,geladeiras,67.13160943984985,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
40,48,refrigerador smart lg side by side door in door 601l inox 220v gs65sdn1,6934585684468,geladeiras,67.13160943984985,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.0003762227238525207
65,82,geladeirarefrigerador philco side by side prf520di frost free 2 portas 520 litros inox,7891356080067,geladeiras,67.13160943984985,0,0,0,1,2,0.2,1,2,0.04,8,0.125,0.0030097817908201654
74,94,geladeira lg automatica 525l 3 portas french door inverter,8806098602629,geladeiras,67.13160943984985,0,0,0,1,1,0.1,1,2,0.04,3,0.3333333333333333,0.001128668171557562
