,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,0,notebook gaming 3i core i5 8gb 256gbssd gtx1650 156 linux 82cgs00100,195892009962,notebooks,67.13160943984985,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.0003762227238525207
19,24,notebook lenovo ideapad 3i ryzen 55500u 8gb 256gb ssd windows 11 home 156  prata,196119415894,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
25,31,notebook samsung book e30 4gb 156 intel core i3 ssd 256gb windows 10 home cinza,7892509117203,notebooks,67.13160943984985,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
38,45,notebook samsung book np550xdak02br intel dualcore 4gb 500gb branco  windows 10,7892509117159,notebooks,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
45,55,notebook positivo motion c41tei intel celeron dualcore linux 14  vermelho,7896904683608,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
48,60,notebook samsung e30 tela 156 intel i3 ssd256 4gbram linux,7892509118897,notebooks,67.13160943984985,0,0,0,0,0,0.0,1,2,0.04,13,0.07692307692307693,0.004890895410082769
51,64,notebook asus x515jfej360t intel core i5 1035g1 8gb 256gb ssd w10 156 ledbacklit cinza,7898573298077,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
72,92,notebook vaio fe14 intel core i5 4gb ram hd 1tb tela 14 lcd fullhd windows 10  chumbo escuro,7896904641097,notebooks,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,30,0.03333333333333333,0.011286681715575621
89,116,notebook gamer dell g15a0500mm10p 156 fhd amd ryzen 5 8gb 512gb ssd nvidia rtx 3050 windows 11,7899864941412,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
90,117,notebook compaq cq27 corei3 4gb ssd120gb win10,7898960921342,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
94,122,notebook lenovo ultrafino ideapad 3i i510210u 8gb 256 gb ssd windows 11 156 82bs000gbr prata,196119387863,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
98,128,notebook samsung intel celeron6305 4gb 500gb w11 156 np550xdakp2br  branco,7892509120821,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
104,135,notebook multilaser legacy book w10 home processador intel quad memoria 4gb e 64gb 1 tela 141 pol hd  microsoft 365 personal  1tb na nuvem  pc312 preto,7908414442757,notebooks,67.13160943984985,0,0,0,1,2,0.2,1,2,0.04,5,0.2,0.0018811136192626034
107,139,notebook positivo motion c4128ei  intel celeron dual core n3350 14 4gb ssd 128gb,7896904681062,notebooks,67.13160943984985,0,0,0,1,3,0.3,1,3,0.06,7,0.14285714285714285,0.0026335590669676447
108,140,notebook asus x515eaej1668 cinza,7898573298503,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
115,148,notebook acer aspire 3 4gb 156 intel core i3 256 gb ssd windows 10 home cinza,4710886170556,notebooks,67.13160943984985,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
120,153,notebook acer a315 intel celeron n4000 memoria 4gb ssd 240gbtela 156 hd windows 10 home,4710180696752,notebooks,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
125,160,notebook compaq presario 431 141 led hd i36157u 120gb 4gb shell efi  cinza,7896904657807,notebooks,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
130,169,acer notebook gamer nitro 5 an5155579x0 intel core ci7 10750h 8gb 512gb sdd nvidia geforcegtx 1650 windows preto,4710886752950,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
133,173,notebook intel celeron 4gb ram 128gb ssd ideapad 3i  igl tela 156 windows 10,195713167154,notebooks,67.13160943984985,1,1,1,1,4,0.4,1,9,0.18,1,1.0,0.0003762227238525207
135,176,notebook samsung book intel core i5 1135g7  iris xe windows 10 home 256gb ssd 8gb ram tela 156 iintel iris xe  cinza chumbo,7892509117128,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,5,0.1,1,1.0,0.0003762227238525207
137,178,notebook i3 4gb hd 500gb tela full hd 156 wifi bluetooh webcam,7898571461626,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
140,182,notebook dell inspiron i13i1100m20s 133 full hd 11 geracao plataforma intel evo core i7 8gb 512gb ssd windows 11,7899864941375,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
141,183,notebook gigabyte g5 156 i5 10th 16gb ssd512gb rtx3060 w10,4719331813826,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
149,194,notebook 2 em 1 positivo duo c464d intel celeron dual core windows 11 home 11  cinza,7896904684162,notebooks,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
