,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,1,smart tv led hd 32 panasonic media player 2 hdmi 2 usb tc32fs500b,7896067213285,tvs,872.3433649539948,1,1,1,1,10,1.0,1,13,0.26,1,1.0,0.00012540757461750688
11,13,car mp4 player car music player removivel para carro entretenimento veiculo audiovisual system autoconducao tour car electronics,7003163886521,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
15,18,smart tv roku led 50 philco uhd 4k bivolt netflix,7891356090912,tvs,872.3433649539948,1,1,1,1,6,0.6,1,15,0.3,1,1.0,0.00012540757461750688
28,38,boroscopio com saidas usb  tv  cartao sd  akrom kr150,7900661640634,tvs,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
35,46,smart tv 40 philco ptv40g60snbl fhd com tela infinita audio dolby loja de aplicativos e processador quadcore,7899466434862,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
39,51,led de sinalizacao eletricamente senoidal aberto 100240v super seguro azulregulamentos dos eua,7440951744173,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
42,55,smart tv led 43 full hd aoc roku tv fhd 43s519578g wifi 3 hdmi 1 usb wifi conversor digital,7898620270971,tvs,872.3433649539948,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
44,57,samsung smart tv led 40 tizen fhd 40t5300 2020 com wifi hdr para brilho e contraste e plataforma tizen,7892509114301,tvs,872.3433649539948,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
51,66,tv digital full hd ford territory 2021 faaftech ftvffrd6,7892460048509,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
53,69,smart tv samsung 65 4k ultra hd led un65bu8000gxzd wifi integrado,7892509121965,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
63,82,google tv led 55 tcl p725 4k uhd,7899968301112,tvs,872.3433649539948,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
72,98,televisao 39 polegadas hd s conversor digital tlo33,7908414405448,tvs,872.3433649539948,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.00012540757461750688
76,102,samsung smart tv 65 crystal uhd 4k 65au8000 painel dynamic crystal color design slim tela sem limites visual livre de cabos alexa built in controle unico,7892509117395,tvs,872.3433649539948,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
