,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,2,smart tv 65 uhd 4k samsung 65au7700 processador crystal 4k tela sem limites visual livre de cabos alexa built in controle unico,7892509117937,tvs,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
16,16,samsung smart tv 50 qled 4k the frame 2021 50ls03a design slim suporte de parede slim incluso unica conexao molduras customizaveis modo arte,7892509117562,tvs,488.7939827442169,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
32,33,smart tv led 55 lg 55nano80 4k nanocell 4x hdmi 20 inteligencia artificial thinqai smart magic google alexa,7893299915772,tvs,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
35,36,tela smart toshiba 43 dled full hd hdmi usb bluetooth wifi bivolt,7908414421127,tvs,488.7939827442169,1,1,1,1,1,0.1,1,7,0.14,1,1.0,0.00012540757461750688
38,39,tv android led 50 fhd 1920x1080 philco bivolt ptv50d60sa,7899466429813,tvs,488.7939827442169,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
42,43,smart tv 4k samsung qled 55 com modo game alexa built in e wifi  qn55q70aagxzd,7892509117425,tvs,488.7939827442169,1,1,1,1,2,0.2,1,11,0.22,1,1.0,0.00012540757461750688
44,45,smart tv 43 lg 43lm631c0sbbwz full hd wifi  2 usb 3 hdmi,7893299912269,tvs,488.7939827442169,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
56,58,smart tv 32 philco ptv50rcg70bl led quadcore hdmi usb,7891356100536,tvs,488.7939827442169,1,1,1,1,5,0.5,1,9,0.18,1,1.0,0.00012540757461750688
60,62,tv led 39 philco hd com conversor digital 3 hdmi 1 usb som surround 60hz  preta,7899466429714,tvs,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
66,68,smart tv panasonic 40 led full hd wifi 2 usb 2 hdmi,7896067213421,tvs,488.7939827442169,1,1,1,1,5,0.5,1,11,0.22,1,1.0,0.00012540757461750688
