indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas maxi vitreo 4 Q branco gas glp,7899552140899,fogoes,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,68,0.014705882352941176,0.025583145221971408
3,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,fogoes,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,353,0.0028328611898017,0.1328066215199398
8,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,7909569000267,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
13,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,7892946327388,fogoes,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
14,Fogao A gas palladio vitreo 4 Q branco gás glp,7899552141018,fogoes,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,109,0.009174311926605505,0.041008276899924756
15,Fogão de Piso Fischer 4Q Gran Cheff Gás,7896513318199,fogoes,201.34827589988708,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
17,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,7908156900911,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
19,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,7899552141759,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
23,Fogao Mueller Fratello Vetro 4bcs 601230011,7908156900386,fogoes,201.34827589988708,1,1,1,1,1,0.1,1,5,0.1,1,1.0,0.0003762227238525207
25,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,7908156900416,fogoes,201.34827589988708,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.0003762227238525207
26,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,7899552142381,fogoes,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,1943,0.000514668039114771,0.7310007524454477
27,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,7896513310483,fogoes,201.34827589988708,0,0,0,0,0,0.0,1,3,0.06,23,0.043478260869565216,0.008653122648607976
28,Fogao realce iris glass 5B,7899639786057,fogoes,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
29,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,7897180504311,fogoes,201.34827589988708,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
32,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,7892946311189,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
33,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,7897180505165,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
37,Fogão Atlas 5Bocas New Fastcook,7897180507619,fogoes,201.34827589988708,0,0,0,0,0,0.0,1,1,0.02,25,0.04,0.009405568096313018
38,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,7897180503024,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
39,Fogão 4 bocas Mueller Piacere Vetro Branco com Mesa de Vidro Bivolt,7908156901772,fogoes,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,153,0.006535947712418301,0.05756207674943566
40,Fogão de Piso Esmaltec 5 Bocas Topázio Branco Bivolt,7899081729497,fogoes,201.34827589988708,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
