indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,7908198000167,geladeiras,201.34827589988708,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
7,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,geladeiras,201.34827589988708,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0015048908954100827
11,Frigobar Consul 117L CRC12 - 110V,7891129224063,geladeiras,201.34827589988708,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
18,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,geladeiras,201.34827589988708,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
20,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,7891129252745,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,12,0.24,1,1.0,0.0003762227238525207
22,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,geladeiras,201.34827589988708,1,1,1,1,3,0.3,1,7,0.14,1,1.0,0.0003762227238525207
42,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,7896067227480,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
48,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.0003762227238525207
82,"Geladeira/Refrigerador Philco Side by Side PRF520DI, Frost Free, 2 Portas, 520 Litros, Inox",7891356080067,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,251,0.00398406374501992,0.09443190368698269
94,Geladeira Lg Automática 525L 3 Portas French Door Inverter,8806098602629,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,556,0.0017985611510791368,0.2091798344620015
102,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,7896584071962,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
113,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,7891129251571,geladeiras,201.34827589988708,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0007524454477050414
133,Frigobar Midea 124 Litros Branco MRC12B,7898626573854,geladeiras,201.34827589988708,0,0,0,1,4,0.4,1,4,0.08,3,0.3333333333333333,0.001128668171557562
138,Refrigerador Brastemp Ative Inverse Maxi BRE80 573 Litros Iluminação LED Branco 110,7891129206205,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,80,0.0125,0.030097817908201655
143,Refrigerador Smart LG Side By Side Door In Door 601L Inox 127V GS65SDN,6934585684475,geladeiras,201.34827589988708,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
147,Refrigerador Smart LG 601 Litros Side by Side com IceWater e System e LG ThinQ Inox GC-L247SLUV – 127 Volts,8806098548958,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
156,Geladeira Gorenje Ion Generation 2 Portas Inverse Inox 220V NRK6192UX,3838942107108,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
157,"Geladeira/Refrigerador Panasonic 483 Litros NR-BT55PV2, Frost Free, 2 Portas, Econavi, Branco",7896067226933,geladeiras,201.34827589988708,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
167,Refrigerador LG Smart French Door com Instaview Door-In-Door e Hygiene Fresh GR-X228NM Preto Fosco – 525L 220V,8806098602636,geladeiras,201.34827589988708,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0018811136192626034
184,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,7891129499768,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,66,0.015151515151515152,0.024830699774266364
191,Refrigerador Invert Frost Free 483L Duplex Panasonic,7896067226926,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
196,Mini Geladeira 10L Branca 110V-12V Cabo Ac-Dc Tv015,7899838866574,geladeiras,201.34827589988708,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.0003762227238525207
204,Refrigerador Consul Domest 397L 2 Portas Frost Free Evox 127V CRE44AK,7891129499751,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
208,Geladeira/Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43,7891129246720,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
221,Geladeira Frost Free Continental TC41S 370 L Duplex Platinum 110V,7909569245323,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
240,Refrigerador ngv 10 vermelho,7899552101401,geladeiras,201.34827589988708,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
247,Geladeira/Refrigerador Samsung Duplex RT38K5A0KS9 Inox Look 385L com All-Around Cooling - Bivolt,8806090569678,geladeiras,201.34827589988708,0,0,0,0,0,0.0,1,2,0.04,45,0.022222222222222223,0.016930022573363433
254,Geladeira Duplex Inverter Frost Free com 425 Litros BB53 Panasonic,7896067226650,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,130,0.007692307692307693,0.04890895410082769
257,Refrigerador Brastemp Side By Side Inverse 540 L Inox 110v,7891129219939,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
281,Refrigerador Panasonic Frost Free 483L Aço Escovado,7896067226940,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
304,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Branca com Controle Interno de Temperatura - 220v,7891129506015,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
316,Geladeira/Refrigerador Consul Duplex Frost Free 340 litros CRM39 Evox 110V,7891129514232,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
324,Geladeira/Refrigerador Smart Bottom Freezer ThinQ 451 Litros LG GC-B659BSB1 Aço Escovado 220V,8806098423927,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
332,Geladeira Philco 467 Litros PRF505TI Frost Free Eco Inverter Inox,7891356090592,geladeiras,201.34827589988708,0,0,0,0,0,0.0,1,1,0.02,37,0.02702702702702703,0.013920240782543265
375,Refrigerador MD-RS587FGA041 Side by Side 528L RS5871 Midea,7908198000839,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,158,0.006329113924050633,0.059443190368698266
394,Geladeira Brastemp Frost Free Duplex 462 litros Branca com Turbo Control - BRM56AB 110V,7891129250086,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
398,Refrigerador Brastemp 2 Porta Evox 375l Frost Free 220v,7891129252776,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
432,Geladeira Panasonic Generation Frost Free 435L Aço Escovado,7896067226964,geladeiras,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,393,0.002544529262086514,0.14785553047404063
436,Refrigerador Consul Facilite CRB39 342 Litros Compartimento Extra Frio Branco 220v,7891129185418,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
472,"Mini Geladeira AstroAI, Portátil - ac/dc, 4L (6 Latas), 12V, Rosa Claro",850289769477,geladeiras,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
506,Refrigerador Smart LG 428 Litros Inverter French Door Hygiene Fresh e NATUREFresh Inox GC-L228FTL1 – 220 Volts,8806098548934,geladeiras,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
527,Refrigerador Brastemp Side Inverse 3 Portas Inox 540L Frost Free 220V BRO80AK,7891129220010,geladeiras,201.34827589988708,1,1,1,1,3,0.3,1,6,0.12,1,1.0,0.0003762227238525207
538,Refrigerador ngv 10 preto fosco 12/24 V,7899552144385,geladeiras,201.34827589988708,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
