indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogão 5 Bocas Realce Iris Plus Vidro Temperado Branco Bivolt,7899639785920,fogoes,883.8416328430176,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
1,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto,7897180505165,fogoes,883.8416328430176,1,1,1,1,10,1.0,1,14,0.28,1,1.0,0.00012540757461750688
2,"Smart TV 65 uhd 4K Samsung 65AU7700, Processador Crystal 4K, Tela sem limites, Visual Livre de Cabos, Alexa built in, Controle Único",7892509117937,tvs,883.8416328430176,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.00012540757461750688
3,Fogão 5 Bocas Mesa de Vidro Horus Com Acendimento Total Top Control Glass Bivolt Braslar - Preto,7898385061586,fogoes,883.8416328430176,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
4,Notebook lenovo BS145-15IIL I3 1005G1 4GB 500GB 15.6 dos,195348259293,notebooks,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
5,Fogao A Gas Gaudi Vetro Vitreo 4 Bocas 127 V Gas Glp Amarelo - Venax,7899552141520,fogoes,883.8416328430176,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
6,Notebook Ultra 15 Pol Core I5 8Gb 1Tb Hdd Windows 10 Prata - Ub521,7908414412859,notebooks,883.8416328430176,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
7,"Notebook Asus X543MA-GQ1300W Windows 11 15,6 Polegadas 500GB 4GB ram Celeron wi-fi",7898573298534,notebooks,883.8416328430176,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
8,Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol 3g,7899838889214,celulares,883.8416328430176,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
9,Fogão Itatiaia Vitrum 4 Bocas Mesa de Vidro com Timer Digital,7892946336663,fogoes,883.8416328430176,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
10,Fogão 5 bocas Mueller Decorato Gourmet Preto Fosco com mesa em inox escovado Bivolt,7908156903189,fogoes,883.8416328430176,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
11,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,notebooks,883.8416328430176,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
12,Kit Philco Smartphone PCS02P Hit Plus + Speaker Go PBS10BTA,7891356102943,celulares,883.8416328430176,0,0,0,0,0,0.0,1,4,0.08,12,0.08333333333333333,0.0015048908954100827
13,Fogão Dream 5 Bocas - Branco,7892946310434,fogoes,883.8416328430176,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
14,Fogão 4 Bocas Bali Esmaltec,7899081743394,fogoes,883.8416328430176,1,1,1,1,10,1.0,1,18,0.36,1,1.0,0.00012540757461750688
15,Fogão Atlas 5 Bocas Agile Up Glass Bivolt com Trempes Aneladas? Preto,7897180506322,fogoes,883.8416328430176,1,1,1,1,10,1.0,1,15,0.3,1,1.0,0.00012540757461750688
16,"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão Molduras Customizáveis Modo Arte",7892509117562,tvs,883.8416328430176,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
17,"Notebook Dell Inspiron 15 a0700-UM20P 15.6"" FHD AMD Ryzen™ 7 8GB 256GB SSD Linux Preto",7899864941757,notebooks,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
18,"Notebook Acer Aspire 3 amd Ryzen 3500U, 1TB hd, 8GB ram, amd Radeon Graphics 2GB GDDR5",4710886065548,notebooks,883.8416328430176,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
19,Fogão 5 Bocas New Top Glass Preto,7898385061272,fogoes,883.8416328430176,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
