indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant",7899968300887,tvs,201.34827589988708,0,0,0,0,0,0.0,1,1,0.02,14,0.07142857142857142,0.005267118133935289
35,Smart TV LED 65 LG uhd 4K ThinQ ai TV HDR10 webOS 6.0 2HDMI 1USB Wi-Fi,7893299916915,tvs,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,108,0.009259259259259259,0.040632054176072234
43,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG,7893299915840,tvs,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,77,0.012987012987012988,0.028969149736644093
50,"Smart Tv Led 32'' Panasonic Hd, Wi-fi, Usb, Hdmi, 60hz",7896067213285,tvs,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
52,"Smart TV Samsung 55 qled 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela",7892509122009,tvs,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
53,Smart TV LED 65” LG 65NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa,7893299915758,tvs,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
59,Philco TV 42 Led PTV42G52RCF,7891356092329,tvs,201.34827589988708,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
65,"Smart TV 4K Samsung qled 65 com Design Slim, Alexa built in e Wi-Fi - QN65Q70AAGXZD",7892509117579,tvs,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
66,"PHILIPS Smart TV 32PHG6825/78-32"" HD sem bordas, HDR Plus, 3 HDMI, 2 USB, Wifi Miracast, Conversor digital, Netflix, Youtube, Globoplay e Prime Video",7898620271282,tvs,201.34827589988708,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
67,"Smart TV Samsung Led 55'' uhd, 4K, Alexa Built in, Wi-Fi, usb, hdmi - UN55AU7700GX Smart TV Samsung",7892509117913,tvs,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,112,0.008928571428571428,0.042136945071482315
68,Smart TV LED 32” TCL S5200 HD HDR Android com Bluetooth e Google Assistant,7899968301105,tvs,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,83,0.012048192771084338,0.031226486079759218
69,Smart TV Philco PTV32G70SBL LED- HD- WIFI integrado,7891356088599,tvs,201.34827589988708,0,0,0,0,0,0.0,0,0,0.0,949,0.001053740779768177,0.35703536493604215
70,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,tvs,201.34827589988708,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
