,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,1,fogao a gas palladio vitreo 4 q preto fosco gas glp,7899552140974,fogoes,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.007900677200902935
1,2,fogao atlas 4 bocas branco,7897180505127,fogoes,75.81900024414062,0,0,0,0,0,0.0,1,3,0.06,18,0.05555555555555555,0.006772009029345372
2,4,fogao mueller 5 bocas piacere automatico 601230004  inox,7908156901680,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
3,5,smart tv 4k samsung qled 75 com design slim alexa built in e wifi  75q70aa,7892509117593,tvs,75.81900024414062,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
4,6,kit fogao campeiro 75x45  chapa 1 furo  porta m  grelha,7898969422352,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
5,8,refrigerador side by side lg 601l painel touch dispenser new lancaster gs65sdn 220v,6934585684468,geladeiras,75.81900024414062,1,1,1,1,6,0.6,1,9,0.18,1,1.0,0.0003762227238525207
6,10,fogao atlas 5 bocas monaco top glass com mesa de vidro temperado bivolt branco,7897180505158,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
7,11,fogao a gas 4 bocas moderatto 601186001 branco  mueller,7898361094980,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
8,13,fogao 5 bocas mesa de vidro horus com acendimento glass bivolt inox,7898385061593,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
9,14,smartphone motorola moto g200 256gb 5g wifi tela 68 dual chip 8gb ram camera tripla  selfie 16mp  verde,7892597351558,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0018811136192626034
10,15,notebook ultra multilaser 156 pol celeron n4020 4gb 120gb ssd windows 11 prata  microsoft 365 pers,7908414438545,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
11,16,geladeira lg bottom freezer 451 litros inox 110v gcb659bsb,8806098423927,geladeiras,75.81900024414062,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.0003762227238525207
12,17,smartphone galaxy a03 64gb 4g wifi tela 65 dual chip 4gb ram camera dupla  selfie 5mp  vermelho,7892509121231,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
13,19,smart tv uhd 4k 55 wifi preto bivolt,7908414412934,tvs,75.81900024414062,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
14,20,fogao de piso 4 bocas mesa inox vidro duplo 60l dako supreme branco bivolt,7897180504236,fogoes,75.81900024414062,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
15,22,samsung tv smart 65 uhd 4k un65au7700gxzd,7892509117937,tvs,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,28,0.03571428571428571,0.010534236267870579
16,23,smart tv semp roku led 50 rk8500 4k uhd hdr wifi dual band 4 hdmi 1 usb com controle por aplicativo,7899968301167,tvs,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
17,24,fogao 5 bocas fratello vetro com mesa de vidro mueller,7908156900416,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,14,0.28,1,1.0,0.0003762227238525207
18,27,notebook lenovo ideapad 3i intel celeron n4020 memoria 4gb ssd 480gb tela 156 hd windows 10 pro,195713167154,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.0003762227238525207
19,28,tv philco ptv39g50d dled 39,7891356086595,tvs,75.81900024414062,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
20,29,fogao de piso continental 4 bocas fc4cb branco automatico com mesa compartimentada  bivolt,7909569002193,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
21,31,notebook acer a315 intel celeron n4000 memoria 4gb ssd 240gbtela 156 hd windows 10 home,4710180696752,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
22,32,fogao itatiaia vitrum digital 5b preto bivolt,7892946336632,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,9,0.18,1,1.0,0.0003762227238525207
23,33,fogao a gas gemini 2 q vetro amarelo gas glp,7898456266261,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,6,0.12,1,1.0,0.0003762227238525207
24,34,smart tv samsung crystal uhd 4k 55au9000 design slim som em movimento virtual visual sem cabos 55,7892509117463,tvs,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
25,35,smartphone samsung galaxy a22 128gb 4g 64 quad cam 48  8  2  2mp verde,7892509119672,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
26,36,geladeira brastemp 400l frost free com painel touch brm54hbana branca,7891129252837,geladeiras,75.81900024414062,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
27,37,fogao gas itatiaia waves 5 bocas acendimento automatico bivolt preto,7892946327395,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
28,39,tela 24 polegadas hd multilaser  tl037,7908414412880,tvs,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
29,40,fogao 5 bocas moderatto mueller preto fosco,7908156900812,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
30,41,geladeirarefrigerador consul 386 litros 2 portas frost free classe a crm43,7891129246720,geladeiras,75.81900024414062,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
31,42,notebook samsung book intel dualcore windows 10 home 500gb 4gb ram tela 156 full hd led branco,7892509117159,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
32,43,smartphone motorola moto e6 play 32gb dual chip android 9 tela 55 mt6739 4g camera 13mp  cinza metalico,7892597349111,celulares,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,14,0.07142857142857142,0.005267118133935289
33,45,fogao dako 5b turbo glass preto dp5vtp pf0,7897180503031,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
34,46,samsung galaxy note 10 alem disso 256gb com s pen aura azul desbloqueado de fabrica para gsm e cdma 68 polegadas display versao eua smn975uzbaxaa,887276372457,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
35,48,frigobar retro midea preto onix 95 litros 127v,7908198003045,geladeiras,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
36,50,fogao eletrico de mesa um prato 1500w  cinza  agratto 110v,7800554920112,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
37,51,tv led lh65beahv 65 smart ultra hd 4k crystal 3hdmi 1usb samsung,7892509118156,tvs,75.81900024414062,0,0,0,1,3,0.3,1,5,0.1,2,0.5,0.0007524454477050414
38,52,notebook gamer 82cgs00100 core i5 8gb 256gb ssd geforce gtx 1650 4gb tela 156 linux 3i15imh 10300h lenovo,195892009962,notebooks,75.81900024414062,1,1,1,1,5,0.5,1,11,0.22,1,1.0,0.0003762227238525207
39,53,fogao itatiaia itaglass 4 bocas  preto,7892946398098,fogoes,75.81900024414062,1,1,1,1,8,0.8,1,11,0.22,1,1.0,0.0003762227238525207
40,54,smartphone lg k8 16gb dual chip tela 5 camera principal 8mp frontal 5mp android 70 preto,7893299912771,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
41,55,smartphone motorola moto g9 power 128gb 4g wifi tela 68 dual chip 4gb ram camera tripla  selfie 16mp  purple  exposicao,7892597350254,celulares,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,31,0.03225806451612903,0.011662904439428141
42,57,smart tv led 32 hd multilaser tl020 conversor digital externo 3 hdmi 2 usb wifi,7899838894744,tvs,75.81900024414062,1,1,1,1,1,0.1,1,5,0.1,1,1.0,0.0003762227238525207
43,58,smartphone celular 32gb multilaser e lite 2 preto  p9146,7908414420199,celulares,75.81900024414062,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
44,59,fogao vitrum itatiaia 4 bocas inox mesa de vidro bivolt,7892946336649,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
45,60,fogao esmaltec esmeralda glass gourmet 4 bocas preto com timer digital e grill eletrico,7899081742717,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
46,61,notebook vaio fe14 vjfe42f11xb1521h intel core i310110u 4gb 128gb ssd fhd linux 14 chumbo escuro,7896904697506,notebooks,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,46,0.021739130434782608,0.01730624529721595
47,62,smartphone multilaser e pro 4g 32gb wifi 50 pol dual chip 1gb ram camera 5mp  5mp android 11 go edition quad core  dourado  p9151,7908414420243,celulares,75.81900024414062,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
48,63,smart tv 85 crystal uhd samsung 4k 85au8000 painel dynamic crystal color design slim tela sem limites,7892509117531,tvs,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.002257336343115124
49,66,lenovo notebook ideapad 3 17itl06 82h900edus 173  hd  1600 x 900  intel core i3 11 geracao i31115g4 dualcore 2 nucleos 3 ghz  8 gb ram  ssd de 256 gb  cinza artico  intel chip  windows 11 h,196118135144,notebooks,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
50,67,smartphone twist s514 64gb 1gb ram dual chip tela 55 positivo,7896904686272,celulares,75.81900024414062,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.0003762227238525207
51,68,smart tv samsung 50 led crystal ultra hd 4k wifi usb  lh50beahvggxzd,7892509118132,tvs,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,43,0.023255813953488372,0.01617757712565839
52,70,fogao atlas monaco plus 4 bocas com acendimento automatico branco,7897180505301,fogoes,75.81900024414062,1,1,1,1,6,0.6,1,11,0.22,1,1.0,0.0003762227238525207
53,71,smart tv led 32 hd lg 32lm621cbsba 3 hdmi 2 usb bluetooth wifi active hdr thinq ai,7893299912252,tvs,75.81900024414062,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
54,72,fogao de pressao eletrica 25l cozinha domestica cozinha de arroz eletrica trabalho de fogao lento com mihome app fogoes de arroz,8463406879403,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
