,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
9,14,smartphone motorola moto g200 256gb 5g wifi tela 68 dual chip 8gb ram camera tripla  selfie 16mp  verde,7892597351558,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0018811136192626034
12,17,smartphone galaxy a03 64gb 4g wifi tela 65 dual chip 4gb ram camera dupla  selfie 5mp  vermelho,7892509121231,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
25,35,smartphone samsung galaxy a22 128gb 4g 64 quad cam 48  8  2  2mp verde,7892509119672,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
32,43,smartphone motorola moto e6 play 32gb dual chip android 9 tela 55 mt6739 4g camera 13mp  cinza metalico,7892597349111,celulares,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,14,0.07142857142857142,0.005267118133935289
34,46,samsung galaxy note 10 alem disso 256gb com s pen aura azul desbloqueado de fabrica para gsm e cdma 68 polegadas display versao eua smn975uzbaxaa,887276372457,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
40,54,smartphone lg k8 16gb dual chip tela 5 camera principal 8mp frontal 5mp android 70 preto,7893299912771,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
41,55,smartphone motorola moto g9 power 128gb 4g wifi tela 68 dual chip 4gb ram camera tripla  selfie 16mp  purple  exposicao,7892597350254,celulares,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,31,0.03225806451612903,0.011662904439428141
43,58,smartphone celular 32gb multilaser e lite 2 preto  p9146,7908414420199,celulares,75.81900024414062,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
47,62,smartphone multilaser e pro 4g 32gb wifi 50 pol dual chip 1gb ram camera 5mp  5mp android 11 go edition quad core  dourado  p9151,7908414420243,celulares,75.81900024414062,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
50,67,smartphone twist s514 64gb 1gb ram dual chip tela 55 positivo,7896904686272,celulares,75.81900024414062,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.0003762227238525207
55,73,smartphone positivo twist 3 32gb 55 hd ips 8mp android oreo go  preto acompanha pelicula e capa de protecao,7896904651782,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
65,90,smartphone e 3g 32gb dual multilaser,7899838889221,celulares,75.81900024414062,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.0003762227238525207
96,145,smartphone motorola moto e20 32gb 4g wifi tela 65 dual chip 2gb ram camera dupla  selfie 5mp  cinza,7892597351404,celulares,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.004138449962377728
101,152,smartphone tectoy on 128gb azul 4gb ram tela 622  cam tripla  selfie 8mp  fone bluetooth,7891196800016,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
103,159,smartphone samsung galaxy s22 ultra 256gb 5g com caneta s pen  branco camera tripla 108mp  selfie 40mp ram 8gb tela 68,7892509122177,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
105,163,smartphone samsung galaxy a32 128gb 4g wifi tela 64 dual chip 4gb ram camera quadrupla  selfie 20mp  violeta,7892509118439,celulares,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
110,171,smartphone rugged doogee s58 pro 2020 android 10 6gb  64gb 16mp  16mp cameras triplas 5180mah bateria 571 polegadas hd  ip68 a prova d agua 4g dual sim nfc  gps verde,8321820267193,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
115,179,smartphone samsung galaxy a23 4g 128gb 66 quad cam 48  5  2  2mp preto,7892509123273,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0026335590669676447
116,180,smartphone multilaser 32gb e pro preto 1 ram  p9150,7908414420236,celulares,75.81900024414062,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.0003762227238525207
124,196,smartphone samsung galaxy a23 4g 128gb 66 quad cam 48  5  2  2mp azul,7892509123266,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.002257336343115124
125,197,smartphone zenfone asus max shot m2 zb634kl4j009br 64gb dual chip android oreo tela 62 qualcomm qsp sip1 4g camera tripla 12mp5mp8mp   prata,7898573296332,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
127,200,smartphone multilaser g max 2 dourado 64gb 2gb 8mp android 11,7908414420304,celulares,75.81900024414062,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
137,216,smartphone asus zenfone 8 qualcomm snapdragon 888 8gb 256gb camera frontal 12mp traseira dual 64mp  12mp tela 592 amoled android 11 prata,7898573297940,celulares,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,12,0.08333333333333333,0.004514672686230248
139,220,smartphone samsung galaxy m32 128gb 4g wifi tela 64 dual chip 6gb ram camera quadrupla  selfie 20mp  azul,7892509119818,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
144,228,smartphone samsung galaxy s20 fe 65 128gb android verde,7892509119061,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
146,232,smartphone motorola moto g22 128gb 4gb ram preto,7892597352029,celulares,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0026335590669676447
148,238,smartphone nokia c01 32gb 4g tela 545 dual chip 50mp,7908414422377,celulares,75.81900024414062,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
149,249,smartphone moto edge thunder grey 67 5g 256gb  xt20613,7892597349692,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
151,255,smartphone nokia c20 32gb dual chip 50mp dourado nk039,7908414422353,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
164,279,smartphone tcl l5 16gb cam 8mp 1gb ram quadcore preto,7898552004828,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
170,288,smartphone samsung galaxy m22 128gb 4g wifi tela 64 dual chip 4gb ram camera quadrupla  selfie 13mp  branco,7892509120340,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
188,322,smartphone multilaser g max 4g 32gb tela 60 pol octa core android 90 go dourado  p9108,7899838865478,celulares,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
