,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,6,smartphone motorola moto g20 128gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351497,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,32,0.03125,0.012039127163280662
8,10,smartphone moto g20 64gb 4g wifi tela 65 dual chip 4gb ram camera quadrupla  selfie 13mp  azul,7892597351114,celulares,67.13160943984985,0,0,0,0,0,0.0,0,0,0.0,61,0.01639344262295082,0.02294958615500376
28,34,smartphone samsung galaxy a23 4g 128gb 66 quad cam 48  5  2  2mp azul,7892509123266,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.004138449962377728
30,36,smartphone samsung galaxy s22  5g 128gb 8gb ram tela infinita de 66,7892509122306,celulares,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
44,54,smartphone xiaomi redmi 9 64gb 4gb ram 4 cameras roxo,7898567778868,celulares,67.13160943984985,0,0,0,1,3,0.3,1,3,0.06,6,0.16666666666666666,0.002257336343115124
50,63,smartphone samsung galaxy a10s 62 32 gb camera dupla azul,7892509111874,celulares,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
58,71,smartphone multilaser f 3g 32gb 1gb tela 55  suporte ring,7899838889276,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,35,0.02857142857142857,0.013167795334838224
60,73,smartphone multilaser e lite 32gb,7899838889214,celulares,67.13160943984985,1,1,1,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
64,80,smartphone samsung galaxy a52 128gb preto,7892509116930,celulares,67.13160943984985,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
82,104,smartphone motorola moto g31 128gb 4g wifi tela 64 dual chip 4gb ram camera tripla  selfie 13mp  grafite,7892597351640,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,20,0.05,0.007524454477050414
92,120,smartphone multilaser e pro 32gb 4g wifi dourado tela 50 dual chip 1gb ram camera 5mp  selfie 5mp android 11 go  p9151,7908414420243,celulares,67.13160943984985,0,0,0,0,0,0.0,1,3,0.06,27,0.037037037037037035,0.010158013544018058
97,126,smartphone red mobile volt l s51 16gb 1gb ram pretoazul,609963649624,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
103,134,smartphone samsung galaxy a12 128gb preto 4g wifi tela 65 dual chip 6gb ram camera quadrupla  selfie 8mp,8806092186422,celulares,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
139,181,smartphone samsung galaxy a23 128gb 4gb ram dual chip tela de 66,7892509123273,celulares,67.13160943984985,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
154,199,celular lg  lmk520bmw  k62 64 gb vermelho,7893299915277,celulares,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0026335590669676447
164,211,smartphone samsung galaxy a02 32gb 4g wifi tela 65 dual chip 2gb ram camera dupla  selfie 5mp  preto,7892509118279,celulares,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
168,216,smartphone tcl 20se 682 octa core 128gb 4gb camera quadrupla quadriband,7898552004903,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
177,234,smartphone multilaser e pro 32gb 4g wifi tela 50 dual chip 1gb ram camera 5mp  selfie 5mp android 11 go  p9150,7908414420236,celulares,67.13160943984985,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
179,238,smartphone multilaser g 2 4g dual chip 32gb 2gb ram tela 51 camera 8mp  selfie 5mp android 11 go dourado  p9155,7908414420281,celulares,67.13160943984985,1,1,1,1,4,0.4,1,6,0.12,1,1.0,0.0003762227238525207
195,264,smartphone twist 4pro s518 4g 64gb tela 55 polegadas android 10 octa core cam 8mp  8mp positivo,7896904691788,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
200,272,smartphone multilaser g max 2 dourado 2gb ram 64gb,7908414420304,celulares,67.13160943984985,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
204,279,smartphone moto g71 128gb 5g wifi tela 64 dual chip 6gb ram camera tripla  selfie 16mp  verde,7892597351619,celulares,67.13160943984985,0,0,0,0,0,0.0,0,0,0.0,74,0.013513513513513514,0.02784048156508653
207,283,smartphone multilaser f pro 4g 16gb android 9 dourado p9119,7899838873862,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
230,325,smartphone motorola moto e6s 64gb 4g wifi tela 61 dual chip 4gb ram camera dupla  selfie 5mp  vermelho magenta,7892597349999,celulares,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
241,344,smartphone lg k50s azul 32gb tela 65 narrow notch hd fullvision inteligencia artificial camera tripla selfie de 13mp e processador octacore  azul,7893299913365,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
242,345,smartphone pol octa core android 90 go preto multilaser,7899838865461,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,18,0.05555555555555555,0.006772009029345372
244,348,smartphone nokia c30 64gb 4g  nk042  verde,7908414422384,celulares,67.13160943984985,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
246,350,smartphone motorola moto e20 32gb 4gb ram cinza,7892597351411,celulares,67.13160943984985,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
250,356,smartphone motorola moto e7 32gb 2gb ram cinza metalico,7892597350315,celulares,67.13160943984985,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
253,363,smartphone samsung galaxy a02 32gb 13mp 65 vermelho,7892509117708,celulares,67.13160943984985,0,0,0,1,2,0.2,1,2,0.04,3,0.3333333333333333,0.001128668171557562
261,373,smartphone motorola edge 20 pro 256gb 5g wifi tela 67 dual chip 12gb ram camera tripla  selfie 32mp  branco,7892597351220,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
262,374,smartphone nokia c01 plus 1  32gb roxo  nk041,7908414422377,celulares,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
265,378,smartphone motorola moto g22 128gb 4g wifi tela 65,7892597352067,celulares,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
268,384,smartphone positivo twist 4g 32gb dual chip android 10 tela 5 octacore 16 ghz 4g 8mp  cinza chumbo,7896904683820,celulares,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
270,387,smartphone asus zenfone max pro m2 6gb64gb black saphire,7898573296912,celulares,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
273,392,smartphone samsung galaxy m22 128gb 4g wifi tela 64 dual chip 4gb ram camera quadrupla  selfie 13mp  branco,7892509120340,celulares,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
279,399,smartphone motorola moto e20 dual sim 32gb octacore tela hd  de 65 camera dupla 13mp  2mp gps radio fm leitor biometrico entrada usb c p2,7892597351404,celulares,67.13160943984985,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
284,409,smartphone galaxy a23 128gb tela 66 cameras 50mp  8mp  2mp  2mp preto sma235mzkrzto samsung,7892509122719,celulares,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,10,0.1,0.003762227238525207
285,411,reembalado usado smartphone samsung galaxy m31 m315f 128gb 8gb ram tela 64,7892509114295,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
290,421,smartphone samsung galaxy s22 ultra 5g 256gb 68 108  10  12  10mp preto,7892509122160,celulares,67.13160943984985,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
308,454,smartphone positivo twist 4 64gb dual chip android 10 tela 55 quadcore 13 ghz 3g 8mp   black piano,7896904686272,celulares,67.13160943984985,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
309,456,smartphone multilaser mult e 32gb 50 p9128 preto,7899838889221,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,26,0.038461538461538464,0.009781790820165538
310,460,smartphone multilaser e lite nb763 16gb 512mb ram dual preto,7899838864655,celulares,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,19,0.05263157894736842,0.0071482317531978935
313,465,smartphone philco hit p10 dark blue 128gb 4g tela de 62 camera tripla traseira 13mp  5mp  2mp selfie 8mp dual chip,7891356093951,celulares,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
323,487,smartphone samsung galaxy z fold3 5g dobravel 256gb 12gb de ram tela de 76,7892509120586,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
331,511,smartphone realme c3 dual sim 65 64gb  3gb ram azul,7895251801420,celulares,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
