,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,1,fogao a gas palladio vitreo 4 q preto fosco gas glp,7899552140974,fogoes,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.007900677200902935
1,2,fogao atlas 4 bocas branco,7897180505127,fogoes,75.81900024414062,0,0,0,0,0,0.0,1,3,0.06,18,0.05555555555555555,0.006772009029345372
2,4,fogao mueller 5 bocas piacere automatico 601230004  inox,7908156901680,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
4,6,kit fogao campeiro 75x45  chapa 1 furo  porta m  grelha,7898969422352,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
6,10,fogao atlas 5 bocas monaco top glass com mesa de vidro temperado bivolt branco,7897180505158,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,8,0.16,1,1.0,0.0003762227238525207
7,11,fogao a gas 4 bocas moderatto 601186001 branco  mueller,7898361094980,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
8,13,fogao 5 bocas mesa de vidro horus com acendimento glass bivolt inox,7898385061593,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
14,20,fogao de piso 4 bocas mesa inox vidro duplo 60l dako supreme branco bivolt,7897180504236,fogoes,75.81900024414062,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
17,24,fogao 5 bocas fratello vetro com mesa de vidro mueller,7908156900416,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,14,0.28,1,1.0,0.0003762227238525207
20,29,fogao de piso continental 4 bocas fc4cb branco automatico com mesa compartimentada  bivolt,7909569002193,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
22,32,fogao itatiaia vitrum digital 5b preto bivolt,7892946336632,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,9,0.18,1,1.0,0.0003762227238525207
23,33,fogao a gas gemini 2 q vetro amarelo gas glp,7898456266261,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,6,0.12,1,1.0,0.0003762227238525207
27,37,fogao gas itatiaia waves 5 bocas acendimento automatico bivolt preto,7892946327395,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
29,40,fogao 5 bocas moderatto mueller preto fosco,7908156900812,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
33,45,fogao dako 5b turbo glass preto dp5vtp pf0,7897180503031,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
36,50,fogao eletrico de mesa um prato 1500w  cinza  agratto 110v,7800554920112,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
39,53,fogao itatiaia itaglass 4 bocas  preto,7892946398098,fogoes,75.81900024414062,1,1,1,1,8,0.8,1,11,0.22,1,1.0,0.0003762227238525207
44,59,fogao vitrum itatiaia 4 bocas inox mesa de vidro bivolt,7892946336649,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
45,60,fogao esmaltec esmeralda glass gourmet 4 bocas preto com timer digital e grill eletrico,7899081742717,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
52,70,fogao atlas monaco plus 4 bocas com acendimento automatico branco,7897180505301,fogoes,75.81900024414062,1,1,1,1,6,0.6,1,11,0.22,1,1.0,0.0003762227238525207
54,72,fogao de pressao eletrica 25l cozinha domestica cozinha de arroz eletrica trabalho de fogao lento com mihome app fogoes de arroz,8463406879403,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
56,74,fogao 5 bocas com acendimento automatico dako supreme bivolt,7897180504267,fogoes,75.81900024414062,1,1,1,1,5,0.5,1,12,0.24,1,1.0,0.0003762227238525207
57,75,fogao atlas 5bocas new fastcook,7897180507619,fogoes,75.81900024414062,0,0,0,1,3,0.3,1,4,0.08,7,0.14285714285714285,0.0026335590669676447
60,81,fogao de piso atlas 5 bocas monaco plus branco bvolt,7897180505349,fogoes,75.81900024414062,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
61,84,fogao 4b esmaltec agata glass mesa vidro  0104002094,7899081743219,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,9,0.18,1,1.0,0.0003762227238525207
63,87,fogao de piso 5 bocas electrolux 76lbu branco bivolt,7909569000267,fogoes,75.81900024414062,1,1,1,1,2,0.2,1,8,0.16,1,1.0,0.0003762227238525207
64,88,fogao portatil venax mini cook 2 bocas com forno a gas glp vermelho,7899552116054,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
67,95,fogao de piso dako supreme glass 5 bocas a gas acendimento automatico branco bivolt,7897180504311,fogoes,75.81900024414062,0,0,0,0,0,0.0,1,2,0.04,18,0.05555555555555555,0.006772009029345372
68,97,fogao de piso com acendimento manual star clean 4 bocas itatiaia preto,7892946330067,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
71,100,fogao de piso itatiaia vitrum multigas 5 queimadores 110v220v porta com visor 100l,7892946336120,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
75,105,fogao 5 bocas fratello branco com queimador ultra chama,7908156900942,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
76,109,fogao a gas gaudi vetro vitreo 4 q branco 220 v natural  gas de rua fornecido por concessionaria  venax,7899552141544,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
77,111,forno eletrico convection cook 18l vermelho 110v oster,34264474871,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
78,112,fogao 2 bocas a gas pms200 progas baixa pressao,7898466541891,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
81,117,fogao itatiaia essencial 5 bocas mesa de vidro,7892946411759,fogoes,75.81900024414062,0,0,0,1,4,0.4,1,4,0.08,5,0.2,0.0018811136192626034
84,125,fogao 4 bocas turbo glass mesa de vidro preto dako bivolt,7897180503024,fogoes,75.81900024414062,0,0,0,0,0,0.0,0,0,0.0,127,0.007874015748031496,0.047780285929270125
91,136,fogao 1 boca alta pressao pe alto kit instalacao completo,7898947808055,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
92,140,fogao dako magister 5 bocas com acendimento automatico preto,7897180505448,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,12,0.24,1,1.0,0.0003762227238525207
94,143,fogao 5 bocas new top glass preto,7898385061272,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
95,144,fogao 5 bocas itatiaia star branco bivolt,7892946404805,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
97,147,fogao consul piso 5 bocas titanium mesa de vidro bivolt cfs5vat,7891129246645,fogoes,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
99,150,fogao atlas new utop mesa inox 4 bocas brancopreto bivolt 300001217,7897180507978,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
100,151,fogao eletrico do agregado familiar do potenciometro quente do potenciometro multifuncional,8202231496887,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
102,158,fogao de piso gas 4 bocas bivolt preto fosco gas glp bivolt,7899552140455,fogoes,75.81900024414062,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
104,161,fogao de piso itatiaia 5 bocas itaglass com vidro temperado,7892946398128,fogoes,75.81900024414062,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
108,169,fogao a gas 5 bocas verita gourmet clarice preto bivolt,7898342108996,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
113,176,fogao de piso mesa de vidro front control 5 queimadores branco bivolt suggar branco cestaplus,7890170734149,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
114,177,fogao 4 bocas glass top plus com mesa de vidro inox bivolt,7898385060282,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
117,182,fogao eletrico marchesoni 2 bocas fg1202 220v,7891989672707,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
118,186,fogao a gas gemini 2 q vetro vermelho gas glp,7898456266117,fogoes,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,42,0.023809523809523808,0.01580135440180587
119,187,fogao 4 bocas dako diplomata mesa de vidro,7897180508302,fogoes,75.81900024414062,0,0,0,1,3,0.3,1,4,0.08,3,0.3333333333333333,0.001128668171557562
123,195,fogao 5 bocas mesa de inox forno easy cean plus preto bivolt,7898385061548,fogoes,75.81900024414062,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0015048908954100827
128,203,fogao braslar plus 4 bocas total branco bivolt,7898385060855,fogoes,75.81900024414062,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.0003762227238525207
129,204,fogao mueller piacere vetro 4 bcs g6 60123005,7908156901697,fogoes,75.81900024414062,1,1,1,1,5,0.5,1,7,0.14,1,1.0,0.0003762227238525207
130,205,fogao monaco 4 bocas automatico mesa de inox atlas,7897180505318,fogoes,75.81900024414062,1,1,1,1,8,0.8,1,16,0.32,1,1.0,0.0003762227238525207
131,206,fogao a gas gemini 2 q vetro preto fosco gas glp,7898456264670,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
136,215,fogao de piso itatiaia itaglass 5 bocas acendedor automatico preto bivolt,7892946398111,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
138,219,fogao waves 6 bocas  preto,7892946330098,fogoes,75.81900024414062,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
143,227,coifa de parede fogatti vidro reto duto slim 90cm 127v inox,7898268764771,fogoes,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
145,230,fogao 4 bocas mesa de inox sirius plus com acendimento automatico braslar  branco,7898385060459,fogoes,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
150,251,fogao a gas gemini 2 q vetro azul gas glp,7898456266612,fogoes,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
