,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,0,fogao 5 bocas realce iris plus vidro temperado branco bivolt,7899639785920,fogoes,488.7939827442169,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
1,1,fogao 5 bocas monaco top glass atlas automatico com mega chama  preto,7897180505165,fogoes,488.7939827442169,1,1,1,1,8,0.8,1,14,0.28,1,1.0,0.00012540757461750688
2,2,smart tv 65 uhd 4k samsung 65au7700 processador crystal 4k tela sem limites visual livre de cabos alexa built in controle unico,7892509117937,tvs,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
3,3,fogao 5 bocas mesa de vidro horus com acendimento total top control glass bivolt braslar  preto,7898385061586,fogoes,488.7939827442169,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
4,4,notebook lenovo bs14515iil i3 1005g1 4gb 500gb 156 dos,195348259293,notebooks,488.7939827442169,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
5,5,fogao a gas gaudi vetro vitreo 4 bocas 127 v gas glp amarelo  venax,7899552141520,fogoes,488.7939827442169,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
6,6,notebook ultra 15 pol core i5 8gb 1tb hdd windows 10 prata  ub521,7908414412859,notebooks,488.7939827442169,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
7,7,notebook asus x543magq1300w windows 11 156 polegadas 500gb 4gb ram celeron wifi,7898573298534,notebooks,488.7939827442169,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
8,8,smartphone multilaser e lite 32gb dourado tela 40 pol 3g,7899838889214,celulares,488.7939827442169,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
9,9,fogao itatiaia vitrum 4 bocas mesa de vidro com timer digital,7892946336663,fogoes,488.7939827442169,1,1,1,1,2,0.2,1,6,0.12,1,1.0,0.00012540757461750688
10,10,fogao 5 bocas mueller decorato gourmet preto fosco com mesa em inox escovado bivolt,7908156903189,fogoes,488.7939827442169,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
11,11,notebook vaio fe14 vjfe42f11xb1521h intel core i310110u 4gb 128gb ssd fhd linux 14 chumbo escuro,7896904697506,notebooks,488.7939827442169,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.00012540757461750688
12,12,kit philco smartphone pcs02p hit plus  speaker go pbs10bta,7891356102943,celulares,488.7939827442169,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
13,13,fogao dream 5 bocas  branco,7892946310434,fogoes,488.7939827442169,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
14,14,fogao 4 bocas bali esmaltec,7899081743394,fogoes,488.7939827442169,1,1,1,1,10,1.0,1,19,0.38,1,1.0,0.00012540757461750688
15,15,fogao atlas 5 bocas agile up glass bivolt com trempes aneladas preto,7897180506322,fogoes,488.7939827442169,1,1,1,1,8,0.8,1,24,0.48,1,1.0,0.00012540757461750688
16,16,samsung smart tv 50 qled 4k the frame 2021 50ls03a design slim suporte de parede slim incluso unica conexao molduras customizaveis modo arte,7892509117562,tvs,488.7939827442169,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.00012540757461750688
17,17,notebook dell inspiron 15 a0700um20p 156 fhd amd ryzen 7 8gb 256gb ssd linux preto,7899864941757,notebooks,488.7939827442169,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.00012540757461750688
18,18,notebook acer aspire 3 amd ryzen 3500u 1tb hd 8gb ram amd radeon graphics 2gb gddr5,4710886065548,notebooks,488.7939827442169,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
19,19,fogao 5 bocas new top glass preto,7898385061272,fogoes,488.7939827442169,0,0,0,1,5,0.5,1,6,0.12,2,0.5,0.00025081514923501377
