,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
3,5,smart tv 4k samsung qled 75 com design slim alexa built in e wifi  75q70aa,7892509117593,tvs,75.81900024414062,1,1,1,1,1,0.1,1,4,0.08,1,1.0,0.0003762227238525207
13,19,smart tv uhd 4k 55 wifi preto bivolt,7908414412934,tvs,75.81900024414062,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
15,22,samsung tv smart 65 uhd 4k un65au7700gxzd,7892509117937,tvs,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,28,0.03571428571428571,0.010534236267870579
16,23,smart tv semp roku led 50 rk8500 4k uhd hdr wifi dual band 4 hdmi 1 usb com controle por aplicativo,7899968301167,tvs,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
19,28,tv philco ptv39g50d dled 39,7891356086595,tvs,75.81900024414062,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
24,34,smart tv samsung crystal uhd 4k 55au9000 design slim som em movimento virtual visual sem cabos 55,7892509117463,tvs,75.81900024414062,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
28,39,tela 24 polegadas hd multilaser  tl037,7908414412880,tvs,75.81900024414062,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
37,51,tv led lh65beahv 65 smart ultra hd 4k crystal 3hdmi 1usb samsung,7892509118156,tvs,75.81900024414062,0,0,0,1,3,0.3,1,5,0.1,2,0.5,0.0007524454477050414
42,57,smart tv led 32 hd multilaser tl020 conversor digital externo 3 hdmi 2 usb wifi,7899838894744,tvs,75.81900024414062,1,1,1,1,1,0.1,1,5,0.1,1,1.0,0.0003762227238525207
48,63,smart tv 85 crystal uhd samsung 4k 85au8000 painel dynamic crystal color design slim tela sem limites,7892509117531,tvs,75.81900024414062,0,0,0,1,1,0.1,1,1,0.02,6,0.16666666666666666,0.002257336343115124
51,68,smart tv samsung 50 led crystal ultra hd 4k wifi usb  lh50beahvggxzd,7892509118132,tvs,75.81900024414062,0,0,0,0,0,0.0,1,1,0.02,43,0.023255813953488372,0.01617757712565839
53,71,smart tv led 32 hd lg 32lm621cbsba 3 hdmi 2 usb bluetooth wifi active hdr thinq ai,7893299912252,tvs,75.81900024414062,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
62,85,samsung smart tv 65 qled 4k the frame 2021 65ls03a design slim suporte de parede slim incluso unica conexao,7892509117418,tvs,75.81900024414062,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
66,93,smart tv lg led 75 polegadas 4k uhd hdr wifi webos 60 comando de voz 75up8050psb,7893299915765,tvs,75.81900024414062,0,0,0,0,0,0.0,1,3,0.06,12,0.08333333333333333,0.004514672686230248
