,indice,titulo_sa,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
4,5,smart tv led 43 semp 43s5300 full hd android bluetooth controle remoto com comando de voz google assistant,7899968300887,tvs,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
29,35,smart tv led 65 lg uhd 4k thinq ai tv hdr10 webos 60 2hdmi 1usb wifi,7893299916915,tvs,67.13160943984985,0,0,0,0,0,0.0,1,1,0.02,22,0.045454545454545456,0.008276899924755455
36,43,smart tv lg 43 polegadas 4k uhd 43up7500psf webos thinq ai hgig,7893299915840,tvs,67.13160943984985,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
41,50,smart tv led 32 panasonic hd wifi usb hdmi 60hz,7896067213285,tvs,67.13160943984985,1,1,1,1,5,0.5,1,10,0.2,1,1.0,0.0003762227238525207
42,52,smart tv samsung 55 qled 4k q65b 2022 design air slim processador quantum lite multitela,7892509122009,tvs,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
43,53,smart tv led 65 lg 65nano85 4k nanocell 120hz freesync 2 hdmi 21 inteligencia artificial thinq google alexa,7893299915758,tvs,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
47,59,philco tv 42 led ptv42g52rcf,7891356092329,tvs,67.13160943984985,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
52,65,smart tv 4k samsung qled 65 com design slim alexa built in e wifi  qn65q70aagxzd,7892509117579,tvs,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
53,66,philips smart tv 32phg68257832 hd sem bordas hdr plus 3 hdmi 2 usb wifi miracast conversor digital netflix youtube globoplay e prime video,7898620271282,tvs,67.13160943984985,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
54,67,smart tv samsung led 55 uhd 4k alexa built in wifi usb hdmi  un55au7700gx smart tv samsung,7892509117913,tvs,67.13160943984985,0,0,0,0,0,0.0,1,3,0.06,45,0.022222222222222223,0.016930022573363433
55,68,smart tv led 32 tcl s5200 hd hdr android com bluetooth e google assistant,7899968301105,tvs,67.13160943984985,0,0,0,1,1,0.1,1,1,0.02,8,0.125,0.0030097817908201654
56,69,smart tv philco ptv32g70sbl led hd wifi integrado,7891356088599,tvs,67.13160943984985,0,0,0,0,0,0.0,1,2,0.04,33,0.030303030303030304,0.012415349887133182
57,70,smart tv 4k samsung qled 75 com design slim alexa built in e wifi  75q70aa,7892509117593,tvs,67.13160943984985,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
63,77,smart tv led 55 samsung ultra hd 4k hdr cconvtv digital 3 hdmi 1usb,7892509118149,tvs,67.13160943984985,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
78,99,smart tv led pro 43 full hd lg 43lm631c0sb thinq ai 3 hdmi 2 usb wifi conversor digital,7893299912269,tvs,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
80,101,smart tv samsung neo qled 4k 55qn90a design slim mini led processador ia som em movimento plus 55,7892509117517,tvs,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
85,109,smart tv lg 55 4k nanocell 55nano80 4x hdmi 20 inteligencia artificial thinqai smart magic,7893299915772,tvs,67.13160943984985,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
101,131,tela toshiba 43 polegadas dled 4k smart tb003,7908414421073,tvs,67.13160943984985,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
112,144,smart tv samsung crystal uhd 4k 55au9000 design slim som em movimento virtual visual sem cabos 55,7892509117463,tvs,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
113,145,fast smart tv philco 50 ultra hd roku 4k preto bivolt,7891356090912,tvs,67.13160943984985,1,1,1,1,10,1.0,1,19,0.38,1,1.0,0.0003762227238525207
124,159,smart tv samsung crystal uhd 4k 65au9000 design slim som em movimento virtual visual sem cabos 65,7892509117487,tvs,67.13160943984985,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
