indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
15,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,notebooks,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
27,"Notebook Lenovo Ideapad 3i Intel Celeron N4020 Memoria 4GB Ssd 480GB Tela 15,6'' HD Windows 10 Pro",195713167154,notebooks,970.9355115890503,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
31,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,4710180696752,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
42,"Notebook Samsung Book Intel Dual-Core, Windows 10 Home 500GB, 4GB ram, Tela 15.6 Full HD LED Branco",7892509117159,notebooks,970.9355115890503,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
52,Notebook Gamer 82CGS00100 Core i5 8GB 256GB ssd GeForce gtx 1650 4GB Tela 15.6 Linux 3i-15IMH 10300H Lenovo,195892009962,notebooks,970.9355115890503,1,1,1,1,8,0.8,1,11,0.22,1,1.0,0.0003762227238525207
61,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
66,"Lenovo Notebook IdeaPad 3 17ITL06 82H900EDUS 17,3"" - HD+ - 1600 x 900 - Intel Core i3 11ª geração i3-1115G4 Dual-core (2 núcleos) 3 GHz - 8 GB RAM - SSD de 256 GB - Cinza Ártico - Intel Chip - Windows 11 H",196118135144,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
79,Notebook ASUS E510MA-BR295R Preto,7898573297759,notebooks,970.9355115890503,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
99,Notebook ASUS X571GT-AL888T INTEL CORE I5 9300H / NVIDIA GeForce GTX1650 / 16 GB / 256 GB SSD / Windows 10 Home / Black,7898573297438,notebooks,970.9355115890503,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
101,"Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata",194632910810,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
115,"MSI Laptop diário fino e leve 15A moderno: 15,6"" FHD 1080p, Intel Core i7-1195G7, Intel Iris Xe, 8GB, SSD 512GB, Win10, cinza carbono (A11MU-653)",824142263136,notebooks,970.9355115890503,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
116,"Notebook asus VivoBook X513EA-EJ3010 Intel Core i7 1165G7 8GB 256GB ssd Linux 15,6 LED Preto",7898573298404,notebooks,970.9355115890503,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
