indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
8,Smartphone Multilaser E Lite 32gb Dourado Tela 4.0 Pol 3g,7899838889214,celulares,3503.2797548770905,1,1,1,1,7,0.7,1,9,0.18,1,1.0,0.00012540757461750688
12,Kit Philco Smartphone PCS02P Hit Plus + Speaker Go PBS10BTA,7891356102943,celulares,3503.2797548770905,0,0,0,0,0,0.0,0,0,0.0,567,0.001763668430335097,0.07110609480812641
20,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,celulares,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
30,Smartphone Samsung Galaxy A23 128GB 4GB Wi-Fi Tela 6.6 Dual Chip 4GB ram Câmera Quádrupla + Selfie 8MP - Preto,7892509122719,celulares,3503.2797548770905,1,1,1,1,3,0.3,1,6,0.12,1,1.0,0.00012540757461750688
37,"Smartphone TecToy On 128GB Azul 4GB ram Tela 6,22 - Câm. Tripla + Selfie 8MP + Fone Bluetooth",7891196800016,celulares,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
47,Smartphone Motorola Moto E6s 64GB 4G Wi-Fi Tela 6.1'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta,7892597349999,celulares,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
48,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351497,celulares,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
72,Smartphone Motorola Moto E20 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul,7892597351411,celulares,3503.2797548770905,1,1,1,1,8,0.8,1,8,0.16,1,1.0,0.00012540757461750688
81,"Smartphone Positivo Twist 4 Pro 64GB Dual Chip Android 10 Tela 5.5"" Octa-Core 1,6GHz 4G 8MP -  Vermelho Rubber",7896904691788,celulares,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
106,Smartphone Multilaser F Pro 4g 16gb Android 9 Dourado P9119,7899838873862,celulares,3503.2797548770905,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
127,"Telefone robusto DOOGEE S40 PRO [4 GB de RAM 64 GB de ROM], smartphone externo desbloqueado Android 10 IP68, tela de vidro Gorilla de 5,45"", câmera tripla de 13 MP, SIM duplo (Exército verde)",3002801019257,celulares,3503.2797548770905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
144,Smartphone Twist S514 64GB 1GB ram Dual Chip Tela 5.5 Positivo,7896904686272,celulares,3503.2797548770905,1,1,1,1,7,0.7,1,8,0.16,1,1.0,0.00012540757461750688
145,Smartphone Samsung Galaxy A12 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB ram Câmera Quádrupla + Selfie 8MP - Preto,8806092186422,celulares,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
156,Smartphone Samsung Galaxy S20+ 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 8GB RAM Câmera Quádrupla + Selfie 10MP - Cosmic Black,7892509113960,celulares,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
158,Smartphone Motorola Moto G9 Power 6.8 128GB Quadriband,7892597350254,celulares,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
170,"Smartphone Samsung Galaxy Z Fold3 512GB 5G - Preto, ram 12GB, Tela 7.6",7892509120579,celulares,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
173,Usado: Smartphone Samsung Galaxy A10 32GB 2GB ram Tela 6.2 - Muito bom,7892509107532,celulares,3503.2797548770905,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
174,"Smartphone Zenfone Max Shot Dual Chip Android 6.2"" Qualcomm Octa Core 64GB 4G Câmera Traseira 12MP+5MP+8MP - Vermelho",7898573296349,celulares,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
185,Smartphone Realme C3 Dual Sim 6.5,7895251801420,celulares,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
189,Celular LG - LMK520BMW - K62 64 GB Vermelho,7893299915277,celulares,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
198,"Smartphone Positivo Twist 3 S513 32GB Dual Chip Android Oreo Go Edition Tela 5.5"" Quad Core de 1,3 GHz Câmera Traseira 8MP - Preto",7896904651782,celulares,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
205,Smartphone mi 10T pro 128GB - 8GB - 5G - preto,7803711847000,celulares,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
210,Smartphone GMax 2 P9157 Tela 6.5 64GB 2GB ram Multilaser,7908414420304,celulares,3503.2797548770905,1,1,1,1,10,1.0,1,12,0.24,1,1.0,0.00012540757461750688
211,Smartphone Motorola Moto G31 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Tripla + Selfie 13MP - Grafite,7892597351640,celulares,3503.2797548770905,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
226,Kit Smartphone PCS02SG 128GB Hit Max + Fone Philco PFO02G,7891356102929,celulares,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
227,"Smartphone Multilaser E Pro 32GB 4G Wi-Fi Tela 5,0 Dual Chip 1GB Ram Câmera 5MP + Selfie 5MP Android 11 Go - P9150",7908414420236,celulares,3503.2797548770905,1,1,1,1,10,1.0,1,13,0.26,1,1.0,0.00012540757461750688
228,Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho,7892509121231,celulares,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
242,"Smartphone Samsung Galaxy S22 Ultra 512GB 5G com caneta S pen - Preto, Câmera Tripla 108MP + Selfie 40MP, ram 8GB, Tela 6.8",7892509122580,celulares,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
265,Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul,7892509117685,celulares,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
