indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
10,Frigobar 117L consul - CRC12CBBNA,7891129224070,geladeiras,3665.7069413661957,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
23,Refrigerador Frost Free Duplex 340litros CRM39AKANA Consul,7891129514232,geladeiras,3665.7069413661957,1,1,1,1,7,0.7,1,11,0.22,1,1.0,0.00012540757461750688
49,Refrigerador Brastemp Inverse Frost Free 573L Evox 220V BRE80AK,7891129236714,geladeiras,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
80,Frigobar Philco 93 litros PFG111B 110v,7891356076848,geladeiras,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
87,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,7891129251571,geladeiras,3665.7069413661957,1,1,1,1,4,0.4,1,6,0.12,1,1.0,0.00012540757461750688
94,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 110V,7891129499751,geladeiras,3665.7069413661957,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
99,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Inox com Controle Interno de Temperatura - 110v,7891129506022,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00012540757461750688
105,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,geladeiras,3665.7069413661957,1,1,1,1,6,0.6,1,8,0.16,1,1.0,0.00012540757461750688
127,Geladeira Consul Cycle Defrost Duplex 334 Litros CRD37EB,7891129195455,geladeiras,3665.7069413661957,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
131,Frigobar eos Ice Compact 93 Litros Preto Efb101P 110V,736532819567,geladeiras,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
136,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável,7891129246737,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00012540757461750688
142,"Ljyutihg Geladeira de carro bx 22 l portátil termoelétrico elétrico refrigerador de carro para bebidas, cerveja, vinho, frutos do mar, frutas, casa e viagem.",8344530850097,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
152,Refrigerador Philco 482 Litros French Door Inverse Inox PFR500I – 127 Volts,7891356080029,geladeiras,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
159,Geladeira Frost Free DB84 Electrolux 598 Litros Duplex Branco 110V,7896584073553,geladeiras,3665.7069413661957,1,1,1,1,9,0.9,1,10,0.2,1,1.0,0.00012540757461750688
176,Refrigerador Electrolux Infinity 2 Portas 553L Frost Free Branco 127V DF82,7896584072365,geladeiras,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
187,Geladeira Inverter Frost Free Samsung Duplex RT6000K economiza até 50% de energia RT53K6240S8 528L Inox Look,8801643246563,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
190,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,7891129499768,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
203,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts,7891129252745,geladeiras,3665.7069413661957,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
212,Geladeira/Refrigerador Electrolux Inverter Frost Free IF56B 474L Top Freezer Black - 220V,7909569390269,geladeiras,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
217,Refrigerador / Geladeira Continental Frost Free 2 Portas 370 Litros - TC41,7909569003091,geladeiras,3665.7069413661957,1,1,1,1,8,0.8,1,14,0.28,1,1.0,0.00012540757461750688
233,Geladeira Brastemp 462L Frost Free com Painel Touch BRM56ABANA Branca,7891129250093,geladeiras,3665.7069413661957,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
249,Frigobar Consul 117L CRC12 - 110V,7891129224063,geladeiras,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
251,Refrigerador vert vcfm284-1v000 127v p. Vidro branc,7899461805872,geladeiras,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
276,Geladeira Panasonic Generation Frost Free 435L Aço Escovado,7896067226964,geladeiras,3665.7069413661957,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
294,Refrigerador Panasonic NR-BB53GV3WAB 425L White Glass,7896067227145,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
295,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,7891129491717,geladeiras,3665.7069413661957,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
298,"Frigobar, 124L, Branco, 110v, Midea",7908198000518,geladeiras,3665.7069413661957,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
