indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Notebook Gaming 3i Core I5 8gb 256gbssd Gtx1650 15.6 Linux 82cgs00100,195892009962,notebooks,1109.8840954303741,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
1,Fogao A gas maxi vitreo 4 Q branco gas glp,7899552140899,fogoes,1109.8840954303741,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0018811136192626034
2,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,7908198000167,geladeiras,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
3,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,fogoes,1109.8840954303741,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.001128668171557562
5,"Smart TV Led 43"" Semp 43s5300 Full HD Android Bluetooth Controle Remoto com Comando de voz Google Assistant",7899968300887,tvs,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
6,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351497,celulares,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
7,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,geladeiras,1109.8840954303741,0,0,0,0,0,0.0,1,2,0.04,12,0.08333333333333333,0.004514672686230248
8,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,7909569000267,fogoes,1109.8840954303741,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
10,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351114,celulares,1109.8840954303741,0,0,0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.003386004514672686
11,Frigobar Consul 117L CRC12 - 110V,7891129224063,geladeiras,1109.8840954303741,1,1,1,1,7,0.7,1,8,0.16,1,1.0,0.0003762227238525207
13,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,7892946327388,fogoes,1109.8840954303741,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
14,Fogao A gas palladio vitreo 4 Q branco gás glp,7899552141018,fogoes,1109.8840954303741,0,0,0,0,0,0.0,1,2,0.04,22,0.045454545454545456,0.008276899924755455
15,Fogão de Piso Fischer 4Q Gran Cheff Gás,7896513318199,fogoes,1109.8840954303741,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
17,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,7908156900911,fogoes,1109.8840954303741,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
18,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,geladeiras,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
19,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,7899552141759,fogoes,1109.8840954303741,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
20,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,7891129252745,geladeiras,1109.8840954303741,1,1,1,1,8,0.8,1,13,0.26,1,1.0,0.0003762227238525207
22,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,geladeiras,1109.8840954303741,1,1,1,1,7,0.7,1,8,0.16,1,1.0,0.0003762227238525207
23,Fogao Mueller Fratello Vetro 4bcs 601230011,7908156900386,fogoes,1109.8840954303741,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
24,Notebook lenovo ideapad 3I ryzen 5-5500U 8GB 256GB ssd windows 11 home 15.6 - prata,196119415894,notebooks,1109.8840954303741,0,0,0,0,0,0.0,0,0,0.0,74,0.013513513513513514,0.02784048156508653
25,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,7908156900416,fogoes,1109.8840954303741,1,1,1,1,4,0.4,1,11,0.22,1,1.0,0.0003762227238525207
26,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,7899552142381,fogoes,1109.8840954303741,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0026335590669676447
27,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,7896513310483,fogoes,1109.8840954303741,0,0,0,1,3,0.3,1,3,0.06,3,0.3333333333333333,0.001128668171557562
28,Fogao realce iris glass 5B,7899639786057,fogoes,1109.8840954303741,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
29,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,7897180504311,fogoes,1109.8840954303741,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
31,"Notebook Samsung Book E30 4GB, 15.6'', Intel Core i3, ssd 256GB, Windows 10 Home, cinza",7892509117203,notebooks,1109.8840954303741,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
32,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,7892946311189,fogoes,1109.8840954303741,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
33,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,7897180505165,fogoes,1109.8840954303741,1,1,1,1,4,0.4,1,7,0.14,1,1.0,0.0003762227238525207
34,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,7892509123266,celulares,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
35,Smart TV LED 65 LG uhd 4K ThinQ ai TV HDR10 webOS 6.0 2HDMI 1USB Wi-Fi,7893299916915,tvs,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
36,"Smartphone Samsung Galaxy S22 + 5G, 128GB, 8GB ram, Tela Infinita de 6.6",7892509122306,celulares,1109.8840954303741,0,0,0,0,0,0.0,1,1,0.02,44,0.022727272727272728,0.01655379984951091
37,Fogão Atlas 5Bocas New Fastcook,7897180507619,fogoes,1109.8840954303741,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.0056433408577878106
38,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,7897180503024,fogoes,1109.8840954303741,1,1,1,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
39,Fogão 4 bocas Mueller Piacere Vetro Branco com Mesa de Vidro Bivolt,7908156901772,fogoes,1109.8840954303741,0,0,0,1,3,0.3,1,6,0.12,4,0.25,0.0015048908954100827
40,Fogão de Piso Esmaltec 5 Bocas Topázio Branco Bivolt,7899081729497,fogoes,1109.8840954303741,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
42,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,7896067227480,geladeiras,1109.8840954303741,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
43,Smart TV LG 43 polegadas 4K uhd 43UP7500PSF webOS ThinQ ai HGiG,7893299915840,tvs,1109.8840954303741,0,0,0,0,0,0.0,1,3,0.06,11,0.09090909090909091,0.004138449962377728
44,Fogão Ares 4 bocas Branco,7899639700091,fogoes,1109.8840954303741,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
45,"Notebook Samsung Book NP550XDA-K02BR, Intel Dual-Core, 4GB, 500GB, Branco - Windows 10",7892509117159,notebooks,1109.8840954303741,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
47,Fogão 5 bocas Mueller Piacere Vetro Branco com mesa de vidro e queimador central tripla chama Bivolt,7908156901789,fogoes,1109.8840954303741,1,1,1,1,3,0.3,1,5,0.1,1,1.0,0.0003762227238525207
48,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,geladeiras,1109.8840954303741,1,1,1,1,6,0.6,1,7,0.14,1,1.0,0.0003762227238525207
50,"Smart Tv Led 32'' Panasonic Hd, Wi-fi, Usb, Hdmi, 60hz",7896067213285,tvs,1109.8840954303741,1,1,1,1,10,1.0,1,10,0.2,1,1.0,0.0003762227238525207
52,"Smart TV Samsung 55 qled 4K Q65B 2022 Design Air Slim, Processador Quantum Lite, Multitela",7892509122009,tvs,1109.8840954303741,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
53,Smart TV LED 65” LG 65NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa,7893299915758,tvs,1109.8840954303741,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
54,Smartphone Xiaomi Redmi 9 64GB 4GB Ram 4 Câmeras Roxo,7898567778868,celulares,1109.8840954303741,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
55,"Notebook Positivo Motion C41TEi Intel® Celeron® Dual-Core™ Linux 14"" - Vermelho",7896904683608,notebooks,1109.8840954303741,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
