indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
4,Notebook lenovo BS145-15IIL I3 1005G1 4GB 500GB 15.6 dos,195348259293,notebooks,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
6,Notebook Ultra 15 Pol Core I5 8Gb 1Tb Hdd Windows 10 Prata - Ub521,7908414412859,notebooks,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
7,"Notebook Asus X543MA-GQ1300W Windows 11 15,6 Polegadas 500GB 4GB ram Celeron wi-fi",7898573298534,notebooks,3503.2797548770905,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
11,"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro",7896904697506,notebooks,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
17,"Notebook Dell Inspiron 15 a0700-UM20P 15.6"" FHD AMD Ryzen™ 7 8GB 256GB SSD Linux Preto",7899864941757,notebooks,3503.2797548770905,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.00012540757461750688
18,"Notebook Acer Aspire 3 amd Ryzen 3500U, 1TB hd, 8GB ram, amd Radeon Graphics 2GB GDDR5",4710886065548,notebooks,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
27,Notebook Dell Inspiron i15-i1100-M25P 15.6 Full HD 11ª Geração Intel Core i3 4GB 256GB ssd Windows 11 Preto,7899864943744,notebooks,3503.2797548770905,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
29,"Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza",7896904680508,notebooks,3503.2797548770905,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
32,Notebook vaio FE14 Intel Core i3 Linux 4GB 1TB Full HD - Cinza Escuro,7896904698695,notebooks,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
34,"Notebook asus X515JF-EJ361T Intel Core i5 1035G1 8GB 256GB ssd W10 15,6 LED-backlit Cinza",7898573298084,notebooks,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
35,Notebook Windows 10 Home Intel Core i3 4GB 1TB Ultra,7908414430211,notebooks,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
38,Notebook Dell Inspiron 15 i1101-M50S 15.6 Full HD 11ª geração Intel Core i7 8GB 512GB ssd nvidia Geforce Windows 11,7899864941955,notebooks,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
42,Kit Notebook Dell Inspiron 15 3000 a0700-MM20SF 15.6 fhd amd Ryzen 7 8GB 256GB ssd Windows 11 + Microsoft 365 Prata,7899864941771,notebooks,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
53,Notebook Samsung Chromebook 11.6 Intel Celeron N4020 32GB eMMC 4GB Chrome os XE310XBA-KT3BR,7892509118071,notebooks,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
60,Notebook Positivo Motion C41TE Celeron 4GB 1TB HD Windows 10 Home – Cinza,7896904680676,notebooks,3503.2797548770905,1,1,1,1,9,0.9,1,9,0.18,1,1.0,0.00012540757461750688
64,"Notebook Asus, Intel Core i3 1005G1, 8GB, 256GB ssd, Tela de 15,6, W11, Cinza - X515JA-BR2751W",7898573298336,notebooks,3503.2797548770905,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.00012540757461750688
67,"Notebook Dell Inspiron i13-i1100-M20S 13.3"" Full HD 11ª geração Plataforma Intel® EVO™ Core i7 8GB 512GB SSD Windows 11",7899864941375,notebooks,3503.2797548770905,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
77,Notebook Positivo Motion 14 HD Intel i3-6157U 128GB ssd 4GB Win 10 Home I34128GB,7896904684872,notebooks,3503.2797548770905,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
78,"Notebook Acer A514-53 - Tela 14, Intel i3 1005G1, ram 12GB, ssd 128GB, Windows 10 Professional",8848357430369,notebooks,3503.2797548770905,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00012540757461750688
80,Notebook asus X571GT-AL888T Preto,7898573297438,notebooks,3503.2797548770905,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
