indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
5,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,tvs,1093.7866854667664,1,1,1,1,5,0.5,1,6,0.12,1,1.0,0.0003762227238525207
19,Smart Tv Uhd 4k 55 Wifi Preto Bivolt,7908414412934,tvs,1093.7866854667664,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
22,"SAMSUNG, TV Smart 65 Uhd 4K UN65AU7700GXZD",7892509117937,tvs,1093.7866854667664,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0018811136192626034
23,"Smart TV Semp Roku Led 50¿ Rk8500 4k UHD HDR Wifi Dual Band, 4 Hdmi, 1 Usb, Com Controle Por Aplicativo",7899968301167,tvs,1093.7866854667664,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
28,TV Philco PTV39G50D d-led 39,7891356086595,tvs,1093.7866854667664,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.0003762227238525207
34,Smart TV Samsung Crystal uhd 4K 55AU9000 Design Slim Som em Movimento Virtual Visual Sem Cabos 55,7892509117463,tvs,1093.7866854667664,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
39,Tela 24 Polegadas HD Multilaser - TL037,7908414412880,tvs,1093.7866854667664,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
51,TV Led LH65BEAHV 65 Smart Ultra Hd 4k Crystal 3HDMI 1USB Samsung,7892509118156,tvs,1093.7866854667664,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
57,Smart TV LED 32 HD Multilaser TL020 Conversor Digital Externo 3 hdmi 2 USB Wi-Fi,7899838894744,tvs,1093.7866854667664,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
63,"Smart Tv 85"" Crystal UHD Samsung 4k 85AU8000 Painel Dynamic Crystal Color Design Slim Tela Sem Limites",7892509117531,tvs,1093.7866854667664,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
68,"Smart TV Samsung 50 led, Crystal Ultra HD 4K, Wi-Fi, USB - LH50BEAHVGGXZD",7892509118132,tvs,1093.7866854667664,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0015048908954100827
71,"Smart TV LED 32"" HD LG 32LM621CBSB.A, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI",7893299912252,tvs,1093.7866854667664,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
85,"Samsung Smart TV 65"" QLED 4K The Frame 2021 65LS03A Design Slim Suporte de Parede Slim Incluso Única Conexão",7892509117418,tvs,1093.7866854667664,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
93,Smart TV LG LED 75 Polegadas 4K uhd hdr Wi-Fi WebOS 6.0 Comando de Voz 75UP8050PSB,7893299915765,tvs,1093.7866854667664,1,1,1,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
127,Smart TV Roku Led 50 Philco uhd 4K Bivolt Netflix,7891356090912,tvs,1093.7866854667664,1,1,1,1,9,0.9,1,14,0.28,1,1.0,0.0003762227238525207
129,Smart TV Samsung Neo qled 4K 55QN90A Design slim Mini Led Processador ia Som em Movimento Plus 55,7892509117517,tvs,1093.7866854667664,0,0,0,1,3,0.3,1,3,0.06,3,0.3333333333333333,0.001128668171557562
134,"Semp, Roku TV LED 32” SEMP R5500 HD",7899968301143,tvs,1093.7866854667664,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.0003762227238525207
142,Smart TV 4K qled 55 tcl C715 Android Wi-Fi Bluetooth hdr 3 hdmi 2 USB,7899968301013,tvs,1093.7866854667664,1,1,1,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
167,Tv Digital Full Hd E Espelhamento Fiat Toro 2021 Faaftech F,7892460000163,tvs,1093.7866854667664,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
189,Smart TV LED 65” LG 65NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa,7893299915802,tvs,1093.7866854667664,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
193,Smart TV LED 55” LG 55NANO80 4K NanoCell 4x Hdmi 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa,7893299915772,tvs,1093.7866854667664,1,1,1,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
194,Smart TV LG 55 LED 4K Wi-Fi Bluetooth hdr Thinq ai Google Assis. Alexa - 55UP751C0SF. BWZ,7893299916908,tvs,1093.7866854667664,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.0003762227238525207
