indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogao A gas picasso vitreo 6 Q preto fosco gás glp,7899552142503,fogoes,884.5510833263397,1,1,1.0,1,2,0.2,1,3,0.06,1,1.0,0.00012540757461750688
1,Smart TV LED HD 32” Panasonic Media Player 2 HDMI 2 USB TC-32FS500B,7896067213285,tvs,884.5510833263397,1,1,1.0,1,6,0.6,1,9,0.18,1,1.0,0.00012540757461750688
3,Fogão 4 Bocas Essencial Automático Mesa de Vidro Bivolt Itatiaia Inox,7892946411780,fogoes,884.5510833263397,1,1,1.0,1,3,0.3,1,6,0.12,1,1.0,0.00012540757461750688
4,"Smartphone Samsung Galaxy A02 32GB 13MP 6,5 Vermelho",7892509117708,celulares,884.5510833263397,1,1,1.0,1,2,0.2,1,3,0.06,1,1.0,0.00012540757461750688
6,Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188,7909569000502,fogoes,884.5510833263397,1,1,1.0,1,4,0.4,1,4,0.08,1,1.0,0.00012540757461750688
7,"Relé solenoide de partida, 12V 4 terminais resistente ao desgaste B6AZ-11450-A vermelho substituição do interruptor do relé solenoide para AEROSTAR 2.8L 171 V6 1986 para carro",7448513007469,notebooks,884.5510833263397,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
8,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,fogoes,884.5510833263397,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
9,Smartphone multilaser E pro 32GB 4G tela 5 dual 1GB ram,7908414420236,celulares,884.5510833263397,1,1,1.0,1,2,0.2,1,6,0.12,1,1.0,0.00012540757461750688
10,Frigobar 117L consul - CRC12CBBNA,7891129224070,geladeiras,884.5510833263397,1,1,1.0,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
11,Fogão de Piso Itatiaia Waves 4 Bocas Acendimento Automático,7892946310397,fogoes,884.5510833263397,1,1,1.0,1,3,0.3,1,7,0.14,1,1.0,0.00012540757461750688
