indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas maxi vitreo 4 Q branco gas glp,7899552140899,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,1,1,0.02,18,0.05555555555555555,0.006772009029345372
3,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,113,0.008849557522123894,0.04251316779533484
8,Fogão de Piso 5 Bocas Electrolux 76LBU Branco Bivolt,7909569000267,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
13,Fogão Itatiaia Waves 4 Bocas All Black Bivolt 3700000042,7892946327388,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
14,Fogao A gas palladio vitreo 4 Q branco gás glp,7899552141018,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,82,0.012195121951219513,0.030850263355906696
15,Fogão de Piso Fischer 4Q Gran Cheff Gás,7896513318199,fogoes,122.32988786697388,1,1,1.0,1,5,0.5,1,6,0.12,1,1.0,0.0003762227238525207
17,Fogão 4 bocas Mueller Fratello Grafite acendimento automático Bivolt,7908156900911,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
19,Fogao A Gas Maxi Vitreo 5 Q Preto Fosco Gás Glp,7899552141759,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,4,0.08,1,1.0,0.0003762227238525207
23,Fogao Mueller Fratello Vetro 4bcs 601230011,7908156900386,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,5,0.1,1,1.0,0.0003762227238525207
25,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,7908156900416,fogoes,122.32988786697388,1,1,1.0,1,4,0.4,1,8,0.16,1,1.0,0.0003762227238525207
26,Fogão De Piso 6 Bocas A Gás glp Venax Delplus Vítreo Bivolt Preto,7899552142381,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,360,0.002777777777777778,0.13544018058690746
27,Fogão Cooktop Fischer 2Q Elétrico Mesa Vitrocerâmica Preto 220V,7896513310483,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
28,Fogao realce iris glass 5B,7899639786057,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
29,Fogão Dako Supreme Glass 5 Bocas Branco - Bivolt,7897180504311,fogoes,122.32988786697388,1,1,1.0,1,4,0.4,1,5,0.1,1,1.0,0.0003762227238525207
32,Fogão 4 Bocas Itatiaia Dream Preto Bivolt,7892946311189,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
33,Fogão Atlas Mônaco Top Glass 5 Bocas Preto - Bivolt,7897180505165,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
37,Fogão Atlas 5Bocas New Fastcook,7897180507619,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,1,1,0.02,17,0.058823529411764705,0.006395786305492852
38,Fogão 4 bocas Turbo Glass Mesa de vidro Preto Dako Bivolt,7897180503024,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
39,Fogão 4 bocas Mueller Piacere Vetro Branco com Mesa de Vidro Bivolt,7908156901772,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,1,3,0.06,20,0.05,0.007524454477050414
40,Fogão de Piso Esmaltec 5 Bocas Topázio Branco Bivolt,7899081729497,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,3,0.06,1,1.0,0.0003762227238525207
44,Fogão Ares 4 bocas Branco,7899639700091,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
47,Fogão 5 bocas Mueller Piacere Vetro Branco com mesa de vidro e queimador central tripla chama Bivolt,7908156901789,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
56,Fogão Atlas 5 Bocas Agile up Glass Mesa Vidro Forno- Preto,7897180506322,fogoes,122.32988786697388,1,1,1.0,1,9,0.9,1,23,0.46,1,1.0,0.0003762227238525207
61,Fogão a Gás GLP Picasso 5 Bocas Venax Grafite,7899552146419,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
72,Fogão Vitrum 5 Bocas - Branco,7892946336120,fogoes,122.32988786697388,1,1,1.0,1,4,0.4,1,6,0.12,1,1.0,0.0003762227238525207
75,Fogão De Piso Atlas 5 Bocas Monaco Plus Branco Bvolt,7897180505349,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,3,0.06,1,1.0,0.0003762227238525207
76,Fogão 5 Bocas Preto com Frente em Vidro Preto e Tripla Chama Dako Diplomata Bivolt,7897180508319,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
83,Fogao 5B mueller fratello vetro mesa vidro - 601230012,7908156900393,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
85,Fogão 5 Bocas Fratello Vetro Mueller Preto Fosco,7908156900379,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,5,0.1,1,1.0,0.0003762227238525207
86,Fogão Mônaco Plus 4Bocas Bivolt Titanium Cinza - Atlas,7897180505318,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,10,0.2,1,1.0,0.0003762227238525207
89,Fogão Cook Top ultra chama 5 bocas - Chamalux,7897575153100,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,525,0.0019047619047619048,0.19751693002257337
90,Fogão A Gás glp Venax Gaudi 5 Bocas Grafite,7899552146440,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
91,"Fogão Ágata Glass 5 Bocas, Preto, Acendimento automático - Esmaltec",7899081743325,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,6,0.12,1,1.0,0.0003762227238525207
93,Fogão 4 bocas Magister Preto com Mesa de Vidro - Dako,7897180505431,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
95,Fogão Atlas New Utop Mesa Inox 4 Bocas Branco/Preto Bivolt 300001217,7897180507978,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
96,Fogao a Gas Picasso Vitreo 6 Q Branco Gas Glp,7899552142480,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
97,Fogão a Gás Progás 2 Queimadores Baixa Pressão Pés PMS-200,7898466541891,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,3,0.06,1,1.0,0.0003762227238525207
100,Fogao 4b Mueller Moderatto S/acend - 601230018,7908156900805,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,6,0.12,1,1.0,0.0003762227238525207
105,Fogão Cooktop Fischer 4Q TC Gás Mesa Vidro Preto BIVOLT,7896513311121,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
107,Fogão de Piso Mesa de Vidro Front Control 5 Queimadores Suggar,7908312800338,fogoes,122.32988786697388,1,1,1.0,1,5,0.5,1,10,0.2,1,1.0,0.0003762227238525207
114,Fogão De Piso 4 Bocas Acendimento Automático Preto Jade Glass Esmaltec,7899081743219,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,6,0.12,1,1.0,0.0003762227238525207
115,Fogão 4 bocas Mueller Fratello Branco acendimento automático Bivolt,7908156900867,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,2,0.04,1,1.0,0.0003762227238525207
118,Fogão Brastemp 4 bocas cor Inox com botões removíveis e vidro panorâmico - BFO4NAR BIVOLT,7891129233621,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
121,Fogão Portátil Venax Mini Cook 2 Bocas Com Forno A Gás GLP Vermelho,7899552116054,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
124,Fogão 4 Bocas Itatiaia Star Clean Branco Acendimento Manual Bivolt,7892946330067,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,4,0.08,1,1.0,0.0003762227238525207
125,Fogão Dream 5 Bocas Acendimento Automático Itatiaia Preto Bivolt,7892946310434,fogoes,122.32988786697388,1,1,1.0,1,4,0.4,1,4,0.08,1,1.0,0.0003762227238525207
129,Fogão De Piso Dako 5 Bocas Acendimento Automático Magister Preto Bvolt,7897180505448,fogoes,122.32988786697388,1,1,1.0,1,3,0.3,1,7,0.14,1,1.0,0.0003762227238525207
130,Fogao A Gas Da Vinci Vitreo 4 Q Branco Gas Glp,7899552140721,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,62,0.016129032258064516,0.023325808878856283
137,Fogao A Gas Gemini 2 Q Vetro Amarelo Gás Glp,7898456266261,fogoes,122.32988786697388,1,1,1.0,1,5,0.5,1,9,0.18,1,1.0,0.0003762227238525207
141,Fogão A Gás 5 Bocas Venax Picasso Branco Bivolt,7898456267688,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
142,Fogao Itatiaia Vitrum Digital 5b Preto Bivolt,7892946336632,fogoes,122.32988786697388,1,1,1.0,1,7,0.7,1,19,0.38,1,1.0,0.0003762227238525207
149,Fogao De Piso Cook Suggar Fgv500br 5 Queimadores Branco,7908312800352,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
150,Fogão 5 Bocas Automático Tripla Chama Vitrum Bivolt Itatiaia Inox,7892946336656,fogoes,122.32988786697388,1,1,1.0,1,4,0.4,1,7,0.14,1,1.0,0.0003762227238525207
151,Fogão 1 Boca Guindani Com Queimador Duplo Inox 304 36Cm,7894989291503,fogoes,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
152,Fogao a Gas Picasso Vitreo 5 Q Preto Fosco Gas Glp,7899552141322,fogoes,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
155,Fogão Atlas Mônaco Top Glass 4 Bocas Branco - Bivolt,7897180505127,fogoes,122.32988786697388,0,0,0.0,1,1,0.1,1,5,0.1,10,0.1,0.003762227238525207
162,Fogão Coliseum Plus 4 Bocas Acendimento Manual Atlas,7897180505394,fogoes,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,1225,0.0008163265306122449,0.4608728367193379
