indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
2,Frigobar Midea 71 Litros Branco MRC08B2 - 220V,7908198000167,geladeiras,122.32988786697388,1,1,1.0,1,1,0.1,1,1,0.02,1,1.0,0.0003762227238525207
7,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,geladeiras,122.32988786697388,0,0,0.0,1,2,0.2,1,2,0.04,7,0.14285714285714285,0.0026335590669676447
11,Frigobar Consul 117L CRC12 - 110V,7891129224063,geladeiras,122.32988786697388,1,1,1.0,1,7,0.7,1,8,0.16,1,1.0,0.0003762227238525207
18,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,geladeiras,122.32988786697388,0,0,0.0,1,1,0.1,1,1,0.02,2,0.5,0.0007524454477050414
20,Geladeira/Refrigerador Brastemp Frost Free 375 Litros BRM45 - Branca - 110v,7891129252745,geladeiras,122.32988786697388,1,1,1.0,1,6,0.6,1,13,0.26,1,1.0,0.0003762227238525207
22,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,geladeiras,122.32988786697388,1,1,1.0,1,5,0.5,1,8,0.16,1,1.0,0.0003762227238525207
42,Refrigerador Panasonic 480 Litros BB71 Bottom Freezer Aço Escovado 127V,7896067227480,geladeiras,122.32988786697388,1,1,1.0,1,2,0.2,1,2,0.04,1,1.0,0.0003762227238525207
48,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,geladeiras,122.32988786697388,1,1,1.0,1,4,0.4,1,7,0.14,1,1.0,0.0003762227238525207
82,"Geladeira/Refrigerador Philco Side by Side PRF520DI, Frost Free, 2 Portas, 520 Litros, Inox",7891356080067,geladeiras,122.32988786697388,0,0,0.0,0,0,0.0,1,2,0.04,25,0.04,0.009405568096313018
94,Geladeira Lg Automática 525L 3 Portas French Door Inverter,8806098602629,geladeiras,122.32988786697388,0,0,0.0,0,0,0.0,0,0,0.0,63,0.015873015873015872,0.023702031602708805
