indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
1,Fogao A gas palladio vitreo 4 Q preto fosco gás glp,7899552140974,https://www.americanas.com.br/produto/3193703756,fogoes,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,68,0.014705882352941176,0.03378042722305018
2,Fogão Atlas 4 Bocas Branco,7897180505127,https://www.americanas.com.br/produto/5174814864,fogoes,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,68,0.014705882352941176,0.03378042722305018
4,Fogão Mueller 5 Bocas Piacere Automático 601230004 - Inox,7908156901680,https://www.americanas.com.br/produto/3639949444,fogoes,147.44701099395752,0,0,0,0,0,0.0,1,1,0.02,12,0.08333333333333333,0.005961251862891207
5,"Smart TV 4K Samsung qled 75 com Design Slim, Alexa built in e Wi-Fi - 75Q70AA",7892509117593,https://www.americanas.com.br/produto/3249116279,tvs,147.44701099395752,0,0,0,0,0,0.0,1,1,0.02,39,0.02564102564102564,0.019374068554396422
8,"Refrigerador Side By Side Lg 601l Painel Touch, Dispenser, New Lancaster Gs65sdn 220v",6934585684468,https://www.americanas.com.br/produto/4856798144,geladeiras,147.44701099395752,0,0,0,1,2,0.2,1,4,0.08,2,0.5,0.0009935419771485345
10,Fogão Atlas 5 Bocas Mônaco Top Glass com Mesa de Vidro Temperado Bivolt Branco,7897180505158,https://www.americanas.com.br/produto/5138180358,fogoes,147.44701099395752,0,0,0,0,0,0.0,1,2,0.04,20,0.05,0.009935419771485345
11,Fogão a Gás 4 Bocas Moderatto 601186001 Branco - Mueller,7898361094980,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Moderatto-601186001-Branco/dp/B076B9BJXW,fogoes,147.44701099395752,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
14,Smartphone Motorola Moto G200 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 8GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351558,https://www.americanas.com.br/produto/4424395544,celulares,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,227,0.004405286343612335,0.11276701440635867
15,Notebook ultra multilaser 15.6 pol celeron N4020 4GB 120GB ssd windows 11 prata + microsoft 365 pers,7908414438545,https://www.americanas.com.br/produto/4956197856,notebooks,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,289,0.0034602076124567475,0.14356681569796323
16,Geladeira Lg Bottom Freezer 451 Litros Inox 110v Gc-b659bsb,8806098423927,https://www.americanas.com.br/produto/3926211637,geladeiras,147.44701099395752,0,0,0,1,1,0.1,1,2,0.04,4,0.25,0.001987083954297069
17,Smartphone Galaxy A03 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho,7892509121231,https://www.americanas.com.br/produto/4600478999,celulares,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,55,0.01818181818181818,0.0273224043715847
19,Smart Tv Uhd 4k 55 Wifi Preto Bivolt,7908414412934,https://www.americanas.com.br/produto/4375961342,tvs,147.44701099395752,0,0,0,0,0,0.0,1,2,0.04,12,0.08333333333333333,0.005961251862891207
20,Fogão de Piso 4 Bocas Mesa Inox Vidro Duplo 60L Dako Supreme branco Bivolt,7897180504236,https://www.americanas.com.br/produto/4678448941,fogoes,147.44701099395752,0,0,0,0,0,0.0,1,1,0.02,11,0.09090909090909091,0.00546448087431694
22,"SAMSUNG, TV Smart 65 Uhd 4K UN65AU7700GXZD",7892509117937,https://www.amazon.com.br/SAMSUNG-TV-Smart-Uhd-UN65AU7700GXZD/dp/B09JL78HRN,tvs,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,289,0.0034602076124567475,0.14356681569796323
24,Fogão 5 Bocas Fratello Vetro com Mesa de Vidro Mueller,7908156900416,https://www.americanas.com.br/produto/4378707948,fogoes,147.44701099395752,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0004967709885742673
27,"Notebook Lenovo Ideapad 3i Intel Celeron N4020 Memoria 4GB Ssd 480GB Tela 15,6'' HD Windows 10 Pro",195713167154,https://www.americanas.com.br/produto/4478065612,notebooks,147.44701099395752,1,1,1,1,2,0.2,1,3,0.06,1,1.0,0.0004967709885742673
28,TV Philco PTV39G50D d-led 39,7891356086595,https://www.americanas.com.br/produto/4660650164,tvs,147.44701099395752,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0004967709885742673
29,Fogão de Piso Continental 4 Bocas FC4CB Branco Automático com Mesa Compartimentada - Bivolt,7909569002193,https://www.americanas.com.br/produto/1778939799,fogoes,147.44701099395752,0,0,0,0,0,0.0,0,0,0.0,929,0.001076426264800861,0.4615002483854943
31,Notebook Acer A315 Intel Celeron N4000 Memoria 4gb Ssd 240GBTela 15.6' Hd Windows 10 Home,4710180696752,https://www.americanas.com.br/produto/4201441671,notebooks,147.44701099395752,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0009935419771485345
32,Fogao Itatiaia Vitrum Digital 5b Preto Bivolt,7892946336632,https://www.americanas.com.br/produto/5199635117,fogoes,147.44701099395752,0,0,0,1,1,0.1,1,5,0.1,10,0.1,0.004967709885742673
33,Fogao A Gas Gemini 2 Q Vetro Amarelo Gás Glp,7898456266261,https://www.americanas.com.br/produto/3193707626,fogoes,147.44701099395752,0,0,0,0,0,0.0,1,2,0.04,21,0.047619047619047616,0.010432190760059613
