indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
6,Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351497,https://www.americanas.com.br/produto/3805072618,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,330,0.0030303030303030303,0.1853932584269663
10,Smartphone Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul,7892597351114,https://www.americanas.com.br/produto/3171318769,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,95,0.010526315789473684,0.05337078651685393
34,Smartphone Samsung Galaxy A23 4G 128GB 6.6 Quad Câm 48 + 5 + 2 + 2MP Azul,7892509123266,https://www.americanas.com.br/produto/5023390451,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,187,0.0053475935828877,0.1050561797752809
36,"Smartphone Samsung Galaxy S22 + 5G, 128GB, 8GB ram, Tela Infinita de 6.6",7892509122306,https://www.americanas.com.br/produto/4746463474,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,132,0.007575757575757576,0.07415730337078652
54,Smartphone Xiaomi Redmi 9 64GB 4GB Ram 4 Câmeras Roxo,7898567778868,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-64GB-C%C3%A2meras/dp/B08G1VS56Z/ref=sr_1_977?qid=1651784093&s=wireless&sr=1-977,celulares,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,46,0.021739130434782608,0.025842696629213482
63,"Smartphone Samsung Galaxy A10s, 6,2, 32 Gb, Câmera Dupla, Azul",7892509111874,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-C%C3%A2mera-Dupla/dp/B083KPFNHK/ref=sr_1_1231?qid=1651784110&s=wireless&sr=1-1231&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,45,0.022222222222222223,0.025280898876404494
71,Smartphone Multilaser F 3g 32gb 1gb Tela 5.5 + Suporte Ring,7899838889276,https://www.americanas.com.br/produto/4121314217,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,62,0.016129032258064516,0.0348314606741573
73,Smartphone Multilaser E Lite 32GB,7899838889214,https://www.americanas.com.br/produto/2521630147,celulares,131.43209624290466,0,0,0,0,0,0.0,1,2,0.04,11,0.09090909090909091,0.006179775280898876
80,Smartphone Samsung Galaxy A52 128Gb Preto,7892509116930,https://www.americanas.com.br/produto/5144518968,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,51,0.0196078431372549,0.028651685393258425
102,Smartphone Motorola Moto G31 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB RAM Câmera Tripla + Selfie 13MP - Grafite,7892597351640,https://www.americanas.com.br/produto/4447197866,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,164,0.006097560975609756,0.09213483146067415
116,Smartphone Multilaser E Pro 32GB 4G wi-fi Dourado Tela 5.0 Dual Chip 1GB ram Câmera 5MP + Selfie 5MP Android 11 Go - P9151,7908414420243,https://www.americanas.com.br/produto/4888023159,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,460,0.002173913043478261,0.25842696629213485
122,Smartphone Red Mobile Volt L S51 16Gb 1Gb ram Preto/Azul,609963649624,https://www.americanas.com.br/produto/4676835374,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,78,0.01282051282051282,0.043820224719101124
128,Smartphone Samsung Galaxy A12 128GB Preto 4G Wi-Fi Tela 6.5'' Dual Chip 6GB ram Câmera Quádrupla + Selfie 8MP,8806092186422,https://www.americanas.com.br/produto/4652438905,celulares,131.43209624290466,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
175,"Smartphone Samsung Galaxy A23, 128GB, 4GB ram, Dual Chip, Tela de 6.6",7892509123273,https://www.americanas.com.br/produto/4878119333,celulares,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,42,0.023809523809523808,0.02359550561797753
192,Celular LG - LMK520BMW - K62 64 GB Vermelho,7893299915277,https://www.amazon.com.br/Celular-LG-LMK520BMW-K62-Vermelho/dp/B08WKJM4C2/ref=sr_1_1270?qid=1651784111&s=wireless&sr=1-1270&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,1230,0.0008130081300813008,0.6910112359550562
203,Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Preto,7892509118279,https://www.americanas.com.br/produto/2891924281,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,641,0.0015600624024961,0.3601123595505618
208,Smartphone tcl 20SE 6.82 Octa Core 128GB 4GB Câmera Quádrupla Quadriband,7898552004903,https://www.americanas.com.br/produto/5019958243,celulares,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0016853932584269663
226,"Smartphone Multilaser E Pro 32GB 4G Wi-Fi Tela 5,0 Dual Chip 1GB Ram Câmera 5MP + Selfie 5MP Android 11 Go - P9150",7908414420236,https://www.amazon.com.br/Smartphone-Multilaser-C%C3%A2mera-Selfie-Android/dp/B09V5NXDQV/ref=sr_1_1660?qid=1651784135&s=wireless&sr=1-1660&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,416,0.002403846153846154,0.23370786516853934
229,"Smartphone Multilaser G 2 4G Dual Chip 32GB 2GB Ram Tela 5,1 Câmera 8MP + Selfie 5MP Android 11 Go Dourado - P9155",7908414420281,https://www.amazon.com.br/Smartphone-Multilaser-C%C3%A2mera-Android-Dourado/dp/B09V89CFLH/ref=sr_1_1442?qid=1651784122&s=wireless&sr=1-1442&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,94,0.010638297872340425,0.052808988764044947
254,"Smartphone Twist 4Pro S518 4G 64GB Tela 5,5 Polegadas Android 10 Octa Core Cam 8mp + 8mp Positivo",7896904691788,https://www.americanas.com.br/produto/4945744033,celulares,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0016853932584269663
262,Smartphone multilaser G max 2 dourado 2GB ram 64GB,7908414420304,https://www.americanas.com.br/produto/5131247100,celulares,131.43209624290466,0,0,0,1,1,0.1,1,2,0.04,9,0.1111111111111111,0.0050561797752808986
269,Smartphone Moto G71 128GB 5G Wi-Fi Tela 6.4'' Dual Chip 6GB RAM Câmera Tripla + Selfie 16MP - Verde,7892597351619,https://www.americanas.com.br/produto/4679622542,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,780,0.001282051282051282,0.43820224719101125
273,Smartphone Multilaser F Pro 4g 16gb Android 9 Dourado P9119,7899838873862,https://www.americanas.com.br/produto/4678657760,celulares,131.43209624290466,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
313,Smartphone Motorola Moto E6s 64GB 4G Wi-Fi Tela 6.1'' Dual Chip 4GB RAM Câmera Dupla + Selfie 5MP - Vermelho Magenta,7892597349999,https://www.americanas.com.br/produto/2799308831,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,488,0.0020491803278688526,0.27415730337078653
329,"Smartphone LG K50S Azul 32GB, Tela 6,5"" Narrow Notch HD+ FullVision, Inteligência Artificial, Câmera Tripla, Selfie de 13MP e Processador Octa-Core - Azul",7893299913365,https://www.amazon.com.br/Smartphone-LG-FullVision-Intelig%C3%AAncia-Processador/dp/B07ZS5BKJN/ref=sr_1_1279?qid=1651784112&s=wireless&sr=1-1279&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,320,0.003125,0.1797752808988764
330,Smartphone Pol. Octa Core Android 9.0 Go Preto Multilaser,7899838865461,https://www.americanas.com.br/produto/4955489700,celulares,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,40,0.025,0.02247191011235955
332,Smartphone Nokia C30 64GB 4G - NK042 - Verde,7908414422384,https://www.americanas.com.br/produto/4837254336,celulares,131.43209624290466,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.0005617977528089888
334,"Smartphone Motorola Moto E20 32GB 4GB RAM, Cinza",7892597351411,https://www.amazon.com.br/Smartphone-Motorola-Moto-32GB-Cinza/dp/B09K9NC943/ref=sr_1_1395?qid=1651784119&s=wireless&sr=1-1395&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,201,0.004975124378109453,0.11292134831460675
339,Smartphone Motorola Moto E7 32GB 2GB RAM Cinza Metálico,7892597350315,https://www.amazon.com.br/Celular-Motorola-Moto-E7-Met%C3%A1lico/dp/B08TPWS32Q/ref=sr_1_1320?qid=1651784114&s=wireless&sr=1-1320,celulares,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,32,0.03125,0.017977528089887642
345,"Smartphone Samsung Galaxy A02 32GB 13MP 6,5 Vermelho",7892509117708,https://www.amazon.com.br/Smartphone-Samsung-Galaxy-32GB-Vermelho/dp/B08ZVTCGMD/ref=sr_1_1275?qid=1651784112&s=wireless&sr=1-1275&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,248,0.004032258064516129,0.1393258426966292
354,Smartphone Motorola Edge 20 Pro 256GB 5G Wi-Fi Tela 6.7'' Dual Chip 12GB RAM Câmera Tripla + Selfie 32MP - Branco,7892597351220,https://www.americanas.com.br/produto/3616548576,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,275,0.0036363636363636364,0.1544943820224719
355,Smartphone nokia C01 plus 1 + 32GB roxo - NK041,7908414422377,https://www.americanas.com.br/produto/5069981556,celulares,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,9,0.1111111111111111,0.0050561797752808986
359,Smartphone Motorola Moto G22 128GB 4G Wi-Fi Tela 6.5,7892597352067,https://www.americanas.com.br/produto/5189332551,celulares,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
363,"Smartphone Positivo Twist 4G 32GB Dual Chip Android 10 Tela 5"" Octa-Core 1,6 GHz 4G 8MP - Cinza Chumbo",7896904683820,https://www.americanas.com.br/produto/2973306583,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,195,0.005128205128205128,0.10955056179775281
366,Smartphone asus Zenfone Max Pro (M2) 6GB/64GB Black Saphire,7898573296912,https://www.americanas.com.br/produto/1343817864,celulares,131.43209624290466,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0011235955056179776
371,"Smartphone Samsung Galaxy M22 128GB 4G Wi-Fi Tela 6,4'' Dual Chip 4GB ram Câmera Quádrupla + Selfie 13MP - Branco",7892509120340,https://www.americanas.com.br/produto/4755347475,celulares,131.43209624290466,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.0005617977528089888
378,"Smartphone Motorola Moto E20 Dual sim 32GB Octa-Core Tela hd + de 6,5 Câmera Dupla 13MP + 2MP gps Rádio fm Leitor Biométrico Entrada USB C P2",7892597351404,https://www.americanas.com.br/produto/5143293509,celulares,131.43209624290466,0,0,0,0,0,0.0,1,1,0.02,13,0.07692307692307693,0.007303370786516854
388,"Smartphone Galaxy A23, 128Gb, Tela 6.6, Câmeras 50MP + 8MP + 2MP + 2MP, Preto, SM-A235MZKRZTO samsung",7892509122719,https://www.americanas.com.br/produto/4857089542,celulares,131.43209624290466,0,0,0,0,0,0.0,0,0,0.0,500,0.002,0.2808988764044944
