indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
0,Fogao A gas picasso vitreo 6 Q preto fosco gás glp,7899552142503,https://www.americanas.com.br/produto/2109899890,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,62,0.016129032258064516,0.014846743295019157
3,Fogão 4 Bocas Essencial Automático Mesa de Vidro Bivolt Itatiaia Inox,7892946411780,https://www.americanas.com.br/produto/4913120402,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,15,0.06666666666666667,0.0035919540229885057
6,Fogão de Piso Electrolux 76DXV à Gás 5 Queimadores 2 Fornos Prata 110V 33052VBA188,7909569000502,https://www.americanas.com.br/produto/2221616941,fogoes,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
8,Fogão de Piso com Acendimento Automático Star 5 Bocas Itatiaia,7892946404805,https://www.americanas.com.br/produto/3521104358,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,29,0.034482758620689655,0.006944444444444444
11,Fogão de Piso Itatiaia Waves 4 Bocas Acendimento Automático,7892946310397,https://www.americanas.com.br/produto/119725818,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,21,0.047619047619047616,0.005028735632183908
24,Fogão 4 Bocas Clarice Delicato Plus Glass Preto Bivolt,7898342104875,https://www.americanas.com.br/produto/77420080,fogoes,347.9402892589569,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
27,Fogão Brastemp 5 Bocas Cor Inox Com Botões Removíveis E Exclusivo Aro Protetor - BFS5NCR BIVOLT,7891129264373,https://www.amazon.com.br/Fog%C3%A3o-Brastemp-Bocas-BFS5NCR-Bivolt/dp/B07FTLJ99J,fogoes,347.9402892589569,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
28,Fogão a Gás Del Plus Vítreo 5 Bc Verde glp Venax,7899552141186,https://www.americanas.com.br/produto/1393118404,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,20,0.05,0.004789272030651341
36,Fogão de Piso Mesa de Vidro Front Control 5 Queimadores Branco Bivolt Suggar,7908312800352,https://www.americanas.com.br/produto/4969689500,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,54,0.018518518518518517,0.01293103448275862
39,Fogão 5B Fischer Gran Cheff Grill Auto Acendimento Inox 220V,7896513318243,https://www.americanas.com.br/produto/4202970881,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,158,0.006329113924050633,0.037835249042145594
41,Fogão Itatiaia Dream 5 Bocas Preto Tripla Chama Bivolt,7892946311196,https://www.americanas.com.br/produto/4820514306,fogoes,347.9402892589569,0,0,0,1,1,0.1,1,2,0.04,5,0.2,0.0011973180076628352
42,Fogão Atlas Agile Up Glass 5 Bocas Acendimento Automático Preto,7897180506322,https://www.americanas.com.br/produto/5080081591,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,2,0.04,23,0.043478260869565216,0.005507662835249042
43,Fogão a Gás de Piso 5 Bocas Dako Turbo Glass,7897180503031,https://www.americanas.com.br/produto/3735527735,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,461,0.0021691973969631237,0.11039272030651341
48,"Fogão 5 Bocas de Piso Electrolux, Ultra Chama, Silver - 76LSU",7909569000274,https://www.americanas.com.br/produto/2871307614,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,12,0.08333333333333333,0.0028735632183908046
50,Fogão Mueller 5 Bocas Fratello Vetro Branco Bivolt,7908156900416,https://www.amazon.com.br/Fog%C3%A3o-Mueller-Fratello-Branco-Bivolt/dp/B07Y5WQLDT,fogoes,347.9402892589569,0,0,0,1,2,0.2,1,4,0.08,4,0.25,0.0009578544061302681
64,Fogão De Piso Atlas 4 Bocas Monaco Plus Branco Bivolt,7897180505301,https://www.americanas.com.br/produto/4898159367,fogoes,347.9402892589569,0,0,0,1,2,0.2,1,2,0.04,4,0.25,0.0009578544061302681
71,Fogão Elétrico Layr Topázio 2 Bocas 676,7896560901115,https://www.americanas.com.br/produto/4464091810,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,111,0.009009009009009009,0.02658045977011494
76,Fogão Dream 5 Bocas Acendimento Automático 3700000004 Itatiaia,7892946310434,https://www.americanas.com.br/produto/119725893,fogoes,347.9402892589569,0,0,0,1,1,0.1,1,2,0.04,6,0.16666666666666666,0.0014367816091954023
77,Fogão de Piso Atlas 4 Bocas Monaco Acendimento Automático Top Glass,7897180505134,https://www.americanas.com.br/produto/4973236108,fogoes,347.9402892589569,0,0,0,0,0,0.0,1,2,0.04,20,0.05,0.004789272030651341
80,Fogão Mueller 4Q Grade de Aço Acendimento Manual,7908156900805,https://www.americanas.com.br/produto/5092711503,fogoes,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0007183908045977011
85,Fogão 4 Bocas Electrolux Prata Automático com Forno de 70L e Vidro Interno Removível (52LXU) Bivolt,7909569000298,https://www.amazon.com.br/Fog%C3%A3o-Bocas-Silver-Acendimento-Autom%C3%A1tico/dp/B07TDBNY91,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,93,0.010752688172043012,0.022270114942528736
100,Fogão 5 Bocas Mônaco Top Glass Atlas Automático com Mega chama - Preto,7897180505165,https://www.americanas.com.br/produto/1733144651,fogoes,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,330,0.0030303030303030303,0.07902298850574713
