indice,titulo,ean,url,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
10,Frigobar 117L consul - CRC12CBBNA,7891129224070,https://www.americanas.com.br/produto/4883384924,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,2,0.04,5,0.2,0.0011973180076628352
23,Refrigerador Frost Free Duplex 340litros CRM39AKANA Consul,7891129514232,https://www.americanas.com.br/produto/4837906955,geladeiras,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,44,0.022727272727272728,0.01053639846743295
86,Geladeira Brastemp Frost Free 2 Portas BRM56 462L Inox - 110v,7891129251571,https://www.americanas.com.br/produto/132718911,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
93,Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo cor inox - CRE44AK 110V,7891129499751,https://www.amazon.com.br/gp/offer-listing/B07WGQQRXN,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,52,0.019230769230769232,0.012452107279693486
98,Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Inox com Controle Interno de Temperatura - 110v,7891129506022,https://www.americanas.com.br/produto/3144925483,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,77,0.012987012987012988,0.018438697318007662
104,Refrigerador Philco Side By Side PRF533I 220v,7891356086892,https://www.americanas.com.br/produto/3419495292,geladeiras,347.9402892589569,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
126,Geladeira Consul Cycle Defrost Duplex 334 Litros CRD37EB,7891129195455,https://www.americanas.com.br/produto/3072040175,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,4,0.25,0.0009578544061302681
135,Geladeira Consul Frost Free Duplex 386 litros Branca com Prateleira Dobrável,7891129246737,https://www.americanas.com.br/produto/5148393445,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,584,0.0017123287671232876,0.13984674329501914
157,Geladeira Frost Free DB84 Electrolux 598 Litros Duplex Branco 110V,7896584073553,https://www.americanas.com.br/produto/5141300429,geladeiras,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,35,0.02857142857142857,0.008381226053639846
188,Geladeira Duplex Invertida 397 Litros CRE44 Frost Free Consul,7891129499768,https://www.americanas.com.br/produto/5010355702,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,68,0.014705882352941176,0.016283524904214558
201,Refrigerador Brastemp Frost Free Duplex 375 Litros com Espaço Adapt Branco BRM45HB – 127 Volts,7891129252745,https://www.americanas.com.br/produto/2765640368,geladeiras,347.9402892589569,0,0,0,1,2,0.2,1,2,0.04,2,0.5,0.0004789272030651341
214,Refrigerador / Geladeira Continental Frost Free 2 Portas 370 Litros - TC41,7909569003091,https://www.americanas.com.br/produto/3735416648,geladeiras,347.9402892589569,0,0,0,1,2,0.2,1,3,0.06,3,0.3333333333333333,0.0007183908045977011
245,Frigobar Consul 117L CRC12 - 110V,7891129224063,https://www.americanas.com.br/produto/119934610,geladeiras,347.9402892589569,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
271,Geladeira Panasonic Generation Frost Free 435L Aço Escovado,7896067226964,https://www.americanas.com.br/produto/3326995394,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,529,0.001890359168241966,0.12667624521072796
285,Refrigerador Panasonic NR-BB53GV3WAB 425L White Glass,7896067227145,https://www.americanas.com.br/produto/2449594152,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0007183908045977011
286,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,7891129491717,https://www.americanas.com.br/produto/1546721889,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
323,Refrigerador Side by Side LG New Lancaster Instaview 601 litros 220v - GC-X247CSBV,8806098346189,https://www.americanas.com.br/produto/227203881,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,2,0.5,0.0004789272030651341
357,Geladeira Brastemp Frost Free 375 litros cor inox - BRM45HK 220V,7891129252776,https://www.amazon.com.br/Geladeira-Brastemp-Duplex-litros-Espa%C3%A7o/dp/B07JBHRNLK,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,70,0.014285714285714285,0.016762452107279693
369,Refrigerador / Geladeira LG Bottom Freezer Universe Refresh 451L,8806098423927,https://www.americanas.com.br/produto/5017788826,geladeiras,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,23,0.043478260869565216,0.005507662835249042
372,Refrigerador Consul Frost Free 342 Litros Com Controle De Temperatura Crb39 Branco 220v,7891129185418,https://www.americanas.com.br/produto/5200633161,geladeiras,347.9402892589569,1,1,1,1,1,0.1,1,2,0.04,1,1.0,0.00023946360153256704
379,Geladeira Top Freezer DW44S Com Dispenser de Água Platinum 400L,7896584097993,https://www.americanas.com.br/produto/83562531,geladeiras,347.9402892589569,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
410,Geladeira Brastemp Frost Free Side Inverse 540 litros cor Inox com Ice Maker - BRO80AK 220V,7891129220010,https://www.amazon.com.br/Geladeira-Frost-Inverse-Portas-Platinum/dp/B076B9DHN4,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,10,0.1,0.0023946360153256703
429,Refrigerador ngv 10 vermelho 12/24 V,7899552144378,https://www.americanas.com.br/produto/3653184222,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,3,0.3333333333333333,0.0007183908045977011
435,"Refrigerador Philco 467 Litros PRF505TI, Frost Free, Inverter, 2 Portas, Inox 110V",7891356090592,https://www.americanas.com.br/produto/5189296385,geladeiras,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,18,0.05555555555555555,0.004310344827586207
442,Refrigerador Smart LG Side By Side Door In Door 601L Inox 220V GS65SDN1,6934585684468,https://www.americanas.com.br/produto/4914217521,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,3,0.06,7,0.14285714285714285,0.0016762452107279694
499,Geladeira/Refrigerador Samsung French Door RF27T5501SG Black Inox 614L Family Hub SmartThings (Wi-Fi) - 127v,8806090402944,https://www.americanas.com.br/produto/2492546025,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,7,0.14285714285714285,0.0016762452107279694
501,Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade Branca - 110V,7891129195448,https://www.americanas.com.br/produto/110267814,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,538,0.0018587360594795538,0.12883141762452108
531,Refrigerador Continental Tc56 Frost Free Duplex 472 Litros,7909569003022,https://www.americanas.com.br/produto/2298984451,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,3,0.06,2,0.5,0.0004789272030651341
557,Refrigerador Esmaltec RCD34 Black 276L 2 Portas,7899081732084,https://www.americanas.com.br/produto/247379251,geladeiras,347.9402892589569,0,0,0,0,0,0.0,0,0,0.0,185,0.005405405405405406,0.0443007662835249
582,Geladeira/Refrigerador Frost Free Electrolux 322L Branco (RFE39) 127V,7896584060478,https://www.amazon.com.br/gp/offer-listing/B076BB82XH,geladeiras,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,19,0.05263157894736842,0.004549808429118774
607,Geladeira / Refrigerador Panasonic Duplex NR-BT55PV2WB Top Freezer Frost Free 483L Branco,7896067226933,https://www.americanas.com.br/produto/2174972951,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,2,0.04,8,0.125,0.0019157088122605363
608,Refrigerador Multi Door Cinza Cuisinart Arkton,7899100675002,https://www.americanas.com.br/produto/3293231240,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0011973180076628352
618,Frigobar Philco 85l Porta De Vidro Pfg85pg 127v,7891356078057,https://www.americanas.com.br/produto/4707065342,geladeiras,347.9402892589569,1,1,1,1,1,0.1,1,1,0.02,1,1.0,0.00023946360153256704
622,Refrigerador Philco Side By Side 437L Eco Inverter 127v,7891356086885,https://www.americanas.com.br/produto/3374195068,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,3,0.06,7,0.14285714285714285,0.0016762452107279694
662,REFRIGERADOR NGV 10 AMARELO,7899552101388,https://www.americanas.com.br/produto/3116181931,geladeiras,347.9402892589569,0,0,0,0,0,0.0,1,1,0.02,38,0.02631578947368421,0.009099616858237548
666,Refrigerador ngv 10 amarelo 12/24 V,7899552144361,https://www.americanas.com.br/produto/3652278577,geladeiras,347.9402892589569,0,0,0,1,1,0.1,1,1,0.02,5,0.2,0.0011973180076628352
