indice,titulo,ean,categoria,tempo,k-1,k-1-qtd,k-1-qtd/1,k-10,k-10-qtd,k-10-qtd/10,k-50,k-50-qtd,k-50-qtd/50,match_rank,1/match_rank,match_rank/total
21,Refrigerador Ngv 10 Branco 12/24 V,7899552144682,geladeiras,883.8416328430176,1,1,1,1,7,0.7,1,7,0.14,1,1.0,0.00012540757461750688
25,Refrigerador Consul 386l Frost Free Classe A Crm43 Platinum 220v,7891129240643,geladeiras,883.8416328430176,1,1,1,1,5,0.5,1,5,0.1,1,1.0,0.00012540757461750688
41,Geladeira/Refrigerador Brastemp Frost Free BRM45 375 Litros Inox - 220v,7891129252776,geladeiras,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
44,Frigobar Consul Branco 117L 110V CRC12CBANA,7891129224063,geladeiras,883.8416328430176,1,1,1,1,7,0.7,1,10,0.2,1,1.0,0.00012540757461750688
56,Geladeira Brastemp Frost Free 443 litros - BRE57 Inox 110v,7891129252059,geladeiras,883.8416328430176,1,1,1,1,4,0.4,1,5,0.1,1,1.0,0.00012540757461750688
57,Refrigerador ngv 10 vermelho,7899552101401,geladeiras,883.8416328430176,1,1,1,1,6,0.6,1,6,0.12,1,1.0,0.00012540757461750688
65,Geladeira Electrolux Top Freezer 382L Branco (TF42),7896584080032,geladeiras,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
86,Geladeira/Refrigerador Samsung Side by Side RS65R5411M9 Inox Look 617L - 127v,8801643893521,geladeiras,883.8416328430176,1,1,1,1,1,0.1,1,7,0.14,1,1.0,0.00012540757461750688
97,Refrigerador Electrolux Infinity 2 Portas 553L Frost Free Branco 220V DF82,7896584072389,geladeiras,883.8416328430176,1,1,1,1,3,0.3,1,4,0.08,1,1.0,0.00012540757461750688
112,Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR,7891129491717,geladeiras,883.8416328430176,1,1,1,1,3,0.3,1,7,0.14,1,1.0,0.00012540757461750688
134,Geladeira/Refrigerador Electrolux Frost Free DFX41 Inox 371L - 110v,7896584071962,geladeiras,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
140,Geladeira Consul CRB39AK Frost Free 1 Porta 342 Litros Evox,7891129245471,geladeiras,883.8416328430176,1,1,1,1,2,0.2,1,2,0.04,1,1.0,0.00012540757461750688
